X	Y
0.000000	1.000000
0.003922	0.909110
0.007843	0.911131
0.011765	0.905344
0.015686	0.899938
0.019608	0.889751
0.023529	0.880110
0.027451	0.874066
0.031373	0.873130
0.035294	0.856091
0.039216	0.844135
0.043137	0.842413
0.047059	0.832392
0.050980	0.825515
0.054902	0.810864
0.058824	0.799480
0.062745	0.790639
0.066667	0.776318
0.070588	0.771665
0.074510	0.759284
0.078431	0.747960
0.082353	0.739549
0.086275	0.728252
0.090196	0.724466
0.094118	0.711624
0.098039	0.698035
0.101961	0.693468
0.105882	0.682924
0.109804	0.677302
0.113725	0.667353
0.117647	0.663671
0.121569	0.655450
0.125490	0.643927
0.129412	0.634880
0.133333	0.626910
0.137255	0.612383
0.141176	0.610537
0.145098	0.602043
0.149020	0.591623
0.152941	0.575512
0.156863	0.565703
0.160784	0.555942
0.164706	0.545991
0.168627	0.532753
0.172549	0.519109
0.176471	0.510393
0.180392	0.503220
0.184314	0.487203
0.188235	0.475850
0.192157	0.472158
0.196078	0.457349
0.200000	0.451512
0.203922	0.435584
0.207843	0.421770
0.211765	0.409447
0.215686	0.394178
0.219608	0.385714
0.223529	0.373270
0.227451	0.356824
0.231373	0.349006
0.235294	0.331972
0.239216	0.329116
0.243137	0.310371
0.247059	0.307342
0.250980	0.296482
0.254902	0.276872
0.258824	0.263083
0.262745	0.255246
0.266667	0.241552
0.270588	0.230912
0.274510	0.222257
0.278431	0.209055
0.282353	0.201288
0.286275	0.183431
0.290196	0.175291
0.294118	0.171599
0.298039	0.154715
0.301961	0.152517
0.305882	0.141114
0.309804	0.133535
0.313726	0.128563
0.317647	0.117677
0.321569	0.113501
0.325490	0.107322
0.329412	0.095256
0.333333	0.090391
0.337255	0.083296
0.341176	0.077208
0.345098	0.070842
0.349020	0.069038
0.352941	0.061580
0.356863	0.060767
0.360784	0.049286
0.364706	0.046426
0.368627	0.047126
0.372549	0.040997
0.376471	0.035094
0.380392	0.032535
0.384314	0.030425
0.388235	0.025532
0.392157	0.022765
0.396078	0.023134
0.400000	0.019933
0.403922	0.019350
0.407843	0.018746
0.411765	0.017437
0.415686	0.016967
0.419608	0.012699
0.423529	0.016614
0.427451	0.015245
0.431373	0.016637
0.435294	0.012585
0.439216	0.012040
0.443137	0.014923
0.447059	0.015200
0.450980	0.016256
0.454902	0.014092
0.458824	0.015758
0.462745	0.015776
0.466667	0.016705
0.470588	0.015402
0.474510	0.017955
0.478431	0.017382
0.482353	0.017597
0.486275	0.017451
0.490196	0.017471
0.494118	0.016679
0.498039	0.020181
0.501961	0.020957
0.505882	0.020945
0.509804	0.018537
0.513726	0.017604
0.517647	0.017969
0.521569	0.017980
0.525490	0.017128
0.529412	0.018321
0.533333	0.016263
0.537255	0.016910
0.541176	0.017409
0.545098	0.016222
0.549020	0.017057
0.552941	0.017329
0.556863	0.017290
0.560784	0.016901
0.564706	0.016675
0.568627	0.014969
0.572549	0.018311
0.576471	0.017696
0.580392	0.019059
0.584314	0.016756
0.588235	0.019299
0.592157	0.019020
0.596078	0.019948
0.600000	0.019443
0.603922	0.020047
0.607843	0.020510
0.611765	0.020536
0.615686	0.020849
0.619608	0.022756
0.623529	0.022137
0.627451	0.023703
0.631373	0.024544
0.635294	0.026646
0.639216	0.024731
0.643137	0.026162
0.647059	0.028315
0.650980	0.028175
0.654902	0.029006
0.658824	0.029030
0.662745	0.029747
0.666667	0.031006
0.670588	0.031266
0.674510	0.032115
0.678431	0.033759
0.682353	0.034118
0.686275	0.034020
0.690196	0.035233
0.694118	0.034841
0.698039	0.035817
0.701961	0.036317
0.705882	0.036175
0.709804	0.037517
0.713726	0.036968
0.717647	0.037051
0.721569	0.038942
0.725490	0.038222
0.729412	0.039121
0.733333	0.038336
0.737255	0.038997
0.741176	0.038618
0.745098	0.038470
0.749020	0.038245
0.752941	0.039438
0.756863	0.038374
0.760784	0.037618
0.764706	0.037335
0.768627	0.036645
0.772549	0.036276
0.776471	0.035701
0.780392	0.035279
0.784314	0.034800
0.788235	0.033694
0.792157	0.033479
0.796078	0.032445
0.800000	0.032109
0.803922	0.031211
0.807843	0.030409
0.811765	0.029336
0.815686	0.028426
0.819608	0.027506
0.823529	0.027088
0.827451	0.025855
0.831373	0.025265
0.835294	0.024322
0.839216	0.023791
0.843137	0.022706
0.847059	0.022293
0.850980	0.021249
0.854902	0.020909
0.858824	0.019881
0.862745	0.019483
0.866667	0.018358
0.870588	0.018184
0.874510	0.017269
0.878431	0.017028
0.882353	0.016264
0.886275	0.016100
0.890196	0.015328
0.894118	0.015317
0.898039	0.014689
0.901961	0.014708
0.905882	0.014066
0.909804	0.014240
0.913725	0.013723
0.917647	0.013904
0.921569	0.013458
0.925490	0.013621
0.929412	0.013221
0.933333	0.013447
0.937255	0.013067
0.941176	0.013322
0.945098	0.012973
0.949020	0.013251
0.952941	0.012899
0.956863	0.013195
0.960784	0.012859
0.964706	0.013159
0.968627	0.012840
0.972549	0.013146
0.976471	0.012828
0.980392	0.013140
0.984314	0.012824
0.988235	0.013136
0.992157	0.012823
0.996078	0.013135
1.000000	0.012822
