4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-c-Kopplung-Schwebung- Kupfer
Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
1,100	50,67	-0,08	-0,53	1,100	33,93	-0,12	0,75	1,100	29,62	-0,04	0,97
1,120	50,51	-0,09	-0,65	1,120	33,69	-0,10	0,86	1,120	29,57	-0,02	0,86
1,140	50,31	-0,10	-0,53	1,140	33,51	-0,09	0,86	1,140	29,53	-0,01	0,97
1,160	50,10	-0,11	-0,65	1,160	33,34	-0,07	0,87	1,160	29,55	0,02	0,97
1,180	49,87	-0,13	-0,66	1,180	33,24	-0,05	0,76	1,180	29,60	0,03	0,86
1,200	49,59	-0,14	-0,42	1,200	33,13	-0,04	0,53	1,200	29,68	0,05	0,97
1,220	49,32	-0,15	-0,55	1,220	33,08	-0,03	0,62	1,220	29,80	0,07	0,98
1,240	49,01	-0,16	-0,44	1,240	33,01	-0,01	1,19	1,240	29,97	0,09	0,64
1,260	48,68	-0,16	-0,32	1,260	33,02	0,02	1,10	1,260	30,16	0,10	0,74
1,280	48,36	-0,17	-0,43	1,280	33,07	0,03	0,66	1,280	30,36	0,12	0,98
1,300	48,00	-0,18	-0,43	1,300	33,14	0,04	0,41	1,300	30,64	0,14	0,64
1,320	47,64	-0,19	-0,44	1,320	33,24	0,05	0,73	1,320	30,91	0,15	0,63
1,340	47,24	-0,20	-0,32	1,340	33,32	0,07	1,32	1,340	31,22	0,16	0,86
1,360	46,85	-0,20	-0,32	1,360	33,53	0,10	0,76	1,360	31,56	0,18	0,76
1,380	46,43	-0,21	-0,33	1,380	33,72	0,10	0,53	1,380	31,94	0,19	0,54
1,400	46,00	-0,21	-0,21	1,400	33,94	0,12	0,76	1,400	32,33	0,20	0,53
1,420	45,58	-0,22	-0,32	1,420	34,20	0,13	0,64	1,420	32,74	0,21	0,65
1,440	45,13	-0,23	-0,34	1,440	34,47	0,15	0,76	1,440	33,19	0,23	0,54
1,460	44,66	-0,23	-0,11	1,460	34,78	0,16	0,65	1,460	33,65	0,24	0,54
1,480	44,20	-0,23	-0,11	1,480	35,12	0,17	0,42	1,480	34,13	0,25	0,55
1,500	43,74	-0,24	-0,11	1,500	35,46	0,18	0,64	1,500	34,65	0,26	0,21
1,520	43,25	-0,24	0,01	1,520	35,84	0,20	0,66	1,520	35,16	0,26	0,20
1,540	42,79	-0,24	-0,22	1,540	36,25	0,21	0,43	1,540	35,68	0,27	0,43
1,560	42,31	-0,25	-0,24	1,560	36,66	0,21	0,43	1,560	36,23	0,27	0,33
1,580	41,81	-0,25	0,10	1,580	37,11	0,22	0,43	1,580	36,78	0,28	0,22
1,600	41,33	-0,24	0,23	1,600	37,56	0,23	0,44	1,600	37,34	0,28	0,11
1,620	40,84	-0,24	0,01	1,620	38,04	0,24	0,33	1,620	37,91	0,28	0,10
1,640	40,38	-0,24	-0,13	1,640	38,52	0,24	0,21	1,640	38,48	0,29	0,22
1,660	39,88	-0,24	0,22	1,660	39,02	0,25	0,22	1,660	39,06	0,29	0,12
1,680	39,41	-0,23	0,22	1,680	39,51	0,25	0,11	1,680	39,65	0,29	-0,10
1,700	38,95	-0,23	0,10	1,700	40,03	0,25	-0,01	1,700	40,23	0,29	-0,22
1,720	38,48	-0,23	0,22	1,720	40,53	0,25	0,10	1,720	40,80	0,28	-0,11
1,740	38,04	-0,22	0,21	1,740	41,04	0,26	0,22	1,740	41,37	0,28	0,01
1,760	37,59	-0,22	0,32	1,760	41,56	0,26	0,12	1,760	41,93	0,28	-0,21
1,780	37,16	-0,21	0,33	1,780	42,09	0,26	-0,10	1,780	42,50	0,28	-0,33
1,800	36,74	-0,21	0,21	1,800	42,61	0,26	-0,21	1,800	43,03	0,27	-0,21
1,820	36,33	-0,20	0,32	1,820	43,12	0,25	-0,21	1,820	43,59	0,27	-0,33
1,840	35,93	-0,19	0,43	1,840	43,62	0,25	-0,21	1,840	44,10	0,26	-0,21
1,860	35,55	-0,19	0,43	1,860	44,12	0,25	-0,21	1,860	44,62	0,26	-0,19
1,880	35,19	-0,18	0,43	1,880	44,60	0,24	-0,31	1,880	45,14	0,25	-0,54
1,900	34,85	-0,17	0,43	1,900	45,09	0,23	-0,43	1,900	45,62	0,24	-0,54
1,920	34,52	-0,16	0,43	1,920	45,53	0,22	-0,43	1,920	46,08	0,23	-0,43
1,940	34,21	-0,15	0,54	1,940	45,98	0,22	-0,44	1,940	46,53	0,22	-0,42
1,960	33,91	-0,14	0,54	1,960	46,39	0,21	-0,31	1,960	46,96	0,21	-0,53
1,980	33,66	-0,13	0,44	1,980	46,81	0,20	-0,41	1,980	47,38	0,20	-0,64
2,000	33,40	-0,12	0,31	2,000	47,21	0,19	-0,65	2,000	47,76	0,19	-0,64
2,020	33,17	-0,12	0,63	2,020	47,57	0,18	-0,54	2,020	48,12	0,17	-0,64
2,040	32,93	-0,10	0,99	2,040	47,91	0,17	-0,52	2,040	48,45	0,16	-0,65
2,060	32,79	-0,08	0,43	2,060	48,24	0,16	-0,75	2,060	48,76	0,15	-0,55
2,080	32,62	-0,08	0,42	2,080	48,54	0,14	-0,76	2,080	49,03	0,14	-0,29
2,100	32,48	-0,06	0,65	2,100	48,80	0,13	-0,64	2,100	49,31	0,14	-0,73
2,120	32,38	-0,05	0,53	2,120	49,04	0,11	-0,75	2,120	49,58	0,11	-1,12
2,140	32,27	-0,04	0,75	2,140	49,25	0,10	-0,76	2,140	49,75	0,09	-0,42
2,160	32,22	-0,02	0,76	2,160	49,42	0,08	-0,64	2,160	49,94	0,09	-0,51
2,180	32,18	-0,01	0,54	2,180	49,58	0,07	-0,74	2,180	50,11	0,07	-0,99
2,200	32,18	-4,02E-4	0,43	2,200	49,70	0,05	-0,87	2,200	50,22	0,05	-0,64
2,220	32,18	0,01	0,41	2,220	49,79	0,04	-0,75	2,220	50,32	0,04	-0,64
2,240	32,21	0,02	0,74	2,240	49,84	0,02	-0,74	2,240	50,39	0,03	-0,74
2,260	32,24	0,04	1,00	2,260	49,88	0,01	-0,87	2,260	50,43	0,01	0,75
2,280	32,37	0,06	0,32	2,280	49,87	-0,01	-0,75	2,280	50,45	0,06	-0,58
2,300	32,47	0,05	0,30	2,300	49,83	-0,02	-0,74	2,300	50,65	-0,01	-3,30
2,320	32,57	0,07	0,86	2,320	49,77	-0,04	-0,86	2,320	50,42	-0,08	-0,73
2,340	32,74	0,09	0,76	2,340	49,67	-0,06	-0,87	2,340	50,35	-0,04	0,62
2,360	32,91	0,10	0,65	2,360	49,53	-0,08	-0,76	2,360	50,27	-0,05	-0,54
2,380	33,13	0,11	0,43	2,380	49,36	-0,09	-0,64	2,380	50,15	-0,06	-0,52
2,400	33,36	0,12	0,42	2,400	49,17	-0,10	-0,76	2,400	50,03	-0,07	-0,77
2,420	33,60	0,13	0,54	2,420	48,95	-0,12	-0,65	2,420	49,86	-0,09	-0,56
2,440	33,87	0,14	0,42	2,440	48,69	-0,13	-0,52	2,440	49,67	-0,09	-0,19
2,460	34,14	0,15	0,54	2,460	48,44	-0,14	-0,76	2,460	49,48	-0,10	-0,52
2,480	34,45	0,16	0,43	2,480	48,13	-0,16	-0,65	2,480	49,28	-0,12	-0,78
2,500	34,78	0,16	0,31	2,500	47,81	-0,17	-0,53	2,500	49,02	-0,13	-0,33
2,520	35,10	0,17	0,54	2,520	47,46	-0,18	-0,65	2,520	48,76	-0,13	-0,20
2,540	35,46	0,18	0,43	2,540	47,09	-0,19	-0,55	2,540	48,51	-0,14	-0,43
2,560	35,84	0,19	0,32	2,560	46,69	-0,20	-0,43	2,560	48,21	-0,15	-0,43
2,580	36,22	0,20	0,44	2,580	46,28	-0,21	-0,44	2,580	47,92	-0,15	-0,45
2,600	36,63	0,21	0,33	2,600	45,85	-0,22	-0,33	2,600	47,60	-0,16	-0,22
2,620	37,04	0,21	0,21	2,620	45,40	-0,22	-0,21	2,620	47,27	-0,16	-0,10
2,640	37,47	0,21	0,21	2,640	44,96	-0,23	-0,32	2,640	46,95	-0,17	-0,22
2,660	37,90	0,22	0,21	2,660	44,49	-0,24	-0,33	2,660	46,60	-0,17	-0,22
2,680	38,35	0,22	0,21	2,680	44,01	-0,24	-0,22	2,680	46,26	-0,18	-0,22
2,700	38,79	0,23	0,21	2,700	43,53	-0,25	-0,22	2,700	45,90	-0,18	-0,11
2,720	39,26	0,23	0,21	2,720	43,03	-0,25	-0,11	2,720	45,54	-0,18	-0,10
2,740	39,72	0,24	0,23	2,740	42,53	-0,25	0,01	2,740	45,17	-0,18	-0,22
2,760	40,20	0,24	-0,10	2,760	42,03	-0,25	-0,11	2,760	44,80	-0,19	-0,12
2,780	40,69	0,23	-0,24	2,780	41,53	-0,25	-0,13	2,780	44,42	-0,19	0,11
2,800	41,13	0,23	0,21	2,800	41,02	-0,25	0,22	2,800	44,04	-0,19	0,11
2,820	41,61	0,24	0,23	2,820	40,52	-0,25	0,23	2,820	43,68	-0,18	-0,01
2,840	42,09	0,24	-0,10	2,840	40,04	-0,25	-0,01	2,840	43,30	-0,19	0,11
2,860	42,58	0,24	-0,22	2,860	39,54	-0,25	0,21	2,860	42,94	-0,18	0,11
2,880	43,04	0,23	-0,11	2,880	39,05	-0,24	0,32	2,880	42,58	-0,18	-0,01
2,900	43,50	0,23	-0,10	2,900	38,59	-0,23	0,32	2,900	42,21	-0,18	0,10
2,920	43,97	0,23	-0,21	2,920	38,12	-0,22	0,44	2,920	41,85	-0,18	0,22
2,940	44,42	0,22	-0,21	2,940	37,69	-0,22	0,32	2,940	41,51	-0,17	0,21
2,960	44,86	0,22	-0,22	2,960	37,26	-0,21	0,32	2,960	41,16	-0,17	0,32
2,980	45,29	0,21	-0,11	2,980	36,85	-0,20	0,43	2,980	40,83	-0,16	0,34
