4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-c-Kopplung-Schwebung- Kupfer
Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
17,320	35,88	0,15	0,32	17,320	35,67	-0,14	0,54	17,320	44,19	0,10	1,85E-13
17,340	36,19	0,16	0,32	17,340	35,39	-0,13	0,53	17,340	44,40	0,10	0,01
17,360	36,51	0,17	0,33	17,360	35,15	-0,12	0,64	17,360	44,59	0,10	-0,10
17,380	36,86	0,17	0,21	17,380	34,93	-0,10	0,75	17,380	44,79	0,09	-0,22
17,400	37,20	0,18	0,32	17,400	34,73	-0,09	0,76	17,400	44,97	0,09	-0,12
17,420	37,56	0,18	0,44	17,420	34,58	-0,07	0,54	17,420	45,16	0,09	0,11
17,440	37,94	0,19	0,33	17,440	34,44	-0,07	0,53	17,440	45,33	0,09	0,01
17,460	38,33	0,20	0,11	17,460	34,32	-0,05	0,75	17,460	45,54	0,09	-0,22
17,480	38,73	0,20	0,10	17,480	34,23	-0,04	0,87	17,480	45,69	0,09	-0,10
17,500	39,12	0,20	0,22	17,500	34,18	-0,02	0,76	17,500	45,88	0,09	-0,21
17,520	39,54	0,21	0,11	17,520	34,16	0,00	0,65	17,520	46,03	0,08	-0,34
17,540	39,95	0,21	-6,94E-14	17,540	34,16	0,01	0,64	17,540	46,19	0,07	-0,11
17,560	40,36	0,21	3,47E-14	17,560	34,19	0,02	0,64	17,560	46,33	0,07	0,02
17,580	40,77	0,21	-0,01	17,580	34,24	0,03	0,75	17,580	46,48	0,07	-0,32
17,600	41,19	0,21	0,11	17,600	34,33	0,05	0,76	17,600	46,62	0,06	-0,45
17,620	41,60	0,21	0,12	17,620	34,44	0,06	0,64	17,620	46,72	0,06	-0,10
17,640	42,03	0,21	-0,11	17,640	34,58	0,08	0,75	17,640	46,85	0,06	-0,20
17,660	42,44	0,21	-0,11	17,660	34,75	0,09	0,76	17,660	46,95	0,05	-0,43
17,680	42,85	0,21	-3,47E-14	17,680	34,96	0,11	0,54	17,680	47,04	0,04	-0,43
17,700	43,27	0,21	0,01	17,700	35,18	0,12	0,53	17,700	47,11	0,03	-0,44
17,720	43,68	0,21	-0,09	17,720	35,42	0,13	0,64	17,720	47,16	0,02	-0,33
17,740	44,09	0,20	-0,32	17,740	35,69	0,14	0,64	17,740	47,19	0,02	-0,21
17,760	44,49	0,19	-0,34	17,760	35,98	0,15	0,66	17,760	47,23	0,01	-0,32
17,780	44,87	0,19	-0,11	17,780	36,31	0,17	0,43	17,780	47,25	0,00	-0,43
17,800	45,25	0,19	-0,09	17,800	36,65	0,17	0,31	17,800	47,25	0,00	-0,42
17,820	45,62	0,19	-0,32	17,820	36,99	0,18	0,54	17,820	47,23	-0,01	-0,54
17,840	45,99	0,18	-0,33	17,840	37,37	0,19	0,55	17,840	47,20	-0,03	-0,44
17,860	46,33	0,17	-0,21	17,860	37,77	0,20	0,33	17,860	47,13	-0,03	-0,20
17,880	46,68	0,17	-0,31	17,880	38,18	0,21	0,21	17,880	47,08	-0,03	-0,42
17,900	47,00	0,16	-0,43	17,900	38,59	0,21	0,32	17,900	47,00	-0,05	-0,55
17,920	47,31	0,15	-0,44	17,920	39,02	0,22	0,44	17,920	46,90	-0,06	-0,42
17,940	47,61	0,14	-0,32	17,940	39,46	0,23	0,23	17,940	46,78	-0,06	-0,55
17,960	47,88	0,14	-0,31	17,960	39,93	0,23	-0,01	17,960	46,64	-0,08	-0,44
17,980	48,16	0,13	-0,54	17,980	40,38	0,23	0,11	17,980	46,47	-0,08	-0,20
18,000	48,40	0,12	-0,54	18,000	40,84	0,23	0,11	18,000	46,32	-0,09	-0,42
18,020	48,63	0,11	-0,44	18,020	41,30	0,23	0,00	18,020	46,13	-0,10	-0,55
18,040	48,83	0,10	-0,31	18,040	41,77	0,23	-4,45E-13	18,040	45,92	-0,11	-0,43
18,060	49,02	0,10	-0,41	18,060	42,23	0,23	-4,45E-13	18,060	45,70	-0,12	-0,43
18,080	49,22	0,08	-0,66	18,080	42,70	0,23	0,01	18,080	45,46	-0,12	-0,44
18,100	49,35	0,07	-0,43	18,100	43,16	0,23	-0,09	18,100	45,20	-0,13	-0,33
18,120	49,49	0,07	-0,42	18,120	43,63	0,23	-0,32	18,120	44,93	-0,14	-0,20
18,140	49,62	0,05	-0,55	18,140	44,07	0,22	-0,34	18,140	44,65	-0,14	-0,43
18,160	49,70	0,04	-0,41	18,160	44,50	0,21	-0,10	18,160	44,36	-0,15	-0,44
18,180	49,79	0,04	-0,64	18,180	44,93	0,22	-0,19	18,180	44,03	-0,16	-0,20
18,200	49,84	0,02	-0,66	18,200	45,36	0,21	-0,54	18,200	43,73	-0,16	-0,44
18,220	49,86	0,01	-0,41	18,220	45,76	0,19	-0,44	18,220	43,38	-0,18	-0,34
18,240	49,88	0,00	-0,65	18,240	46,14	0,19	-0,31	18,240	43,02	-0,18	-0,09
18,260	49,87	-0,02	-0,67	18,260	46,52	0,18	-0,43	18,260	42,68	-0,18	-0,33
18,280	49,81	-0,03	-0,31	18,280	46,86	0,17	-0,42	18,280	42,30	-0,19	-0,22
18,300	49,76	-0,03	-0,41	18,300	47,21	0,16	-0,53	18,300	41,92	-0,19	-0,11
18,320	49,70	-0,04	-0,65	18,320	47,52	0,15	-0,64	18,320	41,54	-0,19	-0,11
18,340	49,60	-0,06	-0,55	18,340	47,82	0,14	-0,65	18,340	41,15	-0,19	-0,10
18,360	49,48	-0,06	-0,43	18,360	48,07	0,13	-0,54	18,360	40,77	-0,20	-0,22
18,380	49,34	-0,07	-0,42	18,380	48,32	0,12	-0,53	18,380	40,36	-0,20	-0,11
18,400	49,19	-0,08	-0,53	18,400	48,54	0,10	-0,64	18,400	39,96	-0,20	-0,11
18,420	49,02	-0,09	-0,66	18,420	48,73	0,09	-0,75	18,420	39,55	-0,21	-0,01
18,440	48,81	-0,11	-0,44	18,440	48,91	0,07	-0,77	18,440	39,14	-0,20	0,11
18,460	48,59	-0,11	-0,32	18,460	49,03	0,06	-0,52	18,460	38,74	-0,20	-0,01
18,480	48,37	-0,12	-0,43	18,480	49,15	0,05	-0,74	18,480	38,33	-0,20	0,11
18,500	48,11	-0,13	-0,43	18,500	49,24	0,03	-0,99	18,500	37,93	-0,20	0,11
18,520	47,85	-0,14	-0,44	18,520	49,28	0,01	-0,65	18,520	37,53	-0,20	0,10
18,540	47,56	-0,15	-0,32	18,540	49,30	0,01	-0,52	18,540	37,14	-0,19	0,22
18,560	47,27	-0,15	-0,32	18,560	49,30	-0,01	-0,74	18,560	36,76	-0,19	0,21
18,580	46,96	-0,16	-0,44	18,580	49,27	-0,02	-0,87	18,580	36,38	-0,19	0,32
18,600	46,64	-0,17	-0,33	18,600	49,20	-0,04	-0,76	18,600	36,02	-0,18	0,33
18,620	46,29	-0,17	-0,21	18,620	49,10	-0,05	-0,64	18,620	35,67	-0,17	0,20
18,640	45,95	-0,18	-0,32	18,640	48,98	-0,07	-0,75	18,640	35,33	-0,17	0,42
18,660	45,59	-0,18	-0,33	18,660	48,83	-0,09	-0,77	18,660	35,00	-0,16	0,55
18,680	45,21	-0,19	-0,22	18,680	48,64	-0,10	-0,53	18,680	34,71	-0,15	0,32
18,700	44,83	-0,19	-0,22	18,700	48,43	-0,11	-0,64	18,700	34,41	-0,14	0,32
18,720	44,44	-0,20	-0,11	18,720	48,21	-0,12	-0,77	18,720	34,14	-0,13	0,43
18,740	44,04	-0,20	-0,10	18,740	47,94	-0,14	-0,54	18,740	33,88	-0,13	0,43
18,760	43,65	-0,20	-0,22	18,760	47,67	-0,15	-0,54	18,760	33,64	-0,12	0,53
18,780	43,23	-0,21	-0,11	18,780	47,36	-0,16	-0,55	18,780	33,41	-0,10	0,65
18,800	42,82	-0,21	-4,59E-13	18,800	47,03	-0,17	-0,42	18,800	33,22	-0,09	0,65
18,820	42,41	-0,21	0,01	18,820	46,69	-0,18	-0,54	18,820	33,05	-0,08	0,54
18,840	41,99	-0,21	-0,11	18,840	46,33	-0,19	-0,55	18,840	32,91	-0,07	0,53
18,860	41,58	-0,21	-0,01	18,860	45,93	-0,20	-0,32	18,860	32,77	-0,06	0,65
18,880	41,15	-0,21	0,23	18,880	45,54	-0,20	-0,43	18,880	32,68	-0,04	0,64
18,900	40,75	-0,20	-0,11	18,900	45,13	-0,21	-0,45	18,900	32,60	-0,03	0,76
18,920	40,34	-0,21	-0,13	18,920	44,68	-0,22	-0,10	18,920	32,56	-0,01	0,65
18,940	39,91	-0,21	0,22	18,940	44,25	-0,22	-0,21	18,940	32,54	0,00	0,53
18,960	39,51	-0,20	0,10	18,960	43,80	-0,23	-0,33	18,960	32,54	0,01	0,75
18,980	39,10	-0,20	0,22	18,980	43,34	-0,23	-0,22	18,980	32,57	0,03	0,76
19,000	38,70	-0,19	0,22	19,000	42,88	-0,24	-0,23	19,000	32,64	0,04	0,64
19,020	38,33	-0,19	0,10	19,020	42,39	-0,24	-0,01	19,020	32,73	0,05	0,75
19,040	37,93	-0,19	0,32	19,040	41,91	-0,24	0,12	19,040	32,84	0,07	0,76
19,060	37,57	-0,18	0,33	19,060	41,45	-0,24	-0,11	19,060	33,00	0,08	0,64
19,080	37,21	-0,18	0,21	19,080	40,96	-0,24	-0,01	19,080	33,17	0,09	0,75
19,100	36,86	-0,17	0,32	19,100	40,48	-0,24	0,22	19,100	33,37	0,11	0,76
19,120	36,51	-0,16	0,44	19,120	40,02	-0,23	0,11	19,120	33,61	0,12	0,54
19,140	36,21	-0,15	0,22	19,140	39,55	-0,23	0,10	19,140	33,87	0,13	0,53
19,160	35,90	-0,16	0,20	19,160	39,09	-0,23	0,22	19,160	34,14	0,15	0,75
19,180	35,58	-0,15	0,54	19,180	38,64	-0,22	0,21	19,180	34,45	0,16	0,76
19,200	35,31	-0,13	0,55	19,200	38,19	-0,22	0,32	19,200	34,79	0,18	0,54
19,220	35,05	-0,12	0,32	19,220	37,76	-0,21	0,43	19,220	35,15	0,18	0,42
19,240	34,81	-0,12	0,31	19,240	37,35	-0,20	0,43	19,240	35,53	0,19	0,53
19,260	34,57	-0,11	0,54	19,260	36,95	-0,19	0,43	19,260	35,93	0,21	0,65
19,280	34,36	-0,10	0,54	19,280	36,57	-0,19	0,54	19,280	36,35	0,22	0,54
19,300	34,17	-0,09	0,43	19,300	36,21	-0,17	0,54	19,300	36,80	0,23	0,54
19,320	33,99	-0,08	0,43	19,320	35,88	-0,16	0,43	19,320	37,26	0,24	0,55
19,340	33,84	-0,07	0,54	19,340	35,55	-0,16	0,54	19,340	37,76	0,25	0,32
19,360	33,70	-0,06	0,54	19,360	35,26	-0,14	0,54	19,360	38,26	0,25	0,32
19,380	33,60	-0,05	0,42	19,380	34,98	-0,13	0,53	19,380	38,77	0,26	0,32
19,400	33,49	-0,04	0,54	19,400	34,72	-0,12	0,75	19,400	39,31	0,27	0,32
19,420	33,42	-0,03	0,44	19,420	34,50	-0,10	0,76	19,420	39,84	0,27	0,33
19,440	33,37	-0,03	0,30	19,440	34,31	-0,09	0,65	19,440	40,40	0,28	0,11
19,460	33,32	-0,02	0,74	19,460	34,13	-0,08	0,64	19,460	40,95	0,28	0,10
19,480	33,30	0,00	0,99	19,480	33,99	-0,07	0,75	19,480	41,52	0,28	0,22
19,500	33,33	0,02	0,55	19,500	33,87	-0,05	0,76	19,500	42,09	0,29	0,11
19,520	33,38	0,03	0,31	19,520	33,80	-0,04	0,64	19,520	42,67	0,29	-0,01
19,540	33,43	0,03	0,54	19,540	33,73	-0,02	0,75	19,540	43,24	0,29	0,13
19,560	33,52	0,05	0,43	19,560	33,71	0,00	0,75	19,560	43,82	0,29	-0,20
19,580	33,62	0,05	0,42	19,580	33,71	0,01	0,75	19,580	44,41	0,28	-0,47
19,600	33,72	0,06	0,66	19,600	33,74	0,02	0,87	19,600	44,94	0,27	0,21
19,620	33,88	0,08	0,43	19,620	33,81	0,04	0,64	19,620	45,51	0,29	0,36
19,640	34,03	0,08	0,42	19,640	33,91	0,05	0,63	19,640	46,09	0,29	-0,31
19,660	34,20	0,09	0,54	19,660	34,01	0,07	0,87	19,660	46,66	0,28	-0,54
19,680	34,41	0,10	0,42	19,680	34,19	0,09	0,64	19,680	47,19	0,27	-0,44
19,700	34,61	0,11	0,54	19,700	34,36	0,09	0,64	19,700	47,73	0,26	-0,33
19,720	34,85	0,12	0,43	19,720	34,56	0,11	0,76	19,720	48,23	0,25	-0,20
19,740	35,11	0,13	0,32	19,740	34,80	0,12	0,64	19,740	48,75	0,25	-0,41
19,760	35,37	0,14	0,43	19,760	35,06	0,14	0,65	19,760	49,23	0,24	-0,65
19,780	35,66	0,15	0,43	19,780	35,35	0,15	0,54	19,780	49,69	0,22	-0,63
19,800	35,95	0,15	0,44	19,800	35,66	0,16	0,42	19,800	50,12	0,21	0,86
19,820	36,27	0,16	0,32	19,820	35,98	0,17	0,53	19,820	50,54	0,26	-0,67
19,840	36,60	0,17	0,32	19,840	36,32	0,18	0,65	19,840	51,16	0,19	-2,13
19,860	36,94	0,18	0,33	19,860	36,70	0,19	0,55	19,860	51,28	0,17	0,74
19,880	37,30	0,18	0,21	19,880	37,10	0,20	0,32	19,880	51,85	0,22	0,96
19,900	37,66	0,18	0,21	19,900	37,51	0,21	0,32	19,900	52,14	0,21	-0,39
19,920	38,04	0,19	0,21	19,920	37,92	0,21	0,44	19,920	52,70	0,20	-2,46
19,940	38,42	0,19	0,33	19,940	38,37	0,22	0,32	19,940	52,94	0,11	-2,70
19,960	38,81	0,20	0,23	19,960	38,81	0,23	0,32	19,960	53,15	0,09	-0,98
19,980	39,23	0,20	-0,01	19,980	39,27	0,24	0,33	19,980	53,31	0,07	-0,75
20,000	39,62	0,20	0,11	20,000	39,76	0,24	0,12	20,000	53,45	0,06	-0,75
20,020	40,03	0,21	0,11	20,020	40,24	0,24	-0,11	20,020	53,56	0,04	-0,76
20,040	40,45	0,21	0,10	20,040	40,72	0,24	-0,02	20,040	53,63	0,03	-0,63
20,060	40,86	0,21	0,23	20,060	41,18	0,24	0,34	20,060	53,68	0,02	-0,85
20,080	41,29	0,22	0,01	20,080	41,68	0,25	0,13	20,080	53,70	0,00	-0,98
20,100	41,72	0,21	-0,23	20,100	42,18	0,25	-0,22	20,100	53,67	-0,02	-0,75
20,120	42,13	0,21	-0,01	20,120	42,66	0,24	-0,11	20,120	53,62	-0,03	-0,74
20,140	42,54	0,21	0,12	20,140	43,14	0,24	-0,09	20,140	53,54	-0,05	-0,87
20,160	42,97	0,21	-0,10	20,160	43,62	0,24	-0,33	20,160	53,42	-0,07	-0,75
20,180	43,39	0,21	-0,21	20,180	44,09	0,23	-0,22	20,180	53,26	-0,08	-0,73
20,200	43,80	0,20	-0,21	20,200	44,54	0,23	-0,09	20,200	53,10	-0,10	-1,07
20,220	44,20	0,20	-0,22	20,220	45,00	0,22	-0,32	20,220	52,88	-0,12	-1,09
20,240	44,59	0,19	-0,11	20,240	45,43	0,22	-0,31	20,240	52,60	-0,14	-2,39
20,260	44,97	0,19	-0,09	20,260	45,86	0,21	-0,42	20,260	52,32	-0,22	-3,79
20,280	45,37	0,19	-0,33	20,280	46,28	0,20	-0,54	20,280	51,73	-0,29	-0,61
20,300	45,73	0,18	-0,21	20,300	46,66	0,19	-0,43	20,300	51,15	-0,24	2,07
20,320	46,09	0,18	-0,20	20,320	47,04	0,18	-0,43	20,320	50,76	-0,21	0,29
20,340	46,45	0,17	-0,44	20,340	47,38	0,17	-0,41	20,340	50,31	-0,23	-0,78
20,360	46,78	0,16	-0,32	20,360	47,73	0,16	-0,64	20,360	49,83	-0,24	-0,42
20,380	47,11	0,16	-0,31	20,380	48,04	0,15	-0,77	20,380	49,35	-0,25	-0,52
20,400	47,42	0,15	-0,43	20,400	48,31	0,13	-0,53	20,400	48,83	-0,26	-0,75
20,420	47,71	0,14	-0,44	20,420	48,57	0,13	-0,64	20,420	48,30	-0,28	-0,78
20,440	47,99	0,13	-0,32	20,440	48,82	0,11	-0,77	20,440	47,72	-0,29	-0,44
20,460	48,25	0,13	-0,31	20,460	49,01	0,10	-0,53	20,460	47,13	-0,30	-0,32
20,480	48,51	0,12	-0,54	20,480	49,20	0,09	-0,64	20,480	46,53	-0,30	-0,42
20,500	48,73	0,11	-0,43	20,500	49,36	0,07	-0,75	20,500	45,91	-0,31	-0,55
20,520	48,94	0,10	-0,41	20,520	49,48	0,06	-0,74	20,520	45,28	-0,33	-0,45
20,540	49,15	0,09	-0,66	20,540	49,58	0,04	-0,87	20,540	44,61	-0,33	-0,22
20,560	49,30	0,08	-0,43	20,560	49,64	0,02	-0,75	20,560	43,96	-0,34	-0,22
20,580	49,46	0,07	-0,41	20,580	49,67	0,01	-0,75	20,580	43,27	-0,34	-0,10
20,600	49,60	0,06	-0,65	20,600	49,68	-0,01	-0,76	20,600	42,60	-0,34	-0,22
20,620	49,70	0,05	-0,55	20,620	49,64	-0,02	-0,63	20,620	41,91	-0,35	-0,23
20,640	49,79	0,04	-0,42	20,640	49,59	-0,03	-0,86	20,640	41,20	-0,35	-3,47E-14
20,660	49,86	0,03	-0,53	20,660	49,51	-0,05	-0,88	20,660	40,51	-0,35	-0,01
20,680	49,91	0,02	-0,65	20,680	49,37	-0,07	-0,53	20,680	39,81	-0,35	0,11
20,700	49,93	0,00	-0,54	20,700	49,24	-0,08	-0,64	20,700	39,12	-0,34	0,11
20,720	49,93	0,00	-0,53	20,720	49,07	-0,09	-0,76	20,720	38,43	-0,34	0,10
20,740	49,92	-0,02	-0,65	20,740	48,86	-0,11	-0,64	20,740	37,74	-0,34	0,22
20,760	49,87	-0,03	-0,55	20,760	48,64	-0,12	-0,76	20,760	37,07	-0,34	0,20
20,780	49,80	-0,04	-0,43	20,780	48,39	-0,14	-0,66	20,780	36,40	-0,33	0,43
20,800	49,72	-0,05	-0,42	20,800	48,09	-0,15	-0,42	20,800	35,74	-0,32	0,55
20,820	49,61	-0,05	-0,54	20,820	47,80	-0,15	-0,65	20,820	35,12	-0,31	0,32
20,840	49,50	-0,07	-0,55	20,840	47,48	-0,17	-0,66	20,840	34,50	-0,31	0,43
20,860	49,34	-0,08	-0,42	20,860	47,12	-0,18	-0,42	20,860	33,89	-0,29	0,54
20,880	49,19	-0,09	-0,53	20,880	46,76	-0,19	-0,55	20,880	33,33	-0,28	0,53
20,900	49,00	-0,10	-0,65	20,900	46,36	-0,20	-0,44	20,900	32,76	-0,27	0,76
20,920	48,80	-0,11	-0,55	20,920	45,95	-0,21	-0,32	20,920	32,24	-0,25	0,65
20,940	48,56	-0,12	-0,32	20,940	45,54	-0,21	-0,44	20,940	31,74	-0,25	0,64
20,960	48,32	-0,12	-0,32	20,960	45,09	-0,22	-0,33	20,960	31,25	-0,23	0,87
20,980	48,06	-0,13	-0,43	20,980	44,65	-0,23	-0,22	20,980	30,82	-0,21	0,75
21,000	47,78	-0,14	-0,43	21,000	44,18	-0,23	-0,22	21,000	30,41	-0,20	0,75
21,020	47,49	-0,15	-0,43	21,020	43,72	-0,24	-0,22	21,020	30,03	-0,18	0,86
21,040	47,18	-0,16	-0,44	21,040	43,24	-0,24	-0,11	21,040	29,68	-0,16	0,87
21,060	46,86	-0,17	-0,33	21,060	42,75	-0,24	-0,10	21,060	29,37	-0,15	0,74
21,080	46,51	-0,17	-0,21	21,080	42,27	-0,25	-0,23	21,080	29,10	-0,13	0,95
21,100	46,17	-0,18	-0,32	21,100	41,77	-0,25	-0,01	21,100	28,83	-0,11	1,30
21,120	45,81	-0,18	-0,33	21,120	41,27	-0,25	0,22	21,120	28,66	-0,08	1,08
21,140	45,43	-0,19	-0,22	21,140	40,79	-0,24	0,11	21,140	28,50	-0,07	0,86
21,160	45,06	-0,19	-0,22	21,160	40,31	-0,24	-0,01	21,160	28,40	-0,05	0,85
21,180	44,66	-0,20	-0,11	21,180	39,83	-0,24	0,10	21,180	28,31	-0,03	1,07
21,200	44,26	-0,20	-0,09	21,200	39,35	-0,24	0,22	21,200	28,28	-0,01	1,19
21,220	43,87	-0,20	-0,33	21,220	38,88	-0,23	0,21	21,220	28,29	0,02	1,08
21,240	43,46	-0,21	-0,23	21,240	38,42	-0,23	0,32	21,240	28,34	0,04	0,97
21,260	43,03	-0,21	4,68E-13	21,260	37,97	-0,22	0,43	21,260	28,44	0,06	0,85
21,280	42,61	-0,21	-5,03E-13	21,280	37,54	-0,21	0,44	21,280	28,56	0,07	1,07
21,300	42,18	-0,21	0,01	21,300	37,12	-0,20	0,32	21,300	28,73	0,10	1,08
21,320	41,77	-0,21	-0,11	21,320	36,73	-0,20	0,31	21,320	28,95	0,12	0,96
21,340	41,34	-0,22	-0,01	21,340	36,33	-0,19	0,65	21,340	29,19	0,14	1,08
21,360	40,91	-0,21	0,23	21,360	35,97	-0,17	0,66	21,360	29,50	0,16	0,97
21,380	40,50	-0,21	0,01	21,380	35,64	-0,16	0,43	21,380	29,83	0,18	0,86
21,400	40,08	-0,21	-0,12	21,400	35,31	-0,16	0,53	21,400	30,20	0,19	0,86
21,420	39,65	-0,21	0,10	21,420	35,02	-0,14	0,65	21,420	30,60	0,21	0,86
21,440	39,24	-0,21	0,22	21,440	34,74	-0,13	0,65	21,440	31,04	0,23	0,86
21,460	38,83	-0,20	0,22	21,460	34,50	-0,12	0,65	21,460	31,50	0,24	0,75
21,480	38,43	-0,20	0,21	21,480	34,27	-0,10	0,64	21,480	32,02	0,26	0,75
21,500	38,03	-0,19	0,32	21,500	34,08	-0,09	0,75	21,500	32,53	0,27	0,87
21,520	37,65	-0,19	0,33	21,520	33,91	-0,07	0,76	21,520	33,12	0,29	0,65
21,540	37,29	-0,18	0,22	21,540	33,79	-0,06	0,64	21,540	33,70	0,30	0,53
21,560	36,93	-0,18	0,21	21,560	33,66	-0,05	0,75	21,560	34,32	0,31	0,64
21,580	36,59	-0,17	0,32	21,580	33,59	-0,03	0,75	21,580	34,95	0,33	0,65
21,600	36,24	-0,16	0,44	21,600	33,54	-0,02	0,75	21,600	35,62	0,34	0,43
21,620	35,93	-0,16	0,32	21,620	33,52	-8,38E-4	0,87	21,620	36,31	0,34	0,32
21,640	35,62	-0,15	0,32	21,640	33,54	0,02	0,76	21,640	36,99	0,35	0,43
21,660	35,33	-0,14	0,43	21,660	33,59	0,03	0,64	21,660	37,71	0,36	0,32
21,680	35,05	-0,13	0,43	21,680	33,66	0,04	0,75	21,680	38,44	0,36	0,32
21,700	34,79	-0,13	0,43	21,700	33,76	0,06	0,76	21,700	39,17	0,37	0,34
21,720	34,55	-0,12	0,54	21,720	33,89	0,07	0,64	21,720	39,93	0,38	0,01
21,740	34,32	-0,10	0,54	21,740	34,05	0,09	0,75	21,740	40,69	0,37	-0,12
21,760	34,13	-0,10	0,43	21,760	34,23	0,10	0,76	21,760	41,42	0,37	0,11
21,780	33,94	-0,09	0,54	21,780	34,46	0,12	0,64	21,780	42,18	0,38	0,12
21,800	33,79	-0,07	0,43	21,800	34,70	0,13	0,64	21,800	42,94	0,38	-0,10
21,820	33,65	-0,07	0,43	21,820	34,97	0,14	0,65	21,820	43,69	0,37	-0,21
21,840	33,51	-0,06	0,43	21,840	35,26	0,15	0,54	21,840	44,43	0,37	-0,21
21,860	33,43	-0,05	0,40	21,860	35,59	0,16	0,53	21,860	45,17	0,37	-0,21
21,880	33,30	-0,04	0,98	21,880	35,91	0,18	0,66	21,880	45,89	0,36	-0,31
21,900	33,27	-0,01	0,77	21,900	36,29	0,19	0,43	21,900	46,62	0,35	-0,44
21,920	33,25	-0,01	0,32	21,920	36,67	0,19	0,32	21,920	47,30	0,34	-0,31
21,940	33,23	-4,16E-4	0,44	21,940	37,06	0,20	0,43	21,940	47,99	0,34	-0,42
21,960	33,25	0,01	0,31	21,960	37,47	0,21	0,43	21,960	48,67	0,33	-0,54
21,980	33,26	0,01	0,63	21,980	37,90	0,22	0,44	21,980	49,30	0,32	-0,61
22,000	33,29	0,03	0,88	22,000	38,35	0,23	0,33	22,000	49,94	0,30	0,42
22,020	33,40	0,05	0,43	22,020	38,81	0,23	0,10	22,020	50,51	0,34	0,60
22,040	33,48	0,05	0,42	22,040	39,28	0,23	0,21	22,040	51,28	0,33	-0,28
22,060	33,60	0,06	0,65	22,060	39,74	0,24	0,34	22,060	51,82	0,32	-0,72
22,080	33,74	0,08	0,54	22,080	40,24	0,25	-3,00E-4	22,080	52,58	0,30	-2,69
22,100	33,91	0,09	0,43	22,100	40,72	0,24	-0,01	22,100	53,01	0,22	-2,69
22,120	34,08	0,09	0,43	22,120	41,20	0,24	0,12	22,120	53,45	0,19	-1,11
22,140	34,29	0,10	0,42	22,140	41,70	0,25	-0,11	22,140	53,77	0,17	-0,64
22,160	34,49	0,11	0,54	22,160	42,18	0,24	-0,11	22,160	54,14	0,16	-0,64
22,180	34,73	0,12	0,55	22,180	42,66	0,24	0,01	22,180	54,43	0,15	-0,73
22,200	34,99	0,13	0,32	22,200	43,14	0,24	-0,10	22,200	54,73	0,14	-0,95
22,220	35,26	0,14	0,31	22,220	43,62	0,24	-0,21	22,220	54,97	0,11	-1,20
22,240	35,54	0,15	0,54	22,240	44,09	0,23	-0,21	22,240	55,17	0,09	-0,98
22,260	35,84	0,16	0,44	22,260	44,55	0,23	-0,21	22,260	55,32	0,07	-0,85
22,280	36,17	0,16	0,21	22,280	45,00	0,22	-0,31	22,280	55,45	0,05	-0,96
22,300	36,50	0,17	0,32	22,300	45,45	0,22	-0,54	22,300	55,54	0,03	-1,09
22,320	36,84	0,18	0,44	22,320	45,86	0,20	-0,44	22,320	55,57	0,01	-0,85
22,340	37,20	0,18	0,33	22,340	46,26	0,20	-0,31	22,340	55,57	0,00	-0,94
22,360	37,58	0,19	0,21	22,360	46,66	0,19	-0,54	22,360	55,56	-0,03	-1,32
22,380	37,96	0,19	0,21	22,380	47,02	0,18	-0,54	22,380	55,46	-0,05	-0,98
22,400	38,35	0,20	0,21	22,400	47,36	0,17	-0,42	22,400	55,34	-0,07	-0,85
22,420	38,75	0,20	0,21	22,420	47,69	0,16	-0,53	22,420	55,19	-0,09	-0,97
22,440	39,16	0,21	0,22	22,440	48,00	0,15	-0,64	22,440	54,99	-0,11	-0,96
22,460	39,57	0,21	0,12	22,460	48,28	0,13	-0,64	22,460	54,77	-0,13	-1,10
22,480	40,00	0,21	-0,11	22,480	48,54	0,12	-0,75	22,480	54,48	-0,15	-0,77
22,500	40,41	0,21	-0,01	22,500	48,77	0,10	-0,77	22,500	54,17	-0,16	-0,52
22,520	40,82	0,21	0,22	22,520	48,96	0,09	-0,53	22,520	53,85	-0,17	-0,74
22,540	41,25	0,21	0,11	22,540	49,13	0,08	-0,63	22,540	53,49	-0,19	-0,84
22,560	41,68	0,21	-3,47E-14	22,560	49,29	0,07	-0,88	22,560	53,10	-0,20	-2,68
22,580	42,11	0,21	0,01	22,580	49,39	0,05	-0,65	22,580	52,67	-0,29	-2,97
22,600	42,54	0,22	-0,10	22,600	49,48	0,04	-0,51	22,600	51,92	-0,32	-0,67
22,620	42,97	0,21	-0,22	22,620	49,55	0,03	-0,85	22,620	51,38	-0,32	-0,35
