4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	3-ohneKopplungeinzel	3-ohneKopplungeinzel	3-ohneKopplungeinzel	3-ohneKopplungeinzel
Zeit2 (s)	Zeit2 (s)	Zeit2 (s)	Position2 (cm)	Position2 (cm)	Geschwindigkeit2 (m/s)	Geschwindigkeit2 (m/s)	Geschwindigkeit2 (m/s)	Beschleunigung2 (m/s²)	Beschleunigung2 (m/s²)	Beschleunigung2 (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,840	0,840	0,840	50,63	39,07	0,08	-0,26	-0,26	-0,65	0,32	0,64	0,840	37,08	-0,14	0,53
0,860	0,860	0,860	50,78	38,55	0,07	-0,25	-0,25	-0,62	0,44	0,76	0,860	36,80	-0,13	0,76
0,880	0,880	0,880	50,90	38,07	0,06	-0,24	-0,23	0,66	0,32	0,65	0,880	36,56	-0,11	0,66
0,900	0,900	0,900	51,01	37,59	0,10	-0,24	-0,22	0,60	0,31	0,51	0,900	36,35	-0,10	0,41
0,920	0,920	0,920	51,29	37,12	0,08	-0,23	-0,21	-1,84	0,54	1,07	0,920	36,15	-0,10	0,75
0,940	0,940	0,940	51,34	36,68	0,02	-0,22	-0,18	-1,79	0,54	1,32	0,940	35,97	-0,07	0,88
0,960	0,960	0,960	51,38	36,26	0,01	-0,21	-0,16	-0,66	0,43	0,76	0,960	35,85	-0,06	0,53
0,980	0,980	0,980	51,38	35,85	0,00	-0,20	-0,15	-1,94	0,53	0,63	0,980	35,73	-0,05	0,63
1,000	1,000	1,000	51,36	35,47	-0,07	-0,19	-0,13	-2,01	0,65	0,97	1,000	35,64	-0,04	0,87
1,020	1,020	1,020	51,11	35,10	-0,08	-0,17	-0,11	0,64	0,65	0,97	1,020	35,59	-0,02	0,76
1,040	1,040	1,040	51,02	34,78	-0,04	-0,16	-0,10	0,86	0,53	0,86	1,040	35,57	0,00	0,65
1,060	1,060	1,060	50,94	34,47	-0,05	-0,15	-0,08	-0,65	0,64	0,86	1,060	35,57	0,01	0,64
1,080	1,080	1,080	50,82	34,17	-0,07	-0,13	-0,06	-0,65	0,75	0,97	1,080	35,60	0,02	0,75
1,100	1,100	1,100	50,67	33,93	-0,08	-0,12	-0,04	-0,53	0,75	0,97	1,100	35,65	0,04	0,76
1,120	1,120	1,120	50,51	33,69	-0,09	-0,10	-0,02	-0,65	0,86	0,86	1,120	35,75	0,05	0,53
1,140	1,140	1,140	50,31	33,51	-0,10	-0,09	-0,01	-0,53	0,86	0,97	1,140	35,85	0,06	0,63
1,160	1,160	1,160	50,10	33,34	-0,11	-0,07	0,02	-0,65	0,87	0,97	1,160	35,99	0,08	0,87
1,180	1,180	1,180	49,87	33,24	-0,13	-0,05	0,03	-0,66	0,76	0,86	1,180	36,16	0,09	0,65
1,200	1,200	1,200	49,59	33,13	-0,14	-0,04	0,05	-0,42	0,53	0,97	1,200	36,37	0,10	0,53
1,220	1,220	1,220	49,32	33,08	-0,15	-0,03	0,07	-0,55	0,62	0,98	1,220	36,57	0,12	0,76
1,240	1,240	1,240	49,01	33,01	-0,16	-0,01	0,09	-0,44	1,19	0,64	1,240	36,83	0,13	0,65
1,260	1,260	1,260	48,68	33,02	-0,16	0,02	0,10	-0,32	1,10	0,74	1,260	37,10	0,14	0,53
1,280	1,280	1,280	48,36	33,07	-0,17	0,03	0,12	-0,43	0,66	0,98	1,280	37,39	0,15	0,65
1,300	1,300	1,300	48,00	33,14	-0,18	0,04	0,14	-0,43	0,41	0,64	1,300	37,72	0,17	0,54
1,320	1,320	1,320	47,64	33,24	-0,19	0,05	0,15	-0,44	0,73	0,63	1,320	38,06	0,18	0,43
1,340	1,340	1,340	47,24	33,32	-0,20	0,07	0,16	-0,32	1,32	0,86	1,340	38,42	0,18	0,42
1,360	1,360	1,360	46,85	33,53	-0,20	0,10	0,18	-0,32	0,76	0,76	1,360	38,80	0,19	0,54
1,380	1,380	1,380	46,43	33,72	-0,21	0,10	0,19	-0,33	0,53	0,54	1,380	39,19	0,21	0,55
1,400	1,400	1,400	46,00	33,94	-0,21	0,12	0,20	-0,21	0,76	0,53	1,400	39,62	0,21	0,32
1,420	1,420	1,420	45,58	34,20	-0,22	0,13	0,21	-0,32	0,64	0,65	1,420	40,05	0,22	0,42
1,440	1,440	1,440	45,13	34,47	-0,23	0,15	0,23	-0,34	0,76	0,54	1,440	40,49	0,23	0,55
