4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	4-b-Kopplung-in Phase- Kupfer	4-b-Kopplung-gegen Phase- Kupfer	4-c-Kopplung-Schwebung- Kupfer	3-ohneKopplungeinzel	3-ohneKopplungeinzel	3-ohneKopplungeinzel	3-ohneKopplungeinzel
Zeit2 (s)	Zeit2 (s)	Zeit2 (s)	Position2 (cm)	Position2 (cm)	Geschwindigkeit2 (m/s)	Geschwindigkeit2 (m/s)	Geschwindigkeit2 (m/s)	Beschleunigung2 (m/s²)	Beschleunigung2 (m/s²)	Beschleunigung2 (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
23,760	23,760	23,760	42,10	34,14	-0,22	0,06	0,26	-0,12	0,76	0,76	23,760	41,27	0,23	0,44
23,780	23,780	23,780	41,67	34,27	-0,22	0,08	0,27	0,10	0,65	0,54	23,780	41,73	0,24	0,33
23,800	23,800	23,800	41,24	34,44	-0,21	0,09	0,28	0,23	0,53	0,54	23,800	42,21	0,24	0,21
23,820	23,820	23,820	40,82	34,63	-0,21	0,10	0,30	0,01	0,64	0,55	23,820	42,69	0,24	0,21
23,840	23,840	23,840	40,41	34,83	-0,21	0,12	0,30	-0,12	0,76	0,33	23,840	43,19	0,25	0,21
23,860	23,860	23,860	39,98	35,09	-0,21	0,13	0,31	0,11	0,54	0,21	23,860	43,69	0,25	0,22
23,880	23,880	23,880	39,57	35,35	-0,21	0,14	0,31	0,11	0,54	0,32	23,880	44,21	0,26	0,11
23,900	23,900	23,900	39,15	35,64	-0,21	0,15	0,32	0,10	0,54	0,44	23,900	44,72	0,26	0,10
23,920	23,920	23,920	38,74	35,95	-0,20	0,16	0,33	0,32	0,53	0,22	23,920	45,24	0,26	0,23
23,940	23,940	23,940	38,34	36,27	-0,19	0,17	0,33	0,33	0,66	0,10	23,940	45,77	0,27	0,01
23,960	23,960	23,960	37,96	36,63	-0,19	0,18	0,33	0,10	0,44	0,23	23,960	46,30	0,26	-0,11
23,980	23,980	23,980	37,59	37,01	-0,19	0,19	0,34	0,20	0,20	0,01	23,980	46,82	0,26	0,01
24,000	24,000	24,000	37,21	37,39	-0,18	0,19	0,34	0,44	0,42	-0,11	24,000	47,35	0,26	-0,11
24,020	24,020	24,020	36,86	37,78	-0,17	0,21	0,34	0,33	0,55	0,01	24,020	47,87	0,26	-0,11
24,040	24,040	24,040	36,52	38,21	-0,17	0,21	0,34	0,21	0,22	-0,10	24,040	48,38	0,26	-0,10
24,060	24,060	24,060	36,19	38,64	-0,16	0,21	0,33	0,32	0,10	-0,21	24,060	48,90	0,25	-0,21
24,080	24,080	24,080	35,86	39,07	-0,16	0,22	0,33	0,43	0,32	-0,21	24,080	49,40	0,25	-0,21
24,100	24,100	24,100	35,57	39,52	-0,15	0,23	0,32	0,43	0,34	-0,21	24,100	49,90	0,25	-0,21
24,120	24,120	24,120	35,27	39,98	-0,14	0,23	0,32	0,54	0,01	-0,21	24,120	50,38	0,24	-0,21
24,140	24,140	24,140	35,01	40,45	-0,12	0,23	0,31	0,44	-0,12	-0,31	24,140	50,86	0,24	-0,32
24,160	24,160	24,160	34,77	40,89	-0,12	0,23	0,31	0,32	0,11	-0,54	24,160	51,33	0,23	-0,33
24,180	24,180	24,180	34,53	41,36	-0,11	0,23	0,29	0,43	0,11	-0,55	24,180	51,77	0,22	-0,20
24,200	24,200	24,200	34,32	41,82	-0,10	0,23	0,28	0,43	0,01	-0,31	24,200	52,22	0,22	-0,42
24,220	24,220	24,220	34,12	42,28	-0,10	0,23	0,28	0,54	-0,10	-0,41	24,220	52,65	0,21	-0,55
24,240	24,240	24,240	33,94	42,75	-0,08	0,23	0,27	0,54	-0,22	-0,64	24,240	53,05	0,20	-0,32
24,260	24,260	24,260	33,79	43,20	-0,07	0,22	0,25	0,53	-0,11	-0,65	24,260	53,45	0,19	-0,31
24,280	24,280	24,280	33,65	43,64	-0,06	0,22	0,24	0,65	-0,09	-0,53	24,280	53,82	0,19	-0,54
24,300	24,300	24,300	33,54	44,09	-0,05	0,22	0,23	0,55	-0,32	-0,63	24,300	54,19	0,17	-0,55
24,320	24,320	24,320	33,46	44,52	-0,04	0,21	0,22	0,22	-0,44	-0,87	24,320	54,52	0,16	-0,41
24,340	24,340	24,340	33,39	44,93	-0,04	0,20	0,20	0,19	-0,33	-0,74	24,340	54,84	0,16	-0,64
24,360	24,360	24,360	33,30	45,33	-0,03	0,20	0,19	0,75	-0,20	0,55	24,360	55,14	0,14	-0,66
24,380	24,380	24,380	33,26	45,73	-0,01	0,19	0,22	0,87	-0,42	2,13	24,380	55,40	0,13	-0,42
24,400	24,400	24,400	33,26	46,11	0,00	0,18	0,27	0,75	-0,55	-0,42	24,400	55,66	0,12	-0,53
24,420	24,420	24,420	33,28	46,45	0,02	0,17	0,20	0,77	-0,31	-3,74	24,420	55,88	0,11	-0,64
24,440	24,440	24,440	33,35	46,80	0,03	0,17	0,12	0,44	-0,41	-2,58	24,440	56,09	0,10	-0,64
24,460	24,460	24,460	33,42	47,13	0,04	0,16	0,10	0,31	-0,64	-0,98	24,460	56,27	0,08	-0,64
24,480	24,480	24,480	33,50	47,42	0,05	0,14	0,08	0,54	-0,64	-0,75	24,480	56,42	0,07	-0,64
24,500	24,500	24,500	33,60	47,70	0,06	0,13	0,07	0,55	-0,65	-0,74	24,500	56,55	0,06	-0,64
24,520	24,520	24,520	33,74	47,94	0,07	0,12	0,05	0,32	-0,54	-0,87	24,520	56,65	0,04	-0,76
24,540	24,540	24,540	33,88	48,16	0,07	0,11	0,04	0,42	-0,52	-0,75	24,540	56,72	0,03	-0,65
24,560	24,560	24,560	34,03	48,37	0,09	0,10	0,02	0,65	-0,76	-0,74	24,560	56,76	0,02	-0,52
24,580	24,580	24,580	34,22	48,55	0,10	0,08	0,01	0,54	-0,65	-0,97	24,580	56,80	0,01	-0,76
24,600	24,600	24,600	34,42	48,68	0,11	0,07	-0,02	0,43	-0,52	-0,99	24,600	56,78	-0,01	-0,65
24,620	24,620	24,620	34,65	48,82	0,12	0,06	-0,03	0,43	-0,75	-0,65	24,620	56,75	-0,02	-0,52
24,640	24,640	24,640	34,89	48,91	0,12	0,04	-0,04	0,43	-0,75	-0,62	24,640	56,70	-0,03	-0,75
24,660	24,660	24,660	35,14	48,98	0,13	0,03	-0,06	0,43	-0,75	-0,97	24,660	56,62	-0,05	-0,77
24,680	24,680	24,680	35,42	49,02	0,14	0,01	-0,08	0,43	-0,76	-0,87	24,680	56,50	-0,06	-0,53
24,700	24,700	24,700	35,71	49,02	0,15	0,00	-0,09	0,44	-0,65	-2,27	24,700	56,36	-0,07	-0,64
24,720	24,720	24,720	36,02	49,01	0,16	-0,02	-0,17	0,33	-0,65	-2,38	24,720	56,21	-0,09	-0,77
24,740	24,740	24,740	36,34	48,96	0,16	-0,03	-0,19	0,21	-0,64	0,96	24,740	56,00	-0,10	-0,54
24,760	24,760	24,760	36,67	48,89	0,17	-0,04	-0,13	0,32	-0,75	-0,30	24,760	55,80	-0,11	-0,54
24,780	24,780	24,780	37,01	48,79	0,18	-0,06	-0,20	0,44	-0,76	-2,35	24,780	55,56	-0,12	-0,54
24,800	24,800	24,800	37,37	48,65	0,18	-0,07	-0,23	0,33	-0,65	0,51	24,800	55,30	-0,13	-0,53
24,820	24,820	24,820	37,75	48,50	0,19	-0,09	-0,18	0,11	-0,65	0,96	24,820	55,03	-0,15	-0,65
24,840	24,840	24,840	38,13	48,31	0,19	-0,10	-0,19	0,10	-0,54	-0,53	24,840	54,72	-0,16	-0,55
24,860	24,860	24,860	38,51	48,11	0,19	-0,11	-0,20	0,33	-0,53	-0,65	24,860	54,40	-0,17	-0,43
24,880	24,880	24,880	38,90	47,89	0,20	-0,12	-0,21	0,23	-0,65	-0,55	24,880	54,05	-0,18	-0,43
24,900	24,900	24,900	39,31	47,63	0,20	-0,13	-0,22	-0,01	-0,65	-0,43	24,900	53,69	-0,18	-0,42
24,920	24,920	24,920	39,71	47,36	0,20	-0,15	-0,23	0,21	-0,55	-0,44	24,920	53,32	-0,19	-0,55
24,940	24,940	24,940	40,12	47,05	0,21	-0,15	-0,24	0,23	-0,42	-0,32	24,940	52,92	-0,21	-0,45
24,960	24,960	24,960	40,55	46,74	0,21	-0,16	-0,24	-0,11	-0,55	-0,32	24,960	52,49	-0,21	-0,20
24,980	24,980	24,980	40,96	46,40	0,21	-0,18	-0,25	-0,01	-0,44	-0,34	24,980	52,08	-0,21	-0,43
25,000	25,000	25,000	41,37	46,03	0,21	-0,18	-0,26	0,12	-0,32	-0,11	25,000	51,63	-0,23	-0,45
25,020	25,020	25,020	41,81	45,68	0,21	-0,19	-0,26	-0,11	-0,44	-0,10	25,020	51,17	-0,23	-0,21
25,040	25,040	25,040	42,22	45,28	0,21	-0,20	-0,26	-0,11	-0,33	-0,22	25,040	50,71	-0,24	-0,33
25,060	25,060	25,060	42,63	44,88	0,21	-0,20	-0,27	0,01	-0,22	-0,22	25,060	50,23	-0,25	-0,22
25,080	25,080	25,080	43,04	44,47	0,21	-0,21	-0,27	-0,11	-0,21	-0,11	25,080	49,73	-0,24	-0,09
25,100	25,100	25,100	43,46	44,06	0,20	-0,21	-0,27	-0,11	-0,33	-7,06E-13	25,100	49,25	-0,25	-0,33
25,120	25,120	25,120	43,85	43,63	0,20	-0,22	-0,27	-0,10	-0,23	-0,01	25,120	48,73	-0,26	-0,23
25,140	25,140	25,140	44,27	43,18	0,20	-0,22	-0,27	-0,22	0,01	0,11	25,140	48,21	-0,26	-6,43E-13
25,160	25,160	25,160	44,64	42,75	0,19	-0,22	-0,27	-0,10	-0,11	0,11	25,160	47,70	-0,26	0,01
25,180	25,180	25,180	45,04	42,31	0,19	-0,22	-0,27	-0,20	-0,11	0,10	25,180	47,18	-0,26	-0,11
25,200	25,200	25,200	45,42	41,86	0,19	-0,22	-0,26	-0,44	5,32E-13	0,22	25,200	46,67	-0,26	-0,12
25,220	25,220	25,220	45,78	41,41	0,18	-0,22	-0,26	-0,33	-0,01	0,22	25,220	46,13	-0,26	0,11
25,240	25,240	25,240	46,12	40,96	0,17	-0,22	-0,25	-0,21	0,10	0,22	25,240	45,61	-0,26	0,11
25,260	25,260	25,260	46,47	40,51	0,17	-0,22	-0,25	-0,32	0,22	0,21	25,260	45,10	-0,26	-0,01
25,280	25,280	25,280	46,80	40,08	0,16	-0,22	-0,25	-0,32	0,11	0,32	25,280	44,58	-0,26	0,10
25,300	25,300	25,300	47,11	39,65	0,16	-0,22	-0,24	-0,31	-0,01	0,43	25,300	44,06	-0,25	0,22
25,320	25,320	25,320	47,42	39,22	0,15	-0,22	-0,23	-0,43	0,20	0,43	25,320	43,56	-0,25	0,22
25,340	25,340	25,340	47,69	38,79	0,14	-0,21	-0,22	-0,43	0,44	0,43	25,340	43,06	-0,25	0,22
25,360	25,360	25,360	47,97	38,40	0,13	-0,20	-0,21	-0,44	0,32	0,43	25,360	42,58	-0,24	0,10
25,380	25,380	25,380	48,21	38,00	0,12	-0,19	-0,20	-0,31	0,31	0,43	25,380	42,10	-0,24	0,20
25,400	25,400	25,400	48,45	37,62	0,12	-0,19	-0,19	-0,41	0,54	0,43	25,400	41,62	-0,23	0,54
25,420	25,420	25,420	48,68	37,26	0,10	-0,17	-0,19	-0,66	0,55	0,53	25,420	41,17	-0,22	0,44
25,440	25,440	25,440	48,87	36,93	0,09	-0,16	-0,17	-0,44	0,32	0,65	25,440	40,74	-0,22	0,21
25,460	25,460	25,460	49,04	36,60	0,09	-0,16	-0,16	-0,30	0,42	0,54	25,460	40,31	-0,21	0,32
25,480	25,480	25,480	49,22	36,29	0,08	-0,15	-0,15	-0,64	0,54	0,53	25,480	39,89	-0,20	0,42
25,500	25,500	25,500	49,36	36,01	0,06	-0,14	-0,14	-0,67	0,53	0,66	25,500	39,50	-0,19	0,54
25,520	25,520	25,520	49,46	35,74	0,05	-0,13	-0,12	-0,31	0,65	0,42	25,520	39,12	-0,18	0,54
25,540	25,540	25,540	49,56	35,51	0,05	-0,11	-0,12	-0,41	0,54	0,63	25,540	38,77	-0,17	0,42
25,560	25,560	25,560	49,65	35,29	0,04	-0,10	-0,10	-0,65	0,53	0,99	25,560	38,42	-0,16	0,54
25,580	25,580	25,580	49,71	35,10	0,02	-0,09	-0,08	-0,54	0,75	0,54	25,580	38,11	-0,15	0,54
25,600	25,600	25,600	49,74	34,92	0,01	-0,07	-0,08	-0,53	0,76	0,53	25,600	37,82	-0,14	0,42
25,620	25,620	25,620	49,76	34,80	9,33E-4	-0,06	-0,06	-0,65	0,53	0,77	25,620	37,54	-0,13	0,53
25,640	25,640	25,640	49,74	34,68	-0,01	-0,05	-0,05	-0,55	0,64	0,32	25,640	37,28	-0,12	0,75
25,660	25,660	25,660	49,71	34,59	-0,02	-0,04	-0,05	-0,42	0,76	0,40	25,660	37,06	-0,10	0,76
25,680	25,680	25,680	49,66	34,54	-0,03	-0,02	-0,03	-0,53	0,65	1,09	25,680	36,87	-0,09	0,54
25,700	25,700	25,700	49,60	34,50	-0,04	-0,01	0,00	-0,66	0,65	0,77	25,700	36,70	-0,08	0,53
25,720	25,720	25,720	49,49	34,50	-0,06	0,00	-4,16E-4	-0,44	0,64	0,30	25,720	36,54	-0,07	0,65
25,740	25,740	25,740	49,37	34,52	-0,06	0,02	0,01	-0,31	0,75	0,85	25,740	36,42	-0,06	0,65
25,760	25,760	25,760	49,25	34,57	-0,07	0,03	0,03	-0,53	0,76	0,99	25,760	36,31	-0,04	0,65
25,780	25,780	25,780	49,10	34,65	-0,08	0,05	0,05	-0,65	0,64	0,43	25,780	36,24	-0,03	0,64
25,800	25,800	25,800	48,93	34,75	-0,09	0,06	0,05	-0,55	0,65	0,42	25,800	36,19	-0,02	0,75
25,820	25,820	25,820	48,73	34,89	-0,10	0,07	0,06	-0,32	0,53	0,54	25,820	36,17	-6,79E-4	0,76
25,840	25,840	25,840	48,52	35,04	-0,11	0,08	0,07	-0,42	0,64	0,42	25,840	36,19	0,01	0,64
25,860	25,860	25,860	48,30	35,21	-0,12	0,10	0,08	-0,55	0,76	0,54	25,860	36,22	0,03	0,65
25,880	25,880	25,880	48,04	35,44	-0,13	0,11	0,09	-0,32	0,54	0,54	25,880	36,29	0,04	0,53
25,900	25,900	25,900	47,78	35,66	-0,13	0,12	0,10	-0,42	0,54	0,43	25,900	36,37	0,05	0,64
25,920	25,920	25,920	47,51	35,92	-0,15	0,13	0,11	-0,56	0,54	0,43	25,920	36,47	0,06	0,76
25,940	25,940	25,940	47,20	36,19	-0,15	0,14	0,12	-0,22	0,43	0,43	25,940	36,63	0,08	0,53
25,960	25,960	25,960	46,89	36,48	-0,15	0,15	0,13	-0,09	0,42	0,43	25,960	36,78	0,09	0,64
25,980	25,980	25,980	46,58	36,79	-0,16	0,16	0,14	-0,32	0,54	0,44	25,980	36,97	0,10	0,76
26,000	26,000	26,000	46,26	37,12	-0,17	0,17	0,15	-0,44	0,55	0,33	26,000	37,19	0,12	0,54
26,020	26,020	26,020	45,91	37,48	-0,18	0,18	0,15	-0,33	0,32	0,21	26,020	37,43	0,12	0,53
26,040	26,040	26,040	45,55	37,84	-0,18	0,18	0,15	-0,21	0,32	0,32	26,040	37,69	0,14	0,65
26,060	26,060	26,060	45,19	38,21	-0,18	0,19	0,16	-0,32	0,33	0,33	26,060	37,98	0,15	0,54
26,080	26,080	26,080	44,81	38,61	-0,19	0,20	0,17	-0,34	0,21	0,22	26,080	38,29	0,16	0,42
26,100	26,100	26,100	44,42	39,00	-0,20	0,20	0,17	-0,11	0,32	0,11	26,100	38,61	0,17	0,54
26,120	26,120	26,120	44,02	39,41	-0,20	0,21	0,17	0,01	0,33	0,10	26,120	38,95	0,18	0,55
26,140	26,140	26,140	43,63	39,84	-0,20	0,21	0,18	-0,11	0,12	0,21	26,140	39,33	0,19	0,32
26,160	26,160	26,160	43,23	40,27	-0,20	0,22	0,18	-0,11	-0,11	0,22	26,160	39,71	0,19	0,42
26,180	26,180	26,180	42,82	40,71	-0,20	0,21	0,18	0,01	-0,01	0,12	26,180	40,10	0,21	0,55
26,200	26,200	26,200	42,42	41,12	-0,20	0,21	0,19	-0,11	0,23	-0,11	26,200	40,53	0,21	0,32
26,220	26,220	26,220	42,01	41,56	-0,21	0,22	0,18	-0,12	0,01	-0,01	26,220	40,96	0,22	0,32
26,240	26,240	26,240	41,60	41,99	-0,21	0,21	0,18	0,10	-0,11	0,12	26,240	41,41	0,23	0,44
26,260	26,260	26,260	41,18	42,42	-0,20	0,22	0,19	0,23	-0,11	-0,10	26,260	41,87	0,24	0,34
26,280	26,280	26,280	40,79	42,85	-0,20	0,21	0,18	0,01	-0,11	-0,21	26,280	42,35	0,24	0,10
26,300	26,300	26,300	40,39	43,27	-0,20	0,21	0,18	-0,12	-0,09	-0,22	26,300	42,83	0,24	0,21
26,320	26,320	26,320	39,98	43,70	-0,20	0,21	0,17	0,11	-0,33	-0,11	26,320	43,31	0,25	0,34
26,340	26,340	26,340	39,58	44,09	-0,20	0,20	0,17	0,11	-0,21	0,01	26,340	43,83	0,25	0,11
26,360	26,360	26,360	39,19	44,49	-0,20	0,20	0,17	0,10	-0,20	-0,09	26,360	44,33	0,25	0,11
26,380	26,380	26,380	38,79	44,89	-0,19	0,19	0,17	0,21	-0,44	-0,32	26,380	44,84	0,26	0,11
26,400	26,400	26,400	38,41	45,25	-0,19	0,18	0,16	0,32	-0,32	-0,34	26,400	45,36	0,26	0,11
26,420	26,420	26,420	38,03	45,61	-0,18	0,18	0,15	0,33	-0,31	-0,10	26,420	45,87	0,26	0,12
26,440	26,440	26,440	37,69	45,95	-0,18	0,17	0,16	0,21	-0,42	-0,20	26,440	46,41	0,26	-0,11
26,460	26,460	26,460	37,32	46,28	-0,17	0,16	0,15	0,32	-0,54	-0,44	26,460	46,92	0,26	-0,11
26,480	26,480	26,480	37,00	46,59	-0,16	0,15	0,14	0,33	-0,54	-0,22	26,480	47,44	0,26	0,01
26,500	26,500	26,500	36,67	46,87	-0,16	0,14	0,14	0,21	-0,42	-0,09	26,500	47,95	0,26	-0,10
26,520	26,520	26,520	36,36	47,15	-0,16	0,13	0,13	0,32	-0,53	-0,42	26,520	48,47	0,25	-0,21
26,540	26,540	26,540	36,05	47,39	-0,15	0,12	0,12	0,44	-0,64	-0,55	26,540	48,97	0,25	-0,21
26,560	26,560	26,560	35,77	47,61	-0,14	0,10	0,11	0,32	-0,65	-0,32	26,560	49,47	0,25	-0,22
26,580	26,580	26,580	35,50	47,80	-0,13	0,09	0,11	0,31	-0,54	-0,32	26,580	49,95	0,24	-0,10
26,600	26,600	26,600	35,24	47,98	-0,13	0,08	0,10	0,54	-0,53	-0,32	26,600	50,43	0,24	-0,20
26,620	26,620	26,620	35,00	48,13	-0,11	0,07	0,10	0,54	-0,64	-0,32	26,620	50,91	0,23	-0,45
26,640	26,640	26,640	34,79	48,26	-0,10	0,06	0,09	0,43	-0,64	-0,44	26,640	51,36	0,22	-0,21
26,660	26,660	26,660	34,58	48,36	-0,10	0,04	0,08	0,43	-0,64	-0,32	26,660	51,81	0,22	-0,19
26,680	26,680	26,680	34,41	48,43	-0,09	0,03	0,07	0,43	-0,64	-0,32	26,680	52,26	0,22	-0,54
26,700	26,700	26,700	34,23	48,49	-0,08	0,02	0,07	0,43	-0,75	-0,43	26,700	52,67	0,20	-0,44
26,720	26,720	26,720	34,10	48,51	-0,07	9,09E-4	0,06	0,42	-0,77	-0,44	26,720	53,07	0,20	-0,31
26,740	26,740	26,740	33,96	48,49	-0,06	-0,01	0,05	0,54	-0,53	-0,32	26,740	53,46	0,19	-0,43
26,760	26,760	26,760	33,85	48,46	-0,05	-0,02	0,04	0,54	-0,64	-0,32	26,760	53,82	0,18	-0,42
26,780	26,780	26,780	33,77	48,41	-0,04	-0,04	0,03	0,53	-0,76	-0,43	26,780	54,19	0,17	-0,53
26,800	26,800	26,800	33,70	48,30	-0,03	-0,05	0,03	0,66	-0,65	-0,43	26,800	54,52	0,16	-0,65
26,820	26,820	26,820	33,66	48,21	-0,01	-0,06	0,02	0,43	-0,65	-0,44	26,820	54,83	0,15	-0,55
26,840	26,840	26,840	33,64	48,05	-0,01	-0,08	0,01	0,42	-0,54	-0,21	26,840	55,10	0,14	-0,42
26,860	26,860	26,860	33,62	47,90	0,00	-0,09	0,01	0,66	-0,53	-0,20	26,860	55,38	0,13	-0,53
26,880	26,880	26,880	33,66	47,71	0,02	-0,10	5,81E-4	0,43	-0,65	-0,44	26,880	55,62	0,12	-0,64
26,900	26,900	26,900	33,69	47,51	0,02	-0,11	-0,01	0,42	-0,65	-0,32	26,900	55,85	0,10	-0,65
26,920	26,920	26,920	33,74	47,27	0,03	-0,12	-0,01	0,66	-0,55	-0,32	26,920	56,04	0,09	-0,54
26,940	26,940	26,940	33,83	47,01	0,05	-0,13	-0,02	0,44	-0,42	-0,34	26,940	56,21	0,08	-0,52
26,960	26,960	26,960	33,93	46,74	0,05	-0,14	-0,03	0,31	-0,54	-0,09	26,960	56,37	0,07	-0,75
26,980	26,980	26,980	34,03	46,44	0,06	-0,15	-0,02	0,64	-0,55	-0,31	26,980	56,49	0,05	-0,76
27,000	27,000	27,000	34,17	46,12	0,08	-0,16	-0,04	0,66	-0,32	-0,57	27,000	56,58	0,04	-0,64
27,020	27,020	27,020	34,34	45,79	0,09	-0,17	-0,05	0,32	-0,32	-0,11	27,020	56,65	0,03	-0,65
27,040	27,040	27,040	34,51	45,45	0,09	-0,18	-0,04	0,42	-0,43	0,02	27,040	56,69	0,01	-0,54
27,060	27,060	27,060	34,70	45,09	0,10	-0,18	-0,05	0,55	-0,44	-0,32	27,060	56,71	0,01	-0,52
27,080	27,080	27,080	34,92	44,71	0,11	-0,19	-0,06	0,32	-0,34	-0,22	27,080	56,71	-0,01	-0,75
27,100	27,100	27,100	35,14	44,32	0,12	-0,20	-0,06	0,42	-0,11	-1,94	27,100	56,68	-0,02	-0,76
27,120	27,120	27,120	35,38	43,92	0,13	-0,20	-0,13	0,55	-0,09	-0,33	27,120	56,61	-0,04	-0,65
27,140	27,140	27,140	35,66	43,52	0,14	-0,20	-0,07	0,33	-0,33	3,44	27,140	56,53	-0,05	-0,65
27,160	27,160	27,160	35,93	43,11	0,14	-0,21	0,00	0,21	-0,23	0,01	27,160	56,41	-0,06	-0,53
27,180	27,180	27,180	36,23	42,68	0,15	-0,21	-0,07	0,32	0,00	-1,94	27,180	56,27	-0,07	-0,64
27,200	27,200	27,200	36,52	42,27	0,15	-0,21	-0,07	0,44	-3,47E-14	-0,11	27,200	56,12	-0,09	-0,77
27,220	27,220	27,220	36,84	41,84	0,16	-0,21	-0,07	0,33	0,01	0,01	27,220	55,92	-0,10	-0,54
27,240	27,240	27,240	37,17	41,43	0,17	-0,21	-0,07	0,21	-0,11	-0,11	27,240	55,71	-0,11	-0,54
27,260	27,260	27,260	37,51	41,00	0,17	-0,22	-0,08	0,32	-0,01	-0,11	27,260	55,47	-0,12	-0,54
27,280	27,280	27,280	37,85	40,56	0,18	-0,21	-0,08	0,33	0,22	2,76E-13	27,280	55,22	-0,13	-0,53
27,300	27,300	27,300	38,23	40,15	0,18	-0,21	-0,08	0,10	0,22	0,01	27,300	54,94	-0,15	-0,65
27,320	27,320	27,320	38,59	39,74	0,18	-0,20	-0,08	0,21	0,22	-0,11	27,320	54,64	-0,16	-0,55
27,340	27,340	27,340	38,97	39,34	0,19	-0,20	-0,08	0,23	0,10	-0,12	27,340	54,31	-0,17	-0,42
27,360	27,360	27,360	39,37	38,95	0,19	-0,20	-0,08	-0,01	0,20	0,10	27,360	53,97	-0,18	-0,54
27,380	27,380	27,380	39,74	38,55	0,19	-0,19	-0,08	0,10	0,44	0,23	27,380	53,61	-0,19	-0,56
27,400	27,400	27,400	40,14	38,19	0,20	-0,18	-0,07	0,22	0,32	0,01	27,400	53,21	-0,20	-0,32
27,420	27,420	27,420	40,53	37,82	0,20	-0,18	-0,08	0,12	0,32	-0,12	27,420	52,82	-0,20	-0,32
27,440	27,440	27,440	40,95	37,48	0,20	-0,17	-0,08	-0,11	0,43	0,11	27,440	52,41	-0,21	-0,32
27,460	27,460	27,460	41,34	37,15	0,20	-0,16	-0,07	-0,12	0,43	0,11	27,460	51,98	-0,21	-0,31
27,480	27,480	27,480	41,74	36,84	0,20	-0,15	-0,07	0,11	0,43	0,11	27,480	51,55	-0,22	-0,44
27,500	27,500	27,500	42,13	36,55	0,20	-0,14	-0,07	0,13	0,42	0,11	27,500	51,08	-0,23	-0,33
27,520	27,520	27,520	42,55	36,27	0,20	-0,13	-0,07	-0,21	0,53	6,94E-14	27,520	50,62	-0,24	-0,22
27,540	27,540	27,540	42,94	36,01	0,19	-0,12	-0,07	-0,23	0,65	-0,01	27,540	50,14	-0,24	-0,22
27,560	27,560	27,560	43,32	35,79	0,19	-0,11	-0,07	0,01	0,54	0,22	27,560	49,66	-0,24	-0,22
27,580	27,580	27,580	43,72	35,58	0,19	-0,10	-0,06	-0,10	0,53	0,23	27,580	49,16	-0,25	-0,22
27,600	27,600	27,600	44,09	35,39	0,19	-0,09	-0,06	-0,21	0,76	0,01	27,600	48,66	-0,25	-0,12
27,620	27,620	27,620	44,47	35,23	0,19	-0,07	-0,06	-0,21	0,66	-0,23	27,620	48,14	-0,25	0,01
27,640	27,640	27,640	44,83	35,11	0,18	-0,06	-0,07	-0,21	0,42	0,07	27,640	47,65	-0,25	-0,22
27,660	27,660	27,660	45,20	34,99	0,18	-0,05	-0,06	-0,21	0,64	0,82	27,660	47,13	-0,26	-0,24
27,680	27,680	27,680	45,54	34,90	0,17	-0,04	-0,04	-0,21	0,76	-0,33	27,680	46,60	-0,26	0,11
27,700	27,700	27,700	45,89	34,85	0,17	-0,02	-0,07	-0,32	0,64	-0,29	27,700	46,08	-0,26	0,11
27,720	27,720	27,720	46,21	34,81	0,16	-0,01	-0,05	-0,33	0,76	1,14	27,720	45,56	-0,26	-0,01
27,740	27,740	27,740	46,52	34,81	0,16	0,01	-0,02	-0,21	0,65	0,03	27,740	45,05	-0,26	0,10
27,760	27,760	27,760	46,83	34,85	0,15	0,02	-0,05	-0,31	0,53	-0,48	27,760	44,53	-0,25	0,22
27,780	27,780	27,780	47,13	34,88	0,14	0,03	-0,04	-0,43	0,76	0,33	27,780	44,03	-0,25	0,12
27,800	27,800	27,800	47,40	34,96	0,13	0,05	-0,03	-0,43	0,65	0,23	27,800	43,53	-0,25	-0,13
27,820	27,820	27,820	47,66	35,06	0,13	0,06	-0,03	-0,43	0,53	0,01	27,820	43,03	-0,25	0,18
27,840	27,840	27,840	47,90	35,18	0,12	0,07	-0,03	-0,43	0,64	-0,11	27,840	42,51	-0,24	0,77
27,860	27,860	27,860	48,13	35,34	0,11	0,08	-0,04	-0,43	0,64	-0,02	27,860	42,06	-0,22	0,45
27,880	27,880	27,880	48,34	35,51	0,10	0,09	-0,03	-0,44	0,65	0,33	27,880	41,62	-0,22	0,10
27,900	27,900	27,900	48,53	35,71	0,09	0,11	-0,03	-0,31	0,54	0,23	27,900	41,17	-0,22	0,22
27,920	27,920	27,920	48,70	35,94	0,09	0,12	-0,03	-0,41	0,53	-0,11	27,920	40,74	-0,22	0,20
27,940	27,940	27,940	48,87	36,17	0,07	0,13	-0,03	-0,66	0,66	-0,12	27,940	40,31	-0,21	0,42
