Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Beleuchtungsstärke (lux)	Relative Intensität
0							0,1	8,39E-04
0,05	-0,005			-1,13E-04			0,1	8,39E-04
0,1	-0,005	0		-1,13E-04	0		0,1	8,24E-04
0,15	-0,005	0	-0,157	-1,13E-04	0	-0,004	0,1	8,39E-04
0,2	-0,005	-0,016	-0,314	-1,13E-04	-3,75E-04	-0,008	0,1	8,39E-04
0,25	-0,006	-0,031	-0,314	-1,50E-04	-7,50E-04	-0,007	0,1	8,39E-04
0,3	-0,008	-0,047	0,157	-1,88E-04	-0,001	0,004	0,1	8,39E-04
0,35	-0,011	-0,016	1,414	-2,63E-04	-3,75E-04	0,034	0,1	8,39E-04
0,4	-0,009	0,094	0,942	-2,25E-04	0,002	0,022	0,1	8,24E-04
0,45	-0,002	0,079	-0,628	-3,75E-05	0,002	-0,015	0,1	8,39E-04
0,5	-0,002	0,031	-1,11E-15	-3,75E-05	7,50E-04	-2,17E-17	0,1	8,24E-04
0,55	0,002	0,079	-0,471	3,75E-05	0,002	-0,011	0,1	8,24E-04
0,6	0,006	-0,016	-2,513	1,50E-04	-3,75E-04	-0,06	0,1	8,24E-04
0,65	8,67E-19	-0,173	-1,1	0	-0,004	-0,026	0,1	8,39E-04
0,7	-0,011	-0,126	0,785	-2,63E-04	-0,003	0,019	0,1	8,39E-04
0,75	-0,013	-0,094	0,471	-3,00E-04	-0,002	0,011	0,1	8,54E-04
0,8	-0,02	-0,079	0,471	-4,88E-04	-0,002	0,011	0,1	8,54E-04
0,85	-0,02	-0,047	-0,471	-4,88E-04	-0,001	-0,011	0,1	8,54E-04
0,9	-0,025	-0,126	-1,414	-6,00E-04	-0,003	-0,034	0,1	8,39E-04
0,95	-0,033	-0,188	-0,471	-7,88E-04	-0,005	-0,011	0,1	8,09E-04
1	-0,044	-0,173	0,157	-0,0011	-0,004	0,004	0,1	8,09E-04
1,05	-0,05	-0,173	0,314	-0,0012	-0,004	0,008	0,1	8,09E-04
1,1	-0,061	-0,141	1,1	-0,0015	-0,003	0,026	0,1	8,09E-04
1,15	-0,064	-0,063	0,785	-0,0015	-0,001	0,019	0,1	8,09E-04
1,2	-0,068	-0,063	-0,157	-0,0016	-0,001	-0,004	0,1	8,24E-04
1,25	-0,071	-0,079	-0,942	-0,0017	-0,002	-0,023	0,1	8,39E-04
1,3	-0,075	-0,157	-0,785	-0,0018	-0,004	-0,019	0,1	8,39E-04
1,35	-0,086	-0,157	0,628	-0,0021	-0,004	0,015	0,1	8,24E-04
1,4	-0,091	-0,094	0,314	-0,0022	-0,002	0,007	0,1	8,24E-04
1,45	-0,096	-0,126	-0,314	-0,0023	-0,003	-0,008	0,1	8,24E-04
1,5	-0,104	-0,126	0,471	-0,0025	-0,003	0,011	0,1	8,09E-04
1,55	-0,108	-0,079	0,785	-0,0026	-0,002	0,019	0,1	8,09E-04
1,6	-0,112	-0,047	-0,314	-0,0027	-0,001	-0,007	0,1	8,09E-04
1,65	-0,113	-0,11	-1,257	-0,0027	-0,003	-0,03	0,1	8,09E-04
