Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Beleuchtungsstärke (lux)	Relative Intensität
0							0,1	8,24E-04
0,05	-0,008			-1,88E-04			0,1	8,24E-04
0,1	0,005	0,126		1,13E-04	0,003		0,1	8,24E-04
0,15	0,005	-0,031	-1,885	1,13E-04	-7,50E-04	-0,045	0,1	8,24E-04
0,2	0,002	-0,063	-0,471	3,75E-05	-0,002	-0,011	0,1	8,24E-04
0,25	-0,002	-0,079	0,314	-3,75E-05	-0,002	0,008	0,1	8,24E-04
0,3	-0,006	-0,031	1,1	-1,50E-04	-7,50E-04	0,026	0,1	8,09E-04
0,35	-0,005	0,031	0,628	-1,13E-04	7,50E-04	0,015	0,1	8,09E-04
0,4	-0,003	0,031	0,157	-7,50E-05	7,50E-04	0,004	0,1	8,24E-04
0,45	-0,002	0,047	0,628	-3,75E-05	0,001	0,015	0,1	8,24E-04
0,5	0,002	0,094	0,785	3,75E-05	0,002	0,019	0,1	8,39E-04
0,55	0,008	0,126	-0,157	1,88E-04	0,003	-0,004	0,1	8,39E-04
0,6	0,014	0,079	-0,942	3,38E-04	0,002	-0,022	0,1	8,54E-04
0,65	0,016	0,031	-0,471	3,75E-04	7,50E-04	-0,011	0,1	8,70E-04
0,7	0,017	0,031	0,157	4,13E-04	7,50E-04	0,004	0,1	8,70E-04
0,75	0,019	0,047	0,314	4,50E-04	0,001	0,007	0,1	8,70E-04
0,8	0,022	0,063	0,628	5,25E-04	0,001	0,015	0,1	8,70E-04
0,85	0,025	0,11	0,628	6,00E-04	0,003	0,015	0,1	8,70E-04
0,9	0,033	0,126	0,785	7,88E-04	0,003	0,019	0,1	8,70E-04
0,95	0,038	0,188	0,471	9,00E-04	0,004	0,011	0,1	8,70E-04
1	0,052	0,173	-1,728	0,0012	0,004	-0,041	0,1	8,70E-04
1,05	0,055	0,016	-1,571	0,0013	3,75E-04	-0,037	0,1	8,70E-04
1,1	0,053	0,016	0,471	0,0013	3,75E-04	0,011	0,1	8,70E-04
1,15	0,057	0,063	0,628	0,0013	0,001	0,015	0,1	8,70E-04
1,2	0,06	0,079	0,314	0,0014	0,002	0,008	0,1	8,54E-04
1,25	0,064	0,094	0,314	0,0015	0,002	0,007	0,1	8,54E-04
1,3	0,069	0,11	1,414	0,0016	0,003	0,034	0,1	8,70E-04
1,35	0,075	0,236	0,785	0,0018	0,006	0,019	0,1	9,61E-04
1,4	0,093	0,188	-2,042	0,0022	0,004	-0,049	0,1	9,46E-04
1,45	0,094	0,031	-2,042	0,0022	7,50E-04	-0,049	0,1	9,46E-04
1,5	0,096	-0,016	-0,471	0,0023	-3,75E-04	-0,011	0,1	9,46E-04
1,55	0,093	-0,016	1,728	0,0022	-3,75E-04	0,041	0,1	9,46E-04
1,6	0,094	0,157	2,356	0,0023	0,004	0,056	0,1	9,46E-04
1,65	0,108	0,22	0,314	0,0026	0,005	0,008	0,1	9,31E-04
1,7	0,116	0,188	3,61E-15	0,0028	0,005	1,13E-16	0,1	8,70E-04
1,75	0,127	0,22	-1,1	0,003	0,005	-0,026	0,1	8,70E-04
1,8	0,138	0,079	-2,67	0,0033	0,002	-0,064	0,1	8,70E-04
1,85	0,135	-0,047	-0,785	0,0032	-0,001	-0,019	0,1	8,70E-04
