Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Beleuchtungsstärke (lux)	Relative Intensität
0							0,3	0
0,05	0			0			0,3	0
0,1	0	0		0	0		0,3	0
0,15	0	0,016	0,157	0	3,75E-04	0,004	0,3	0
0,2	0,002	0,016	-3,47E-17	3,75E-05	3,75E-04	-1,08E-18	0,3	0
0,25	0,002	0,016	0,157	3,75E-05	3,75E-04	0,004	0,3	0
0,3	0,003	0,031	6,94E-17	7,50E-05	7,50E-04	2,71E-18	0,3	0
0,35	0,005	0,016	-0,314	1,13E-04	3,75E-04	-0,008	0,3	0
0,4	0,005	0	-0,471	1,13E-04	0	-0,011	0,3	0
0,45	0,005	-0,031	-0,471	1,13E-04	-7,50E-04	-0,011	0,3	0
0,5	0,002	-0,047	-0,157	3,75E-05	-0,001	-0,004	0,3	0
0,55	-2,17E-19	-0,047	-3,47E-16	6,78E-21	-0,001	-2,17E-18	0,3	0
0,6	-0,003	-0,047	0,785	-7,50E-05	-0,001	0,019	0,3	0
0,65	-0,005	0,031	1,257	-1,13E-04	7,50E-04	0,03	0,3	0
0,7	-8,67E-19	0,079	-0,314	1,36E-20	0,002	-0,008	0,3	0
0,75	0,003	0	-1,257	7,50E-05	0	-0,03	0,3	0
0,8	-8,67E-19	-0,047	-0,314	1,36E-20	-0,001	-0,007	0,3	0
0,85	-0,002	-0,031	0,314	-3,75E-05	-7,50E-04	0,007	0,3	0
0,9	-0,003	-0,016	0,314	-7,50E-05	-3,75E-04	0,008	0,3	0
0,95	-0,003	0	0,157	-7,50E-05	0	0,004	0,3	0
1	-0,003	0	0,157	-7,50E-05	0	0,004	0,3	0
1,05	-0,003	0,016	0,314	-7,50E-05	3,75E-04	0,007	0,3	0
1,1	-0,002	0,031	0,157	-3,75E-05	7,50E-04	0,004	0,3	0
1,15	-8,67E-19	0,031	-0,157	1,36E-20	7,50E-04	-0,004	0,3	0
1,2	0,002	0,016	-0,157	3,75E-05	3,75E-04	-0,004	0,3	0
1,25	0,002	0,016	0,471	3,75E-05	3,75E-04	0,011	0,3	0
1,3	0,003	0,063	0,628	7,50E-05	0,001	0,015	0,3	0
1,35	0,008	0,079	0,157	1,88E-04	0,002	0,004	0,3	0
1,4	0,011	0,079	-0,314	2,63E-04	0,002	-0,007	0,3	0
1,45	0,016	0,047	-0,314	3,75E-04	0,001	-0,007	0,3	0
1,5	0,016	0,047	0,785	3,75E-04	0,001	0,019	0,3	0
1,55	0,02	0,126	0,785	4,88E-04	0,003	0,019	0,3	0
1,6	0,028	0,126	-0,785	6,75E-04	0,003	-0,019	0,3	0
1,65	0,033	0,047	-0,942	7,88E-04	0,001	-0,022	0,3	0
1,7	0,033	0,031	0,314	7,88E-04	7,50E-04	0,008	0,3	0
1,75	0,036	0,079	0,785	8,63E-04	0,002	0,019	0,3	0
1,8	0,041	0,11	0,471	9,75E-04	0,003	0,011	0,3	0
1,85	0,047	0,126	-0,471	0,0011	0,003	-0,011	0,3	0
1,9	0,053	0,063	-1,257	0,0013	0,001	-0,03	0,3	0
1,95	0,053	0	2,78E-15	0,0013	0	6,72E-17	0,3	0
2	0,053	0,063	0,942	0,0013	0,002	0,023	0,3	0
2,05	0,06	0,094	0,314	0,0014	0,002	0,007	0,3	0
2,1	0,063	0,094	0,628	0,0015	0,002	0,015	0,3	0
2,15	0,069	0,157	0,942	0,0016	0,004	0,022	0,3	0
2,2	0,079	0,188	0,314	0,0019	0,004	0,008	0,3	0
2,25	0,088	0,188	-0,942	0,0021	0,005	-0,023	0,3	0
2,3	0,097	0,094	-1,728	0,0023	0,002	-0,041	0,3	0
2,35	0,097	0,016	-0,157	0,0023	3,75E-04	-0,004	0,3	0
2,4	0,099	0,079	0,942	0,0024	0,002	0,023	0,3	0
2,45	0,105	0,11	0,628	0,0025	0,003	0,015	0,3	0
2,5	0,11	0,141	0,785	0,0026	0,003	0,019	0,3	0
2,55	0,119	0,188	-1,25E-14	0,0029	0,004	-2,99E-16	0,3	0
2,6	0,129	0,141	-1,257	0,0031	0,003	-0,03	0,3	0
2,65	0,134	0,063	-1,1	0,0032	0,002	-0,026	0,3	0
2,7	0,135	0,031	0,471	0,0032	7,50E-04	0,011	0,3	0
2,75	0,137	0,11	0,785	0,0033	0,003	0,019	0,3	0
2,8	0,146	0,11	-0,314	0,0035	0,003	-0,007	0,3	0
2,85	0,148	0,079	0,785	0,0035	0,002	0,019	0,3	0
2,9	0,154	0,188	0,942	0,0037	0,004	0,023	0,3	0
2,95	0,167	0,173	-0,942	0,004	0,004	-0,023	0,3	0
3	0,171	0,094	-1,257	0,0041	0,002	-0,03	0,3	0
3,05	0,176	0,047	-0,628	0,0042	0,001	-0,015	0,3	0
3,1	0,176	0,031	0,471	0,0042	7,50E-04	0,011	0,3	0
3,15	0,179	0,094	0,942	0,0043	0,002	0,023	0,3	0
3,2	0,185	0,126	0,785	0,0044	0,003	0,019	0,3	0
3,25	0,192	0,173	0,471	0,0046	0,004	0,011	0,3	0
3,3	0,203	0,173	-0,314	0,0048	0,004	-0,007	0,3	0
3,35	0,209	0,141	-0,785	0,005	0,003	-0,019	0,3	0
3,4	0,217	0,094	-1,1	0,0052	0,002	-0,026	0,3	0
3,45	0,218	0,031	4,16E-15	0,0052	7,50E-04	9,98E-17	0,3	0
3,5	0,22	0,094	1,257	0,0053	0,002	0,03	0,3	0
3,55	0,228	0,157	0,471	0,0054	0,004	0,011	0,3	0
3,6	0,236	0,141	0,157	0,0056	0,003	0,004	0,3	0
3,65	0,242	0,173	0,157	0,0058	0,004	0,004	0,3	0
