Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Beleuchtungsstärke (lux)	Relative Intensität
2,900	-0,193	-0,126	-0,314	-0,0046	-0,003	-0,007	0,1	6,10E-4
2,950	-0,201	-0,157	-0,314	-0,0048	-0,004	-0,008	0,1	6,10E-4
3,000	-0,209	-0,157	-0,157	-0,0050	-0,004	-0,004	0,1	6,26E-4
3,050	-0,217	-0,173	-6,939E-15	-0,0052	-0,004	-1,691E-16	0,1	6,41E-4
3,100	-0,226	-0,157	0,942	-0,0054	-0,004	0,022	0,1	6,56E-4
3,150	-0,232	-0,079	0,942	-0,0056	-0,002	0,023	0,1	6,56E-4
3,200	-0,234	-0,063	-0,471	-0,0056	-0,001	-0,011	0,1	6,56E-4
3,250	-0,239	-0,126	-1,100	-0,0057	-0,003	-0,026	0,1	6,56E-4
3,300	-0,247	-0,173	-0,628	-0,0059	-0,004	-0,015	0,1	6,71E-4
3,350	-0,256	-0,188	0,471	-0,0061	-0,005	0,011	0,1	6,71E-4
3,400	-0,265	-0,126	0,942	-0,0063	-0,003	0,022	0,1	6,71E-4
3,450	-0,269	-0,094	0,314	-0,0064	-0,002	0,008	0,1	6,71E-4
3,500	-0,275	-0,094	0,157	-0,0066	-0,002	0,004	0,1	6,56E-4
3,550	-0,278	-0,079	-0,157	-0,0066	-0,002	-0,004	0,1	6,56E-4
3,600	-0,283	-0,110	-1,414	-0,0068	-0,003	-0,034	0,1	6,41E-4
3,650	-0,289	-0,220	-0,785	-0,0069	-0,005	-0,019	0,1	6,26E-4
3,700	-0,305	-0,188	1,257	-0,0073	-0,005	0,030	0,1	6,41E-4
3,750	-0,308	-0,094	1,100	-0,0074	-0,002	0,026	0,1	6,26E-4
3,800	-0,314	-0,079	0,471	-0,0075	-0,002	0,011	0,1	6,41E-4
3,850	-0,316	-0,047	-0,314	-0,0075	-0,001	-0,007	0,1	6,41E-4
3,900	-0,319	-0,110	-1,257	-0,0076	-0,003	-0,030	0,1	6,41E-4
3,950	-0,327	-0,173	-0,628	-0,0078	-0,004	-0,015	0,1	6,56E-4
4,000	-0,336	-0,173	0,471	-0,0080	-0,004	0,011	0,1	6,41E-4
4,050	-0,344	-0,126	0,471	-0,0082	-0,003	0,011	0,1	6,41E-4
4,100	-0,349	-0,126	-1,110E-14	-0,0083	-0,003	-2,689E-16	0,1	6,41E-4
4,150	-0,357	-0,126	0,471	-0,0085	-0,003	0,011	0,1	6,26E-4
4,200	-0,361	-0,079	0,157	-0,0086	-0,002	0,004	0,1	6,26E-4
4,250	-0,364	-0,110	-0,942	-0,0087	-0,003	-0,023	0,1	6,10E-4
4,300	-0,372	-0,173	-0,628	-0,0089	-0,004	-0,015	0,1	5,95E-4
4,350	-0,382	-0,173	0,314	-0,0091	-0,004	0,008	0,1	5,95E-4
4,400	-0,390	-0,141	0,471	-0,0093	-0,003	0,011	0,1	6,10E-4
4,450	-0,396	-0,126	0,471	-0,0095	-0,003	0,011	0,1	6,10E-4
4,500	-0,402	-0,094	0,157	-0,0096	-0,002	0,004	0,1	6,26E-4
4,550	-0,405	-0,110	-0,785	-0,0097	-0,003	-0,019	0,1	6,56E-4
4,600	-0,413	-0,173	-0,471	-0,0099	-0,004	-0,011	0,1	6,71E-4
4,650	-0,423	-0,157	0,471	-0,0101	-0,004	0,011	0,1	6,71E-4
4,700	-0,429	-0,126	0,314	-0,0102	-0,003	0,007	0,1	6,56E-4
4,750	-0,435	-0,126	0,157	-0,0104	-0,003	0,004	0,1	6,56E-4
4,800	-0,441	-0,110	0,314	-0,0105	-0,003	0,008	0,1	6,41E-4
4,850	-0,446	-0,094	-0,157	-0,0107	-0,002	-0,004	0,1	6,41E-4
4,900	-0,451	-0,126	-0,785	-0,0108	-0,003	-0,019	0,1	6,41E-4
4,950	-0,459	-0,173	-0,314	-0,0110	-0,004	-0,008	0,1	6,41E-4
5,000	-0,468	-0,157	0,471	-0,0112	-0,004	0,011	0,1	6,56E-4
5,050	-0,474	-0,126	0,314	-0,0113	-0,003	0,008	0,1	6,41E-4
5,100	-0,481	-0,126	0,157	-0,0115	-0,003	0,004	0,1	6,41E-4
5,150	-0,487	-0,110	-1,110E-14	-0,0116	-0,003	-9,541E-17	0,1	6,41E-4
5,200	-0,492	-0,126	-0,785	-0,0117	-0,003	-0,019	0,1	6,41E-4
5,250	-0,500	-0,188	-0,314	-0,0119	-0,004	-0,007	0,1	6,41E-4
5,300	-0,511	-0,157	0,628	-0,0122	-0,004	0,015	0,1	6,71E-4
5,350	-0,515	-0,126	0,157	-0,0123	-0,003	0,004	0,1	6,87E-4
5,400	-0,523	-0,141	0,000	-0,0125	-0,003	-1,735E-16	0,1	7,02E-4
5,450	-0,529	-0,126	0,157	-0,0126	-0,003	0,004	0,1	7,02E-4
5,500	-0,536	-0,126	-0,471	-0,0128	-0,003	-0,011	0,1	7,02E-4
5,550	-0,542	-0,173	-0,471	-0,0129	-0,004	-0,011	0,1	7,02E-4
5,600	-0,553	-0,173	0,314	-0,0132	-0,004	0,007	0,1	7,02E-4
5,650	-0,559	-0,141	0,314	-0,0134	-0,003	0,007	0,1	7,02E-4
5,700	-0,567	-0,141	0,314	-0,0135	-0,003	0,008	0,1	7,17E-4
5,750	-0,573	-0,110	-0,157	-0,0137	-0,003	-0,004	0,1	7,17E-4
5,800	-0,578	-0,157	-0,628	-0,0138	-0,004	-0,015	0,1	7,17E-4
5,850	-0,589	-0,173	-1,388E-14	-0,0141	-0,004	-3,339E-16	0,1	7,17E-4
5,900	-0,595	-0,157	0,000	-0,0142	-0,004	1,735E-16	0,1	7,02E-4
5,950	-0,605	-0,173	0,314	-0,0144	-0,004	0,008	0,1	6,87E-4
6,000	-0,613	-0,126	0,471	-0,0146	-0,003	0,011	0,1	6,87E-4
6,050	-0,617	-0,126	-0,471	-0,0147	-0,003	-0,011	0,1	6,87E-4
6,100	-0,625	-0,173	-0,157	-0,0149	-0,004	-0,004	0,1	6,56E-4
6,150	-0,635	-0,141	0,628	-0,0152	-0,003	0,015	0,1	6,71E-4
6,200	-0,639	-0,110	-0,157	-0,0153	-0,003	-0,004	0,1	6,71E-4
6,250	-0,646	-0,157	-0,785	-0,0154	-0,004	-0,019	0,1	6,71E-4
6,300	-0,655	-0,188	-0,157	-0,0156	-0,004	-0,004	0,1	6,87E-4
6,350	-0,664	-0,173	0,628	-0,0159	-0,004	0,015	0,1	7,32E-4
6,400	-0,672	-0,126	0,314	-0,0161	-0,003	0,007	0,1	7,48E-4
6,450	-0,677	-0,141	-0,628	-0,0162	-0,003	-0,015	0,1	7,78E-4
6,500	-0,686	-0,188	-0,157	-0,0164	-0,004	-0,004	0,1	7,63E-4
6,550	-0,696	-0,157	0,471	-0,0166	-0,004	0,011	0,1	7,63E-4
6,600	-0,702	-0,141	-0,157	-0,0168	-0,003	-0,004	0,1	7,48E-4
6,650	-0,710	-0,173	-0,157	-0,0170	-0,004	-0,004	0,1	7,32E-4
6,700	-0,719	-0,157	0,157	-0,0172	-0,004	0,004	0,1	7,48E-4
6,750	-0,726	-0,157	0,157	-0,0173	-0,004	0,004	0,1	7,48E-4
6,800	-0,735	-0,141	0,314	-0,0176	-0,003	0,008	0,1	7,48E-4
6,850	-0,740	-0,126	-0,471	-0,0177	-0,003	-0,011	0,1	7,48E-4
6,900	-0,748	-0,188	-0,314	-0,0179	-0,005	-0,008	0,1	7,17E-4
6,950	-0,759	-0,157	1,100	-0,0181	-0,004	0,026	0,1	7,02E-4
7,000	-0,763	-0,079	0,314	-0,0182	-0,002	0,008	0,1	7,02E-4
7,050	-0,767	-0,126	-0,471	-0,0183	-0,003	-0,011	0,1	7,17E-4
7,100	-0,776	-0,126	-1,110E-14	-0,0185	-0,003	-2,689E-16	0,1	7,32E-4
7,150	-0,779	-0,126	-0,942	-0,0186	-0,003	-0,023	0,1	7,48E-4
7,200	-0,789	-0,220	-0,628	-0,0188	-0,005	-0,015	0,1	7,63E-4
7,250	-0,801	-0,188	0,785	-0,0191	-0,005	0,019	0,1	7,32E-4
7,300	-0,807	-0,141	0,785	-0,0193	-0,003	0,019	0,1	7,17E-4
7,350	-0,815	-0,110	0,157	-0,0195	-0,003	0,004	0,1	7,02E-4
7,400	-0,818	-0,126	-0,628	-0,0195	-0,003	-0,015	0,1	7,02E-4
7,450	-0,828	-0,173	-0,471	-0,0198	-0,004	-0,011	0,1	7,63E-4
7,500	-0,836	-0,173	0,314	-0,0200	-0,004	0,008	0,1	7,93E-4
7,550	-0,845	-0,141	0,314	-0,0202	-0,003	0,007	0,1	8,09E-4
7,600	-0,850	-0,141	-0,314	-0,0203	-0,003	-0,008	0,1	8,24E-4
7,650	-0,859	-0,173	-0,157	-0,0205	-0,004	-0,004	0,1	8,24E-4
7,700	-0,867	-0,157	-0,157	-0,0207	-0,004	-0,004	0,1	8,24E-4
7,750	-0,875	-0,188	0,314	-0,0209	-0,005	0,008	0,1	8,39E-4
7,800	-0,886	-0,126	0,942	-0,0212	-0,003	0,023	0,1	8,54E-4
7,850	-0,888	-0,094	-0,314	-0,0212	-0,002	-0,008	0,1	8,54E-4
7,900	-0,895	-0,157	-0,471	-0,0214	-0,004	-0,011	0,1	8,70E-4
7,950	-0,903	-0,141	0,314	-0,0216	-0,003	0,008	0,1	8,54E-4
8,000	-0,909	-0,126	-0,628	-0,0217	-0,003	-0,015	0,1	8,24E-4
8,050	-0,916	-0,204	-0,471	-0,0219	-0,005	-0,011	0,1	8,24E-4
8,100	-0,930	-0,173	0,785	-0,0222	-0,004	0,019	0,1	8,39E-4
8,150	-0,933	-0,126	0,157	-0,0223	-0,003	0,004	0,1	8,85E-4
8,200	-0,942	-0,157	-0,314	-0,0225	-0,004	-0,008	0,1	8,85E-4
8,250	-0,949	-0,157	-0,157	-0,0227	-0,004	-0,004	0,1	9,00E-4
8,300	-0,958	-0,173	0,314	-0,0229	-0,004	0,007	0,1	8,85E-4
8,350	-0,966	-0,126	0,628	-0,0231	-0,003	0,015	0,1	8,54E-4
8,400	-0,971	-0,110	-0,314	-0,0232	-0,003	-0,007	0,1	8,39E-4
8,450	-0,977	-0,157	-0,471	-0,0233	-0,004	-0,011	0,1	8,39E-4
8,500	-0,986	-0,157	0,157	-0,0236	-0,004	0,004	0,1	8,54E-4
8,550	-0,993	-0,141	-1,110E-14	-0,0237	-0,003	0,000	0,1	8,85E-4
8,600	-1,001	-0,157	3,914E-14	-0,0239	-0,004	1,201E-15	0,1	9,00E-4
8,650	-1,008	-0,141	0,314	-0,0241	-0,003	0,008	0,1	9,16E-4
8,700	-1,015	-0,126	0,157	-0,0242	-0,003	0,004	0,1	9,31E-4
8,750	-1,021	-0,126	-0,157	-0,0244	-0,003	-0,004	0,1	9,46E-4
8,800	-1,027	-0,141	-0,157	-0,0245	-0,003	-0,004	0,1	9,77E-4
8,850	-1,035	-0,141	0,314	-0,0247	-0,003	0,007	0,1	9,77E-4
8,900	-1,041	-0,110	0,314	-0,0249	-0,003	0,008	0,1	0,00
8,950	-1,046	-0,110	-0,157	-0,0250	-0,003	-0,004	0,1	0,00
9,000	-1,052	-0,126	-0,157	-0,0251	-0,003	-0,004	0,1	9,92E-4
9,050	-1,059	-0,126	-0,157	-0,0253	-0,003	-0,004	0,1	9,77E-4
9,100	-1,065	-0,141	-0,157	-0,0254	-0,003	-0,004	0,1	9,00E-4
9,150	-1,073	-0,141	0,157	-0,0256	-0,003	0,004	0,1	8,85E-4
9,200	-1,079	-0,126	0,157	-0,0258	-0,003	0,004	0,1	8,70E-4
9,250	-1,085	-0,126	0,000	-0,0259	-0,003	0,000	0,1	8,85E-4
9,300	-1,092	-0,126	0,000	-0,0261	-0,003	0,000	0,1	9,00E-4
9,350	-1,098	-0,126	0,157	-0,0262	-0,003	0,004	0,1	8,85E-4
9,400	-1,104	-0,110	-0,157	-0,0264	-0,003	-0,004	0,1	8,70E-4
9,450	-1,109	-0,141	-0,785	-0,0265	-0,003	-0,019	0,1	8,39E-4
9,500	-1,118	-0,188	-0,314	-0,0267	-0,005	-0,007	0,1	8,39E-4
9,550	-1,128	-0,173	0,471	-0,0269	-0,004	0,011	0,1	8,54E-4
9,600	-1,136	-0,141	0,314	-0,0271	-0,003	0,007	0,1	8,70E-4
9,650	-1,142	-0,141	0,000	-0,0273	-0,003	0,000	0,1	9,16E-4
9,700	-1,150	-0,141	-0,157	-0,0275	-0,003	-0,004	0,1	9,46E-4
9,750	-1,156	-0,157	-0,471	-0,0276	-0,004	-0,011	0,1	9,46E-4
9,800	-1,166	-0,188	0,314	-0,0278	-0,004	0,008	0,1	9,46E-4
9,850	-1,175	-0,126	0,628	-0,0281	-0,003	0,015	0,1	9,31E-4
9,900	-1,178	-0,126	-0,314	-0,0281	-0,003	-0,008	0,1	9,46E-4
9,950	-1,188	-0,157	0,000	-0,0284	-0,004	-3,469E-16	0,1	9,61E-4
10,000	-1,194	-0,126	0,314	-0,0285	-0,003	0,008	0,1	0,00
10,050	-1,200	-0,126	-0,314	-0,0287	-0,003	-0,007	0,1	0,00
10,100	-1,206	-0,157	-0,314	-0,0288	-0,004	-0,008	0,1	0,00
10,150	-1,216	-0,157	-5,579E-14	-0,0290	-0,004	-1,331E-15	0,1	0,00
10,200	-1,222	-0,157	0,314	-0,0292	-0,004	0,008	0,1	9,31E-4
10,250	-1,232	-0,126	0,471	-0,0294	-0,003	0,011	0,1	9,16E-4
10,300	-1,235	-0,110	-0,314	-0,0295	-0,003	-0,008	0,1	9,31E-4
10,350	-1,243	-0,157	-0,471	-0,0297	-0,004	-0,011	0,1	9,92E-4
10,400	-1,250	-0,157	-0,157	-0,0299	-0,004	-0,004	0,1	0,00
10,450	-1,258	-0,173	2,220E-14	-0,0300	-0,004	0,000	0,1	0,00
