Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit2 (s)	Winkel2 (rad)	Winkelgeschwindigkeit2 (rad/s)	Winkelbeschleunigung2 (rad/s²)	Position2 (m)	Geschwindigkeit2 (m/s)	Beschleunigung2 (m/s²)	Beleuchtungsstärke2 (lux)	Relative Intensität2	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Beleuchtungsstärke (lux)	Relative Intensität
1,400	-0,022	-0,141	-0,785	-5,2500E-4	-0,003	-0,019	0,1	8,70E-4	1,400	-0,002	0,047	-0,314	-3,7500E-5	0,001	-0,007	0,1	9,31E-4
1,450	-0,030	-0,141	0,314	-7,1250E-4	-0,003	0,007	0,1	8,54E-4	1,450	1,084E-18	0,016	-0,942	-3,3881E-20	3,750E-4	-0,023	0,1	9,31E-4
1,500	-0,036	-0,110	-0,157	-8,6250E-4	-0,003	-0,004	0,1	8,85E-4	1,500	1,084E-18	-0,047	-1,257	-3,3881E-20	-0,001	-0,030	0,1	9,31E-4
1,550	-0,041	-0,157	-0,471	-9,7500E-4	-0,004	-0,011	0,1	8,70E-4	1,550	-0,005	-0,110	-1,100	-1,1250E-4	-0,003	-0,026	0,1	9,31E-4
1,600	-0,052	-0,157	0,628	-0,0012	-0,004	0,015	0,1	8,70E-4	1,600	-0,011	-0,157	2,776E-16	-2,6250E-4	-0,004	4,337E-18	0,1	9,46E-4
1,650	-0,057	-0,094	1,100	-0,0013	-0,002	0,026	0,1	8,70E-4	1,650	-0,020	-0,110	2,042	-4,8750E-4	-0,003	0,049	0,1	9,61E-4
1,700	-0,061	-0,047	0,628	-0,0015	-0,001	0,015	0,1	8,70E-4	1,700	-0,022	0,047	1,414	-5,2500E-4	0,001	0,034	0,1	9,31E-4
1,750	-0,061	-0,031	-0,314	-0,0015	-7,500E-4	-0,008	0,1	8,85E-4	1,750	-0,016	0,031	-1,571	-3,7500E-4	7,500E-4	-0,038	0,1	9,61E-4
1,800	-0,064	-0,079	-1,100	-0,0015	-0,002	-0,026	0,1	8,70E-4	1,800	-0,019	-0,110	-1,728	-4,5000E-4	-0,003	-0,041	0,1	9,61E-4
1,850	-0,069	-0,141	-0,628	-0,0016	-0,003	-0,015	0,1	8,85E-4	1,850	-0,027	-0,141	-0,157	-6,3750E-4	-0,003	-0,004	0,1	9,61E-4
1,900	-0,079	-0,141	-0,157	-0,0019	-0,003	-0,004	0,1	9,16E-4	1,900	-0,033	-0,126	0,157	-7,8750E-4	-0,003	0,004	0,1	9,31E-4
1,950	-0,083	-0,157	-0,628	-0,0020	-0,004	-0,015	0,1	9,00E-4	1,950	-0,039	-0,126	0,000	-9,3750E-4	-0,003	0,000	0,1	9,31E-4
2,000	-0,094	-0,204	0,942	-0,0022	-0,005	0,023	0,1	8,85E-4	2,000	-0,046	-0,126	2,776E-15	-0,0011	-0,003	6,505E-17	0,1	9,31E-4
2,050	-0,104	-0,063	1,885	-0,0025	-0,001	0,045	0,1	9,16E-4	2,050	-0,052	-0,126	0,471	-0,0012	-0,003	0,011	0,1	9,46E-4
2,100	-0,101	-0,016	-0,471	-0,0024	-3,750E-4	-0,011	0,1	9,16E-4	2,100	-0,058	-0,079	0,471	-0,0014	-0,002	0,011	0,1	9,61E-4
2,150	-0,105	-0,110	-1,414	-0,0025	-0,003	-0,034	0,1	9,00E-4	2,150	-0,060	-0,079	3,469E-15	-0,0014	-0,002	8,457E-17	0,1	9,61E-4
2,200	-0,112	-0,157	-1,257	-0,0027	-0,004	-0,030	0,1	9,00E-4	2,200	-0,066	-0,079	0,314	-0,0016	-0,002	0,007	0,1	9,61E-4
2,250	-0,121	-0,236	-0,785	-0,0029	-0,006	-0,019	0,1	9,00E-4	2,250	-0,068	-0,047	-0,157	-0,0016	-0,001	-0,004	0,1	9,92E-4
2,300	-0,135	-0,236	1,257	-0,0032	-0,006	0,030	0,1	9,00E-4	2,300	-0,071	-0,094	-0,942	-0,0017	-0,002	-0,022	0,1	0,00
2,350	-0,145	-0,110	2,042	-0,0035	-0,003	0,049	0,1	9,00E-4	2,350	-0,077	-0,141	-0,471	-0,0018	-0,003	-0,011	0,1	9,92E-4
2,400	-0,146	-0,031	0,785	-0,0035	-7,500E-4	0,019	0,1	9,16E-4	2,400	-0,085	-0,141	-0,157	-0,0020	-0,003	-0,004	0,1	9,61E-4
2,450	-0,148	-0,031	-1,100	-0,0035	-7,500E-4	-0,026	0,1	9,16E-4	2,450	-0,091	-0,157	0,000	-0,0022	-0,004	0,000	0,1	9,46E-4
2,500	-0,149	-0,141	-2,199	-0,0036	-0,003	-0,053	0,1	9,31E-4	2,500	-0,101	-0,141	0,314	-0,0024	-0,003	0,008	0,1	9,61E-4
2,550	-0,162	-0,251	-0,942	-0,0039	-0,006	-0,022	0,1	9,00E-4	2,550	-0,105	-0,126	0,628	-0,0025	-0,003	0,015	0,1	9,61E-4
2,600	-0,174	-0,236	0,471	-0,0042	-0,006	0,011	0,1	9,16E-4	2,600	-0,113	-0,079	0,785	-0,0027	-0,002	0,019	0,1	9,77E-4
2,650	-0,185	-0,204	0,942	-0,0044	-0,005	0,022	0,1	9,31E-4	2,650	-0,113	-0,047	-0,314	-0,0027	-0,001	-0,008	0,1	9,92E-4
2,700	-0,195	-0,141	1,414	-0,0047	-0,003	0,034	0,1	9,16E-4	2,700	-0,118	-0,110	-0,785	-0,0028	-0,003	-0,019	0,1	9,92E-4
2,750	-0,199	-0,063	0,942	-0,0048	-0,001	0,023	0,1	9,31E-4	2,750	-0,124	-0,126	-0,471	-0,0030	-0,003	-0,011	0,1	9,77E-4
2,800	-0,201	-0,047	-0,942	-0,0048	-0,001	-0,022	0,1	9,16E-4	2,800	-0,130	-0,157	1,110E-14	-0,0031	-0,004	2,689E-16	0,1	0,00
2,850	-0,204	-0,157	-1,257	-0,0049	-0,004	-0,030	0,1	9,31E-4	2,850	-0,140	-0,126	0,471	-0,0033	-0,003	0,011	0,1	0,00
2,900	-0,217	-0,173	-6,939E-15	-0,0052	-0,004	-8,240E-17	0,1	9,31E-4	2,900	-0,143	-0,110	0,157	-0,0034	-0,003	0,004	0,1	0,00
2,950	-0,221	-0,157	0,471	-0,0053	-0,004	0,011	0,1	9,16E-4	2,950	-0,151	-0,110	0,628	-0,0036	-0,003	0,015	0,1	0,00
3,000	-0,232	-0,126	1,257	-0,0055	-0,003	0,030	0,1	9,31E-4	3,000	-0,154	-0,047	0,157	-0,0037	-0,001	0,004	0,1	0,00
3,050	-0,234	-0,031	0,314	-0,0056	-7,500E-4	0,008	0,1	9,16E-4	3,050	-0,156	-0,094	-1,100	-0,0037	-0,002	-0,026	0,1	0,00
3,100	-0,236	-0,094	-1,885	-0,0056	-0,002	-0,045	0,1	9,16E-4	3,100	-0,163	-0,157	-0,942	-0,0039	-0,004	-0,022	0,1	9,77E-4
3,150	-0,243	-0,220	-1,257	-0,0058	-0,005	-0,030	0,1	9,46E-4	3,150	-0,171	-0,188	0,314	-0,0041	-0,004	0,007	0,1	9,77E-4
3,200	-0,258	-0,220	0,628	-0,0062	-0,005	0,015	0,1	9,46E-4	3,200	-0,182	-0,126	0,785	-0,0044	-0,003	0,019	0,1	9,92E-4
3,250	-0,265	-0,157	1,100	-0,0063	-0,004	0,026	0,1	9,46E-4	3,250	-0,184	-0,110	0,157	-0,0044	-0,003	0,004	0,1	9,77E-4
3,300	-0,273	-0,110	0,942	-0,0065	-0,003	0,022	0,1	9,31E-4	3,300	-0,193	-0,110	0,628	-0,0046	-0,003	0,015	0,1	9,77E-4
3,350	-0,276	-0,063	-0,157	-0,0066	-0,002	-0,004	0,1	9,77E-4	3,350	-0,195	-0,047	-0,157	-0,0047	-0,001	-0,004	0,1	9,61E-4
3,400	-0,280	-0,126	-1,100	-0,0067	-0,003	-0,026	0,1	9,77E-4	3,400	-0,198	-0,126	-1,257	-0,0047	-0,003	-0,030	0,1	9,61E-4
3,450	-0,289	-0,173	-0,785	-0,0069	-0,004	-0,019	0,1	9,61E-4	3,450	-0,207	-0,173	-0,157	-0,0050	-0,004	-0,004	0,1	9,46E-4
3,500	-0,297	-0,204	-0,157	-0,0071	-0,005	-0,004	0,1	9,77E-4	3,500	-0,215	-0,141	1,100	-0,0051	-0,003	0,026	0,1	9,77E-4
3,550	-0,309	-0,188	1,100	-0,0074	-0,004	0,026	0,1	9,61E-4	3,550	-0,221	-0,063	0,157	-0,0053	-0,001	0,004	0,1	9,77E-4
3,600	-0,316	-0,094	1,257	-0,0075	-0,002	0,030	0,1	9,77E-4	3,600	-0,221	-0,126	-0,942	-0,0053	-0,003	-0,022	0,1	0,00
3,650	-0,319	-0,063	-8,327E-15	-0,0076	-0,002	-2,862E-16	0,1	9,77E-4	3,650	-0,234	-0,157	0,314	-0,0056	-0,004	0,007	0,1	0,00
3,700	-0,322	-0,094	-0,785	-0,0077	-0,002	-0,019	0,1	9,61E-4	3,700	-0,237	-0,094	0,157	-0,0057	-0,002	0,004	0,1	9,92E-4
