Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Beleuchtungsstärke (lux)	Relative Intensität
0							0,1	5,95E-04
0,05	0			0			0,1	5,95E-04
0,1	0	0		0	0		0,1	5,95E-04
0,15	0	0	0	0	0	0	0,1	6,10E-04
0,2	0	0	0	0	0	0	0,1	5,95E-04
0,25	0	0	0	0	0	0	0,1	5,95E-04
0,3	0	0	0	0	0	0	0,1	5,95E-04
0,35	0	0	-0,157	0	0	-0,004	0,1	6,10E-04
0,4	0	-0,016	0	0	-3,75E-04	0	0,1	5,95E-04
0,45	-0,002	0	0,314	-3,75E-05	0	0,008	0,1	5,95E-04
0,5	0	0,016	0,157	0	3,75E-04	0,004	0,1	5,95E-04
0,55	0	0,016	6,94E-17	0	3,75E-04	2,17E-18	0,1	5,95E-04
0,6	0,002	0,016	-0,157	3,75E-05	3,75E-04	-0,004	0,1	5,95E-04
0,65	0,002	0	-0,157	3,75E-05	0	-0,004	0,1	5,95E-04
0,7	0,002	0	0	3,75E-05	0	0	0,1	5,95E-04
0,75	0,002	0	0	3,75E-05	0	0	0,1	5,95E-04
0,8	0,002	0	0	3,75E-05	0	0	0,1	5,95E-04
0,85	0,002	0	0	3,75E-05	0	0	0,1	6,10E-04
0,9	0,002	0	0	3,75E-05	0	0	0,1	5,95E-04
0,95	0,002	0	-0,157	3,75E-05	0	-0,004	0,1	5,95E-04
1	0,002	-0,016	-0,314	3,75E-05	-3,75E-04	-0,007	0,1	5,95E-04
1,05	0	-0,031	-0,471	0	-7,50E-04	-0,011	0,1	6,10E-04
1,1	-0,002	-0,063	-0,628	-3,75E-05	-0,001	-0,015	0,1	5,95E-04
1,15	-0,006	-0,094	-1,39E-15	-1,50E-04	-0,002	-3,25E-17	0,1	6,10E-04
1,2	-0,011	-0,063	0,942	-2,63E-04	-0,002	0,023	0,1	6,10E-04
1,25	-0,013	0	0,471	-3,00E-04	0	0,011	0,1	6,10E-04
1,3	-0,011	-0,016	-0,785	-2,63E-04	-3,75E-04	-0,019	0,1	6,10E-04
1,35	-0,014	-0,079	-0,785	-3,38E-04	-0,002	-0,019	0,1	6,10E-04
1,4	-0,019	-0,094	-0,157	-4,50E-04	-0,002	-0,004	0,1	6,10E-04
1,45	-0,024	-0,094	-0,471	-5,63E-04	-0,002	-0,011	0,1	6,10E-04
1,5	-0,028	-0,141	-0,628	-6,75E-04	-0,003	-0,015	0,1	6,41E-04
1,55	-0,038	-0,157	0,157	-9,00E-04	-0,004	0,004	0,1	6,26E-04
1,6	-0,044	-0,126	0,785	-0,001	-0,003	0,019	0,1	6,41E-04
1,65	-0,05	-0,079	0,628	-0,0012	-0,002	0,015	0,1	6,41E-04
1,7	-0,052	-0,063	-0,314	-0,0012	-0,001	-0,008	0,1	6,41E-04
1,75	-0,057	-0,11	-0,314	-0,0013	-0,003	-0,008	0,1	6,41E-04
1,8	-0,063	-0,094	0,314	-0,0015	-0,002	0,008	0,1	6,41E-04
1,85	-0,066	-0,079	-0,314	-0,0016	-0,002	-0,007	0,1	6,41E-04
1,9	-0,071	-0,126	-0,785	-0,0017	-0,003	-0,019	0,1	6,26E-04
1,95	-0,079	-0,157	-0,314	-0,0019	-0,004	-0,008	0,1	6,26E-04
2	-0,086	-0,157	0,157	-0,0021	-0,004	0,004	0,1	6,26E-04
2,05	-0,094	-0,141	0,785	-0,0022	-0,003	0,019	0,1	6,26E-04
2,1	-0,101	-0,079	0,785	-0,0024	-0,002	0,019	0,1	6,41E-04
2,15	-0,102	-0,063	3,47E-15	-0,0024	-0,002	8,46E-17	0,1	6,41E-04
2,2	-0,107	-0,079	-0,628	-0,0026	-0,002	-0,015	0,1	6,26E-04
2,25	-0,11	-0,126	-1,257	-0,0026	-0,003	-0,03	0,1	6,26E-04
2,3	-0,119	-0,204	-0,471	-0,0029	-0,005	-0,011	0,1	6,10E-04
2,35	-0,13	-0,173	0,785	-0,0031	-0,004	0,019	0,1	5,95E-04
2,4	-0,137	-0,126	0,628	-0,0033	-0,003	0,015	0,1	5,95E-04
2,45	-0,143	-0,11	0,471	-0,0034	-0,003	0,011	0,1	6,10E-04
2,5	-0,148	-0,079	-0,157	-0,0035	-0,002	-0,004	0,1	6,10E-04
2,55	-0,151	-0,126	-1,257	-0,0036	-0,003	-0,03	0,1	6,26E-04
2,6	-0,16	-0,204	-0,314	-0,0038	-0,005	-0,007	0,1	6,26E-04
2,65	-0,171	-0,157	1,257	-0,0041	-0,004	0,03	0,1	6,26E-04
2,7	-0,176	-0,079	1,1	-0,0042	-0,002	0,026	0,1	6,26E-04
2,75	-0,179	-0,047	-0,157	-0,0043	-0,001	-0,004	0,1	6,26E-04
2,8	-0,181	-0,094	-0,785	-0,0043	-0,002	-0,019	0,1	6,10E-04
2,85	-0,188	-0,126	-0,314	-0,0045	-0,003	-0,007	0,1	5,95E-04
2,9	-0,193	-0,126	-0,314	-0,0046	-0,003	-0,007	0,1	6,10E-04
2,95	-0,201	-0,157	-0,314	-0,0048	-0,004	-0,008	0,1	6,10E-04
3	-0,209	-0,157	-0,157	-0,005	-0,004	-0,004	0,1	6,26E-04
3,05	-0,217	-0,173	-6,94E-15	-0,0052	-0,004	-1,69E-16	0,1	6,41E-04
3,1	-0,226	-0,157	0,942	-0,0054	-0,004	0,022	0,1	6,56E-04
3,15	-0,232	-0,079	0,942	-0,0056	-0,002	0,023	0,1	6,56E-04
3,2	-0,234	-0,063	-0,471	-0,0056	-0,001	-0,011	0,1	6,56E-04
3,25	-0,239	-0,126	-1,1	-0,0057	-0,003	-0,026	0,1	6,56E-04
3,3	-0,247	-0,173	-0,628	-0,0059	-0,004	-0,015	0,1	6,71E-04
3,35	-0,256	-0,188	0,471	-0,0061	-0,005	0,011	0,1	6,71E-04
3,4	-0,265	-0,126	0,942	-0,0063	-0,003	0,022	0,1	6,71E-04
3,45	-0,269	-0,094	0,314	-0,0064	-0,002	0,008	0,1	6,71E-04
3,5	-0,275	-0,094	0,157	-0,0066	-0,002	0,004	0,1	6,56E-04
3,55	-0,278	-0,079	-0,157	-0,0066	-0,002	-0,004	0,1	6,56E-04
3,6	-0,283	-0,11	-1,414	-0,0068	-0,003	-0,034	0,1	6,41E-04
3,65	-0,289	-0,22	-0,785	-0,0069	-0,005	-0,019	0,1	6,26E-04
3,7	-0,305	-0,188	1,257	-0,0073	-0,005	0,03	0,1	6,41E-04
3,75	-0,308	-0,094	1,1	-0,0074	-0,002	0,026	0,1	6,26E-04
3,8	-0,314	-0,079	0,471	-0,0075	-0,002	0,011	0,1	6,41E-04
3,85	-0,316	-0,047	-0,314	-0,0075	-0,001	-0,007	0,1	6,41E-04
3,9	-0,319	-0,11	-1,257	-0,0076	-0,003	-0,03	0,1	6,41E-04
3,95	-0,327	-0,173	-0,628	-0,0078	-0,004	-0,015	0,1	6,56E-04
4	-0,336	-0,173	0,471	-0,008	-0,004	0,011	0,1	6,41E-04
4,05	-0,344	-0,126	0,471	-0,0082	-0,003	0,011	0,1	6,41E-04
4,1	-0,349	-0,126	-1,11E-14	-0,0083	-0,003	-2,69E-16	0,1	6,41E-04
4,15	-0,357	-0,126	0,471	-0,0085	-0,003	0,011	0,1	6,26E-04
4,2	-0,361	-0,079	0,157	-0,0086	-0,002	0,004	0,1	6,26E-04
4,25	-0,364	-0,11	-0,942	-0,0087	-0,003	-0,023	0,1	6,10E-04
4,3	-0,372	-0,173	-0,628	-0,0089	-0,004	-0,015	0,1	5,95E-04
4,35	-0,382	-0,173	0,314	-0,0091	-0,004	0,008	0,1	5,95E-04
4,4	-0,39	-0,141	0,471	-0,0093	-0,003	0,011	0,1	6,10E-04
4,45	-0,396	-0,126	0,471	-0,0095	-0,003	0,011	0,1	6,10E-04
4,5	-0,402	-0,094	0,157	-0,0096	-0,002	0,004	0,1	6,26E-04
4,55	-0,405	-0,11	-0,785	-0,0097	-0,003	-0,019	0,1	6,56E-04
4,6	-0,413	-0,173	-0,471	-0,0099	-0,004	-0,011	0,1	6,71E-04
4,65	-0,423	-0,157	0,471	-0,0101	-0,004	0,011	0,1	6,71E-04
4,7	-0,429	-0,126	0,314	-0,0102	-0,003	0,007	0,1	6,56E-04
4,75	-0,435	-0,126	0,157	-0,0104	-0,003	0,004	0,1	6,56E-04
4,8	-0,441	-0,11	0,314	-0,0105	-0,003	0,008	0,1	6,41E-04
4,85	-0,446	-0,094	-0,157	-0,0107	-0,002	-0,004	0,1	6,41E-04
4,9	-0,451	-0,126	-0,785	-0,0108	-0,003	-0,019	0,1	6,41E-04
4,95	-0,459	-0,173	-0,314	-0,011	-0,004	-0,008	0,1	6,41E-04
5	-0,468	-0,157	0,471	-0,0112	-0,004	0,011	0,1	6,56E-04
5,05	-0,474	-0,126	0,314	-0,0113	-0,003	0,008	0,1	6,41E-04
5,1	-0,481	-0,126	0,157	-0,0115	-0,003	0,004	0,1	6,41E-04
5,15	-0,487	-0,11	-1,11E-14	-0,0116	-0,003	-9,54E-17	0,1	6,41E-04
5,2	-0,492	-0,126	-0,785	-0,0117	-0,003	-0,019	0,1	6,41E-04
5,25	-0,5	-0,188	-0,314	-0,0119	-0,004	-0,007	0,1	6,41E-04
5,3	-0,511	-0,157	0,628	-0,0122	-0,004	0,015	0,1	6,71E-04
5,35	-0,515	-0,126	0,157	-0,0123	-0,003	0,004	0,1	6,87E-04
5,4	-0,523	-0,141	0	-0,0125	-0,003	-1,74E-16	0,1	7,02E-04
5,45	-0,529	-0,126	0,157	-0,0126	-0,003	0,004	0,1	7,02E-04
5,5	-0,536	-0,126	-0,471	-0,0128	-0,003	-0,011	0,1	7,02E-04
5,55	-0,542	-0,173	-0,471	-0,0129	-0,004	-0,011	0,1	7,02E-04
5,6	-0,553	-0,173	0,314	-0,0132	-0,004	0,007	0,1	7,02E-04
5,65	-0,559	-0,141	0,314	-0,0134	-0,003	0,007	0,1	7,02E-04
5,7	-0,567	-0,141	0,314	-0,0135	-0,003	0,008	0,1	7,17E-04
5,75	-0,573	-0,11	-0,157	-0,0137	-0,003	-0,004	0,1	7,17E-04
5,8	-0,578	-0,157	-0,628	-0,0138	-0,004	-0,015	0,1	7,17E-04
5,85	-0,589	-0,173	-1,39E-14	-0,0141	-0,004	-3,34E-16	0,1	7,17E-04
5,9	-0,595	-0,157	0	-0,0142	-0,004	1,74E-16	0,1	7,02E-04
