Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Beleuchtungsstärke (lux)	Relative Intensität
0,000							0,3	0,00
0,050	0,000			0,0000			0,3	0,00
0,100	0,000	0,000		0,0000	0,000		0,3	0,00
0,150	0,000	0,000	0,157	0,0000	0,000	0,004	0,3	0,00
0,200	0,000	0,016	0,157	0,0000	3,750E-4	0,004	0,3	0,00
0,250	0,002	0,016	-0,314	3,7500E-5	3,750E-4	-0,007	0,3	0,00
0,300	0,002	-0,016	-0,314	3,7500E-5	-3,750E-4	-0,007	0,3	0,00
0,350	0,000	-0,016	0,157	0,0000	-3,750E-4	0,004	0,3	0,00
0,400	0,000	0,000	0,157	0,0000	0,000	0,004	0,3	0,00
0,450	0,000	0,000	-0,157	0,0000	0,000	-0,004	0,3	0,00
0,500	0,000	-0,016	-0,157	0,0000	-3,750E-4	-0,004	0,3	0,00
0,550	-0,002	-0,016	0,157	-3,7500E-5	-3,750E-4	0,004	0,3	0,00
0,600	-0,002	0,000	-1,735E-16	-3,7500E-5	0,000	-4,337E-18	0,3	0,00
0,650	-0,002	-0,016	0,000	-3,7500E-5	-3,750E-4	0,000	0,3	0,00
0,700	-0,003	0,000	0,314	-7,5000E-5	0,000	0,008	0,3	0,00
0,750	-0,002	0,016	0,000	-3,7500E-5	3,750E-4	0,000	0,3	0,00
0,800	-0,002	0,000	0,157	-3,7500E-5	0,000	0,004	0,3	0,00
0,850	-0,002	0,031	0,471	-3,7500E-5	7,500E-4	0,011	0,3	0,00
0,900	0,002	0,047	0,157	3,7500E-5	0,001	0,004	0,3	0,00
0,950	0,003	0,047	-0,157	7,5000E-5	0,001	-0,004	0,3	0,00
1,000	0,006	0,031	-0,157	1,5000E-4	7,500E-4	-0,004	0,3	0,00
1,050	0,006	0,031	0,157	1,5000E-4	7,500E-4	0,004	0,3	0,00
1,100	0,009	0,047	6,939E-17	2,2500E-4	0,001	-2,168E-18	0,3	0,00
1,150	0,011	0,031	-0,157	2,6250E-4	7,500E-4	-0,004	0,3	0,00
1,200	0,013	0,031	0,157	3,0000E-4	7,500E-4	0,004	0,3	0,00
1,250	0,014	0,047	0,314	3,3750E-4	0,001	0,008	0,3	0,00
1,300	0,017	0,063	0,157	4,1250E-4	0,002	0,004	0,3	0,00
