Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit2 (s)	Winkel2 (rad)	Winkelgeschwindigkeit2 (rad/s)	Winkelbeschleunigung2 (rad/s²)	Position2 (m)	Geschwindigkeit2 (m/s)	Beschleunigung2 (m/s²)	Beleuchtungsstärke2 (lux)	Relative Intensität2	Zeit22 (s)	Winkel22 (rad)	Winkelgeschwindigkeit22 (rad/s)	Winkelbeschleunigung22 (rad/s²)	Position22 (m)	Geschwindigkeit22 (m/s)	Beschleunigung22 (m/s²)	Beleuchtungsstärke22 (lux)	Relative Intensität22	Zeit3 (s)	Winkel3 (rad)	Winkelgeschwindigkeit3 (rad/s)	Winkelbeschleunigung3 (rad/s²)	Position3 (m)	Geschwindigkeit3 (m/s)	Beschleunigung3 (m/s²)	Beleuchtungsstärke3 (lux)	Relative Intensität3	Zeit23 (s)	Winkel23 (rad)	Winkelgeschwindigkeit23 (rad/s)	Winkelbeschleunigung23 (rad/s²)	Position23 (m)	Geschwindigkeit23 (m/s)	Beschleunigung23 (m/s²)	Beleuchtungsstärke23 (lux)	Relative Intensität23	Zeit222 (s)	Winkel222 (rad)	Winkelgeschwindigkeit222 (rad/s)	Winkelbeschleunigung222 (rad/s²)	Position222 (m)	Geschwindigkeit222 (m/s)	Beschleunigung222 (m/s²)	Beleuchtungsstärke222 (lux)	Relative Intensität222	Zeit32 (s)	Winkel32 (rad)	Winkelgeschwindigkeit32 (rad/s)	Winkelbeschleunigung32 (rad/s²)	Position32 (m)	Geschwindigkeit32 (m/s)	Beschleunigung32 (m/s²)	Beleuchtungsstärke32 (lux)	Relative Intensität32	Zeit4 (s)	Winkel4 (rad)	Winkelgeschwindigkeit4 (rad/s)	Winkelbeschleunigung4 (rad/s²)	Position4 (m)	Geschwindigkeit4 (m/s)	Beschleunigung4 (m/s²)	Beleuchtungsstärke4 (lux)	Relative Intensität4	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Beleuchtungsstärke (lux)	Relative Intensität
0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,39E-4	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,39E-4	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,85E-4	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,39E-4	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,39E-4	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,85E-4	0,450	-0,002	0,047	0,628	-3,7500E-5	0,001	0,015	0,1	8,24E-4	0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	6,56E-4
0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,500	0,000	0,000	-0,157	0,0000	0,000	-0,004	0,1	8,85E-4	0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,500	0,000	0,000	-0,157	0,0000	0,000	-0,004	0,1	8,85E-4	0,500	0,002	0,094	0,785	3,7500E-5	0,002	0,019	0,1	8,39E-4	0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	6,56E-4
0,550	0,000	0,000	-0,157	0,0000	0,000	-0,004	0,1	8,54E-4	0,550	0,000	0,000	-0,157	0,0000	0,000	-0,004	0,1	8,54E-4	0,550	0,000	-0,016	-0,157	0,0000	-3,750E-4	-0,004	0,1	8,85E-4	0,550	0,000	0,000	-0,157	0,0000	0,000	-0,004	0,1	8,54E-4	0,550	0,000	0,000	-0,157	0,0000	0,000	-0,004	0,1	8,54E-4	0,550	0,000	-0,016	-0,157	0,0000	-3,750E-4	-0,004	0,1	8,85E-4	0,550	0,008	0,126	-0,157	1,8750E-4	0,003	-0,004	0,1	8,39E-4	0,550	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	6,56E-4
0,600	0,000	-0,016	0,000	0,0000	-3,750E-4	0,000	0,1	8,54E-4	0,600	0,000	-0,016	0,000	0,0000	-3,750E-4	0,000	0,1	8,54E-4	0,600	-0,002	-0,016	0,157	-3,7500E-5	-3,750E-4	0,004	0,1	8,70E-4	0,600	0,000	-0,016	0,000	0,0000	-3,750E-4	0,000	0,1	8,54E-4	0,600	0,000	-0,016	0,000	0,0000	-3,750E-4	0,000	0,1	8,54E-4	0,600	-0,002	-0,016	0,157	-3,7500E-5	-3,750E-4	0,004	0,1	8,70E-4	0,600	0,014	0,079	-0,942	3,3750E-4	0,002	-0,022	0,1	8,54E-4	0,600	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	6,71E-4
0,650	-0,002	0,000	0,314	-3,7500E-5	0,000	0,008	0,1	8,39E-4	0,650	-0,002	0,000	0,314	-3,7500E-5	0,000	0,008	0,1	8,39E-4	0,650	-0,002	0,000	0,157	-3,7500E-5	0,000	0,004	0,1	8,85E-4	0,650	-0,002	0,000	0,314	-3,7500E-5	0,000	0,008	0,1	8,39E-4	0,650	-0,002	0,000	0,314	-3,7500E-5	0,000	0,008	0,1	8,39E-4	0,650	-0,002	0,000	0,157	-3,7500E-5	0,000	0,004	0,1	8,85E-4	0,650	0,016	0,031	-0,471	3,7500E-4	7,500E-4	-0,011	0,1	8,70E-4	0,650	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	6,56E-4
0,700	0,000	0,016	0,000	0,0000	3,750E-4	0,000	0,1	8,54E-4	0,700	0,000	0,016	0,000	0,0000	3,750E-4	0,000	0,1	8,54E-4	0,700	-0,002	0,000	0,000	-3,7500E-5	0,000	0,000	0,1	8,85E-4	0,700	0,000	0,016	0,000	0,0000	3,750E-4	0,000	0,1	8,54E-4	0,700	0,000	0,016	0,000	0,0000	3,750E-4	0,000	0,1	8,54E-4	0,700	-0,002	0,000	0,000	-3,7500E-5	0,000	0,000	0,1	8,85E-4	0,700	0,017	0,031	0,157	4,1250E-4	7,500E-4	0,004	0,1	8,70E-4	0,700	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	6,56E-4
0,750	0,000	0,000	-0,157	0,0000	0,000	-0,004	0,1	8,54E-4	0,750	0,000	0,000	-0,157	0,0000	0,000	-0,004	0,1	8,54E-4	0,750	-0,002	0,000	0,000	-3,7500E-5	0,000	0,000	0,1	8,85E-4	0,750	0,000	0,000	-0,157	0,0000	0,000	-0,004	0,1	8,54E-4	0,750	0,000	0,000	-0,157	0,0000	0,000	-0,004	0,1	8,54E-4	0,750	-0,002	0,000	0,000	-3,7500E-5	0,000	0,000	0,1	8,85E-4	0,750	0,019	0,047	0,314	4,5000E-4	0,001	0,007	0,1	8,70E-4	0,750	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	6,56E-4
0,800	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,70E-4	0,800	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,70E-4	0,800	-0,002	0,000	0,000	-3,7500E-5	0,000	0,000	0,1	9,00E-4	0,800	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,70E-4	0,800	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,70E-4	0,800	-0,002	0,000	0,000	-3,7500E-5	0,000	0,000	0,1	9,00E-4	0,800	0,022	0,063	0,628	5,2500E-4	0,001	0,015	0,1	8,70E-4	0,800	0,000	0,000	-0,157	0,0000	0,000	-0,004	0,1	6,56E-4
0,850	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,39E-4	0,850	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,39E-4	0,850	-0,002	0,000	0,000	-3,7500E-5	0,000	0,000	0,1	8,85E-4	0,850	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,39E-4	0,850	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,39E-4	0,850	-0,002	0,000	0,000	-3,7500E-5	0,000	0,000	0,1	8,85E-4	0,850	0,025	0,110	0,628	6,0000E-4	0,003	0,015	0,1	8,70E-4	0,850	0,000	-0,016	-0,157	0,0000	-3,750E-4	-0,004	0,1	6,56E-4
0,900	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,900	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,900	-0,002	0,000	0,000	-3,7500E-5	0,000	0,000	0,1	8,85E-4	0,900	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,900	0,000	0,000	0,000	0,0000	0,000	0,000	0,1	8,54E-4	0,900	-0,002	0,000	0,000	-3,7500E-5	0,000	0,000	0,1	8,85E-4	0,900	0,033	0,126	0,785	7,8750E-4	0,003	0,019	0,1	8,70E-4	0,900	-0,002	-0,016	0,471	-3,7500E-5	-3,750E-4	0,011	0,1	6,56E-4
0,950	0,000	0,000	0,314	0,0000	0,000	0,008	0,1	8,39E-4	0,950	0,000	0,000	0,314	0,0000	0,000	0,008	0,1	8,39E-4	0,950	-0,002	0,000	-0,157	-3,7500E-5	0,000	-0,004	0,1	8,85E-4	0,950	0,000	0,000	0,314	0,0000	0,000	0,008	0,1	8,39E-4	0,950	0,000	0,000	0,314	0,0000	0,000	0,008	0,1	8,39E-4	0,950	-0,002	0,000	-0,157	-3,7500E-5	0,000	-0,004	0,1	8,85E-4	0,950	0,038	0,188	0,471	9,0000E-4	0,004	0,011	0,1	8,70E-4	0,950	-0,002	0,031	0,314	-3,7500E-5	7,500E-4	0,008	0,1	6,71E-4
1,000	0,000	0,031	0,000	0,0000	7,500E-4	0,000	0,1	8,54E-4	1,000	0,000	0,031	0,000	0,0000	7,500E-4	0,000	0,1	8,54E-4	1,000	-0,002	-0,016	-0,314	-3,7500E-5	-3,750E-4	-0,007	0,1	9,00E-4	1,000	0,000	0,031	0,000	0,0000	7,500E-4	0,000	0,1	8,54E-4	1,000	0,000	0,031	0,000	0,0000	7,500E-4	0,000	0,1	8,54E-4	1,000	-0,002	-0,016	-0,314	-3,7500E-5	-3,750E-4	-0,007	0,1	9,00E-4	1,000	0,052	0,173	-1,728	0,0012	0,004	-0,041	0,1	8,70E-4	1,000	0,002	0,016	-0,628	3,7500E-5	3,750E-4	-0,015	0,1	6,71E-4
1,050	0,003	0,000	-1,257	7,5000E-5	0,000	-0,030	0,1	8,54E-4	1,050	0,003	0,000	-1,257	7,5000E-5	0,000	-0,030	0,1	8,54E-4	1,050	-0,003	-0,031	-0,314	-7,5000E-5	-7,500E-4	-0,007	0,1	9,00E-4	1,050	0,003	0,000	-1,257	7,5000E-5	0,000	-0,030	0,1	8,54E-4	1,050	0,003	0,000	-1,257	7,5000E-5	0,000	-0,030	0,1	8,54E-4	1,050	-0,003	-0,031	-0,314	-7,5000E-5	-7,500E-4	-0,007	0,1	9,00E-4	1,050	0,055	0,016	-1,571	0,0013	3,750E-4	-0,037	0,1	8,70E-4	1,050	0,000	-0,031	-0,471	0,0000	-7,500E-4	-0,011	0,1	6,71E-4
1,100	0,000	-0,094	-1,100	0,0000	-0,002	-0,026	0,1	8,54E-4	1,100	0,000	-0,094	-1,100	0,0000	-0,002	-0,026	0,1	8,54E-4	1,100	-0,005	-0,047	0,471	-1,1250E-4	-0,001	0,011	0,1	9,00E-4	1,100	0,000	-0,094	-1,100	0,0000	-0,002	-0,026	0,1	8,54E-4	1,100	0,000	-0,094	-1,100	0,0000	-0,002	-0,026	0,1	8,54E-4	1,100	-0,005	-0,047	0,471	-1,1250E-4	-0,001	0,011	0,1	9,00E-4	1,100	0,053	0,016	0,471	0,0013	3,750E-4	0,011	0,1	8,70E-4	1,100	-0,002	-0,031	0,000	-3,7500E-5	-7,500E-4	-1,084E-18	0,1	6,71E-4
1,150	-0,006	-0,110	-0,314	-1,5000E-4	-0,003	-0,007	0,1	8,39E-4	1,150	-0,006	-0,110	-0,314	-1,5000E-4	-0,003	-0,007	0,1	8,39E-4	1,150	-0,008	0,016	0,942	-1,8750E-4	3,750E-4	0,022	0,1	9,00E-4	1,150	-0,006	-0,110	-0,314	-1,5000E-4	-0,003	-0,007	0,1	8,39E-4	1,150	-0,006	-0,110	-0,314	-1,5000E-4	-0,003	-0,007	0,1	8,39E-4	1,150	-0,008	0,016	0,942	-1,8750E-4	3,750E-4	0,022	0,1	9,00E-4	1,150	0,057	0,063	0,628	0,0013	0,001	0,015	0,1	8,70E-4	1,150	-0,003	-0,031	0,471	-7,5000E-5	-7,500E-4	0,011	0,1	6,56E-4
1,200	-0,011	-0,126	0,628	-2,6250E-4	-0,003	0,015	0,1	8,54E-4	1,200	-0,011	-0,126	0,628	-2,6250E-4	-0,003	0,015	0,1	8,54E-4	1,200	-0,003	0,047	-0,471	-7,5000E-5	0,001	-0,011	0,1	9,16E-4	1,200	-0,011	-0,126	0,628	-2,6250E-4	-0,003	0,015	0,1	8,54E-4	1,200	-0,011	-0,126	0,628	-2,6250E-4	-0,003	0,015	0,1	8,54E-4	1,200	-0,003	0,047	-0,471	-7,5000E-5	0,001	-0,011	0,1	9,16E-4	1,200	0,060	0,079	0,314	0,0014	0,002	0,008	0,1	8,54E-4	1,200	-0,005	0,016	1,414	-1,1250E-4	3,750E-4	0,034	0,1	6,56E-4
1,250	-0,019	-0,047	1,571	-4,5000E-4	-0,001	0,037	0,1	8,39E-4	1,250	-0,019	-0,047	1,571	-4,5000E-4	-0,001	0,037	0,1	8,39E-4	1,250	-0,003	-0,031	-0,628	-7,5000E-5	-7,500E-4	-0,015	0,1	9,16E-4	1,250	-0,019	-0,047	1,571	-4,5000E-4	-0,001	0,037	0,1	8,39E-4	1,250	-0,019	-0,047	1,571	-4,5000E-4	-0,001	0,037	0,1	8,39E-4	1,250	-0,003	-0,031	-0,628	-7,5000E-5	-7,500E-4	-0,015	0,1	9,16E-4	1,250	0,064	0,094	0,314	0,0015	0,002	0,007	0,1	8,54E-4	1,250	-0,002	0,110	0,942	-3,7500E-5	0,003	0,023	0,1	6,71E-4
1,300	-0,016	0,031	-0,157	-3,7500E-4	7,500E-4	-0,004	0,1	8,39E-4	1,300	-0,016	0,031	-0,157	-3,7500E-4	7,500E-4	-0,004	0,1	8,39E-4	1,300	-0,006	-0,016	0,785	-1,5000E-4	-3,750E-4	0,019	0,1	9,16E-4	1,300	-0,016	0,031	-0,157	-3,7500E-4	7,500E-4	-0,004	0,1	8,39E-4	1,300	-0,016	0,031	-0,157	-3,7500E-4	7,500E-4	-0,004	0,1	8,39E-4	1,300	-0,006	-0,016	0,785	-1,5000E-4	-3,750E-4	0,019	0,1	9,16E-4	1,300	0,069	0,110	1,414	0,0016	0,003	0,034	0,1	8,70E-4	1,300	0,006	0,110	-0,628	1,5000E-4	0,003	-0,015	0,1	6,71E-4
1,350	-0,016	-0,063	-1,728	-3,7500E-4	-0,001	-0,041	0,1	8,39E-4	1,350	-0,016	-0,063	-1,728	-3,7500E-4	-0,001	-0,041	0,1	8,39E-4	1,350	-0,005	0,047	0,628	-1,1250E-4	0,001	0,015	0,1	9,31E-4	1,350	-0,016	-0,063	-1,728	-3,7500E-4	-0,001	-0,041	0,1	8,39E-4	1,350	-0,016	-0,063	-1,728	-3,7500E-4	-0,001	-0,041	0,1	8,39E-4	1,350	-0,005	0,047	0,628	-1,1250E-4	0,001	0,015	0,1	9,31E-4	1,350	0,075	0,236	0,785	0,0018	0,006	0,019	0,1	9,61E-4	1,350	0,009	0,047	-0,942	2,2500E-4	0,001	-0,022	0,1	6,56E-4
1,400	-0,022	-0,141	-0,785	-5,2500E-4	-0,003	-0,019	0,1	8,70E-4	1,400	-0,022	-0,141	-0,785	-5,2500E-4	-0,003	-0,019	0,1	8,70E-4	1,400	-0,002	0,047	-0,314	-3,7500E-5	0,001	-0,007	0,1	9,31E-4	1,400	-0,022	-0,141	-0,785	-5,2500E-4	-0,003	-0,019	0,1	8,70E-4	1,400	-0,022	-0,141	-0,785	-5,2500E-4	-0,003	-0,019	0,1	8,70E-4	1,400	-0,002	0,047	-0,314	-3,7500E-5	0,001	-0,007	0,1	9,31E-4	1,400	0,093	0,188	-2,042	0,0022	0,004	-0,049	0,1	9,46E-4	1,400	0,011	0,016	-0,314	2,6250E-4	3,750E-4	-0,007	0,1	6,71E-4
1,450	-0,030	-0,141	0,314	-7,1250E-4	-0,003	0,007	0,1	8,54E-4	1,450	-0,030	-0,141	0,314	-7,1250E-4	-0,003	0,007	0,1	8,54E-4	1,450	1,084E-18	0,016	-0,942	-3,3881E-20	3,750E-4	-0,023	0,1	9,31E-4	1,450	-0,030	-0,141	0,314	-7,1250E-4	-0,003	0,007	0,1	8,54E-4	1,450	-0,030	-0,141	0,314	-7,1250E-4	-0,003	0,007	0,1	8,54E-4	1,450	1,084E-18	0,016	-0,942	-3,3881E-20	3,750E-4	-0,023	0,1	9,31E-4	1,450	0,094	0,031	-2,042	0,0022	7,500E-4	-0,049	0,1	9,46E-4	1,450	0,011	0,016	0,157	2,6250E-4	3,750E-4	0,004	0,1	6,71E-4
1,500	-0,036	-0,110	-0,157	-8,6250E-4	-0,003	-0,004	0,1	8,85E-4	1,500	-0,036	-0,110	-0,157	-8,6250E-4	-0,003	-0,004	0,1	8,85E-4	1,500	1,084E-18	-0,047	-1,257	-3,3881E-20	-0,001	-0,030	0,1	9,31E-4	1,500	-0,036	-0,110	-0,157	-8,6250E-4	-0,003	-0,004	0,1	8,85E-4	1,500	-0,036	-0,110	-0,157	-8,6250E-4	-0,003	-0,004	0,1	8,85E-4	1,500	1,084E-18	-0,047	-1,257	-3,3881E-20	-0,001	-0,030	0,1	9,31E-4	1,500	0,096	-0,016	-0,471	0,0023	-3,750E-4	-0,011	0,1	9,46E-4	1,500	0,013	0,031	0,314	3,0000E-4	7,500E-4	0,008	0,1	6,71E-4
