X	Y
0.000000	1.000000
0.003922	0.913773
0.007843	0.908003
0.011765	0.900290
0.015686	0.901181
0.019608	0.890242
0.023529	0.877066
0.027451	0.867018
0.031373	0.861890
0.035294	0.841380
0.039216	0.831433
0.043137	0.815421
0.047059	0.801913
0.050980	0.787980
0.054902	0.771754
0.058824	0.764821
0.062745	0.751787
0.066667	0.735647
0.070588	0.727484
0.074510	0.722619
0.078431	0.717096
0.082353	0.703923
0.086275	0.692412
0.090196	0.687769
0.094118	0.674606
0.098039	0.669108
0.101961	0.661414
0.105882	0.648086
0.109804	0.647203
0.113725	0.639371
0.117647	0.639054
0.121569	0.627730
0.125490	0.613738
0.129412	0.607252
0.133333	0.601709
0.137255	0.591854
0.141176	0.584645
0.145098	0.577906
0.149020	0.572345
0.152941	0.558301
0.156863	0.552118
0.160784	0.546694
0.164706	0.537978
0.168627	0.528793
0.172549	0.518314
0.176471	0.508321
0.180392	0.499378
0.184314	0.484081
0.188235	0.477225
0.192157	0.471536
0.196078	0.458113
0.200000	0.454622
0.203922	0.441896
0.207843	0.433382
0.211765	0.417279
0.215686	0.409110
0.219608	0.401591
0.223529	0.390361
0.227451	0.379549
0.231373	0.367856
0.235294	0.357765
0.239216	0.352393
0.243137	0.336549
0.247059	0.331650
0.250980	0.322647
0.254902	0.309277
0.258824	0.292766
0.262745	0.285636
0.266667	0.271056
0.270588	0.263896
0.274510	0.256973
0.278431	0.247242
0.282353	0.237213
0.286275	0.228814
0.290196	0.219625
0.294118	0.215045
0.298039	0.198136
0.301961	0.200175
0.305882	0.187165
0.309804	0.177054
0.313726	0.177195
0.317647	0.168747
0.321569	0.166901
0.325490	0.156121
0.329412	0.147632
0.333333	0.140781
0.337255	0.134887
0.341176	0.127422
0.345098	0.119708
0.349020	0.118708
0.352941	0.111907
0.356863	0.104498
0.360784	0.097356
0.364706	0.097093
0.368627	0.090003
0.372549	0.084156
0.376471	0.076096
0.380392	0.074634
0.384314	0.069988
0.388235	0.066269
0.392157	0.061004
0.396078	0.060148
0.400000	0.057414
0.403922	0.054385
0.407843	0.049964
0.411765	0.044984
0.415686	0.044040
0.419608	0.040085
0.423529	0.036778
0.427451	0.033309
0.431373	0.031683
0.435294	0.027237
0.439216	0.027156
0.443137	0.023474
0.447059	0.021228
0.450980	0.016591
0.454902	0.016337
0.458824	0.013938
0.462745	0.011364
0.466667	0.010559
0.470588	0.010073
0.474510	0.007437
0.478431	0.003761
0.482353	0.003124
0.486275	0.001866
0.490196	0.003752
0.494118	0.004521
0.498039	0.007737
0.501961	0.007988
0.505882	0.008368
0.509804	0.010979
0.513726	0.012832
0.517647	0.014168
0.521569	0.014388
0.525490	0.015822
0.529412	0.017718
0.533333	0.020576
0.537255	0.019866
0.541176	0.020927
0.545098	0.021747
0.549020	0.023798
0.552941	0.022921
0.556863	0.026346
0.560784	0.026533
0.564706	0.028999
0.568627	0.027677
0.572549	0.030669
0.576471	0.030259
0.580392	0.032420
0.584314	0.032693
0.588235	0.034714
0.592157	0.033788
0.596078	0.036200
0.600000	0.036686
0.603922	0.037962
0.607843	0.037539
0.611765	0.037870
0.615686	0.038323
0.619608	0.039700
0.623529	0.039683
0.627451	0.040094
0.631373	0.041368
0.635294	0.043201
0.639216	0.043671
0.643137	0.043323
0.647059	0.043768
0.650980	0.045446
0.654902	0.045553
0.658824	0.045016
0.662745	0.045470
0.666667	0.046588
0.670588	0.046293
0.674510	0.047010
0.678431	0.047108
0.682353	0.048660
0.686275	0.046772
0.690196	0.047838
0.694118	0.045687
0.698039	0.046842
0.701961	0.047119
0.705882	0.045839
0.709804	0.046820
0.713726	0.046279
0.717647	0.045928
0.721569	0.045982
0.725490	0.045198
0.729412	0.045644
0.733333	0.044293
0.737255	0.044172
0.741176	0.044041
0.745098	0.043386
0.749020	0.043396
0.752941	0.043663
0.756863	0.042232
0.760784	0.041417
0.764706	0.040729
0.768627	0.040171
0.772549	0.038853
0.776471	0.038559
0.780392	0.037501
0.784314	0.036953
0.788235	0.035568
0.792157	0.034757
0.796078	0.033950
0.800000	0.033457
0.803922	0.032296
0.807843	0.031213
0.811765	0.030168
0.815686	0.029313
0.819608	0.028237
0.823529	0.027724
0.827451	0.026680
0.831373	0.026125
0.835294	0.024937
0.839216	0.024406
0.843137	0.023241
0.847059	0.022830
0.850980	0.021677
0.854902	0.021414
0.858824	0.020375
0.862745	0.020140
0.866667	0.019208
0.870588	0.018998
0.874510	0.018198
0.878431	0.018098
0.882353	0.017358
0.886275	0.017297
0.890196	0.016642
0.894118	0.016726
0.898039	0.016103
0.901961	0.016240
0.905882	0.015621
0.909804	0.015854
0.913725	0.015347
0.917647	0.015620
0.921569	0.015157
0.925490	0.015401
0.929412	0.014974
0.933333	0.015279
0.937255	0.014871
0.941176	0.015199
0.945098	0.014810
0.949020	0.015145
0.952941	0.014762
0.956863	0.015113
0.960784	0.014736
0.964706	0.015079
0.968627	0.014715
0.972549	0.015064
0.976471	0.014702
0.980392	0.015057
0.984314	0.014697
0.988235	0.015053
0.992157	0.014695
0.996078	0.015052
1.000000	0.014695
