4-b-Kopplung-in Phase- Edelstahl	4-b-Kopplung-in Phase- Edelstahl	4-b-Kopplung-in Phase- Edelstahl	4-b-Kopplung-in Phase- Edelstahl	4-b-Kopplung-gegen Phase- Edelstahl	4-b-Kopplung-gegen Phase- Edelstahl	4-b-Kopplung-gegen Phase- Edelstahl	4-b-Kopplung-gegen Phase- Edelstahl	4-b-Kopplung-Schwebung- Edelstahl	4-b-Kopplung-Schwebung- Edelstahl	4-b-Kopplung-Schwebung- Edelstahl	4-b-Kopplung-Schwebung- Edelstahl
Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
1,100	41,44	-0,03	0,22	1,100	48,62	0,14	-0,21	1,100	45,71	0,06	0,01
1,120	41,39	-0,02	0,20	1,120	48,90	0,13	-0,32	1,120	45,83	0,06	-0,21
1,140	41,35	-0,02	0,43	1,140	49,16	0,12	-0,33	1,140	45,93	0,05	-0,22
1,160	41,31	0,00	0,44	1,160	49,40	0,12	-0,21	1,160	46,04	0,05	-0,11
1,180	41,33	-2,58E-4	0,19	1,180	49,64	0,12	-0,31	1,180	46,12	0,05	-0,09
1,200	41,31	0,00	0,66	1,200	49,87	0,11	-0,43	1,200	46,23	0,04	-0,33
1,220	41,34	0,03	0,46	1,220	50,07	0,10	-0,43	1,220	46,30	0,03	-0,22
1,240	41,42	0,02	-0,04	1,240	50,26	0,09	-0,42	1,240	46,37	0,03	-0,10
1,260	41,43	0,02	0,65	1,260	50,44	0,08	-0,53	1,260	46,44	0,03	-0,21
1,280	41,51	0,05	0,58	1,280	50,59	0,07	-0,64	1,280	46,49	0,03	-0,32
1,300	41,62	0,05	-0,13	1,300	50,72	0,06	-0,65	1,300	46,54	0,02	-0,33
1,320	41,70	0,04	0,19	1,320	50,82	0,04	-0,55	1,320	46,56	0,01	-0,21
1,340	41,79	0,06	0,66	1,340	50,89	0,03	-0,31	1,340	46,59	0,01	-0,33
1,360	41,93	0,07	0,44	1,360	50,96	0,03	-0,41	1,360	46,59	0,00	-0,22
1,380	42,06	0,07	0,21	1,380	51,01	0,02	-0,65	1,380	46,59	2,91E-4	-0,09
1,400	42,22	0,08	0,21	1,400	51,03	0,00	-0,55	1,400	46,60	0,00	-0,32
1,420	42,37	0,08	0,21	1,420	51,03	0,00	-0,41	1,420	46,58	-0,01	-0,44
1,440	42,54	0,09	0,32	1,440	51,02	-0,01	-0,64	1,440	46,55	-0,02	-0,22
1,460	42,71	0,09	0,33	1,460	50,99	-0,03	-0,78	1,460	46,49	-0,02	-0,09
1,480	42,92	0,10	0,21	1,480	50,90	-0,04	-0,43	1,480	46,46	-0,03	-0,33
1,500	43,11	0,10	0,33	1,500	50,82	-0,05	-0,41	1,500	46,39	-0,03	-0,22
1,520	43,33	0,11	0,23	1,520	50,72	-0,06	-0,77	1,520	46,32	-0,03	-0,10
1,540	43,55	0,11	-0,01	1,540	50,58	-0,08	-0,56	1,540	46,26	-0,04	-0,22
1,560	43,78	0,11	0,09	1,560	50,41	-0,08	-0,20	1,560	46,17	-0,04	-0,11
1,580	44,00	0,12	0,32	1,580	50,26	-0,09	-0,42	1,580	46,08	-0,04	-0,10
1,600	44,24	0,12	0,34	1,600	50,07	-0,10	-0,55	1,600	46,00	-0,05	-0,22
1,620	44,50	0,13	0,11	1,620	49,86	-0,11	-0,43	1,620	45,90	-0,05	-0,11
1,640	44,75	0,13	-0,01	1,640	49,64	-0,12	-0,44	1,640	45,79	-0,05	-7,29E-15
1,660	45,01	0,13	0,10	1,660	49,40	-0,12	-0,32	1,660	45,69	-0,05	0,01
1,680	45,27	0,13	0,22	1,680	49,14	-0,13	-0,32	1,680	45,59	-0,05	-0,11
1,700	45,54	0,14	0,12	1,700	48,89	-0,14	-0,33	1,700	45,48	-0,06	-0,13
1,720	45,82	0,14	-0,11	1,720	48,59	-0,14	-0,22	1,720	45,36	-0,06	0,22
1,740	46,10	0,13	-0,13	1,740	48,32	-0,15	-0,22	1,740	45,26	-0,05	0,24
1,760	46,35	0,13	0,21	1,760	48,01	-0,15	-0,11	1,760	45,17	-0,05	-0,10
1,780	46,63	0,14	0,24	1,780	47,72	-0,15	-0,11	1,780	45,07	-0,05	-0,24
1,800	46,92	0,14	-0,11	1,800	47,41	-0,15	-0,12	1,800	44,97	-0,06	0,19
1,820	47,20	0,14	-0,11	1,820	47,10	-0,15	3,47E-14	1,820	44,84	-0,04	0,68
1,840	47,47	0,14	-0,11	1,840	46,79	-0,15	-3,47E-14	1,840	44,79	-0,03	0,12
1,860	47,75	0,13	-0,11	1,860	46,48	-0,15	-3,47E-14	1,860	44,73	-0,04	-0,14
1,880	48,00	0,13	0,01	1,880	46,17	-0,15	3,47E-14	1,880	44,64	-0,04	0,44
1,900	48,28	0,13	-0,10	1,900	45,86	-0,15	-0,01	1,900	44,58	-0,02	0,23
1,920	48,54	0,13	-0,22	1,920	45,55	-0,16	0,10	1,920	44,55	-0,03	-0,04
1,940	48,80	0,12	-0,11	1,940	45,24	-0,15	0,21	1,940	44,48	-0,02	0,65
1,960	49,04	0,12	-0,10	1,960	44,95	-0,15	0,32	1,960	44,46	0,00	0,57
1,980	49,30	0,12	-0,22	1,980	44,65	-0,14	0,44	1,980	44,48	0,00	-0,01
2,000	49,52	0,12	-0,11	2,000	44,39	-0,13	0,22	2,000	44,46	-5,56E-4	0,20
2,020	49,76	0,12	-0,09	2,020	44,13	-0,13	0,20	2,020	44,48	0,01	0,43
2,040	49,98	0,11	-0,32	2,040	43,87	-0,12	0,44	2,040	44,49	0,02	0,44
2,060	50,21	0,10	-0,35	2,060	43,65	-0,11	0,32	2,060	44,54	0,03	0,32
2,080	50,40	0,10	0,02	2,080	43,43	-0,11	0,42	2,080	44,60	0,03	0,43
2,100	50,60	0,10	-0,18	2,100	43,22	-0,10	0,55	2,100	44,66	0,04	0,44
2,120	50,81	0,09	-0,67	2,120	43,05	-0,09	0,32	2,120	44,77	0,05	0,19
2,140	50,97	0,08	-0,34	2,140	42,87	-0,08	0,42	2,140	44,85	0,05	0,54
2,160	51,12	0,08	-0,10	2,160	42,72	-0,07	0,65	2,160	44,97	0,07	0,56
2,180	51,28	0,07	-0,21	2,180	42,59	-0,06	0,54	2,180	45,12	0,07	0,21
2,200	51,42	0,07	-0,31	2,200	42,49	-0,05	0,53	2,200	45,26	0,08	0,32
2,220	51,56	0,06	-0,53	2,220	42,40	-0,04	0,65	2,220	45,43	0,09	0,32
2,240	51,66	0,05	0,85	2,240	42,35	-0,02	0,54	2,240	45,60	0,09	0,32
2,260	51,75	0,09	1,15	2,260	42,31	-0,01	0,42	2,260	45,79	0,10	0,44
2,280	52,04	0,09	-1,50	2,280	42,29	-0,01	0,53	2,280	46,00	0,11	0,33
2,300	52,13	0,04	-1,71	2,300	42,29	0,01	0,64	2,300	46,22	0,11	0,21
2,320	52,18	0,03	-0,32	2,320	42,33	0,02	0,65	2,320	46,44	0,12	0,21
2,340	52,23	0,02	-0,31	2,340	42,38	0,03	0,54	2,340	46,68	0,12	0,32
2,360	52,27	0,01	-0,44	2,360	42,46	0,04	0,42	2,360	46,92	0,13	0,34
2,380	52,29	0,00	-0,32	2,380	42,55	0,05	0,53	2,380	47,20	0,13	0,11
2,400	52,29	6,54E-4	-0,31	2,400	42,66	0,06	0,65	2,400	47,45	0,13	0,10
2,420	52,29	-0,01	-0,44	2,420	42,80	0,08	0,54	2,420	47,73	0,14	0,21
2,440	52,26	-0,02	-0,32	2,440	42,97	0,09	0,42	2,440	48,00	0,14	0,22
2,460	52,22	-0,02	-0,31	2,460	43,14	0,09	0,54	2,460	48,29	0,15	0,11
2,480	52,17	-0,03	-0,44	2,480	43,35	0,11	0,44	2,480	48,59	0,15	0,01
2,500	52,11	-0,04	-0,24	2,500	43,57	0,11	0,32	2,500	48,88	0,15	-0,11
2,520	52,02	-0,04	-1,48	2,520	43,79	0,12	0,44	2,520	49,17	0,14	-0,12
2,540	51,95	-0,10	-0,40	2,540	44,05	0,13	0,32	2,540	49,45	0,14	0,01
2,560	51,63	-0,06	0,92	2,560	44,31	0,13	0,32	2,560	49,74	0,14	-0,11
2,580	51,73	-0,06	-1,60	2,580	44,58	0,14	0,33	2,580	50,01	0,14	-0,11
2,600	51,39	-0,12	-0,30	2,600	44,87	0,15	0,21	2,600	50,29	0,14	-0,10
2,620	51,25	-0,07	0,95	2,620	45,16	0,15	0,22	2,620	50,57	0,13	-0,21
2,640	51,10	-0,08	-0,33	2,640	45,47	0,15	0,11	2,640	50,82	0,13	-0,21
2,660	50,92	-0,09	-0,22	2,660	45,78	0,15	0,10	2,660	51,08	0,13	-0,40
2,680	50,75	-0,09	-0,22	2,680	46,09	0,16	0,22	2,680	51,33	0,11	0,74
2,700	50,56	-0,09	-0,22	2,700	46,42	0,16	0,11	2,700	51,54	0,16	1,02
2,720	50,38	-0,10	-0,22	2,720	46,74	0,16	-6,94E-14	2,720	51,95	0,15	-1,39
2,740	50,17	-0,10	-0,21	2,740	47,07	0,16	0,01	2,740	52,15	0,10	-0,06
2,760	49,97	-0,11	-0,33	2,760	47,40	0,16	-0,10	2,760	52,34	0,15	0,97
2,780	49,74	-0,12	-0,22	2,780	47,73	0,16	-0,21	2,780	52,76	0,14	-2,17
2,800	49,50	-0,12	-0,10	2,800	48,04	0,16	-0,22	2,800	52,90	0,07	-2,05
2,820	49,28	-0,12	-0,23	2,820	48,35	0,15	-0,11	2,820	53,02	0,06	-0,42
2,840	49,02	-0,13	0,01	2,840	48,64	0,15	0,02	2,840	53,12	0,05	-0,53
2,860	48,78	-0,12	-0,09	2,860	48,95	0,15	-0,31	2,860	53,21	0,04	-0,64
2,880	48,54	-0,13	-0,35	2,880	49,24	0,14	-0,44	2,880	53,27	0,02	-0,64
