3-ohneKopplungeinzeln	3-ohneKopplungeinzeln	3-ohneKopplungeinzeln	3-ohneKopplungeinzeln
Zeit (s)	Position (cm)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
7,910	30,05	0,18	18,17
7,920	30,51	-0,04	-32,69
7,930	29,96	-0,47	-13,97
7,940	29,57	-0,32	16,32
7,950	29,31	-0,14	7,17
7,960	29,29	-0,18	-7,72
7,970	28,95	-0,30	-2,95
7,980	28,69	-0,24	2,08
7,990	28,47	-0,26	-2,62
8,000	28,18	-0,29	-2,36
8,010	27,89	-0,30	0,33
8,020	27,58	-0,29	1,76
8,030	27,32	-0,27	1,33
8,040	27,04	-0,26	1,03
8,050	26,80	-0,25	-1,36
8,060	26,55	-0,29	-0,70
8,070	26,23	-0,26	3,18
8,080	26,02	-0,22	0,96
8,090	25,78	-0,24	-0,50
8,100	25,54	-0,23	0,53
8,110	25,32	-0,23	-0,98
8,120	25,08	-0,25	0,70
8,130	24,81	-0,22	3,23
8,140	24,65	-0,19	0,12
8,150	24,44	-0,21	-1,93
8,160	24,22	-0,23	1,26
8,170	23,99	-0,19	1,81
8,180	23,84	-0,19	0,37
8,190	23,61	-0,18	1,35
8,200	23,47	-0,16	0,43
8,210	23,28	-0,17	0,37
8,220	23,13	-0,16	1,38
8,230	22,97	-0,15	0,43
8,240	22,84	-0,15	-6,98
8,250	22,68	-0,29	0,90
8,260	22,27	-0,13	15,56
8,270	22,42	0,03	-6,84
8,280	22,32	-0,27	-8,71
8,290	21,89	-0,15	14,91
8,300	22,02	0,03	3,49
8,310	21,95	-0,08	-4,66
8,320	21,86	-0,06	1,40
8,330	21,83	-0,05	-0,40
8,340	21,76	-0,07	-0,97
8,350	21,69	-0,07	0,86
8,360	21,62	-0,05	0,91
8,370	21,59	-0,05	-0,13
8,380	21,52	-0,05	2,12
8,390	21,48	-0,01	2,74
8,400	21,50	5,37E-4	4,57E-5
8,410	21,48	-0,01	-0,03
8,420	21,48	0,00	0,48
8,430	21,48	5,37E-4	-0,48
8,440	21,48	-0,01	0,30
8,450	21,46	0,01	2,61
8,460	21,50	0,04	2,23
8,470	21,55	0,05	0,89
8,480	21,60	0,06	0,46
8,490	21,67	0,06	-0,03
8,500	21,72	0,06	0,40
8,510	21,79	0,07	0,89
8,520	21,86	0,08	0,81
8,530	21,94	0,08	-5,62
8,540	22,02	-0,03	-6,40
8,550	21,87	-0,04	14,13
8,560	21,94	0,25	16,84
8,570	22,37	0,29	-13,26
8,580	22,52	-0,02	-8,73
8,590	22,33	0,12	15,48
8,600	22,76	0,29	1,80
8,610	22,92	0,15	-6,89
8,620	23,07	0,15	0,40
8,630	23,23	0,16	0,86
8,640	23,40	0,17	0,86
8,650	23,57	0,18	1,40
8,660	23,76	0,20	-7,38
8,670	23,97	0,03	-0,62
8,680	23,82	0,19	16,60
8,690	24,34	0,36	-0,44
8,700	24,55	0,18	-7,57
8,710	24,70	0,21	3,16
8,720	24,98	0,24	0,89
8,730	25,18	0,23	0,50
8,740	25,44	0,25	-0,46
8,750	25,68	0,22	-0,16
8,760	25,88	0,25	2,38
8,770	26,18	0,27	-0,90
8,780	26,42	0,23	-0,69
8,790	26,64	0,26	3,14
8,800	26,93	0,29	1,56
8,810	27,22	0,29	-2,29
8,820	27,50	0,25	-0,07
8,830	27,72	0,28	-5,18
8,840	28,07	0,14	-0,27
8,850	28,00	0,28	15,80
8,860	28,63	0,46	0,63
8,870	28,92	0,29	-7,70
8,880	29,22	0,31	-8,29
8,890	29,53	0,13	-2,65
8,900	29,47	0,25	17,00
8,910	30,04	0,47	-12,04
8,920	30,40	0,01	-27,53
8,930	30,06	-0,08	32,43
8,940	30,23	0,66	24,22
8,950	31,38	0,40	-34,23
8,960	31,03	-0,02	3,01
8,970	31,33	0,46	34,28
8,980	31,95	0,66	-25,70
8,990	32,66	-0,05	-27,61
9,000	31,85	0,11	46,65
9,010	32,87	0,88	11,93
9,020	33,61	0,35	-28,80
9,030	33,57	0,30	-4,02
9,040	34,21	0,27	1,71
9,050	34,10	0,34	13,20
9,060	34,89	0,53	-9,18
9,070	35,17	0,15	-9,89
9,080	35,20	0,33	15,24
9,090	35,83	0,46	-0,38
9,100	36,12	0,33	-6,11
9,110	36,48	0,34	-0,38
9,120	36,79	0,32	-0,90
9,130	37,12	0,32	-0,43
9,140	37,43	0,31	-0,48
9,150	37,74	0,31	1,51E-12
9,160	38,05	0,31	0,05
9,170	38,36	0,31	-0,43
9,180	38,67	0,30	-0,48
9,190	38,96	0,30	0,05
9,200	39,27	0,30	-0,38
9,210	39,56	0,29	-0,91
9,220	39,85	0,28	-0,53
9,230	40,13	0,28	0,53
9,240	40,42	0,29	-0,33
9,250	40,72	0,28	-1,44
9,260	40,97	0,27	0,00
9,270	41,25	0,28	0,10
9,280	41,52	0,27	-0,86
9,290	41,78	0,26	-0,91
9,300	42,04	0,25	-0,48
9,310	42,28	0,25	0,27
9,320	42,54	0,25	-1,24
9,330	42,79	0,22	-9,77
9,340	42,99	0,06	-8,92
9,350	42,91	0,05	10,59
9,360	43,08	0,27	0,69
9,370	43,45	0,06	-4,71
9,380	43,20	0,18	25,24
9,390	43,80	0,56	-1,79
9,400	44,33	0,14	-27,63
9,410	44,08	0,01	3,43
9,420	44,36	0,21	10,82
9,430	44,50	0,23	-20,87
9,440	44,81	-0,21	-15,88
9,450	44,09	-0,09	25,79
9,460	44,64	0,31	19,22
9,470	44,70	0,30	12,68
9,480	45,23	0,56	-16,39
9,490	45,83	-0,03	-40,20
9,500	45,16	-0,24	8,78
9,510	45,34	0,14	16,45
9,520	45,45	0,09	1,78
9,530	45,52	0,18	-6,19
9,540	45,81	-0,04	-7,13
9,550	45,44	0,04	13,71
9,560	45,88	0,24	13,15
9,570	45,92	0,30	-9,59
9,580	46,48	0,05	-18,89
9,590	46,01	-0,08	-24,60
9,600	46,32	-0,45	-14,24
9,610	45,11	-0,36	31,63
9,620	45,59	0,19	18,66
9,630	45,48	0,01	-17,90
9,640	45,61	-0,17	2,33
9,650	45,14	0,06	10,88
9,660	45,72	0,05	-15,99
9,670	45,23	-0,26	15,19
9,680	45,20	0,35	13,17
9,690	45,93	-3,16E-4	-47,51
9,700	45,20	-0,60	4,26
9,710	44,73	0,08	55,40
9,720	45,36	0,51	4,92
9,730	45,74	0,18	-36,69
9,740	45,73	-0,23	-13,74
9,750	45,29	-0,09	23,86
9,760	45,55	0,25	17,70
9,770	45,79	0,26	-7,27
9,780	46,07	0,10	-19,35
9,790	46,00	-0,12	-12,79
9,800	45,82	-0,15	-6,85
9,810	45,70	-0,26	-4,59
9,820	45,30	-0,24	6,52
9,830	45,21	-0,13	-6,87
9,840	45,04	-0,38	6,82
9,850	44,45	0,01	21,72
9,860	45,05	0,05	-7,24
9,870	44,56	-0,14	-1,09
9,880	44,77	0,03	6,98
9,890	44,63	-5,73E-5	-12,86
9,900	44,77	-0,22	-11,98
9,910	44,18	-0,24	10,94
9,920	44,29	-0,01	3,17
9,930	44,16	-0,18	-10,57
9,940	43,94	-0,22	-0,81
9,950	43,73	-0,19	-1,13
9,960	43,55	-0,24	-3,07
9,970	43,25	-0,25	1,29
9,980	43,05	-0,21	1,62
9,990	42,82	-0,22	-1,29
10,000	42,60	-0,24	-1,45
10,010	42,34	-0,25	0,10
10,020	42,10	-0,24	-0,76
10,030	41,87	-0,27	-1,00
10,040	41,57	-0,26	-8,61
10,050	41,35	-0,44	-1,53
10,060	40,69	-0,29	11,34
10,070	40,77	-0,21	-15,72
10,080	40,27	-0,60	-8,10
10,090	39,57	-0,37	22,78
10,100	39,52	-0,15	-5,36
10,110	39,27	-0,48	-14,04
10,120	38,56	-0,43	10,86
10,130	38,42	-0,26	-2,51
10,140	38,04	-0,48	-8,15
10,150	37,46	-0,43	-0,49
10,160	37,19	-0,49	4,36
10,170	36,48	-0,34	10,00
10,180	36,51	-0,29	-8,91
10,190	35,91	-0,52	-10,16
10,200	35,48	-0,49	-14,57
10,210	34,93	-0,81	4,96
10,220	33,86	-0,39	50,62
10,230	34,14	0,20	-10,84
10,240	34,27	-0,61	-54,62
10,250	32,92	-0,89	20,38
10,260	32,49	-0,20	39,10
10,270	32,52	-0,11	-29,99
10,280	32,28	-0,80	-21,01
10,290	30,92	-0,53	40,98
10,300	31,23	0,02	10,90
10,310	30,96	-0,31	-17,47
10,320	30,61	-0,33	0,01
10,330	30,29	-0,31	16,12
10,340	29,99	-0,01	16,29
10,350	30,28	0,02	-15,77
10,360	30,03	-0,32	-9,09
10,370	29,63	-0,16	20,02
10,380	29,70	0,08	1,83
10,390	29,78	-0,13	-11,85
10,400	29,44	-0,16	7,68
10,410	29,46	0,03	4,41
10,420	29,50	-0,07	-14,14
10,430	29,32	-0,26	-4,54
10,440	28,98	-0,16	4,70
10,450	28,99	-0,16	-6,13
10,460	28,66	-0,29	-5,17
10,470	28,42	-0,27	0,43
10,480	28,13	-0,28	0,50
10,490	27,87	-0,26	-0,33
10,500	27,61	-0,28	-2,00
10,510	27,30	-0,30	1,69
10,520	27,02	-0,25	2,46
10,530	26,80	-0,25	-1,89
10,540	26,53	-0,29	0,20
10,550	26,23	-0,24	3,87
10,560	26,04	-0,21	-2,18
10,570	25,81	-0,29	-1,67
10,580	25,47	-0,24	-2,88
10,590	25,32	-0,34	0,87
10,600	24,78	-0,23	14,27
10,610	24,87	-0,06	0,97
10,620	24,66	-0,21	-7,35
10,630	24,46	-0,21	-0,49
10,640	24,25	-0,22	0,40
10,650	24,02	-0,20	0,95
10,660	23,85	-0,20	-0,58
10,670	23,63	-0,21	1,60
10,680	23,44	-0,17	3,68
10,690	23,30	-0,14	0,03
10,700	23,16	-0,16	-0,58
10,710	22,97	-0,15	1,92
10,720	22,87	-0,13	-1,40
10,730	22,72	-0,18	0,20
10,740	22,52	-0,12	4,21
10,750	22,47	-0,09	-1,34
10,760	22,34	-0,15	-0,60
10,770	22,17	-0,10	2,70
10,780	22,13	-0,09	-6,59
10,790	21,98	-0,24	-5,48
10,800	21,66	-0,20	14,25
10,810	21,58	0,05	14,47
10,820	21,76	0,08	-4,62
10,830	21,75	-0,04	-6,86
10,840	21,67	-0,05	-0,03
10,850	21,64	-0,04	0,43
10,860	21,59	-0,04	0,43
10,870	21,55	-0,03	0,40
10,880	21,52	-0,04	0,81
10,890	21,48	-0,02	1,75
10,900	21,48	-5,37E-4	1,24
10,910	21,48	0,01	2,18
10,920	21,50	0,04	1,85
10,930	21,57	0,04	-0,43
10,940	21,58	0,03	-0,05
10,950	21,64	0,04	-6,53
10,960	21,67	-0,10	-6,03
10,970	21,44	-0,08	8,68
10,980	21,51	0,08	7,34
10,990	21,60	0,07	6,85
11,000	21,65	0,21	8,23
11,010	22,03	0,23	-7,39
11,020	22,12	0,07	-6,62
11,030	22,16	0,10	3,63
11,040	22,32	0,14	0,51
11,050	22,44	0,11	-1,06
11,060	22,54	0,12	2,29
11,070	22,68	0,16	0,03
11,080	22,85	0,12	-0,60
11,090	22,91	0,15	2,35
11,100	23,14	0,17	-0,98
11,110	23,24	0,13	0,63
11,120	23,40	0,18	4,59
11,130	23,60	0,22	0,06
11,140	23,83	0,18	-0,98
11,150	23,96	0,20	0,89
11,160	24,23	0,20	0,31
11,170	24,35	0,20	2,30
11,180	24,63	0,24	0,06
11,190	24,84	0,21	-1,04
11,200	25,04	0,22	1,81
11,210	25,28	0,24	0,46
11,220	25,53	0,23	-0,06
11,230	25,75	0,24	0,89
11,240	26,01	0,25	0,43
11,250	26,24	0,25	0,56
11,260	26,50	0,26	-1,42
11,270	26,77	0,22	0,13
11,280	26,94	0,26	4,60
11,290	27,29	0,31	0,70
11,300	27,57	0,28	-3,21
11,310	27,85	0,25	-0,67
11,320	28,06	0,26	2,61
11,330	28,37	0,30	2,29
11,340	28,66	0,31	0,50
11,350	28,99	0,31	-0,43
11,360	29,28	0,30	0,21
11,370	29,59	0,31	-8,33
11,380	29,91	0,13	-1,63
11,390	29,86	0,28	10,20
11,400	30,47	0,34	-15,66
11,410	30,54	-0,03	-11,17
11,420	30,41	0,11	27,48
11,430	30,77	0,52	8,47
11,440	31,45	0,28	-13,89
11,450	31,34	0,24	20,58
11,460	31,93	0,70	-1,85
11,470	32,73	0,20	-30,17
11,480	32,33	0,09	20,87
11,490	32,91	0,62	21,84
11,500	33,57	0,53	-22,64
11,510	33,97	0,17	-11,85
11,520	33,91	0,29	17,26
11,530	34,55	0,51	-6,58
11,540	34,93	0,16	-16,06
11,550	34,88	0,19	-0,62
11,560	35,32	0,15	4,90
11,570	35,17	0,29	18,61
11,580	35,90	0,52	-1,23
11,590	36,21	0,27	-2,50
11,600	36,43	0,47	3,68
11,610	37,15	0,34	-19,50
11,620	37,11	0,08	8,40
11,630	37,31	0,51	13,81
11,640	38,12	0,36	-20,19
11,650	38,03	0,10	5,53
11,660	38,33	0,47	8,73
11,670	38,96	0,28	-16,27
11,680	38,88	0,14	3,97
11,690	39,25	0,36	7,73
11,700	39,60	0,30	4,00
11,710	39,84	0,44	-0,60
11,720	40,47	0,28	-8,77
11,730	40,41	0,26	5,92
11,740	41,00	0,40	-0,68
11,750	41,21	0,25	-7,30
11,760	41,49	0,26	0,91
11,770	41,73	0,27	0,59
11,780	42,02	0,27	-0,86
11,790	42,26	0,25	-0,86
11,800	42,52	0,25	-0,64
11,810	42,77	0,24	-2,95
11,820	43,00	0,19	0,11
11,830	43,15	0,24	3,66
11,840	43,47	0,27	-0,94
11,850	43,68	0,22	-13,07
11,860	43,91	0,00	-2,19
11,870	43,69	0,18	19,43
11,880	44,26	0,39	2,85
11,890	44,47	0,23	-27,04
11,900	44,73	-0,15	-19,70
11,910	44,18	-0,16	12,44
11,920	44,41	0,10	22,34
11,930	44,38	0,29	6,98
11,940	44,98	0,24	-21,05
11,950	44,86	-0,14	-16,04
11,960	44,71	-0,08	2,76
11,970	44,70	-0,08	12,30
11,980	44,54	0,17	16,99
11,990	45,03	0,26	-12,02
12,000	45,06	-0,08	-7,14
12,010	44,88	0,12	16,91
12,020	45,30	0,26	-8,74
12,030	45,40	-0,06	-27,59
12,040	45,18	-0,29	16,91
12,050	44,83	0,28	29,23
12,060	45,74	0,30	-26,38
12,070	45,42	-0,25	4,38
12,080	45,24	0,38	8,95
12,090	46,18	-0,07	-36,00
12,100	45,11	-0,34	5,03
12,110	45,51	0,03	19,69
12,120	45,17	0,06	0,01
12,130	45,63	0,03	-14,41
12,140	45,24	-0,23	14,15
12,150	45,16	0,32	12,18
12,160	45,87	0,01	-35,99
12,170	45,19	-0,40	15,51
12,180	45,06	0,32	44,15
12,190	45,83	0,48	-11,47
12,200	46,01	0,09	-34,18
12,210	46,02	-0,21	-8,18
12,220	45,60	-0,07	9,24
12,230	45,88	-0,02	-14,92
12,240	45,56	-0,37	-15,32
12,250	45,14	-0,33	8,54
12,260	44,91	-0,20	13,59
12,270	44,75	-0,05	9,31
12,280	44,80	-0,01	-5,97
12,290	44,73	-0,17	8,50
12,300	44,45	0,16	13,41
12,310	45,04	0,09	-21,43
12,320	44,64	-0,27	-20,23
12,330	44,50	-0,31	-7,47
12,340	44,02	-0,42	12,74
12,350	43,67	-0,06	15,64
12,360	43,91	-0,11	3,01
12,370	43,45	0,00	4,20
12,380	43,91	-0,02	-6,35
12,390	43,41	-0,12	-6,61
12,400	43,67	-0,15	-14,22
12,410	43,10	-0,41	-4,90
12,420	42,86	-0,25	17,71
12,430	42,59	-0,05	3,85
12,440	42,75	-0,18	-17,99
12,450	42,24	-0,41	4,25
12,460	41,93	-0,09	10,41
12,470	42,06	-0,20	-7,39
12,480	41,52	-0,24	5,88
12,490	41,58	-0,09	-0,07
12,500	41,34	-0,24	-7,94
12,510	41,10	-0,25	-3,01
12,520	40,85	-0,30	5,72
12,530	40,50	-0,13	2,20
12,540	40,59	-0,26	-17,20
12,550	39,99	-0,48	7,90
12,560	39,64	-0,10	3,98
12,570	39,80	-0,40	-16,23
12,580	38,85	-0,42	12,52
12,590	38,95	-0,15	3,69
12,600	38,56	-0,35	0,80
12,610	38,25	-0,13	11,91
12,620	38,30	-0,11	-7,89
12,630	38,03	-0,29	-11,06
12,640	37,73	-0,33	-9,39
12,650	37,36	-0,47	2,58
12,660	36,78	-0,28	8,64
12,670	36,80	-0,30	-10,29
12,680	36,17	-0,49	-2,86
12,690	35,83	-0,36	10,43
12,700	35,46	-0,28	-3,73
12,710	35,28	-0,43	-11,40
12,720	34,59	-0,51	3,45
12,730	34,26	-0,36	17,72
12,740	33,86	-0,15	20,91
12,750	33,96	0,05	-19,12
12,760	33,97	-0,53	-37,18
12,770	32,89	-0,69	28,89
12,780	32,59	0,04	18,37
12,790	32,98	-0,32	-43,33
12,800	31,94	-0,82	2,43
12,810	31,34	-0,27	32,99
12,820	31,39	-0,16	-11,13
12,830	31,01	-0,50	-9,20
12,840	30,40	-0,35	26,05
12,850	30,32	0,02	3,10
12,860	30,45	-0,28	-10,87
12,870	29,75	-0,19	24,11
12,880	30,06	0,20	4,31
12,890	30,14	-0,11	-23,64
12,900	29,85	-0,28	-8,35
12,910	29,59	-0,27	-0,86
12,920	29,30	-0,29	-0,94
12,930	29,01	-0,29	-1,44E-12
12,940	28,71	-0,29	2,78E-13
12,950	28,42	-0,29	-0,10
12,960	28,13	-0,29	1,26
12,970	27,83	-0,27	2,00
12,980	27,59	-0,25	-1,82
12,990	27,32	-0,30	-0,77
13,000	26,99	-0,27	4,18
13,010	26,78	-0,22	0,14
13,020	26,54	-0,27	-1,99
13,030	26,25	-0,26	1,75
13,040	26,02	-0,23	1,39
13,050	25,78	-0,23	-7,54E-13
13,060	25,56	-0,23	-0,03
13,070	25,32	-0,23	0,40
13,080	25,09	-0,22	0,95
13,090	24,87	-0,21	-0,49
13,100	24,67	-0,23	0,25
13,110	24,40	-0,21	3,16
13,120	24,25	-0,17	1,01
13,130	24,06	-0,19	-1,44
13,140	23,87	-0,20	1,24
13,150	23,66	-0,16	-5,05
13,160	23,54	-0,30	-0,94
13,170	23,06	-0,18	14,60
13,180	23,18	-0,01	1,93
13,190	23,04	-0,14	-8,78
13,200	22,89	-0,18	0,60
13,210	22,67	-0,13	5,02
13,220	22,63	-0,08	0,69
13,230	22,51	-0,12	-3,61
13,240	22,39	-0,16	-1,22
13,250	22,19	-0,14	4,79
13,260	22,10	-0,06	4,59
13,270	22,07	-0,05	-7,34
13,280	22,00	-0,21	-8,14
13,290	21,66	-0,21	12,85
13,300	21,58	0,05	14,90
13,310	21,76	0,08	-4,19
13,320	21,74	-0,03	-6,40
13,330	21,69	-0,04	-0,05
13,340	21,66	-0,03	0,86
13,350	21,62	-0,03	0,86
13,360	21,60	-0,02	0,83
13,370	21,59	-0,01	1,29
13,380	21,58	0,01	1,34
13,390	21,60	0,02	0,43
13,400	21,62	0,02	0,40
13,410	21,64	0,03	0,86
13,420	21,67	0,03	0,94
13,430	21,70	0,04	-0,08
13,440	21,76	0,03	-6,18
13,450	21,77	-0,08	-4,53
13,460	21,60	-0,06	13,78
13,470	21,65	0,20	14,52
13,480	21,99	0,23	-5,53
13,490	22,12	0,09	-6,97
13,500	22,16	0,09	1,80
13,510	22,30	0,12	0,43
13,520	22,40	0,10	0,32
13,530	22,50	0,13	2,32
13,540	22,66	0,15	-0,43
13,550	22,80	0,12	-0,63
13,560	22,90	0,14	2,69
13,570	23,07	0,17	0,94
13,580	23,25	0,15	-0,46
13,590	23,38	0,16	-0,06
13,600	23,57	0,15	0,71
13,610	23,69	0,18	3,19
13,620	23,93	0,22	0,52
13,630	24,12	0,19	-0,92
13,640	24,31	0,20	-0,06
13,650	24,51	0,19	0,77
13,660	24,68	0,21	2,27
13,670	24,94	0,23	0,46
13,680	25,15	0,22	-0,03
13,690	25,39	0,23	0,43
13,700	25,61	0,23	0,43
13,710	25,85	0,24	0,49
13,720	26,09	0,24	-0,56
13,730	26,33	0,23	1,19
13,740	26,55	0,27	2,81
13,750	26,86	0,29	-0,40
13,760	27,12	0,26	-0,99
13,770	27,38	0,27	0,89
13,780	27,65	0,27	0,46
13,790	27,93	0,27	-1,08E-12
13,800	28,20	0,27	0,04
13,810	28,48	0,28	-0,54
13,820	28,75	0,26	0,68
13,830	29,01	0,29	3,15
13,840	29,33	0,33	1,58
13,850	29,66	0,32	-2,26
13,860	29,97	0,28	-0,20
13,870	30,22	0,32	-7,55
13,880	30,61	0,13	-17,37
13,890	30,49	-0,03	10,14
13,900	30,55	0,33	25,81
13,910	31,15	0,49	-12,32
13,920	31,52	0,09	-0,28
13,930	31,33	0,48	23,04
13,940	32,48	0,55	-28,58
13,950	32,43	-0,09	-4,59
13,960	32,30	0,46	39,97
13,970	33,34	0,71	-24,80
13,980	33,71	-0,04	-26,81
13,990	33,26	0,17	37,14
14,000	34,05	0,70	-1,46
14,010	34,67	0,14	-27,43
14,020	34,34	0,15	15,16
14,030	34,97	0,45	10,41
14,040	35,23	0,36	-4,66
14,050	35,70	0,35	-5,47
14,060	35,94	0,25	-2,59
14,070	36,21	0,30	1,50
14,080	36,54	0,28	8,82
14,090	36,77	0,48	3,24
14,100	37,49	0,35	-8,90
14,110	37,47	0,30	-0,66
14,120	38,09	0,33	-7,50
14,130	38,14	0,15	-2,23
14,140	38,39	0,29	8,02
14,150	38,72	0,31	1,00
14,160	39,01	0,31	-1,07
14,170	39,34	0,29	5,21
14,180	39,58	0,41	6,82
14,190	40,17	0,42	-14,18
14,200	40,43	0,13	-8,07
14,210	40,43	0,26	12,96
14,220	40,96	0,39	0,61
14,230	41,21	0,27	-5,50
14,240	41,51	0,28	-2,31
14,250	41,77	0,23	-1,22
14,260	41,96	0,26	2,52
14,270	42,28	0,28	0,15
14,280	42,52	0,26	-8,06
14,290	42,80	0,12	-19,48
14,300	42,76	-0,13	3,99
14,310	42,54	0,20	17,16
14,320	43,15	0,21	-7,00
14,330	42,96	0,06	0,54
14,340	43,27	0,22	11,87
14,350	43,41	0,30	7,72
14,360	43,86	0,38	-11,51
14,370	44,17	0,07	-10,23
14,380	43,99	0,17	6,12
14,390	44,51	0,19	-10,84
14,400	44,37	-0,04	-3,18
14,410	44,42	0,12	3,09
14,420	44,62	0,02	-7,33
14,430	44,46	-0,02	12,73
14,440	44,57	0,27	4,23
14,450	45,01	0,06	-9,09
14,460	44,69	0,09	15,38
14,470	45,19	0,37	4,29
14,480	45,43	0,18	-22,61
14,490	45,54	-0,08	-14,66
14,500	45,27	-0,12	-1,04
14,510	45,31	-0,10	9,91
14,520	45,06	0,08	27,21
14,530	45,47	0,44	6,94
14,540	45,94	0,22	-21,22
14,550	45,91	0,02	-6,07
14,560	45,98	0,10	2,29
14,570	46,11	0,06	-1,71
14,580	46,10	0,06	-10,97
14,590	46,24	-0,16	3,68
14,600	45,79	0,14	24,60
14,610	46,52	0,33	-16,98
14,620	46,46	-0,20	-14,13
14,630	46,12	0,05	9,96
14,640	46,56	0,00	-14,05
14,650	46,12	-0,23	-0,75
14,660	46,11	-0,02	-0,56
14,670	46,08	-0,24	-13,99
14,680	45,63	-0,30	16,69
14,690	45,49	0,09	23,76
14,700	45,81	0,18	1,78
14,710	45,85	0,13	-5,27
14,720	46,07	0,07	-11,21
14,730	45,99	-0,09	-15,54
14,740	45,88	-0,24	-8,39
14,750	45,52	-0,26	-4,47
14,760	45,36	-0,33	6,93
14,770	44,87	-0,12	20,28
14,780	45,11	0,08	-1,62
14,790	45,02	-0,16	-10,23
14,800	44,80	-0,13	-7,86
14,810	44,77	-0,31	-5,19
14,820	44,17	-0,23	15,14
14,830	44,31	-0,01	5,07
14,840	44,15	-0,13	-13,41
14,850	44,05	-0,28	-11,56
14,860	43,60	-0,36	10,54
14,870	43,33	-0,07	14,93
14,880	43,46	-0,06	-7,32
14,890	43,21	-0,21	-5,11
14,900	43,03	-0,16	10,54
14,910	42,88	0,00	5,81
14,920	43,03	-0,05	-4,09
14,930	42,79	-0,08	-1,46
14,940	42,86	-0,08	-7,85
14,950	42,64	-0,24	-7,85
14,960	42,37	-0,23	1,02
14,970	42,17	-0,22	-0,32
14,980	41,93	-0,24	-1,29
14,990	41,69	-0,25	-1,34
15,000	41,43	-0,27	-0,97
15,010	41,16	-0,27	0,05
15,020	40,90	-0,27	-0,43
15,030	40,62	-0,28	-0,43
15,040	40,35	-0,27	-0,33
15,050	40,08	-0,28	-1,39
15,060	39,79	-0,30	-0,58
15,070	39,47	-0,29	1,93
15,080	39,20	-0,26	-9,47
15,090	38,94	-0,48	-2,81
15,100	38,23	-0,32	18,41
15,110	38,30	-0,11	-1,46
15,120	38,00	-0,35	-8,44
15,130	37,61	-0,28	-6,52
15,140	37,44	-0,48	-3,16
15,150	36,65	-0,35	18,21
15,160	36,74	-0,12	-5,37
15,170	36,42	-0,45	-8,66
15,180	35,83	-0,29	6,60
15,190	35,84	-0,32	-9,50
15,200	35,19	-0,48	-0,76
15,210	34,88	-0,34	7,18
15,220	34,51	-0,33	9,90
15,230	34,21	-0,14	2,94
15,240	34,23	-0,28	-27,94
15,250	33,66	-0,70	3,64
15,260	32,84	-0,20	30,63
15,270	33,26	-0,09	-31,33
15,280	32,67	-0,83	-11,47
15,290	31,60	-0,32	45,43
15,300	32,04	0,08	-2,13
15,310	31,75	-0,36	-13,99
15,320	31,32	-0,20	11,22
15,330	31,35	-0,13	-14,53
15,340	31,05	-0,49	-24,81
15,350	30,37	-0,63	19,94
15,360	29,80	-0,09	32,30
15,370	30,18	0,02	-10,53
15,380	29,83	-0,30	-14,53
15,390	29,57	-0,27	0,54
15,400	29,28	-0,29	-0,97
15,410	28,99	-0,29	0,50
15,420	28,70	-0,28	-0,36
15,430	28,42	-0,30	-1,61
15,440	28,09	-0,31	2,51
15,450	27,79	-0,25	3,93
15,460	27,59	-0,24	-2,72
15,470	27,32	-0,30	-1,24
15,480	26,98	-0,26	4,24
15,490	26,80	-0,22	-0,82
15,500	26,54	-0,28	-1,59
15,510	26,25	-0,25	2,78
15,520	26,04	-0,22	0,00
15,530	25,80	-0,25	-0,07
15,540	25,54	-0,22	0,93
15,550	25,36	-0,23	-0,16
15,560	25,07	-0,23	2,24
15,570	24,90	-0,19	0,99
15,580	24,70	-0,21	-0,95
15,590	24,49	-0,21	0,37
15,600	24,28	-0,20	1,32
15,610	24,09	-0,18	0,92
15,620	23,92	-0,18	0,44
15,630	23,73	-0,17	-6,97
15,640	23,58	-0,32	0,35
15,650	23,09	-0,16	16,10
15,660	23,25	0,00	0,01
15,670	23,09	-0,16	-7,49
15,680	22,92	-0,15	2,29
15,690	22,80	-0,12	0,00
15,700	22,68	-0,15	-0,20
15,710	22,50	-0,12	3,57
15,720	22,44	-0,08	-5,94
15,730	22,35	-0,24	-0,89
15,740	21,95	-0,09	14,72
15,750	22,16	0,05	-0,95
15,760	22,06	-0,11	-6,51
15,770	21,93	-0,08	-5,56
15,780	21,90	-0,22	-7,57
15,790	21,48	-0,23	18,68
15,800	21,45	0,15	17,05
15,810	21,78	0,11	-9,68
15,820	21,67	-0,04	-6,53
15,830	21,69	-0,02	2,15
15,840	21,63	0,00	2,29
15,850	21,69	0,03	0,05
15,860	21,69	-5,42E-4	-1,00
15,870	21,69	0,01	1,29
15,880	21,70	0,03	1,34
15,890	21,74	0,03	0,48
15,900	21,77	0,03	-0,46
15,910	21,81	0,03	0,33
15,920	21,82	0,04	-5,62
15,930	21,89	-0,09	1,41
15,940	21,65	0,07	15,09
15,950	22,03	0,21	-7,45
15,960	22,08	-0,08	-6,53
15,970	21,87	0,08	17,24
15,980	22,25	0,27	3,26
15,990	22,40	0,15	-15,51
16,000	22,55	-0,04	-9,34
16,010	22,31	-0,04	16,90
16,020	22,47	0,29	16,05
16,030	22,90	0,28	-6,93
16,040	23,04	0,15	-13,78
16,050	23,21	0,01	-0,41
