3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.2A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.5A	3-Dämpfung-0.3A	3-Dämpfung-0.3A	3-Dämpfung-0.3A	3-Dämpfung-0.3A	3-Dämpfung-0.3A	3-Dämpfung-0.3A	3-Dämpfung-0.3A
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
5,850	3,402	-23,138	-90,478	0,0812	-0,552	-2,160	5,850	1,982	-4,932	-4,869	0,0473	-0,118	-0,116	5,850	-8,518	21,300	-54,664	-0,2034	0,508	-1,305
5,900	2,132	-27,096	-65,816	0,0509	-0,647	-1,571	5,900	1,729	-5,058	-4,441E-13	0,0413	-0,121	-1,041E-14	5,900	-7,523	18,111	-71,785	-0,1796	0,432	-1,714
5,950	0,693	-29,719	-38,327	0,0165	-0,710	-0,915	5,950	1,477	-4,932	4,555	0,0352	-0,118	0,109	5,950	-6,707	14,121	-85,766	-0,1601	0,337	-2,048
6,000	-0,840	-30,929	-10,996	-0,0201	-0,738	-0,262	6,000	1,236	-4,602	8,482	0,0295	-0,110	0,203	6,000	-6,110	9,535	-95,662	-0,1459	0,228	-2,284
6,050	-2,400	-30,819	14,765	-0,0573	-0,736	0,352	6,050	1,016	-4,084	12,566	0,0243	-0,097	0,300	6,050	-5,754	4,555	-101,159	-0,1374	0,109	-2,415
6,100	-3,922	-29,452	39,741	-0,0936	-0,703	0,949	6,100	0,828	-3,346	16,179	0,0198	-0,080	0,386	6,100	-5,655	-0,581	-101,002	-0,1350	-0,014	-2,411
6,150	-5,345	-26,845	64,089	-0,1276	-0,641	1,530	6,150	0,682	-2,466	18,378	0,0163	-0,059	0,439	6,150	-5,812	-5,545	-95,504	-0,1388	-0,132	-2,280
6,200	-6,607	-23,044	85,608	-0,1577	-0,550	2,044	6,200	0,581	-1,508	19,478	0,0139	-0,036	0,465	6,200	-6,209	-10,132	-86,237	-0,1482	-0,242	-2,059
6,250	-7,650	-18,284	102,416	-0,1826	-0,436	2,445	6,250	0,531	-0,518	19,007	0,0127	-0,012	0,454	6,250	-6,825	-14,169	-73,670	-0,1629	-0,338	-1,759
6,300	-8,435	-12,802	114,825	-0,2014	-0,306	2,741	6,300	0,529	0,393	16,650	0,0126	0,009	0,397	6,300	-7,626	-17,499	-58,277	-0,1821	-0,418	-1,391
6,350	-8,930	-6,802	122,051	-0,2132	-0,162	2,914	6,350	0,570	1,147	13,980	0,0136	0,027	0,334	6,350	-8,575	-19,996	-40,684	-0,2047	-0,477	-0,971
6,400	-9,115	-0,597	123,151	-0,2176	-0,014	2,940	6,400	0,644	1,791	12,252	0,0154	0,043	0,293	6,400	-9,626	-21,567	-21,520	-0,2298	-0,515	-0,514
6,450	-8,990	5,513	119,224	-0,2146	0,132	2,846	6,450	0,749	2,372	10,210	0,0179	0,057	0,244	6,450	-10,732	-22,148	-2,042	-0,2562	-0,529	-0,049
6,500	-8,564	11,325	111,055	-0,2044	0,270	2,651	6,500	0,881	2,812	7,226	0,0210	0,067	0,172	6,500	-11,841	-21,771	16,808	-0,2827	-0,520	0,401
6,550	-7,857	16,619	98,646	-0,1876	0,397	2,355	6,550	1,030	3,094	4,241	0,0246	0,074	0,101	6,550	-12,909	-20,467	34,715	-0,3082	-0,489	0,829
6,600	-6,902	21,190	82,467	-0,1648	0,506	1,969	6,600	1,191	3,236	1,257	0,0284	0,077	0,030	6,600	-13,887	-18,300	51,051	-0,3315	-0,437	1,219
6,650	-5,738	24,866	62,518	-0,1370	0,594	1,493	6,650	1,354	3,220	-1,571	0,0323	0,077	-0,037	6,650	-14,739	-15,362	65,502	-0,3519	-0,367	1,564
6,700	-4,416	27,442	39,113	-0,1054	0,655	0,934	6,700	1,513	3,079	-4,398	0,0361	0,074	-0,105	6,700	-15,424	-11,750	76,655	-0,3682	-0,281	1,830
6,750	-2,994	28,777	14,451	-0,0715	0,687	0,345	6,750	1,662	2,780	-7,226	0,0397	0,066	-0,173	6,750	-15,914	-7,697	83,724	-0,3799	-0,184	1,999
6,800	-1,538	28,887	-10,210	-0,0367	0,690	-0,244	6,800	1,791	2,356	-9,425	0,0427	0,056	-0,225	6,800	-16,193	-3,377	86,865	-0,3866	-0,081	2,074
6,850	-0,105	27,756	-35,029	-0,0025	0,663	-0,836	6,850	1,898	1,838	-10,996	0,0453	0,044	-0,262	6,850	-16,251	0,990	85,766	-0,3880	0,024	2,048
6,900	1,238	25,384	-59,062	0,0295	0,606	-1,410	6,900	1,974	1,257	-11,938	0,0471	0,030	-0,285	6,900	-16,094	5,199	81,367	-0,3842	0,124	1,943
6,950	2,433	21,850	-81,053	0,0581	0,522	-1,935	6,950	2,023	0,644	-11,938	0,0483	0,015	-0,285	6,950	-15,732	9,126	74,142	-0,3756	0,218	1,770
7,000	3,423	17,279	-99,589	0,0817	0,412	-2,378	7,000	2,039	0,063	-10,524	0,0487	0,001	-0,251	7,000	-15,182	12,614	64,089	-0,3624	0,301	1,530
7,050	4,161	11,891	-113,412	0,0993	0,284	-2,707	7,050	2,029	-0,408	-8,639	0,0484	-0,010	-0,206	7,050	-14,470	15,535	51,679	-0,3454	0,371	1,234
7,100	4,612	5,938	-120,794	0,1101	0,142	-2,884	7,100	1,998	-0,801	-7,069	0,0477	-0,019	-0,169	7,100	-13,628	17,781	36,914	-0,3253	0,425	0,881
7,150	4,755	-0,188	-121,266	0,1135	-0,005	-2,895	7,150	1,949	-1,115	-5,655	0,0465	-0,027	-0,135	7,150	-12,692	19,227	19,949	-0,3030	0,459	0,476
7,200	4,593	-6,189	-116,396	0,1096	-0,148	-2,779	7,200	1,887	-1,367	-4,398	0,0450	-0,033	-0,105	7,200	-11,706	19,776	2,199	-0,2794	0,472	0,052
7,250	4,136	-11,828	-106,343	0,0987	-0,282	-2,539	7,250	1,813	-1,555	-2,985	0,0433	-0,037	-0,071	7,250	-10,714	19,446	-15,080	-0,2558	0,464	-0,360
7,300	3,410	-16,823	-91,420	0,0814	-0,402	-2,183	7,300	1,731	-1,665	-1,414	0,0413	-0,040	-0,034	7,300	-9,761	18,268	-31,573	-0,2330	0,436	-0,754
7,350	2,454	-20,970	-72,728	0,0586	-0,501	-1,736	7,350	1,646	-1,696	0,157	0,0393	-0,041	0,004	7,350	-8,888	16,289	-46,653	-0,2122	0,389	-1,114
7,400	1,313	-24,096	-50,894	0,0313	-0,575	-1,215	7,400	1,561	-1,649	1,571	0,0373	-0,039	0,038	7,400	-8,132	13,603	-59,690	-0,1941	0,325	-1,425
7,450	0,044	-26,060	-27,175	0,0010	-0,622	-0,649	7,450	1,481	-1,539	2,985	0,0354	-0,037	0,071	7,450	-7,527	10,320	-70,058	-0,1797	0,246	-1,673
7,500	-1,293	-26,814	-3,770	-0,0309	-0,640	-0,090	7,500	1,407	-1,351	4,869	0,0336	-0,032	0,116	7,500	-7,100	6,597	-76,969	-0,1695	0,157	-1,837
7,550	-2,637	-26,437	18,378	-0,0630	-0,631	0,439	7,550	1,346	-1,052	6,440	0,0321	-0,025	0,154	7,550	-6,868	2,623	-79,639	-0,1640	0,063	-1,901
7,600	-3,936	-24,976	39,741	-0,0940	-0,596	0,949	7,600	1,302	-0,707	7,226	0,0311	-0,017	0,172	7,600	-6,838	-1,367	-78,226	-0,1632	-0,033	-1,868
7,650	-5,135	-22,462	60,004	-0,1226	-0,536	1,433	7,650	1,275	-0,330	6,754	0,0304	-0,008	0,161	7,650	-7,004	-5,199	-73,513	-0,1672	-0,124	-1,755
7,700	-6,183	-18,975	77,754	-0,1476	-0,453	1,856	7,700	1,269	-0,031	4,241	0,0303	-7,500E-4	0,101	7,700	-7,358	-8,718	-65,973	-0,1757	-0,208	-1,575
7,750	-7,032	-14,687	91,577	-0,1679	-0,351	2,186	7,750	1,272	0,094	1,885	0,0304	0,002	0,045	7,750	-7,876	-11,797	-55,763	-0,1880	-0,282	-1,331
7,800	-7,651	-9,817	101,159	-0,1827	-0,234	2,415	7,800	1,279	0,157	1,100	0,0305	0,004	0,026	7,800	-8,537	-14,294	-43,197	-0,2038	-0,341	-1,031
7,850	-8,014	-4,571	106,186	-0,1913	-0,109	2,535	7,850	1,288	0,204	0,785	0,0307	0,005	0,019	7,850	-9,305	-16,116	-29,060	-0,2222	-0,385	-0,694
7,900	-8,108	0,801	106,029	-0,1936	0,019	2,531	7,900	1,299	0,236	0,785	0,0310	0,006	0,019	7,900	-10,149	-17,200	-13,666	-0,2423	-0,411	-0,326
7,950	-7,934	6,032	101,316	-0,1894	0,144	2,419	7,950	1,312	0,283	0,785	0,0313	0,007	0,019	7,950	-11,025	-17,483	1,885	-0,2632	-0,417	0,045
8,000	-7,505	10,933	93,148	-0,1792	0,261	2,224	8,000	1,327	0,314	0,157	0,0317	0,007	0,004	8,000	-11,897	-17,012	16,965	-0,2840	-0,406	0,405
8,050	-6,841	15,347	81,681	-0,1633	0,366	1,950	8,050	1,343	0,298	-0,157	0,0321	0,007	-0,004	8,050	-12,727	-15,787	31,416	-0,3038	-0,377	0,750
8,100	-5,971	19,101	66,759	-0,1425	0,456	1,594	8,100	1,357	0,298	-0,157	0,0324	0,007	-0,004	8,100	-13,476	-13,870	43,982	-0,3217	-0,331	1,050
8,150	-4,931	22,023	48,695	-0,1177	0,526	1,163	8,150	1,373	0,283	-0,628	0,0328	0,007	-0,015	8,150	-14,114	-11,388	54,193	-0,3369	-0,272	1,294
8,200	-3,768	23,970	28,431	-0,0900	0,572	0,679	8,200	1,385	0,236	-0,942	0,0331	0,006	-0,023	8,200	-14,615	-8,451	62,204	-0,3489	-0,202	1,485
8,250	-2,534	24,866	6,912	-0,0605	0,594	0,165	8,250	1,396	0,188		0,0333	0,005		8,250	-14,959	-5,168	67,387	-0,3571	-0,123	1,609
8,300	-1,282	24,662	-14,608	-0,0306	0,589	-0,349								8,300	-15,131	-1,712	68,958	-0,3612	-0,041	1,646
8,350	-0,068	23,405	-35,343	-0,0016	0,559	-0,844								8,350	-15,130	1,728	67,230	-0,3612	0,041	1,605
8,400	1,059	21,127	-55,292	0,0253	0,504	-1,320								8,400	-14,959	5,011	62,832	-0,3571	0,120	1,500
8,450	2,045	17,876	-73,199	0,0488	0,427	-1,747								8,450	-14,629	8,011	56,077	-0,3492	0,191	1,339
8,500	2,846	13,807	-87,808	0,0679	0,330	-2,096								8,500	-14,158	10,619	47,438	-0,3380	0,254	1,132
8,550	3,426	9,095	-98,175	0,0818	0,217	-2,344								8,550	-13,567	12,755	37,071	-0,3239	0,305	0,885
8,600	3,756	3,990	-103,358	0,0897	0,095	-2,468								8,600	-12,882	14,326	24,819	-0,3075	0,342	0,592
8,650	3,825	-1,241	-102,887	0,0913	-0,030	-2,456								8,650	-12,134	15,237	10,996	-0,2897	0,364	0,262
8,700	3,632	-6,299	-97,232	0,0867	-0,150	-2,321								8,700	-11,358	15,425	-3,142	-0,2712	0,368	-0,075
8,750	3,195	-10,964	-87,651	0,0763	-0,262	-2,092								8,750	-10,592	14,923	-16,493	-0,2529	0,356	-0,394
8,800	2,535	-15,064	-74,456	0,0605	-0,360	-1,777								8,800	-9,866	13,776	-29,060	-0,2355	0,329	-0,694
8,850	1,689	-18,410	-58,120	0,0403	-0,440	-1,387								8,850	-9,214	12,017	-40,527	-0,2200	0,287	-0,968
8,900	0,694	-20,876	-39,584	0,0166	-0,498	-0,945								8,900	-8,665	9,723	-49,951	-0,2069	0,232	-1,193
8,950	-0,399	-22,368	-19,949	-0,0095	-0,534	-0,476								8,950	-8,242	7,021	-56,863	-0,1968	0,168	-1,357
9,000	-1,543	-22,871	-0,471	-0,0368	-0,546	-0,011								9,000	-7,962	4,037	-60,790	-0,1901	0,096	-1,451
9,050	-2,686	-22,415	18,535	-0,0641	-0,535	0,442								9,050	-7,838	0,942	-61,104	-0,1871	0,023	-1,459
9,100	-3,784	-21,017	36,757	-0,0903	-0,502	0,878								9,100	-7,868	-2,073	-58,434	-0,1878	-0,050	-1,395
9,150	-4,788	-18,740	53,721	-0,1143	-0,447	1,283								9,150	-8,046	-4,901	-53,878	-0,1921	-0,117	-1,286
9,200	-5,658	-15,645	68,801	-0,1351	-0,374	1,642								9,200	-8,358	-7,461	-47,752	-0,1995	-0,178	-1,140
9,250	-6,352	-11,860	80,425	-0,1517	-0,283	1,920								9,250	-8,792	-9,676	-39,584	-0,2099	-0,231	-0,945
9,300	-6,844	-7,603	87,808	-0,1634	-0,182	2,096								9,300	-9,326	-11,420	-29,374	-0,2226	-0,273	-0,701
9,350	-7,113	-3,079	90,792	-0,1698	-0,074	2,168								9,350	-9,934	-12,614	-18,221	-0,2372	-0,301	-0,435
9,400	-7,152	1,477	89,535	-0,1707	0,035	2,138								9,400	-10,587	-13,242	-6,597	-0,2528	-0,316	-0,158
9,450	-6,965	5,875	84,980	-0,1663	0,140	2,029								9,450	-11,258	-13,273	5,498	-0,2688	-0,317	0,131
9,500	-6,564	9,975	77,912	-0,1567	0,238	1,860								9,500	-11,914	-12,692	17,122	-0,2844	-0,303	0,409
9,550	-5,967	13,666	67,544	-0,1425	0,326	1,612								9,550	-12,527	-11,561	27,489	-0,2991	-0,276	0,656
9,600	-5,198	16,729	53,878	-0,1241	0,399	1,286								9,600	-13,071	-9,943	36,914	-0,3120	-0,237	0,881
9,650	-4,295	19,054	38,170	-0,1025	0,455	0,911								9,650	-13,521	-7,870	44,611	-0,3228	-0,188	1,065
9,700	-3,292	20,546	20,577	-0,0786	0,491	0,491								9,700	-13,858	-5,482	49,794	-0,3308	-0,131	1,189
9,750	-2,240	21,112	2,199	-0,0535	0,504	0,052								9,750	-14,070	-2,890	52,308	-0,3359	-0,069	1,249
9,800	-1,181	20,766	-15,865	-0,0282	0,496	-0,379								9,800	-14,147	-0,251	51,993	-0,3377	-0,006	1,241
9,850	-0,163	19,525	-33,144	-0,0039	0,466	-0,791								9,850	-14,095	2,309	49,480	-0,3365	0,055	1,181
9,900	0,771	17,452	-49,323	0,0184	0,417	-1,177								9,900	-13,916	4,697	44,925	-0,3322	0,112	1,073
9,950	1,582	14,593	-63,617	0,0378	0,348	-1,519								9,950	-13,625	6,802	39,270	-0,3253	0,162	0,938
10,000	2,231	11,090	-75,241	0,0532	0,265	-1,796								10,000	-13,236	8,624	32,358	-0,3160	0,206	0,772
10,050	2,691	7,069	-83,409	0,0642	0,169	-1,991								10,050	-12,763	10,037	23,405	-0,3047	0,240	0,559
10,100	2,937	2,749	-86,708	0,0701	0,066	-2,070								10,100	-12,232	10,964	13,509	-0,2920	0,262	0,323
10,150	2,966	-1,602	-85,608	0,0708	-0,038	-2,044								10,150	-11,666	11,388	3,299	-0,2785	0,272	0,079
10,200	2,777	-5,812	-80,582	0,0663	-0,139	-1,924								10,200	-11,093	11,294	-6,912	-0,2648	0,270	-0,165
10,250	2,384	-9,660	-72,100	0,0569	-0,231	-1,721								10,250	-10,537	10,697	-16,808	-0,2516	0,255	-0,401
10,300	1,811	-13,022	-60,947	0,0432	-0,311	-1,455								10,300	-10,023	9,613	-25,761	-0,2393	0,229	-0,615
10,350	1,082	-15,755	-47,124	0,0258	-0,376	-1,125								10,350	-9,576	8,121	-33,301	-0,2286	0,194	-0,795
10,400	0,236	-17,734	-31,573	0,0056	-0,423	-0,754								10,400	-9,211	6,283	-39,584	-0,2199	0,150	-0,945
10,450	-0,691	-18,912	-15,551	-0,0165	-0,452	-0,371								10,450	-8,947	4,163	-43,825	-0,2136	0,099	-1,046
10,500	-1,656	-19,289	0,628	-0,0395	-0,461	0,015								10,500	-8,795	1,901	-45,396	-0,2100	0,045	-1,084
10,550	-2,620	-18,850	17,122	-0,0626	-0,450	0,409								10,550	-8,757	-0,377	-44,454	-0,2091	-0,009	-1,061
10,600	-3,541	-17,577	32,673	-0,0845	-0,420	0,780								10,600	-8,833	-2,545	-40,998	-0,2109	-0,061	-0,979
10,650	-4,378	-15,582	46,496	-0,1045	-0,372	1,110								10,650	-9,012	-4,477	-36,600	-0,2151	-0,107	-0,874
10,700	-5,099	-12,928	58,748	-0,1217	-0,309	1,403								10,700	-9,280	-6,205	-31,887	-0,2216	-0,148	-0,761
10,750	-5,671	-9,708	68,330	-0,1354	-0,232	1,631								10,750	-9,632	-7,665	-25,290	-0,2300	-0,183	-0,604
10,800	-6,070	-6,095	74,456	-0,1449	-0,145	1,777								10,800	-10,047	-8,734	-17,279	-0,2399	-0,208	-0,413
10,850	-6,280	-2,262	76,812	-0,1499	-0,054	1,834								10,850	-10,505	-9,393	-8,796	-0,2508	-0,224	-0,210
10,900	-6,296	1,587	75,398	-0,1503	0,038	1,800								10,900	-10,986	-9,613	-0,157	-0,2623	-0,230	-0,004
10,950	-6,121	5,278	71,314	-0,1461	0,126	1,703								10,950	-11,467	-9,409	8,325	-0,2738	-0,225	0,199
11,000	-5,768	8,718	64,717	-0,1377	0,208	1,545								11,000	-11,927	-8,781	16,493	-0,2847	-0,210	0,394
11,050	-5,250	11,750	55,292	-0,1253	0,280	1,320								11,050	-12,345	-7,760	23,719	-0,2947	-0,185	0,566
11,100	-4,593	14,247	43,982	-0,1097	0,340	1,050								11,100	-12,703	-6,409	29,845	-0,3033	-0,153	0,712
11,150	-3,825	16,148	30,473	-0,0913	0,386	0,728								11,150	-12,986	-4,775	34,872	-0,3100	-0,114	0,833
11,200	-2,978	17,294	15,080	-0,0711	0,413	0,360								11,200	-13,181	-2,922	38,013	-0,3147	-0,070	0,908
11,250	-2,095	17,656	-3,126E-12	-0,0500	0,422	-7,272E-14								11,250	-13,278	-0,974	38,013	-0,3170	-0,023	0,907
11,300	-1,213	17,294	-14,765	-0,0290	0,413	-0,352								11,300	-13,278	0,880	35,657	-0,3170	0,021	0,851
11,350	-0,366	16,179	-29,374	-0,0087	0,386	-0,701								11,350	-13,190	2,592	32,987	-0,3149	0,062	0,787
11,400	0,405	14,357	-42,569	0,0097	0,343	-1,016								11,400	-13,019	4,178	29,531	-0,3108	0,100	0,705
11,450	1,070	11,922	-53,878	0,0255	0,285	-1,286								11,450	-12,772	5,545	24,347	-0,3049	0,132	0,581
11,500	1,598	8,969	-63,303	0,0381	0,214	-1,511								11,500	-12,464	6,613	18,378	-0,2976	0,158	0,439
11,550	1,967	5,592	-69,743	0,0469	0,133	-1,665								11,550	-12,111	7,383	12,252	-0,2891	0,176	0,292
11,600	2,157	1,995	-71,943	0,0515	0,048	-1,717								11,600	-11,726	7,838	5,341	-0,2799	0,187	0,128
11,650	2,166	-1,602	-70,529	0,0517	-0,038	-1,684								11,650	-11,327	7,917	-2,199	-0,2704	0,189	-0,053
11,700	1,996	-5,058	-66,131	0,0477	-0,121	-1,579								11,700	-10,934	7,618	-9,268	-0,2610	0,182	-0,221
11,750	1,660	-8,215	-59,219	0,0396	-0,196	-1,414								11,750	-10,565	6,990	-15,708	-0,2522	0,167	-0,375
11,800	1,175	-10,980	-49,951	0,0280	-0,262	-1,192								11,800	-10,235	6,048	-21,363	-0,2444	0,144	-0,510
11,850	0,562	-13,210	-38,642	0,0134	-0,315	-0,923								11,850	-9,960	4,854	-25,918	-0,2378	0,116	-0,619
11,900	-0,146	-14,844	-26,075	-0,0035	-0,354	-0,623								11,900	-9,750	3,456	-29,531	-0,2328	0,083	-0,705
11,950	-0,922	-15,818	-12,409	-0,0220	-0,378	-0,296								11,950	-9,615	1,901	-31,102	-0,2295	0,045	-0,743
12,000	-1,728	-16,085	1,571	-0,0413	-0,384	0,038								12,000	-9,560	0,346	-30,316	-0,2282	0,008	-0,724
12,050	-2,531	-15,661	15,080	-0,0604	-0,374	0,360								12,050	-9,580	-1,131	-28,431	-0,2287	-0,027	-0,679
12,100	-3,294	-14,577	28,274	-0,0786	-0,348	0,675								12,100	-9,673	-2,498	-25,918	-0,2309	-0,060	-0,619
12,150	-3,988	-12,833	40,527	-0,0952	-0,306	0,968								12,150	-9,830	-3,723	-22,777	-0,2347	-0,089	-0,544
12,200	-4,577	-10,524	50,266	-0,1093	-0,251	1,200								12,200	-10,045	-4,775	-18,535	-0,2398	-0,114	-0,443
12,250	-5,041	-7,807	57,648	-0,1203	-0,186	1,376								12,250	-10,308	-5,576	-13,352	-0,2461	-0,133	-0,319
12,300	-5,358	-4,760	62,518	-0,1279	-0,114	1,492								12,300	-10,603	-6,110	-7,697	-0,2531	-0,146	-0,184
12,350	-5,517	-1,555	64,089	-0,1317	-0,037	1,530								12,350	-10,919	-6,346	-1,885	-0,2607	-0,152	-0,045
12,400	-5,513	1,649	62,518	-0,1316	0,039	1,492								12,400	-11,237	-6,299	3,456	-0,2683	-0,150	0,082
12,450	-5,352	4,697	58,277	-0,1278	0,112	1,391								12,450	-11,549	-6,000	8,954	-0,2757	-0,143	0,214
12,500	-5,044	7,477	52,150	-0,1204	0,179	1,245								12,500	-11,838	-5,404	14,608	-0,2826	-0,129	0,349
12,550	-4,604	9,912	44,454	-0,1099	0,237	1,061								12,550	-12,089	-4,540	19,164	-0,2886	-0,108	0,458
12,600	-4,053	11,922	35,029	-0,0968	0,285	0,836								12,600	-12,291	-3,487	22,462	-0,2934	-0,083	0,536
12,650	-3,412	13,415	23,405	-0,0815	0,320	0,559								12,650	-12,438	-2,293	24,819	-0,2969	-0,055	0,593
12,700	-2,711	14,263	10,839	-0,0647	0,340	0,259								12,700	-12,521	-1,005	25,604	-0,2989	-0,024	0,611
12,750	-1,985	14,498	-1,414	-0,0474	0,346	-0,034								12,750	-12,538	0,267	24,033	-0,2993	0,006	0,574
12,800	-1,261	14,121	-13,980	-0,0301	0,337	-0,334								12,800	-12,494	1,398	21,206	-0,2983	0,033	0,506
12,850	-0,573	13,100	-25,918	-0,0137	0,313	-0,619								12,850	-12,398	2,388	18,535	-0,2960	0,057	0,443
12,900	0,049	11,530	-36,285	0,0012	0,275	-0,866								12,900	-12,255	3,252	15,708	-0,2926	0,078	0,375
12,950	0,580	9,472	-45,239	0,0138	0,226	-1,080								12,950	-12,073	3,958	12,252	-0,2882	0,094	0,293
13,000	0,996	7,006	-52,308	0,0238	0,167	-1,249								13,000	-11,860	4,477	8,168	-0,2831	0,107	0,195
13,050	1,280	4,241	-56,706	0,0306	0,101	-1,354								13,050	-11,625	4,775	4,084	-0,2775	0,114	0,097
13,100	1,420	1,335	-57,805	0,0339	0,032	-1,380								13,100	-11,382	4,885	-0,157	-0,2717	0,117	-0,004
13,150	1,414	-1,539	-56,235	0,0337	-0,037	-1,342								13,150	-11,137	4,760	-4,869	-0,2659	0,114	-0,116
13,200	1,266	-4,288	-52,465	0,0302	-0,102	-1,253								13,200	-10,906	4,398	-8,954	-0,2604	0,105	-0,214
13,250	0,985	-6,786	-46,653	0,0235	-0,162	-1,114								13,250	-10,697	3,864	-12,566	-0,2554	0,092	-0,300
13,300	0,587	-8,954	-39,427	0,0140	-0,214	-0,941								13,300	-10,520	3,142	-15,865	-0,2511	0,075	-0,379
13,350	0,090	-10,729	-30,788	0,0021	-0,256	-0,735								13,350	-10,383	2,278	-18,064	-0,2479	0,054	-0,431
13,400	-0,485	-12,032	-20,420	-0,0116	-0,287	-0,488								13,400	-10,292	1,335	-19,164	-0,2457	0,032	-0,458
13,450	-1,114	-12,771	-9,111	-0,0266	-0,305	-0,218								13,450	-10,249	0,361	-18,692	-0,2447	0,009	-0,446
13,500	-1,762	-12,943	2,199	-0,0421	-0,309	0,053								13,500	-10,256	-0,534	-16,808	-0,2448	-0,013	-0,401
13,550	-2,408	-12,551	13,509	-0,0575	-0,300	0,323								13,550	-10,303	-1,319	-14,923	-0,2460	-0,031	-0,356
13,600	-3,018	-11,592	24,033	-0,0720	-0,277	0,574								13,600	-10,388	-2,026	-13,195	-0,2480	-0,048	-0,315
13,650	-3,567	-10,147	33,772	-0,0852	-0,242	0,806								13,650	-10,505	-2,639	-10,839	-0,2508	-0,063	-0,259
13,700	-4,032	-8,215	42,097	-0,0963	-0,196	1,005								13,700	-10,652	-3,110	-7,854	-0,2543	-0,074	-0,188
13,750	-4,389	-5,938	47,909	-0,1048	-0,142	1,144								13,750	-10,817	-3,424	-4,869	-0,2582	-0,082	-0,116
13,800	-4,626	-3,424	51,208	-0,1104	-0,082	1,222								13,800	-10,994	-3,597	-1,728	-0,2625	-0,086	-0,041
13,850	-4,731	-0,817	51,208	-0,1130	-0,020	1,222								13,850	-11,176	-3,597	1,885	-0,2668	-0,086	0,045
13,900	-4,708	1,696	48,695	-0,1124	0,041	1,163								13,900	-11,354	-3,409	5,498	-0,2711	-0,081	0,131
13,950	-4,562	4,053	44,925	-0,1089	0,097	1,073								13,950	-11,517	-3,047	8,482	-0,2750	-0,073	0,203
14,000	-4,302	6,189	39,741	-0,1027	0,148	0,949								14,000	-11,658	-2,560	10,839	-0,2783	-0,061	0,259
14,050	-3,943	8,027	33,301	-0,0941	0,192	0,795								14,050	-11,773	-1,963	12,881	-0,2811	-0,047	0,307
14,100	-3,500	9,519	25,604	-0,0836	0,227	0,611								14,100	-11,855	-1,272	14,294	-0,2830	-0,030	0,341
14,150	-2,991	10,587	16,336	-0,0714	0,253	0,390								14,150	-11,900	-0,534	14,451	-0,2841	-0,013	0,345
14,200	-2,441	11,153	6,283	-0,0583	0,266	0,150								14,200	-11,908	0,173	12,566	-0,2843	0,004	0,300
14,250	-1,876	11,215	-3,299	-0,0448	0,268	-0,079								14,250	-11,883	0,723	10,053	-0,2837	0,017	0,240
14,300	-1,319	10,823	-12,566	-0,0315	0,258	-0,300								14,300	-11,836	1,178	8,639	-0,2826	0,028	0,206
14,350	-0,793	9,959	-21,677	-0,0189	0,238	-0,517								14,350	-11,765	1,587	7,226	-0,2809	0,038	0,173
14,400	-0,324	8,655	-29,688	-0,0077	0,207	-0,709								14,400	-11,677	1,901	5,341	-0,2788	0,045	0,128
14,450	0,072	6,990	-36,443	0,0017	0,167	-0,870								14,450	-11,575	2,121	3,456	-0,2763	0,051	0,083
14,500	0,375	5,011	-41,469	0,0090	0,120	-0,990								14,500	-11,465	2,246	1,571	-0,2737	0,054	0,037
14,550	0,573	2,843	-44,139	0,0137	0,068	-1,054								14,550	-11,351	2,278	-0,471	-0,2710	0,054	-0,011
14,600	0,660	0,597	-44,454	0,0157	0,014	-1,061								14,600	-11,237	2,199	-2,670	-0,2683	0,052	-0,064
14,650	0,633	-1,602	-42,254	0,0151	-0,038	-1,009								14,650	-11,131	2,011	-4,712	-0,2657	0,048	-0,113
14,700	0,500	-3,629	-38,485	0,0119	-0,087	-0,919								14,700	-11,036	1,728	-6,283	-0,2635	0,041	-0,150
14,750	0,270	-5,451	-34,086	0,0064	-0,130	-0,814								14,750	-10,958	1,382	-7,540	-0,2616	0,033	-0,180
14,800	-0,046	-7,037	-28,746	-0,0011	-0,168	-0,686								14,800	-10,898	0,974	-8,482	-0,2602	0,023	-0,203
14,850	-0,434	-8,325	-21,834	-0,0104	-0,199	-0,521								14,850	-10,860	0,534	-8,639	-0,2593	0,013	-0,206
14,900	-0,878	-9,221	-13,823	-0,0210	-0,220	-0,330								14,900	-10,845	0,110	-7,697	-0,2589	0,003	-0,184
