2-Eigenfreq	2-Eigenfreq	2-Eigenfreq	2-Eigenfreq	2-Eigenfreq	2-Eigenfreq	2-Eigenfreq
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
21,100	-0,809	-6,267	86,394	-0,0193	-0,150	2,062
21,150	-1,012	-1,838	87,965	-0,0242	-0,044	2,100
21,200	-0,993	2,529	85,137	-0,0237	0,060	2,033
21,250	-0,759	6,676	79,639	-0,0181	0,159	1,901
21,300	-0,325	10,493	71,943	-0,0078	0,250	1,717
21,350	0,291	13,870	61,418	0,0069	0,331	1,466
21,400	1,062	16,635	48,066	0,0253	0,397	1,148
21,450	1,954	18,677	32,673	0,0466	0,446	0,780
21,500	2,930	19,902	15,394	0,0699	0,475	0,367
21,550	3,944	20,216	-2,513	0,0942	0,483	-0,060
21,600	4,951	19,651	-19,792	0,1182	0,469	-0,472
21,650	5,909	18,237	-36,443	0,1411	0,435	-0,870
21,700	6,775	16,006	-51,679	0,1617	0,382	-1,234
21,750	7,510	13,069	-64,717	0,1793	0,312	-1,545
21,800	8,082	9,535	-75,084	0,1929	0,228	-1,793
21,850	8,463	5,561	-81,681	0,2020	0,133	-1,950
21,900	8,638	1,367	-83,881	0,2062	0,033	-2,002
21,950	8,600	-2,827	-81,524	0,2053	-0,068	-1,946
22,000	8,355	-6,786	-75,398	0,1995	-0,162	-1,800
22,050	7,922	-10,367	-66,916	0,1891	-0,247	-1,597
22,100	7,318	-13,477	-55,920	0,1747	-0,322	-1,335
22,150	6,574	-15,959	-42,254	0,1569	-0,381	-1,009
22,200	5,722	-17,703	-27,332	0,1366	-0,423	-0,653
22,250	4,803	-18,692	-11,938	0,1147	-0,446	-0,285
22,300	3,853	-18,897	4,555	0,0920	-0,451	0,109
22,350	2,914	-18,237	21,677	0,0696	-0,435	0,517
22,400	2,029	-16,729	37,228	0,0484	-0,399	0,889
22,450	1,241	-14,514	50,894	0,0296	-0,347	1,215
22,500	0,578	-11,640	62,989	0,0138	-0,278	1,504
22,550	0,077	-8,215	71,943	0,0018	-0,196	1,718
22,600	-0,243	-4,445	76,655	-0,0058	-0,106	1,830
22,650	-0,368	-0,550	76,812	-0,0088	-0,013	1,834
22,700	-0,298	3,236	73,356	-0,0071	0,077	1,751
22,750	-0,044	6,786	67,858	-0,0011	0,162	1,620
22,800	0,380	10,022	60,319	0,0091	0,239	1,440
22,850	0,958	12,818	50,266	0,0229	0,306	1,200
22,900	1,662	15,048	38,013	0,0397	0,359	0,908
22,950	2,463	16,619	24,033	0,0588	0,397	0,574
23,000	3,324	17,452	8,796	0,0793	0,417	0,210
23,050	4,208	17,499	-7,069	0,1005	0,418	-0,169
23,100	5,074	16,745	-22,305	0,1211	0,400	-0,532
23,150	5,883	15,268	-36,285	0,1404	0,364	-0,866
23,200	6,600	13,116	-48,852	0,1576	0,313	-1,166
23,250	7,194	10,383	-59,219	0,1717	0,248	-1,414
23,300	7,639	7,194	-67,073	0,1824	0,172	-1,601
23,350	7,914	3,676	-71,314	0,1889	0,088	-1,702
23,400	8,006	0,063	-71,628	0,1911	0,002	-1,710
23,450	7,920	-3,487	-68,958	0,1891	-0,083	-1,646
23,500	7,658	-6,833	-63,146	0,1828	-0,163	-1,507
23,550	7,237	-9,802	-55,135	0,1728	-0,234	-1,316
23,600	6,677	-12,346	-45,396	0,1594	-0,295	-1,084
23,650	6,002	-14,341	-33,615	0,1433	-0,342	-0,802
23,700	5,243	-15,708	-20,263	0,1252	-0,375	-0,484
23,750	4,431	-16,368	-5,812	0,1058	-0,391	-0,139
23,800	3,607	-16,289	8,639	0,0861	-0,389	0,206
23,850	2,802	-15,504	23,091	0,0669	-0,370	0,551
23,900	2,056	-13,980	37,071	0,0491	-0,334	0,885
23,950	1,404	-11,797	49,009	0,0335	-0,282	1,170
24,000	0,877	-9,079	58,434	0,0209	-0,217	1,395
24,050	0,496	-5,953	65,031	0,0118	-0,142	1,553
24,100	0,281	-2,576	68,016	0,0067	-0,061	1,624
24,150	0,239	0,848	66,602	0,0057	0,020	1,590
24,200	0,366	4,084	61,889	0,0087	0,098	1,478
24,250	0,647	7,037	55,920	0,0154	0,168	1,335
24,300	1,070	9,676	48,695	0,0255	0,231	1,162
24,350	1,615	11,907	39,427	0,0385	0,284	0,941
24,400	2,260	13,619	27,960	0,0540	0,325	0,668
24,450	2,977	14,703	15,080	0,0711	0,351	0,360
24,500	3,731	15,127	1,728	0,0891	0,361	0,041
24,550	4,489	14,875	-11,938	0,1072	0,355	-0,285
24,600	5,218	13,933	-24,819	0,1246	0,333	-0,592
24,650	5,883	12,394	-36,443	0,1404	0,296	-0,870
24,700	6,458	10,289	-46,967	0,1542	0,246	-1,121
24,750	6,912	7,697	-55,135	0,1650	0,184	-1,316
24,800	7,227	4,775	-60,162	0,1725	0,114	-1,436
24,850	7,389	1,681	-61,889	0,1764	0,040	-1,478
24,900	7,395	-1,414	-60,319	0,1765	-0,034	-1,440
24,950	7,248	-4,351	-56,235	0,1730	-0,104	-1,343
25,000	6,960	-7,037	-50,737	0,1662	-0,168	-1,211
25,050	6,544	-9,425	-43,511	0,1562	-0,225	-1,039
25,100	6,018	-11,388	-34,086	0,1437	-0,272	-0,814
25,150	5,405	-12,833	-23,248	0,1290	-0,306	-0,555
25,200	4,734	-13,713	-11,467	0,1130	-0,327	-0,274
25,250	4,034	-13,980	1,100	0,0963	-0,334	0,026
25,300	3,336	-13,603	13,980	0,0796	-0,325	0,334
25,350	2,673	-12,582	26,389	0,0638	-0,300	0,630
25,400	2,078	-10,964	37,542	0,0496	-0,262	0,896
25,450	1,577	-8,828	47,281	0,0376	-0,211	1,129
25,500	1,195	-6,236	54,978	0,0285	-0,149	1,313
25,550	0,953	-3,330	58,434	0,0228	-0,079	1,395
25,600	0,862	-0,393	57,020	0,0206	-0,009	1,361
25,650	0,914	2,372	53,250	0,0218	0,057	1,271
25,700	1,100	4,932	48,852	0,0262	0,118	1,166
25,750	1,407	7,257	43,197	0,0336	0,173	1,031
25,800	1,825	9,252	35,814	0,0436	0,221	0,855
25,850	2,333	10,839	26,861	0,0557	0,259	0,641
25,900	2,909	11,938	16,493	0,0694	0,285	0,394
25,950	3,526	12,488	5,341	0,0842	0,298	0,128
26,000	4,158	12,472	-5,969	0,0993	0,298	-0,143
26,050	4,774	11,891	-16,965	0,1140	0,284	-0,405
26,100	5,347	10,776	-27,018	0,1276	0,257	-0,645
26,150	5,851	9,189	-35,971	0,1397	0,219	-0,859
26,200	6,266	7,179	-43,511	0,1496	0,171	-1,039
26,250	6,569	4,838	-48,695	0,1568	0,116	-1,163
26,300	6,750	2,309	-51,051	0,1611	0,055	-1,219
26,350	6,800	-0,267	-50,423	0,1623	-0,006	-1,204
26,400	6,723	-2,733	-47,595	0,1605	-0,065	-1,136
26,450	6,527	-5,027	-43,511	0,1558	-0,120	-1,039
26,500	6,220	-7,084	-37,856	0,1485	-0,169	-0,904
26,550	5,818	-8,812	-30,788	0,1389	-0,210	-0,735
26,600	5,339	-10,163	-22,619	0,1275	-0,243	-0,540
26,650	4,802	-11,074	-12,881	0,1146	-0,264	-0,307
26,700	4,232	-11,451	-2,199	0,1010	-0,273	-0,053
26,750	3,657	-11,294	8,168	0,0873	-0,270	0,195
26,800	3,102	-10,634	18,221	0,0741	-0,254	0,435
26,850	2,593	-9,472	28,117	0,0619	-0,226	0,671
26,900	2,155	-7,823	37,071	0,0514	-0,187	0,885
26,950	1,811	-5,765	44,296	0,0432	-0,138	1,057
27,000	1,579	-3,393	48,538	0,0377	-0,081	1,159
27,050	1,472	-0,911	48,066	0,0351	-0,022	1,147
27,100	1,488	1,414	44,139	0,0355	0,034	1,054
27,150	1,613	3,503	39,898	0,0385	0,084	0,952
27,200	1,838	5,404	35,657	0,0439	0,129	0,851
27,250	2,154	7,069	30,316	0,0514	0,169	0,724
27,300	2,545	8,435	23,405	0,0607	0,201	0,559
27,350	2,997	9,409	15,080	0,0715	0,225	0,360
27,400	3,486	9,943	6,283	0,0832	0,237	0,150
27,450	3,991	10,037	-2,827	0,0953	0,240	-0,067
27,500	4,489	9,660	-11,624	0,1072	0,231	-0,278
27,550	4,957	8,875	-19,949	0,1183	0,212	-0,476
27,600	5,377	7,665	-27,646	0,1284	0,183	-0,660
27,650	5,724	6,110	-33,772	0,1366	0,146	-0,806
27,700	5,988	4,288	-38,485	0,1429	0,102	-0,919
27,750	6,153	2,262	-40,841	0,1469	0,054	-0,975
27,800	6,214	0,204	-40,369	0,1483	0,005	-0,964
27,850	6,173	-1,775	-38,327	0,1474	-0,042	-0,915
27,900	6,037	-3,629	-35,029	0,1441	-0,087	-0,836
27,950	5,810	-5,278	-30,631	0,1387	-0,126	-0,731
28,000	5,509	-6,692	-25,447	0,1315	-0,160	-0,607
28,050	5,141	-7,823	-19,007	0,1227	-0,187	-0,454
28,100	4,727	-8,592	-11,310	0,1128	-0,205	-0,270
28,150	4,282	-8,954	-2,985	0,1022	-0,214	-0,071
28,200	3,831	-8,891	5,184	0,0915	-0,212	0,124
28,250	3,393	-8,435	13,195	0,0810	-0,201	0,315
28,300	2,988	-7,571	21,206	0,0713	-0,181	0,506
28,350	2,636	-6,315	28,431	0,0629	-0,151	0,679
28,400	2,356	-4,728	34,086	0,0562	-0,113	0,814
28,450	2,163	-2,906	37,542	0,0516	-0,069	0,896
28,500	2,066	-0,974	37,856	0,0493	-0,023	0,904
28,550	2,066	0,880	35,029	0,0493	0,021	0,836
28,600	2,154	2,529	31,259	0,0514	0,060	0,746
28,650	2,318	4,006	27,803	0,0553	0,096	0,664
28,700	2,554	5,309	23,405	0,0610	0,127	0,559
28,750	2,849	6,346	17,907	0,0680	0,152	0,427
28,800	3,189	7,100	12,095	0,0761	0,169	0,289
28,850	3,559	7,556	5,341	0,0850	0,180	0,127
28,900	3,944	7,634	-1,728	0,0942	0,182	-0,041
28,950	4,323	7,383	-8,325	0,1032	0,176	-0,199
29,000	4,683	6,802	-14,923	0,1118	0,162	-0,356
29,050	5,003	5,890	-20,735	0,1194	0,141	-0,495
29,100	5,272	4,728	-25,447	0,1258	0,113	-0,607
29,150	5,476	3,346	-29,374	0,1307	0,080	-0,701
29,200	5,606	1,791	-31,259	0,1338	0,043	-0,746
29,250	5,655	0,220	-30,473	0,1350	0,005	-0,728
29,300	5,628	-1,257	-28,589	0,1344	-0,030	-0,682
29,350	5,529	-2,639	-26,075	0,1320	-0,063	-0,622
29,400	5,364	-3,864	-22,934	0,1281	-0,092	-0,548
29,450	5,143	-4,932	-19,164	0,1228	-0,118	-0,458
29,500	4,871	-5,781	-13,980	0,1163	-0,138	-0,334
29,550	4,565	-6,330	-8,168	0,1090	-0,151	-0,195
29,600	4,238	-6,597	-2,356	0,1012	-0,157	-0,056
29,650	3,905	-6,566	3,613	0,0932	-0,157	0,086
29,700	3,581	-6,236	9,582	0,0855	-0,149	0,229
29,750	3,281	-5,608	15,237	0,0783	-0,134	0,364
29,800	3,021	-4,712	20,106	0,0721	-0,112	0,480
29,850	2,810	-3,597	24,190	0,0671	-0,086	0,577
29,900	2,661	-2,293	26,861	0,0635	-0,055	0,641
29,950	2,581	-0,911	27,332	0,0616	-0,022	0,653
30,000	2,570	0,440	25,761	0,0613	0,011	0,615
30,050	2,625	1,665	22,777	0,0627	0,040	0,544
30,100	2,736	2,717	19,949	0,0653	0,065	0,476
30,150	2,897	3,660	17,279	0,0691	0,087	0,413
30,200	3,102	4,445		0,0741	0,106	
