2-Eigenfreq	2-Eigenfreq	2-Eigenfreq	2-Eigenfreq	2-Eigenfreq	2-Eigenfreq	2-Eigenfreq
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
4,800	-7,922	-6,189	197,920	-0,1891	-0,148	4,725
4,850	-7,983	3,817	197,920	-0,1906	0,091	4,725
4,900	-7,540	13,603	189,752	-0,1800	0,325	4,530
4,950	-6,622	22,792	174,516	-0,1581	0,544	4,166
5,000	-5,261	31,055	151,896	-0,1256	0,741	3,626
5,050	-3,517	37,982	123,622	-0,0840	0,907	2,951
5,100	-1,462	43,417	90,635	-0,0349	1,036	2,164
5,150	0,825	47,045	51,836	0,0197	1,123	1,238
5,200	3,242	48,600	10,053	0,0774	1,160	0,240
5,250	5,685	48,051	-32,830	0,1357	1,147	-0,784
5,300	8,047	45,318	-75,870	0,1921	1,082	-1,811
5,350	10,216	40,464	-116,239	0,2439	0,966	-2,775
5,400	12,094	33,694	-151,896	0,2887	0,804	-3,626
5,450	13,586	25,274	-180,485	0,3243	0,603	-4,309
5,500	14,621	15,645	-199,177	0,3490	0,373	-4,755
5,550	15,150	5,356	-207,817	0,3617	0,128	-4,961
5,600	15,157	-5,137	-206,874	0,3618	-0,123	-4,939
5,650	14,637	-15,331	-196,036	0,3494	-0,366	-4,680
5,700	13,624	-24,740	-176,401	0,3252	-0,591	-4,211
5,750	12,163	-32,971	-148,283	0,2904	-0,787	-3,540
5,800	10,326	-39,568	-113,097	0,2465	-0,945	-2,700
5,850	8,206	-44,281	-73,199	0,1959	-1,057	-1,748
5,900	5,898	-46,888	-30,316	0,1408	-1,119	-0,724
5,950	3,517	-47,312	11,624	0,0840	-1,130	0,278
6,000	1,167	-45,726	51,679	0,0279	-1,092	1,234
6,050	-1,056	-42,144	89,693	-0,0252	-1,006	2,141
6,100	-3,047	-36,757	121,894	-0,0728	-0,877	2,910
6,150	-4,731	-29,955	148,126	-0,1130	-0,715	3,536
6,200	-6,043	-21,944	169,646	-0,1443	-0,524	4,050
6,250	-6,926	-12,990	183,626	-0,1653	-0,310	4,384
6,300	-7,342	-3,581	188,653	-0,1753	-0,085	4,504
6,350	-7,284	5,875	186,611	-0,1739	0,140	4,455
6,400	-6,754	15,080	177,343	-0,1613	0,360	4,234
6,450	-5,776	23,609	160,536	-0,1379	0,564	3,832
6,500	-4,394	31,133	137,916	-0,1049	0,743	3,292
6,550	-2,663	37,401	110,427	-0,0636	0,893	2,636
6,600	-0,653	42,176	77,440	-0,0156	1,007	1,849
6,650	1,555	45,145	39,427	0,0371	1,078	0,941
6,700	3,861	46,119	-0,471	0,0922	1,101	-0,011
6,750	6,167	45,098	-41,626	0,1472	1,077	-0,994
6,800	8,371	41,956	-82,938	0,1998	1,002	-1,980
6,850	10,363	36,804	-120,637	0,2474	0,879	-2,880
6,900	12,051	29,892	-152,524	0,2877	0,714	-3,641
6,950	13,352	21,551	-176,715	0,3187	0,515	-4,219
7,000	14,206	12,221	-191,794	0,3391	0,292	-4,579
7,050	14,574	2,372	-196,978	0,3479	0,057	-4,703
7,100	14,443	-7,477	-193,365	0,3448	-0,178	-4,616
7,150	13,826	-16,965	-181,427	0,3301	-0,405	-4,331
7,200	12,747	-25,620	-160,378	0,3043	-0,612	-3,829
7,250	11,264	-33,002	-131,947	0,2689	-0,788	-3,150
7,300	9,447	-38,814	-97,704	0,2255	-0,927	-2,332
7,350	7,383	-42,773	-58,277	0,1762	-1,021	-1,391
7,400	5,169	-44,642	-17,122	0,1234	-1,066	-0,409
7,450	2,919	-44,485	21,834	0,0697	-1,062	0,521
7,500	0,721	-42,459	59,219	0,0172	-1,014	1,414
7,550	-1,327	-38,563	94,091	-0,0317	-0,921	2,246
7,600	-3,135	-33,050	123,151	-0,0749	-0,789	2,940
7,650	-4,632	-26,248	146,712	-0,1106	-0,627	3,503
7,700	-5,760	-18,378	165,091	-0,1375	-0,439	3,941
7,750	-6,470	-9,739	175,929	-0,1545	-0,233	4,200
7,800	-6,734	-0,785	178,757	-0,1608	-0,019	4,268
7,850	-6,549	8,137	174,830	-0,1563	0,194	4,174
7,900	-5,920	16,698	163,677	-0,1413	0,399	3,908
7,950	-4,879	24,504	145,770	-0,1165	0,585	3,480
8,000	-3,470	31,275	123,151	-0,0828	0,747	2,940
8,050	-1,751	36,819	95,662	-0,0418	0,879	2,284
8,100	0,212	40,841	62,361	0,0051	0,975	1,489
8,150	2,333	43,056	26,075	0,0557	1,028	0,622
8,200	4,518	43,448	-11,467	0,1078	1,037	-0,274
8,250	6,677	41,909	-50,737	0,1594	1,001	-1,211
8,300	8,709	38,375	-89,064	0,2079	0,916	-2,126
8,350	10,515	33,002	-123,465	0,2510	0,788	-2,948
8,400	12,009	26,028	-151,896	0,2867	0,621	-3,626
8,450	13,118	17,813	-172,631	0,3132	0,425	-4,121
8,500	13,790	8,765	-184,255	0,3292	0,209	-4,399
8,550	13,994	-0,613	-186,454	0,3341	-0,015	-4,451
8,600	13,729	-9,880	-180,485	0,3277	-0,236	-4,309
8,650	13,006	-18,661	-166,033	0,3105	-0,445	-3,964
8,700	11,863	-26,484	-143,414	0,2832	-0,632	-3,424
8,750	10,358	-33,002	-114,825	0,2473	-0,788	-2,741
8,800	8,562	-37,966	-80,739	0,2044	-0,906	-1,927
8,850	6,561	-41,076	-42,412	0,1566	-0,981	-1,012
8,900	4,455	-42,207	-4,084	0,1063	-1,008	-0,097
8,950	2,340	-41,485	31,887	0,0559	-0,990	0,761
9,000	0,306	-39,019	66,445	0,0073	-0,932	1,586
9,050	-1,561	-34,840	98,018	-0,0373	-0,832	2,340
9,100	-3,178	-29,217	123,936	-0,0759	-0,698	2,959
9,150	-4,483	-22,447	144,670	-0,1070	-0,536	3,454
9,200	-5,422	-14,750	159,750	-0,1295	-0,352	3,814
9,250	-5,958	-6,472	167,604	-0,1422	-0,155	4,001
9,300	-6,070	2,011	168,075	-0,1449	0,048	4,012
9,350	-5,757	10,336	161,792	-0,1374	0,247	3,862
9,400	-5,036	18,190	149,226	-0,1202	0,434	3,562
9,450	-3,938	25,258	130,690	-0,0940	0,603	3,120
9,500	-2,510	31,259	107,128	-0,0599	0,746	2,558
9,550	-0,812	35,971	79,325	-0,0194	0,859	1,894
9,600	1,087	39,191	46,967	0,0259	0,936	1,121
9,650	3,107	40,668	11,938	0,0742	0,971	0,285
9,700	5,154	40,385	-23,562	0,1230	0,964	-0,563
9,750	7,146	38,312	-60,162	0,1706	0,915	-1,436
9,800	8,985	34,369	-95,033	0,2145	0,820	-2,269
9,850	10,582	28,808	-124,878	0,2526	0,688	-2,981
9,900	11,866	21,881	-149,383	0,2833	0,522	-3,566
9,950	12,771	13,870	-166,505	0,3049	0,331	-3,975
10,000	13,253	5,231	-174,359	0,3164	0,125	-4,162
10,050	13,294	-3,566	-173,416	0,3174	-0,085	-4,140
10,100	12,896	-12,111	-164,148	0,3079	-0,289	-3,919
10,150	12,083	-19,981	-147,341	0,2884	-0,477	-3,517
10,200	10,898	-26,845	-124,564	0,2602	-0,641	-2,974
10,250	9,398	-32,437	-95,976	0,2244	-0,774	-2,291
10,300	7,654	-36,443	-62,204	0,1827	-0,870	-1,485
10,350	5,754	-38,657	-26,861	0,1374	-0,923	-0,641
10,400	3,789	-39,129	6,754	0,0904	-0,934	0,161
10,450	1,841	-37,982	39,427	0,0439	-0,907	0,941
10,500	-0,009	-35,186	71,157	-2,2500E-4	-0,840	1,699
10,550	-1,678	-30,866	99,117	-0,0401	-0,737	2,366
10,600	-3,096	-25,274	122,365	-0,0739	-0,603	2,921
10,650	-4,205	-18,630	140,115	-0,1004	-0,445	3,345
10,700	-4,959	-11,263	151,582	-0,1184	-0,269	3,619
10,750	-5,331	-3,471	156,923	-0,1273	-0,083	3,746
10,800	-5,306	4,430	155,509	-0,1267	0,106	3,712
10,850	-4,888	12,079	147,498	-0,1167	0,288	3,521
10,900	-4,098	19,179	133,832	-0,0978	0,458	3,195
10,950	-2,970	25,463	115,297	-0,0709	0,608	2,753
11,000	-1,552	30,709	92,363	-0,0371	0,733	2,205
11,050	0,101	34,699	64,874	0,0024	0,828	1,549
11,100	1,918	37,196	33,615	0,0458	0,888	0,803
11,150	3,820	38,060	0,628	0,0912	0,909	0,015
11,200	5,724	37,259	-33,301	0,1366	0,890	-0,795
11,250	7,546	34,730	-67,387	0,1801	0,829	-1,609
11,300	9,197	30,521	-98,332	0,2196	0,729	-2,347
11,350	10,598	24,897	-124,407	0,2530	0,594	-2,970
11,400	11,687	18,080	-144,985	0,2790	0,432	-3,461
11,450	12,406	10,399	-157,865	0,2962	0,248	-3,769
11,500	12,727	2,293	-162,263	0,3038	0,055	-3,874
11,550	12,635	-5,828	-158,965	0,3016	-0,139	-3,795
11,600	12,144	-13,603	-148,755	0,2899	-0,325	-3,551
11,650	11,275	-20,703	-131,790	0,2692	-0,494	-3,146
11,700	10,074	-26,782	-109,013	0,2405	-0,639	-2,603
11,750	8,597	-31,604	-81,524	0,2052	-0,755	-1,946
11,800	6,913	-34,935	-49,480	0,1650	-0,834	-1,181
11,850	5,104	-36,552	-16,022	0,1218	-0,873	-0,383
11,900	3,258	-36,537	15,394	0,0778	-0,872	0,368
11,950	1,450	-35,013	46,024	0,0346	-0,836	1,099
12,000	-0,243	-31,934	75,555	-0,0058	-0,762	1,804
12,050	-1,744	-27,458	100,531	-0,0416	-0,655	2,400
12,100	-2,989	-21,881	120,480	-0,0714	-0,522	2,876
12,150	-3,932	-15,410	135,717	-0,0939	-0,368	3,240
12,200	-4,530	-8,310	144,670	-0,1082	-0,198	3,454
12,250	-4,763	-0,942	147,184	-0,1137	-0,023	3,514
12,300	-4,624	6,409	143,885	-0,1104	0,153	3,435
12,350	-4,122	13,446	134,460	-0,0984	0,321	3,210
12,400	-3,280	19,855	120,166	-0,0783	0,474	2,869
12,450	-2,136	25,463	102,102	-0,0510	0,608	2,438
12,500	-0,734	30,065	79,011	-0,0175	0,718	1,886
12,550	0,870	33,364	51,208	0,0208	0,796	1,222
