4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 6,84V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 8V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 9V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 11V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 14V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s) 18V	Beschleunigung (m/s²)
2,100	0,071	2,592	-3,142	0,0017	0,062	-0,075	2,100	-0,104	-3,126	-16,179	-0,0025	-0,075	-0,386	2,100	6,673	-2,011	-81,367	0,1593	-0,048	-1,943	2,100	1,222	-6,346	-4,869	0,0292	-0,152	-0,116	2,100	-0,140	-1,901	-9,111	-0,0033	-0,045	-0,217	2,100	-0,184	-0,110	10,681	-0,0044	-0,003	0,255
2,150	0,196	2,403	-4,398	0,0047	0,057	-0,105	2,150	-0,281	-3,896	-13,980	-0,0067	-0,093	-0,334	2,150	6,470	-6,000	-77,126	0,1545	-0,143	-1,841	2,150	0,898	-6,393	2,985	0,0214	-0,153	0,071	2,150	-0,247	-2,278	-5,184	-0,0059	-0,054	-0,124	2,150	-0,176	0,408	9,425	-0,0042	0,010	0,225
2,200	0,311	2,152	-5,812	0,0074	0,051	-0,139	2,200	-0,493	-4,524	-11,624	-0,0118	-0,108	-0,278	2,200	6,073	-9,723	-70,215	0,1450	-0,232	-1,676	2,200	0,583	-6,048	10,839	0,0139	-0,144	0,259	2,200	-0,368	-2,419	4,441E-15	-0,0088	-0,058	-1,388E-16	2,200	-0,143	0,833	7,383	-0,0034	0,020	0,176
2,250	0,412	1,822	-7,226	0,0098	0,043	-0,173	2,250	-0,734	-5,058	-9,111	-0,0175	-0,121	-0,218	2,250	5,498	-13,022	-60,633	0,1313	-0,311	-1,448	2,250	0,294	-5,309	18,221	0,0070	-0,127	0,435	2,250	-0,489	-2,278	5,184	-0,0117	-0,054	0,124	2,250	-0,093	1,147	4,869	-0,0022	0,027	0,116
2,300	0,493	1,429	-8,325	0,0118	0,034	-0,199	2,300	-0,999	-5,435	-5,655	-0,0238	-0,130	-0,135	2,300	4,771	-15,787	-48,695	0,1139	-0,377	-1,163	2,300	0,052	-4,225	24,662	0,0012	-0,101	0,589	2,300	-0,595	-1,901	9,896	-0,0142	-0,045	0,236	2,300	-0,028	1,319	1,257	-6,7500E-4	0,031	0,030
2,350	0,554	0,990	-9,425	0,0132	0,024	-0,225	2,350	-1,277	-5,623	-2,356	-0,0305	-0,134	-0,056	2,350	3,919	-17,891	-34,715	0,0936	-0,427	-0,829	2,350	-0,129	-2,843	29,531	-0,0031	-0,068	0,705	2,350	-0,679	-1,288	13,980	-0,0162	-0,031	0,334	2,350	0,039	1,272	-3,142	9,3750E-4	0,030	-0,075
2,400	0,592	0,487	-9,739	0,0141	0,012	-0,233	2,400	-1,561	-5,671	1,100	-0,0373	-0,135	0,026	2,400	2,981	-19,258	-19,478	0,0712	-0,460	-0,465	2,400	-0,232	-1,272	31,730	-0,0056	-0,030	0,758	2,400	-0,724	-0,503	15,394	-0,0173	-0,012	0,368	2,400	0,099	1,005	-7,383	0,0024	0,024	-0,176
2,450	0,603	0,016	-8,639	0,0144	3,750E-4	-0,206	2,450	-1,844	-5,513	5,184	-0,0440	-0,132	0,124	2,450	1,993	-19,839	-3,770	0,0476	-0,474	-0,090	2,450	-0,256	0,330	31,416	-0,0061	0,008	0,750	2,450	-0,729	0,251	13,980	-0,0174	0,006	0,334	2,450	0,140	0,534	-10,524	0,0033	0,013	-0,251
2,500	0,594	-0,377	-7,540	0,0142	-0,009	-0,180	2,500	-2,113	-5,152	8,954	-0,0504	-0,123	0,214	2,500	0,997	-19,635	11,624	0,0238	-0,469	0,278	2,500	-0,199	1,869	29,217	-0,0048	0,045	0,698	2,500	-0,699	0,895	12,095	-0,0167	0,021	0,289	2,500	0,152	-0,047	-11,310	0,0036	-0,001	-0,270
2,550	0,565	-0,738	-6,912	0,0135	-0,018	-0,165	2,550	-2,359	-4,618	12,409	-0,0563	-0,110	0,296	2,550	0,030	-18,677	26,861	7,1250E-4	-0,446	0,641	2,550	-0,069	3,252	26,075	-0,0017	0,078	0,622	2,550	-0,639	1,461	10,367	-0,0153	0,035	0,248	2,550	0,135	-0,597	-9,896	0,0032	-0,014	-0,236
2,600	0,520	-1,068	-6,440	0,0124	-0,025	-0,154	2,600	-2,575	-3,911	15,551	-0,0615	-0,093	0,371	2,600	-0,870	-16,949	41,469	-0,0208	-0,405	0,990	2,600	0,126	4,477	22,148	0,0030	0,107	0,529	2,600	-0,553	1,932	7,854	-0,0132	0,046	0,187	2,600	0,093	-1,037	-7,226	0,0022	-0,025	-0,172
2,650	0,459	-1,382	-6,440	0,0109	-0,033	-0,154	2,650	-2,750	-3,063	18,378	-0,0657	-0,073	0,439	2,650	-1,665	-14,530	54,664	-0,0397	-0,347	1,305	2,650	0,379	5,466	16,336	0,0090	0,130	0,390	2,650	-0,446	2,246	4,084	-0,0106	0,054	0,097	2,650	0,031	-1,319	-3,613	7,5000E-4	-0,031	-0,086
2,700	0,382	-1,712	-6,283	0,0091	-0,041	-0,150	2,700	-2,881	-2,073	20,892	-0,0688	-0,050	0,499	2,700	-2,323	-11,483	65,973	-0,0555	-0,274	1,575	2,700	0,672	6,110	9,268	0,0160	0,146	0,221	2,700	-0,328	2,340	-0,628	-0,0078	0,056	-0,015	2,700	-0,039	-1,398	0,942	-9,3750E-4	-0,033	0,023
2,750	0,287	-2,011	-5,655	0,0069	-0,048	-0,135	2,750	-2,958	-0,974	21,363	-0,0706	-0,023	0,510	2,750	-2,813	-7,933	74,142	-0,0672	-0,189	1,770	2,750	0,990	6,393	1,885	0,0236	0,153	0,045	2,750	-0,212	2,183	-5,341	-0,0051	0,052	-0,128	2,750	-0,108	-1,225	5,969	-0,0026	-0,029	0,143
2,800	0,181	-2,278	-5,027	0,0043	-0,054	-0,120	2,800	-2,978	0,063	19,949	-0,0711	0,001	0,476	2,800	-3,116	-4,068	78,069	-0,0744	-0,097	1,864	2,800	1,312	6,299	-5,969	0,0313	0,150	-0,142	2,800	-0,110	1,806	-9,582	-0,0026	0,043	-0,229	2,800	-0,162	-0,801	9,896	-0,0039	-0,019	0,236
2,850	0,060	-2,513	-3,927	0,0014	-0,060	-0,094	2,850	-2,952	1,021	19,007	-0,0705	0,024	0,454	2,850	-3,220	-0,126	77,754	-0,0769	-0,003	1,856	2,850	1,619	5,796	-13,823	0,0387	0,138	-0,330	2,850	-0,031	1,225	-13,195	-7,5000E-4	0,029	-0,315	2,850	-0,188	-0,236	10,996	-0,0045	-0,006	0,262
2,900	-0,071	-2,670	-2,513	-0,0017	-0,064	-0,060	2,900	-2,876	1,963	18,064	-0,0687	0,047	0,431	2,900	-3,129	3,707	75,084	-0,0747	0,088	1,793	2,900	1,891	4,917	-20,892	0,0451	0,117	-0,499	2,900	0,013	0,487	-15,080	3,0000E-4	0,012	-0,360	2,900	-0,185	0,298	9,739	-0,0044	0,007	0,232
2,950	-0,207	-2,765	-1,100	-0,0050	-0,066	-0,026	2,950	-2,755	2,827	16,493	-0,0658	0,068	0,394	2,950	-2,849	7,383	70,843	-0,0680	0,176	1,691	2,950	2,111	3,707	-26,704	0,0504	0,089	-0,638	2,950	0,017	-0,283	-14,765	4,1250E-4	-0,007	-0,353	2,950	-0,159	0,738	8,011	-0,0038	0,018	0,191
3,000	-0,347	-2,780	0,471	-0,0083	-0,066	0,011	3,000	-2,593	3,613	14,765	-0,0619	0,086	0,352	3,000	-2,391	10,791	64,246	-0,0571	0,258	1,534	3,000	2,262	2,246	-30,473	0,0540	0,054	-0,728	3,000	-0,016	-0,990	-13,038	-3,7500E-4	-0,024	-0,311	3,000	-0,112	1,100	5,655	-0,0027	0,026	0,135
3,050	-0,485	-2,717	2,042	-0,0116	-0,065	0,049	3,050	-2,394	4,304	12,723	-0,0571	0,103	0,304	3,050	-1,770	13,807	55,135	-0,0423	0,330	1,316	3,050	2,336	0,660	-31,730	0,0558	0,016	-0,757	3,050	-0,082	-1,587	-10,839	-0,0019	-0,038	-0,259	3,050	-0,049	1,304	1,885	-0,0012	0,031	0,045
3,100	-0,619	-2,576	3,770	-0,0148	-0,061	0,090	3,100	-2,163	4,885	10,210	-0,0516	0,117	0,244	3,100	-1,010	16,305	43,982	-0,0241	0,389	1,050	3,100	2,328	-0,927	-30,631	0,0556	-0,022	-0,731	3,100	-0,174	-2,073	-7,854	-0,0042	-0,050	-0,187	3,100	0,019	1,288	-2,356	4,5000E-4	0,031	-0,056
3,150	-0,743	-2,340	5,341	-0,0177	-0,056	0,127	3,150	-1,905	5,325	7,069	-0,0455	0,127	0,169	3,150	-0,140	18,206	30,788	-0,0033	0,435	0,735	3,150	2,243	-2,403	-28,274	0,0535	-0,057	-0,675	3,150	-0,289	-2,372	-3,299	-0,0069	-0,057	-0,079	3,150	0,080	1,068	-6,440	0,0019	0,025	-0,154
3,200	-0,853	-2,042	6,440	-0,0204	-0,049	0,154	3,200	-1,630	5,592	3,613	-0,0389	0,134	0,086	3,200	0,811	19,384	15,865	0,0194	0,463	0,379	3,200	2,088	-3,754	-24,976	0,0498	-0,090	-0,596	3,200	-0,412	-2,403	1,885	-0,0098	-0,057	0,045	3,200	0,126	0,644	-9,739	0,0030	0,015	-0,233
3,250	-0,947	-1,696	7,383	-0,0226	-0,041	0,176	3,250	-1,346	5,686	-2,487E-13	-0,0321	0,136	-6,384E-15	3,250	1,799	19,792	0,157	0,0429	0,472	0,004	3,250	1,868	-4,901	-19,949	0,0446	-0,117	-0,476	3,250	-0,529	-2,183	6,912	-0,0126	-0,052	0,165	3,250	0,145	0,094	-11,153	0,0035	0,002	-0,266
3,300	-1,023	-1,304	8,168	-0,0244	-0,031	0,195	3,300	-1,062	5,592	-3,770	-0,0254	0,133	-0,090	3,300	2,790	19,399	-15,865	0,0666	0,463	-0,379	3,300	1,598	-5,749	-13,666	0,0381	-0,137	-0,326	3,300	-0,630	-1,712	11,781	-0,0150	-0,041	0,281	3,300	0,135	-0,471	-10,367	0,0032	-0,011	-0,247
3,350	-1,078	-0,880	8,954	-0,0257	-0,021	0,214	3,350	-0,787	5,309	-7,540	-0,0188	0,127	-0,180	3,350	3,738	18,206	-31,259	0,0893	0,435	-0,746	3,350	1,293	-6,267	-6,597	0,0309	-0,150	-0,157	3,350	-0,701	-1,005	14,923	-0,0167	-0,024	0,356	3,350	0,097	-0,942	-7,697	0,0023	-0,022	-0,184
3,400	-1,111	-0,408	8,639	-0,0265	-0,010	0,206	3,400	-0,531	4,838	-10,996	-0,0127	0,115	-0,262	3,400	4,610	16,273	-46,024	0,1101	0,388	-1,099	3,400	0,971	-6,409	1,100	0,0232	-0,153	0,026	3,400	-0,730	-0,220	15,080	-0,0174	-0,005	0,360	3,400	0,041	-1,241	-4,084	9,7500E-4	-0,030	-0,098
3,450	-1,118	-0,016	6,126	-0,0267	-3,750E-4	0,146	3,450	-0,303	4,210	-14,294	-0,0072	0,101	-0,341	3,450	5,366	13,603	-59,219	0,1281	0,325	-1,414	3,450	0,652	-6,158	8,796	0,0156	-0,147	0,210	3,450	-0,723	0,503	13,352	-0,0172	0,012	0,319	3,450	-0,027	-1,351	0,157	-6,3750E-4	-0,032	0,004
3,500	-1,112	0,204	3,927	-0,0266	0,005	0,094	3,500	-0,110	3,409	-17,279	-0,0026	0,081	-0,413	3,500	5,971	10,352	-69,743	0,1425	0,247	-1,665	3,500	0,355	-5,529	16,336	0,0085	-0,132	0,390	3,500	-0,680	1,115	11,467	-0,0162	0,027	0,274	3,500	-0,094	-1,225	5,027	-0,0022	-0,029	0,120
3,550	-1,098	0,377	3,613	-0,0262	0,009	0,086	3,550	0,038	2,482	-19,478	9,0000E-4	0,059	-0,465	3,550	6,401	6,629	-77,754	0,1528	0,158	-1,856	3,550	0,099	-4,524	23,405	0,0024	-0,108	0,559	3,550	-0,611	1,649	9,582	-0,0146	0,039	0,229	3,550	-0,149	-0,848	9,111	-0,0036	-0,020	0,217
3,600	-1,074	0,565	4,084	-0,0257	0,013	0,097	3,600	0,138	1,461	-20,735	0,0033	0,035	-0,495	3,600	6,633	2,576	-81,839	0,1584	0,061	-1,954	3,600	-0,097	-3,189	28,746	-0,0023	-0,076	0,686	3,600	-0,515	2,073	6,597	-0,0123	0,050	0,157	3,600	-0,179	-0,314	10,839	-0,0043	-0,008	0,259
3,650	-1,041	0,785	4,555	-0,0249	0,019	0,109	3,650	0,184	0,408	-20,420	0,0044	0,010	-0,488	3,650	6,659	-1,555	-81,210	0,1590	-0,037	-1,939	3,650	-0,220	-1,649	31,416	-0,0053	-0,039	0,750	3,650	-0,404	2,309	2,670	-0,0096	0,055	0,064	3,650	-0,181	0,236	10,053	-0,0043	0,006	0,240
3,700	-0,996	1,021	5,027	-0,0238	0,024	0,120	3,700	0,179	-0,581	-19,007	0,0043	-0,014	-0,454	3,700	6,478	-5,545	-77,126	0,1547	-0,132	-1,841	3,700	-0,262	-0,047	31,573	-0,0063	-0,001	0,754	3,700	-0,284	2,340	-2,199	-0,0068	0,056	-0,053	3,700	-0,156	0,691	8,168	-0,0037	0,017	0,195
3,750	-0,939	1,288	5,341	-0,0224	0,031	0,127	3,750	0,126	-1,492	-17,907	0,0030	-0,036	-0,428	3,750	6,104	-9,268	-70,529	0,1457	-0,221	-1,684	3,750	-0,225	1,508	29,845	-0,0054	0,036	0,713	3,750	-0,170	2,089	-7,226	-0,0040	0,050	-0,173	3,750	-0,112	1,052	5,969	-0,0027	0,025	0,142
3,800	-0,867	1,555	5,184	-0,0207	0,037	0,124	3,800	0,030	-2,372	-17,279	7,1250E-4	-0,057	-0,412	3,800	5,551	-12,598	-61,261	0,1325	-0,301	-1,462	3,800	-0,112	2,937	27,018	-0,0027	0,070	0,645	3,800	-0,075	1,618	-11,310	-0,0018	0,039	-0,270	3,800	-0,050	1,288	2,670	-0,0012	0,031	0,064
3,850	-0,784	1,806	4,869	-0,0187	0,043	0,116	3,850	-0,112	-3,220	-15,865	-0,0027	-0,077	-0,379	3,850	4,844	-15,394	-49,637	0,1157	-0,367	-1,185	3,850	0,069	4,210	23,405	0,0016	0,100	0,559	3,850	-0,008	0,958	-14,137	-1,8750E-4	0,023	-0,337	3,850	0,017	1,319	-1,571	4,1250E-4	0,031	-0,037
3,900	-0,686	2,042	4,084	-0,0164	0,049	0,098	3,900	-0,292	-3,958	-13,823	-0,0070	-0,094	-0,330	3,900	4,012	-17,562	-36,128	0,0958	-0,419	-0,863	3,900	0,309	5,278	18,064	0,0074	0,126	0,431	3,900	0,020	0,204	-15,080	4,8750E-4	0,005	-0,360	3,900	0,082	1,131	-6,126	0,0020	0,027	-0,146
3,950	-0,580	2,215	3,299	-0,0138	0,053	0,079	3,950	-0,507	-4,602	-11,781	-0,0121	-0,110	-0,281	3,950	3,088	-19,007	-21,363	0,0737	-0,454	-0,510	3,950	0,597	6,016	11,153	0,0142	0,144	0,266	3,950	0,013	-0,550	-14,451	3,0000E-4	-0,013	-0,345	3,950	0,130	0,707	-9,582	0,0031	0,017	-0,229
4,000	-0,465	2,372	2,985	-0,0111	0,057	0,071	4,000	-0,752	-5,137	-8,954	-0,0180	-0,123	-0,214	4,000	2,111	-19,698	-5,812	0,0504	-0,470	-0,139	4,000	0,911	6,393	3,613	0,0217	0,153	0,086	4,000	-0,035	-1,241	-12,409	-8,2500E-4	-0,030	-0,296	4,000	0,152	0,173	-10,996	0,0036	0,004	-0,262
4,050	-0,342	2,513	2,199	-0,0082	0,060	0,052	4,050	-1,021	-5,498	-5,498	-0,0244	-0,131	-0,131	4,050	1,118	-19,588	9,896	0,0267	-0,468	0,236	4,050	1,236	6,377	-4,241	0,0295	0,152	-0,101	4,050	-0,112	-1,791	-9,739	-0,0027	-0,043	-0,232	4,050	0,148	-0,393	-10,681	0,0035	-0,009	-0,255
4,100	-0,214	2,592	0,942	-0,0051	0,062	0,022	4,100	-1,302	-5,686	-2,199	-0,0311	-0,136	-0,053	4,100	0,152	-18,708	24,819	0,0036	-0,447	0,592	4,100	1,549	5,969	-11,938	0,0370	0,142	-0,285	4,100	-0,214	-2,215	-6,283	-0,0051	-0,053	-0,150	4,100	0,113	-0,895	-8,482	0,0027	-0,021	-0,203
4,150	-0,083	2,608	-0,471	-0,0020	0,062	-0,011	4,150	-1,590	-5,718	1,414	-0,0380	-0,137	0,034	4,150	-0,752	-17,106	39,270	-0,0180	-0,408	0,937	4,150	1,833	5,184	-19,164	0,0438	0,124	-0,457	4,150	-0,333	-2,419	-1,414	-0,0079	-0,058	-0,034	4,150	0,058	-1,241	-4,869	0,0014	-0,030	-0,116
4,200	0,047	2,545	-1,885	0,0011	0,061	-0,045	4,200	-1,874	-5,545	5,184	-0,0447	-0,132	0,124	4,200	-1,558	-14,781	52,936	-0,0372	-0,353	1,264	4,200	2,067	4,053	-25,447	0,0493	0,097	-0,608	4,200	-0,456	-2,356	3,770	-0,0109	-0,056	0,090	4,200	-0,011	-1,382	-0,628	-2,6250E-4	-0,033	-0,015
4,250	0,171	2,419	-3,299	0,0041	0,058	-0,079	4,250	-2,144	-5,199	8,796	-0,0512	-0,124	0,210	4,250	-2,231	-11,812	64,246	-0,0532	-0,282	1,534	4,250	2,238	2,639	-30,002	0,0534	0,063	-0,716	4,250	-0,569	-2,042	8,796	-0,0136	-0,049	0,210	4,250	-0,080	-1,304	3,927	-0,0019	-0,031	0,094
4,300	0,289	2,215	-4,869	0,0069	0,053	-0,116	4,300	-2,394	-4,665	12,723	-0,0572	-0,111	0,304	4,300	-2,739	-8,357	72,728	-0,0654	-0,199	1,736	4,300	2,331	1,052	-31,887	0,0556	0,025	-0,761	4,300	-0,660	-1,477	13,509	-0,0158	-0,035	0,323	4,300	-0,141	-0,990	8,639	-0,0034	-0,024	0,206
4,350	0,393	1,932	-6,440	0,0094	0,046	-0,154	4,350	-2,611	-3,927	16,179	-0,0623	-0,094	0,386	4,350	-3,066	-4,540	77,597	-0,0732	-0,108	1,852	4,350	2,344	-0,550	-31,259	0,0559	-0,013	-0,746	4,350	-0,716	-0,691	15,551	-0,0171	-0,016	0,371	4,350	-0,179	-0,440	11,153	-0,0043	-0,010	0,266
4,400	0,482	1,571	-8,011	0,0115	0,037	-0,191	4,400	-2,787	-3,047	19,007	-0,0665	-0,073	0,454	4,400	-3,193	-0,597	77,754	-0,0762	-0,014	1,856	4,400	2,276	-2,073	-29,217	0,0543	-0,050	-0,698	4,400	-0,729	0,079	14,294	-0,0174	0,002	0,341	4,400	-0,185	0,126	10,367	-0,0044	0,003	0,247
4,450	0,550	1,131	-9,268	0,0131	0,027	-0,221	4,450	-2,915	-2,026	21,206	-0,0696	-0,048	0,506	4,450	-3,126	3,236	75,084	-0,0746	0,077	1,793	4,450	2,136	-3,471	-25,918	0,0510	-0,083	-0,619	4,450	-0,708	0,738	12,566	-0,0169	0,018	0,300	4,450	-0,167	0,597	8,639	-0,0040	0,014	0,206
4,500	0,595	0,644	-10,053	0,0142	0,015	-0,240	4,500	-2,989	-0,927	21,991	-0,0714	-0,022	0,525	4,500	-2,870	6,912	71,000	-0,0685	0,165	1,695	4,500	1,929	-4,665	-21,206	0,0460	-0,111	-0,506	4,500	-0,655	1,335	10,996	-0,0156	0,032	0,263	4,500	-0,126	0,990	6,440	-0,0030	0,024	0,154
4,550	0,614	0,126	-9,582	0,0147	0,003	-0,229	4,550	-3,008	0,173	21,206	-0,0718	0,004	0,506	4,550	-2,435	10,336	64,874	-0,0581	0,247	1,549	4,550	1,670	-5,592	-15,394	0,0399	-0,133	-0,367	4,550	-0,575	1,838	8,796	-0,0137	0,044	0,210	4,550	-0,068	1,241	3,299	-0,0016	0,030	0,079
4,600	0,608	-0,314	-8,325	0,0145	-0,007	-0,199	4,600	-2,972	1,194	19,478	-0,0709	0,028	0,465	4,600	-1,836	13,399	56,235	-0,0438	0,320	1,342	4,600	1,370	-6,205	-8,325	0,0327	-0,148	-0,199	4,600	-0,471	2,215	5,341	-0,0113	0,053	0,127	4,600	-0,002	1,319	-0,471	-3,7500E-5	0,031	-0,011
4,650	0,583	-0,707	-7,854	0,0139	-0,017	-0,188	4,650	-2,889	2,121	17,907	-0,0690	0,051	0,428	4,650	-1,095	15,959	45,239	-0,0261	0,381	1,080	4,650	1,049	-6,425	-0,628	0,0250	-0,153	-0,015	4,650	-0,353	2,372	0,628	-0,0084	0,057	0,015	4,650	0,064	1,194	-4,869	0,0015	0,029	-0,116
4,700	0,537	-1,100	-7,854	0,0128	-0,026	-0,187	4,700	-2,760	2,985	16,808	-0,0659	0,071	0,401	4,700	-0,240	17,923	32,358	-0,0057	0,428	0,773	4,700	0,727	-6,267	7,069	0,0174	-0,150	0,169	4,700	-0,234	2,278	-4,241	-0,0056	0,054	-0,101	4,700	0,118	0,833	-8,954	0,0028	0,020	-0,214
4,750	0,473	-1,492	-7,697	0,0113	-0,036	-0,184	4,750	-2,590	3,801	15,237	-0,0618	0,091	0,364	4,750	0,697	19,195	17,750	0,0167	0,458	0,424	4,750	0,423	-5,718	14,765	0,0101	-0,137	0,353	4,750	-0,126	1,948	-8,796	-0,0030	0,047	-0,210	4,750	0,148	0,298	-11,153	0,0035	0,007	-0,266
4,800	0,388	-1,869	-7,226	0,0093	-0,045	-0,173	4,800	-2,380	4,508	12,566	-0,0568	0,108	0,300	4,800	1,679	19,698	2,199	0,0401	0,470	0,052	4,800	0,156	-4,791	21,834	0,0037	-0,114	0,521	4,800	-0,039	1,398	-12,566	-9,3750E-4	0,033	-0,300	4,800	0,148	-0,283	-10,839	0,0035	-0,007	-0,259
4,850	0,286	-2,215	-6,597	0,0068	-0,053	-0,158	4,850	-2,139	5,058	9,739	-0,0511	0,121	0,233	4,850	2,667	19,415	-13,666	0,0637	0,463	-0,326	4,850	-0,057	-3,534	27,489	-0,0014	-0,084	0,656	4,850	0,014	0,691	-14,923	3,3750E-4	0,016	-0,356	4,850	0,119	-0,785	-8,954	0,0029	-0,019	-0,214
4,900	0,167	-2,529	-5,812	0,0040	-0,060	-0,139	4,900	-1,874	5,482	6,597	-0,0447	0,131	0,158	4,900	3,621	18,331	-29,374	0,0864	0,438	-0,701	4,900	-0,198	-2,042	30,788	-0,0047	-0,049	0,735	4,900	0,030	-0,094	-15,237	7,1250E-4	-0,002	-0,364	4,900	0,069	-1,178	-5,969	0,0017	-0,028	-0,143
4,950	0,033	-2,796	-4,555	7,8750E-4	-0,067	-0,109	4,950	-1,591	5,718	2,985	-0,0380	0,137	0,071	4,950	4,500	16,478	-44,296	0,1074	0,393	-1,058	4,950	-0,261	-0,456	31,573	-0,0062	-0,011	0,754	4,950	0,005	-0,833	-13,823	1,1250E-4	-0,020	-0,330	4,950	0,002	-1,382	-1,571	3,7500E-5	-0,033	-0,037
5,000	-0,113	-2,985	-2,985	-0,0027	-0,071	-0,071	5,000	-1,302	5,781	-0,628	-0,0311	0,138	-0,015	5,000	5,268	13,902	-57,648	0,1258	0,332	-1,376	5,000	-0,243	1,115	30,631	-0,0058	0,027	0,731	5,000	-0,053	-1,477	-11,781	-0,0013	-0,035	-0,281	5,000	-0,069	-1,335	3,299	-0,0016	-0,032	0,079
5,050	-0,265	-3,094	-1,414	-0,0063	-0,074	-0,034	5,050	-1,013	5,655	-4,555	-0,0242	0,135	-0,109	5,050	5,890	10,713	-68,487	0,1406	0,256	-1,635	5,050	-0,149	2,608	28,274	-0,0036	0,062	0,675	5,050	-0,143	-2,011	-8,639	-0,0034	-0,048	-0,206	5,050	-0,132	-1,052	7,854	-0,0031	-0,025	0,187
5,100	-0,423	-3,126	0,785	-0,0101	-0,075	0,019	5,100	-0,737	5,325	-8,325	-0,0176	0,127	-0,199	5,100	6,340	7,053	-76,498	0,1514	0,168	-1,826	5,100	0,017	3,943	24,347	4,1250E-4	0,094	0,581	5,100	-0,254	-2,340	-4,555	-0,0061	-0,056	-0,109	5,100	-0,174	-0,550	10,524	-0,0042	-0,013	0,251
5,150	-0,578	-3,016	3,142	-0,0138	-0,072	0,075	5,150	-0,481	4,822	-11,781	-0,0115	0,115	-0,281	5,150	6,596	3,063	-81,053	0,1575	0,073	-1,935	5,150	0,245	5,042	19,164	0,0058	0,120	0,458	5,150	-0,377	-2,466	0,314	-0,0090	-0,059	0,008	5,150	-0,187	0,000	10,524	-0,0045	0,000	0,251
5,200	-0,724	-2,812	4,712	-0,0173	-0,067	0,113	5,200	-0,254	4,147	-15,080	-0,0061	0,099	-0,360	5,200	6,646	-1,052	-81,367	0,1587	-0,025	-1,943	5,200	0,522	5,859	12,566	0,0124	0,140	0,300	5,200	-0,501	-2,309	5,969	-0,0120	-0,055	0,143	5,200	-0,174	0,503	9,268	-0,0042	0,012	0,221
5,250	-0,859	-2,545	6,283	-0,0205	-0,061	0,150	5,250	-0,066	3,314	-17,907	-0,0016	0,079	-0,428	5,250	6,491	-5,074	-77,754	0,1550	-0,121	-1,856	5,250	0,831	6,299	5,184	0,0198	0,150	0,124	5,250	-0,608	-1,869	10,996	-0,0145	-0,045	0,263	5,250	-0,137	0,927	7,069	-0,0033	0,022	0,169
5,300	-0,979	-2,183	8,011	-0,0234	-0,052	0,191	5,300	0,077	2,356	-19,949	0,0018	0,056	-0,476	5,300	6,139	-8,828	-71,000	0,1466	-0,211	-1,695	5,300	1,151	6,377	-2,042	0,0275	0,152	-0,049	5,300	-0,688	-1,210	14,451	-0,0164	-0,029	0,345	5,300	-0,082	1,210	4,084	-0,0019	0,029	0,098
5,350	-1,078	-1,744	9,425	-0,0257	-0,042	0,225	5,350	0,170	1,319	-20,892	0,0040	0,032	-0,499	5,350	5,608	-12,174	-62,047	0,1339	-0,291	-1,481	5,350	1,469	6,095	-9,896	0,0351	0,145	-0,236	5,350	-0,729	-0,424	15,394	-0,0174	-0,010	0,368	5,350	-0,016	1,335	0,314	-3,7500E-4	0,032	0,008
