4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibrier-6.84V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibirier-8.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-9.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-11.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-14.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V	4-Kalibrier-18.00V
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 6,84V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 8V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 9V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 11V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m) 14V	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s) 18V	Beschleunigung (m/s²)
0,600	0,506	-1,351	-7,697	0,0121	-0,032	-0,184	0,600	-1,268	-5,545	-2,356	-0,0303	-0,132	-0,056	0,600	6,476	-6,409	-77,440	0,1546	-0,153	-1,849	0,600	2,306	-1,587	-29,845	0,0550	-0,038	-0,712	0,600	-0,625	1,587	10,053	-0,0149	0,038	0,240	0,600	-0,184	0,094	10,524	-0,0044	0,002	0,251
0,650	0,429	-1,744	-7,540	0,0102	-0,042	-0,180	0,650	-1,547	-5,576	0,942	-0,0369	-0,133	0,023	0,650	6,059	-10,132	-70,058	0,1446	-0,242	-1,673	0,650	2,190	-3,032	-27,175	0,0523	-0,072	-0,649	0,650	-0,533	2,042	7,069	-0,0127	0,049	0,169	0,650	-0,165	0,581	8,796	-0,0039	0,014	0,210
0,700	0,331	-2,105	-6,912	0,0079	-0,050	-0,165	0,700	-1,825	-5,451	4,555	-0,0436	-0,130	0,109	0,700	5,463	-13,415	-60,004	0,1304	-0,320	-1,433	0,700	2,003	-4,304	-22,934	0,0478	-0,103	-0,548	0,700	-0,421	2,293	2,985	-0,0101	0,055	0,071	0,700	-0,126	0,974	6,597	-0,0030	0,023	0,158
0,750	0,218	-2,435	-6,126	0,0052	-0,058	-0,146	0,750	-2,092	-5,121	8,482	-0,0500	-0,122	0,203	0,750	4,717	-16,132	-47,752	0,1126	-0,385	-1,140	0,750	1,759	-5,325	-17,436	0,0420	-0,127	-0,416	0,750	-0,303	2,340	-1,414	-0,0072	0,056	-0,034	0,750	-0,068	1,241	3,456	-0,0016	0,030	0,082
0,800	0,088	-2,717	-4,869	0,0021	-0,065	-0,116	0,800	-2,337	-4,602	12,095	-0,0558	-0,110	0,289	0,800	3,850	-18,190	-33,772	0,0919	-0,434	-0,806	0,800	1,470	-6,048	-10,839	0,0351	-0,144	-0,259	0,800	-0,187	2,152	-6,440	-0,0045	0,051	-0,154	0,800	-0,002	1,319	-0,314	-3,7500E-5	0,031	-0,008
0,850	-0,053	-2,922	-3,456	-0,0013	-0,070	-0,083	0,850	-2,553	-3,911	15,394	-0,0609	-0,093	0,367	0,850	2,898	-19,509	-18,378	0,0692	-0,466	-0,439	0,850	1,155	-6,409	-3,299	0,0276	-0,153	-0,079	0,850	-0,088	1,696	-10,996	-0,0021	0,040	-0,262	0,850	0,064	1,210	-4,712	0,0015	0,029	-0,112
0,900	-0,204	-3,063	-1,885	-0,0049	-0,073	-0,045	0,900	-2,728	-3,063	18,064	-0,0651	-0,073	0,431	0,900	1,899	-20,028	-2,199	0,0453	-0,478	-0,053	0,900	0,829	-6,377	4,712	0,0198	-0,152	0,112	0,900	-0,017	1,052	-13,823	-4,1250E-4	0,025	-0,330	0,900	0,119	0,848	-8,954	0,0028	0,020	-0,214
0,950	-0,360	-3,110	0,000	-0,0086	-0,074	-1,388E-16	0,950	-2,859	-2,105	20,263	-0,0683	-0,050	0,484	0,950	0,895	-19,729	13,666	0,0214	-0,471	0,326	0,950	0,517	-5,938	12,723	0,0123	-0,142	0,304	0,950	0,017	0,314	-14,923	4,1250E-4	0,008	-0,356	0,950	0,149	0,314	-11,153	0,0036	0,008	-0,266
1,000	-0,515	-3,063	2,042	-0,0123	-0,073	0,049	1,000	-2,939	-1,037	21,206	-0,0702	-0,025	0,506	1,000	-0,074	-18,661	28,589	-0,0018	-0,445	0,683	1,000	0,236	-5,105	19,792	0,0056	-0,122	0,473	1,000	0,014	-0,440	-14,451	3,3750E-4	-0,011	-0,345	1,000	0,151	-0,267	-10,996	0,0036	-0,006	-0,262
1,050	-0,666	-2,906	4,084	-0,0159	-0,069	0,098	1,050	-2,963	0,016	20,106	-0,0707	3,750E-4	0,480	1,050	-0,971	-16,870	43,040	-0,0232	-0,403	1,028	1,050	0,006	-3,958	25,761	1,5000E-4	-0,094	0,615	1,050	-0,027	-1,131	-12,723	-6,3750E-4	-0,027	-0,304	1,050	0,123	-0,785	-9,111	0,0029	-0,019	-0,217
