	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
	394,200	150,13	99,78	50,35	0,031	-2,513	81,721	7,5000E-4	-0,060	1,951	59,7
	394,300	184,04	99,78	84,27	1,277	9,252	-16,808	0,0305	0,221	-0,401	59,7
	394,400	109,38	99,77	9,61	1,882	-5,875	-65,973	0,0449	-0,140	-1,575	59,8
	394,500	152,89	99,77	53,11	0,102	-3,943	75,673	0,0024	-0,094	1,807	59,8
	394,600	201,70	99,78	101,92	1,093	9,260	-2,238	0,0261	0,221	-0,053	59,8
	394,700	108,41	99,77	8,64	1,954	-4,390	-72,728	0,0466	-0,105	-1,736	59,8
	394,800	129,70	99,77	29,93	0,215	-5,286	66,523	0,0051	-0,126	1,588	59,8
	394,900	200,69	99,78	100,90	0,897	8,914	13,273	0,0214	0,213	0,317	59,8
	395,000	122,75	99,77	22,98	1,998	-2,631	-77,048	0,0477	-0,063	-1,839	59,9
	395,100	131,64	99,78	31,86	0,371	-6,495	53,957	0,0088	-0,155	1,288	59,9
	395,200	199,75	99,78	99,97	0,699	8,160	28,981	0,0167	0,195	0,692	59,9
	395,300	121,19	99,78	21,42	2,003	-0,699	-78,147	0,0478	-0,017	-1,866	59,9
	395,400	133,38	99,78	33,60	0,559	-7,469	39,113	0,0133	-0,178	0,934	59,9
	395,500	203,40	99,78	103,62	0,509	7,124	43,786	0,0121	0,170	1,045	59,9
	395,600	119,50	99,77	19,73	1,984	1,288	-76,694	0,0474	0,031	-1,831	60,0
	395,700	115,78	99,78	16,01	0,767	-8,215	22,894	0,0183	-0,196	0,547	60,0
	395,800	203,95	99,78	104,17	0,341	5,867	56,902	0,0081	0,140	1,358	60,0
	395,900	141,35	99,78	41,57	1,940	3,165	-72,806	0,0463	0,076	-1,738	60,0
	396,000	117,16	99,77	17,39	0,974	-8,694	6,597	0,0232	-0,208	0,157	60,0
	396,100	191,24	99,78	91,46	0,201	4,485	67,937	0,0048	0,107	1,622	60,0
	396,200	138,75	99,78	38,97	1,871	4,893	-66,837	0,0447	0,117	-1,596	60,1
	396,300	106,98	99,77	7,20	1,180	-8,883	-9,582	0,0282	-0,212	-0,229	60,1
	396,400	192,96	99,78	93,18	0,094	2,977	76,930	0,0022	0,071	1,837	60,1
	396,500	166,78	99,78	67,00	1,775	6,503	-58,748	0,0424	0,155	-1,402	60,1
	396,600	107,42	99,77	7,65	1,395	-8,773	-26,154	0,0333	-0,209	-0,624	60,1
	396,700	169,17	99,78	69,39	0,020	1,272	83,017	4,8750E-4	0,030	1,982	60,1
	396,800	165,06	99,77	65,29	1,649	7,830	-47,674	0,0394	0,187	-1,138	60,1
	396,900	105,25	99,77	5,48	1,587	-8,262	-41,430	0,0379	-0,197	-0,989	60,2
	397,000	171,17	99,78	71,39	-0,003	-0,456	84,980	-7,5000E-5	-0,011	2,029	60,2
	397,100	190,94	99,78	91,16	1,495	8,734	-34,675	0,0357	0,208	-0,828	60,2
	397,200	105,04	99,77	5,27	1,744	-7,391	-54,075	0,0416	-0,176	-1,291	60,2
	397,300	173,52	99,78	73,74	0,017	-2,081	82,820	4,1250E-4	-0,050	1,977	60,2
	397,400	188,61	99,78	88,83	1,327	9,173	-20,892	0,0317	0,219	-0,499	60,2
	397,500	104,91	99,77	5,13	1,852	-6,260	-63,382	0,0442	-0,149	-1,513	60,3
	397,600	148,19	99,77	48,42	0,075	-3,503	77,794	0,0018	-0,084	1,857	60,3
	397,700	185,97	99,78	86,19	1,151	9,299	-6,872	0,0275	0,222	-0,164	60,3
	397,800	110,13	99,77	10,36	1,935	-4,877	-70,882	0,0462	-0,116	-1,692	60,3
	397,900	150,80	99,77	51,03	0,176	-4,877	69,704	0,0042	-0,116	1,664	60,3
	398,000	202,69	99,78	102,91	0,960	9,064	8,443	0,0229	0,216	0,202	60,3
	398,100	109,42	99,77	9,64	1,989	-3,189	-76,184	0,0475	-0,076	-1,819	60,4
	398,200	127,84	99,77	28,06	0,322	-6,173	58,002	0,0077	-0,147	1,385	60,4
	398,300	201,91	99,78	102,13	0,754	8,412	24,740	0,0180	0,201	0,591	60,4
	398,400	125,04	99,77	25,27	2,004	-1,225	-78,344	0,0478	-0,029	-1,870	60,4
	398,500	129,33	99,78	29,55	0,509	-7,257	43,158	0,0121	-0,173	1,030	60,4
	398,600	201,94	99,78	102,17	0,553	7,406	40,448	0,0132	0,177	0,966	60,5
	398,700	123,52	99,77	23,75	1,990	0,833	-77,362	0,0475	0,020	-1,847	60,5
	398,800	113,18	99,77	13,41	0,719	-8,066	26,704	0,0172	-0,193	0,638	60,5
	398,900	202,98	99,78	103,20	0,377	6,173	53,878	0,0090	0,147	1,286	60,5
	399,000	146,57	99,77	46,80	1,954	2,710	-73,827	0,0466	0,065	-1,762	60,5
	399,100	114,62	99,77	14,85	0,919	-8,592	10,799	0,0219	-0,205	0,258	60,5
	399,200	187,50	99,78	87,72	0,236	4,869	65,110	0,0056	0,116	1,554	60,6
	399,300	143,48	99,77	43,71	1,893	4,430	-68,683	0,0452	0,106	-1,640	60,6
	399,400	115,95	99,77	16,18	1,122	-8,867	-5,105	0,0268	-0,212	-0,122	60,6
	399,500	189,48	99,78	89,70	0,119	3,409	74,888	0,0028	0,081	1,788	60,6
	399,600	141,59	99,77	41,82	1,803	6,110	-61,222	0,0430	0,146	-1,462	60,6
	399,700	106,43	99,77	6,66	1,341	-8,836	-21,873	0,0320	-0,211	-0,522	60,6
	399,800	191,18	99,78	91,40	0,036	1,736	81,564	8,6250E-4	0,041	1,947	60,6
	399,900	169,65	99,77	69,88	1,689	7,477	-50,933	0,0403	0,179	-1,216	60,7
	400,000	106,93	99,77	7,17	1,532	-8,451	-37,032	0,0366	-0,202	-0,884	60,7
	400,100	166,99	99,77	67,22	-0,002	0,071	84,745	-3,7500E-5	0,002	2,023	60,7
	400,200	167,71	99,77	67,94	1,546	8,498	-38,838	0,0369	0,203	-0,927	60,7
	400,300	105,45	99,77	5,68	1,698	-7,697	-50,344	0,0405	-0,184	-1,202	60,7
	400,400	169,27	99,78	69,49	0,006	-1,571	83,841	1,5000E-4	-0,038	2,002	60,7
	400,500	192,23	99,78	92,45	1,384	9,071	-25,408	0,0330	0,217	-0,607	60,8
	400,600	105,22	99,77	5,45	1,821	-6,652	-60,711	0,0435	-0,159	-1,449	60,8
	400,700	143,78	99,77	44,01	0,053	-3,071	79,757	0,0013	-0,073	1,904	60,8
	400,800	190,17	99,78	90,39	1,206	9,299	-11,231	0,0288	0,222	-0,268	60,8
	400,900	112,36	99,77	12,59	1,913	-5,317	-68,919	0,0457	-0,127	-1,645	60,8
	401,000	146,14	99,78	46,37	0,143	-4,485	72,414	0,0034	-0,107	1,729	60,8
	401,100	203,94	99,78	104,17	1,016	9,166	3,966	0,0243	0,219	0,095	60,9
	401,200	111,41	99,77	11,64	1,976	-3,691	-75,045	0,0472	-0,088	-1,792	60,9
	401,300	147,98	99,77	48,21	0,278	-5,843	61,615	0,0066	-0,140	1,471	60,9
	401,400	203,52	99,78	103,74	0,807	8,632	20,303	0,0193	0,206	0,485	60,9
	401,500	110,55	99,77	10,78	2,004	-1,783	-77,990	0,0478	-0,043	-1,862	60,9
	401,600	125,85	99,77	26,08	0,451	-6,966	47,556	0,0108	-0,166	1,135	60,9
	401,700	203,01	99,78	103,23	0,611	7,728	35,893	0,0146	0,185	0,857	61,0
	401,800	127,22	99,77	27,45	1,996	0,212	-77,833	0,0477	0,005	-1,858	61,0
	401,900	127,46	99,77	27,69	0,653	-7,838	31,769	0,0156	-0,187	0,758	61,0
	402,000	201,18	99,78	101,40	0,429	6,566	49,873	0,0102	0,157	1,191	61,0
	402,100	124,87	99,77	25,09	1,967	2,136	-75,123	0,0469	0,051	-1,793	61,0
	402,200	112,38	99,78	12,60	0,856	-8,459	15,708	0,0204	-0,202	0,375	61,0
	402,300	202,43	99,78	102,65	0,275	5,278	62,204	0,0066	0,126	1,485	61,1
	402,400	148,91	99,77	49,13	1,912	3,982	-70,529	0,0456	0,095	-1,684	61,1
	402,500	113,47	99,77	13,69	1,071	-8,828	-1,021	0,0256	-0,211	-0,024	61,1
	402,600	185,36	99,78	85,58	0,146	3,778	72,728	0,0035	0,090	1,736	61,1
	402,700	146,74	99,78	46,96	1,827	5,718	-63,264	0,0436	0,137	-1,510	61,1
	402,800	105,64	99,77	5,87	1,290	-8,875	-17,829	0,0308	-0,212	-0,426	61,1
	402,900	187,33	99,78	87,55	0,052	2,152	80,189	0,0012	0,051	1,914	61,2
	403,000	174,77	99,78	75,00	1,720	7,163	-53,682	0,0411	0,171	-1,282	61,2
	403,100	106,04	99,77	6,27	1,484	-8,584	-33,340	0,0354	-0,205	-0,796	61,2
	403,200	162,34	99,78	62,56	0,003	0,495	84,313	7,5000E-5	0,012	2,013	61,2
	403,300	172,69	99,78	72,91	1,583	8,278	-42,058	0,0378	0,198	-1,004	61,2
	403,400	106,36	99,78	6,59	1,659	-7,917	-47,124	0,0396	-0,189	-1,125	61,2
	403,500	164,71	99,78	64,93	-7,994E-15	-1,147	84,313	-4,1633E-17	-0,027	2,013	61,2
	403,600	169,79	99,78	70,01	1,429	8,946	-29,099	0,0341	0,214	-0,695	61,2
	403,700	105,83	99,77	6,06	1,789	-6,966	-57,923	0,0427	-0,166	-1,383	61,3
	403,800	167,23	99,78	67,45	0,036	-2,639	81,132	8,6250E-4	-0,063	1,937	61,3
	403,900	193,80	99,78	94,02	1,261	9,260	-15,590	0,0301	0,221	-0,372	61,3
	404,000	105,43	99,77	5,66	1,888	-5,757	-66,523	0,0451	-0,137	-1,588	61,3
	404,100	142,05	99,77	42,28	0,110	-4,045	75,045	0,0026	-0,097	1,792	61,3
	404,200	191,98	99,78	92,20	1,079	9,252	-1,060	0,0258	0,221	-0,025	61,3
	404,300	113,56	99,77	13,79	1,960	-4,257	-73,356	0,0468	-0,102	-1,751	61,4
	404,400	144,03	99,77	44,26	0,228	-5,419	65,581	0,0054	-0,129	1,566	61,4
	404,500	204,33	99,78	104,55	0,877	8,859	14,805	0,0209	0,212	0,353	61,4
	404,600	112,37	99,77	12,59	2,000	-2,458	-77,244	0,0477	-0,059	-1,844	61,4
	404,700	123,06	99,77	23,29	0,385	-6,589	52,740	0,0092	-0,157	1,259	61,4
	404,800	203,89	99,78	104,11	0,682	8,090	30,277	0,0163	0,193	0,723	61,5
	404,900	130,64	99,77	30,86	2,003	-0,534	-78,147	0,0478	-0,013	-1,866	61,5
	405,000	124,59	99,78	24,81	0,575	-7,540	37,856	0,0137	-0,180	0,904	61,5
	405,100	199,36	99,78	99,58	0,495	7,037	44,807	0,0118	0,168	1,070	61,5
	405,200	128,32	99,77	28,55	1,982	1,422	-76,459	0,0473	0,034	-1,825	61,5
	405,300	126,58	99,77	26,81	0,779	-8,255	21,834	0,0186	-0,197	0,521	61,5
	405,400	200,86	99,78	101,08	0,331	5,788	57,491	0,0079	0,138	1,373	61,5
	405,500	125,65	99,77	25,88	1,937	3,244	-72,453	0,0462	0,077	-1,730	61,5
	405,600	111,93	99,77	12,16	0,980	-8,702	6,048	0,0234	-0,208	0,144	61,6
	405,700	202,06	99,78	102,28	0,196	4,453	68,330	0,0047	0,106	1,631	61,6
	405,800	149,90	99,78	50,13	1,871	4,964	-66,759	0,0447	0,119	-1,594	61,6
	405,900	113,08	99,77	13,30	1,189	-8,899	-10,171	0,0284	-0,212	-0,243	61,6
	406,000	184,72	99,78	84,94	0,091	2,930	77,087	0,0022	0,070	1,840	61,6
	406,100	147,41	99,77	47,63	1,775	6,519	-58,473	0,0424	0,156	-1,396	61,6
	406,200	105,58	99,77	5,81	1,395	-8,765	-26,154	0,0333	-0,209	-0,624	61,7
	406,300	186,83	99,78	87,06	0,022	1,288	82,781	5,2500E-4	0,031	1,976	61,7
	406,400	175,67	99,77	75,89	1,652	7,791	-47,831	0,0394	0,186	-1,142	61,7
	406,500	105,91	99,77	6,14	1,580	-8,278	-40,762	0,0377	-0,198	-0,973	61,7
	406,600	161,91	99,77	62,14	-0,003	-0,361	84,745	-7,5000E-5	-0,009	2,023	61,7
	406,700	173,02	99,78	73,24	1,508	8,671	-35,539	0,0360	0,207	-0,848	61,7
	406,800	106,30	99,77	6,53	1,731	-7,469	-53,054	0,0413	-0,178	-1,267	61,8
	406,900	164,29	99,78	64,51	0,014	-1,940	83,095	3,3750E-4	-0,046	1,984	61,8
	407,000	195,94	99,78	96,16	1,343	9,150	-22,148	0,0321	0,218	-0,529	61,8
	407,100	105,85	99,77	6,07	1,844	-6,370	-62,636	0,0440	-0,152	-1,495	61,8
	407,200	139,45	99,78	39,67	0,069	-3,377	78,383	0,0016	-0,081	1,871	61,8
	407,300	194,18	99,78	94,40	1,169	9,307	-8,090	0,0279	0,222	-0,193	61,8
	407,400	105,52	99,78	5,74	1,931	-4,995	-70,686	0,0461	-0,119	-1,688	61,8
	407,500	141,09	99,77	41,31	0,170	-4,830	70,411	0,0040	-0,115	1,681	61,9
	407,600	193,22	99,78	93,44	0,964	9,087	7,933	0,0230	0,217	0,189	61,9
	407,700	114,24	99,77	14,47	1,987	-3,244	-76,066	0,0474	-0,077	-1,816	61,9
	407,800	142,89	99,77	43,12	0,316	-6,126	58,434	0,0075	-0,146	1,395	61,9
	407,900	204,48	99,78	104,70	0,762	8,443	23,915	0,0182	0,202	0,571	61,9
	408,000	113,07	99,77	13,30	2,004	-1,343	-78,029	0,0478	-0,032	-1,863	61,9
	408,100	122,24	99,77	22,47	0,493	-7,163	44,257	0,0118	-0,171	1,057	62,0
	408,200	204,23	99,78	104,45	0,572	7,508	38,877	0,0136	0,179	0,928	62,0
	408,300	131,52	99,77	31,75	1,995	0,613	-77,440	0,0476	0,015	-1,849	62,0
	408,400	123,94	99,77	24,17	0,694	-7,980	28,589	0,0166	-0,191	0,683	62,0
	408,500	198,93	99,78	99,15	0,399	6,330	52,150	0,0095	0,151	1,245	62,0
	408,600	128,83	99,77	29,05	1,960	2,450	-74,377	0,0468	0,058	-1,776	62,0
	408,700	110,43	99,77	10,66	0,889	-8,545	13,038	0,0212	-0,204	0,311	62,0
	408,800	200,38	99,78	100,60	0,251	5,058	64,089	0,0060	0,121	1,530	62,1
	408,900	154,20	99,78	54,42	1,901	4,273	-69,586	0,0454	0,102	-1,661	62,1
	409,000	111,43	99,77	11,65	1,106	-8,859	-3,652	0,0264	-0,212	-0,087	62,1
	409,100	181,26	99,78	81,48	0,129	3,542	74,063	0,0031	0,085	1,768	62,1
	409,200	151,70	99,78	51,92	1,814	5,953	-61,968	0,0433	0,142	-1,479	62,1
	409,300	105,25	99,77	5,48	1,319	-8,851	-20,185	0,0315	-0,211	-0,482	62,1
	409,400	183,51	99,78	83,74	0,044	1,916	80,975	0,0010	0,046	1,933	62,2
	409,500	149,21	99,77	49,44	1,703	7,343	-52,150	0,0406	0,175	-1,245	62,2
	409,600	105,46	99,77	5,68	1,513	-8,514	-35,461	0,0361	-0,203	-0,847	62,2
	409,700	185,55	99,78	85,77	-7,772E-15	0,251	84,627	-2,0817E-17	0,006	2,020	62,2
	409,800	177,57	99,78	77,80	1,563	8,412	-40,252	0,0373	0,201	-0,961	62,2
	409,900	105,67	99,77	5,90	1,682	-7,799	-48,970	0,0402	-0,186	-1,169	62,2
	410,000	160,43	99,78	60,65	0,003	-1,382	83,998	7,5000E-5	-0,033	2,005	62,2
	410,100	174,21	99,78	74,43	1,406	9,001	-27,175	0,0336	0,215	-0,649	62,3
	410,200	106,53	99,77	6,76	1,803	-6,817	-59,141	0,0430	-0,163	-1,412	62,3
	410,300	163,39	99,78	63,61	0,042	-2,827	80,582	0,0010	-0,068	1,924	62,3
	410,400	196,90	99,78	97,13	1,238	9,299	-13,666	0,0295	0,222	-0,326	62,3
	410,500	106,11	99,77	6,34	1,902	-5,561	-67,898	0,0454	-0,133	-1,621	62,3
	410,600	138,20	99,78	38,43	0,126	-4,280	73,906	0,0030	-0,102	1,764	62,3
	410,700	195,61	99,78	95,83	1,046	9,221	1,532	0,0250	0,220	0,037	62,4
	410,800	116,14	99,77	16,37	1,970	-3,974	-74,220	0,0470	-0,095	-1,772	62,4
	410,900	139,94	99,77	40,16	0,251	-5,623	63,657	0,0060	-0,134	1,520	62,4
	411,000	204,72	99,78	104,94	0,845	8,757	17,397	0,0202	0,209	0,415	62,4
	411,100	114,94	99,77	15,17	2,003	-2,144	-77,558	0,0478	-0,051	-1,852	62,4
	411,200	120,20	99,77	20,42	0,416	-6,754	50,344	0,0099	-0,161	1,202	62,4
	411,300	204,69	99,78	104,91	0,652	7,925	32,673	0,0156	0,189	0,780	62,4
	411,400	113,69	99,77	13,92	2,001	-0,220	-77,990	0,0478	-0,005	-1,862	62,5
	411,500	121,58	99,77	21,81	0,608	-7,673	35,304	0,0145	-0,183	0,843	62,5
	411,600	204,60	99,78	104,83	0,467	6,841	46,928	0,0111	0,163	1,120	62,5
	411,700	132,36	99,77	32,58	1,976	1,712	-75,870	0,0472	0,041	-1,811	62,5
	411,800	123,53	99,77	23,75	0,809	-8,333	19,439	0,0193	-0,199	0,464	62,5
	411,900	198,52	99,78	98,74	0,309	5,600	59,298	0,0074	0,134	1,416	62,5
	412,000	129,76	99,78	29,98	1,929	3,526	-71,825	0,0460	0,084	-1,715	62,5
	412,100	110,06	99,77	10,28	1,015	-8,765	3,299	0,0242	-0,209	0,079	62,6
	412,200	199,85	99,78	100,07	0,176	4,186	70,332	0,0042	0,100	1,679	62,6
	412,300	155,80	99,77	56,03	1,852	5,301	-65,424	0,0442	0,127	-1,562	62,6
	412,400	110,89	99,77	11,11	1,236	-8,899	-13,666	0,0295	-0,212	-0,326	62,6
	412,500	180,06	99,78	80,28	0,072	2,568	78,697	0,0017	0,061	1,879	62,6
	412,600	153,41	99,78	53,63	1,750	6,841	-56,313	0,0418	0,163	-1,344	62,6
	412,700	105,14	99,77	5,37	1,440	-8,694	-29,649	0,0344	-0,208	-0,708	62,7
	412,800	182,30	99,78	82,52	0,011	0,911	83,763	2,6250E-4	0,022	2,000	62,7
	412,900	181,45	99,78	81,68	1,623	8,058	-45,160	0,0387	0,192	-1,078	62,7
	413,000	105,32	99,77	5,55	1,623	-8,121	-44,179	0,0387	-0,194	-1,055	62,7
	413,100	156,62	99,78	56,84	-0,002	-0,778	84,666	-3,7500E-5	-0,019	2,021	62,7
	413,200	178,45	99,78	78,67	1,467	8,812	-32,241	0,0350	0,210	-0,770	62,7
	413,300	107,54	99,77	7,77	1,761	-7,226	-55,371	0,0420	-0,173	-1,322	62,7
	413,400	159,75	99,78	59,97	0,022	-2,262	82,231	5,2500E-4	-0,054	1,963	62,8
	413,500	175,40	99,78	75,63	1,308	9,221	-19,203	0,0312	0,220	-0,458	62,8
	413,600	106,78	99,77	7,01	1,866	-6,103	-64,638	0,0445	-0,146	-1,543	62,8
	413,700	162,13	99,78	62,35	0,088	-3,707	77,008	0,0021	-0,089	1,838	62,8
	413,800	197,87	99,78	98,09	1,125	9,299	-4,673	0,0268	0,222	-0,112	62,8
	413,900	106,31	99,78	6,54	1,948	-4,642	-72,021	0,0465	-0,111	-1,719	62,8
	414,000	137,20	99,78	37,42	0,196	-5,105	68,173	0,0047	-0,122	1,627	62,9
	414,100	196,66	99,78	96,88	0,927	8,993	11,035	0,0221	0,215	0,263	62,9
	414,200	117,08	99,77	17,31	1,995	-2,898	-76,616	0,0476	-0,069	-1,829	62,9
	414,300	139,00	99,78	39,23	0,347	-6,330	55,960	0,0083	-0,151	1,336	62,9
	414,400	204,88	99,78	105,10	0,729	8,294	26,782	0,0174	0,198	0,639	62,9
	414,500	115,89	99,77	16,12	2,006	-0,974	-78,265	0,0479	-0,023	-1,868	62,9
	414,600	119,19	99,78	19,41	0,534	-7,359	41,312	0,0127	-0,176	0,986	62,9
	414,700	204,90	99,78	105,12	0,534	7,289	41,391	0,0127	0,174	0,988	63,0
	414,800	135,67	99,77	35,90	1,992	0,919	-76,812	0,0475	0,022	-1,834	63,0
	414,900	121,11	99,78	21,33	0,718	-8,074	26,311	0,0171	-0,193	0,628	63,0
	415,000	196,39	99,78	96,61	0,377	6,181	54,035	0,0090	0,148	1,290	63,0
	415,100	132,94	99,78	33,17	1,954	2,733	-74,024	0,0466	0,065	-1,767	63,0
	415,200	108,85	99,77	9,08	0,924	-8,624	10,446	0,0220	-0,206	0,249	63,0
	415,300	197,96	99,78	98,18	0,229	4,822	66,013	0,0055	0,115	1,576	63,0
	415,400	131,16	99,77	31,39	1,888	4,579	-68,526	0,0451	0,109	-1,636	63,1
	415,500	109,70	99,78	9,92	1,145	-8,883	-6,597	0,0273	-0,212	-0,158	63,1
	415,600	199,32	99,78	99,54	0,112	3,259	75,595	0,0027	0,078	1,805	63,1
	415,700	157,52	99,78	57,74	1,797	6,236	-60,436	0,0429	0,149	-1,443	63,1
	415,800	110,48	99,78	10,71	1,359	-8,828	-23,130	0,0324	-0,211	-0,552	63,1
	415,900	179,03	99,78	79,25	0,031	1,610	82,074	7,5000E-4	0,038	1,959	63,1
	416,000	154,86	99,78	55,08	1,681	7,587	-50,148	0,0401	0,181	-1,197	63,2
	416,100	105,09	99,77	5,32	1,549	-8,419	-38,210	0,0370	-0,201	-0,912	63,2
	416,200	181,36	99,78	81,58	-0,003	-0,055	84,587	-7,5000E-5	-0,001	2,019	63,2
	416,300	181,78	99,78	82,00	1,538	8,498	-38,053	0,0367	0,203	-0,908	63,2
	416,400	105,33	99,77	5,56	1,696	-7,665	-50,187	0,0405	-0,183	-1,198	63,2
	416,500	156,51	99,78	56,73	0,005	-1,539	83,684	1,1250E-4	-0,037	1,998	63,2
	416,600	178,75	99,78	78,97	1,389	9,071	-25,722	0,0331	0,217	-0,614	63,2
	416,700	107,67	99,77	7,90	1,819	-6,684	-60,594	0,0434	-0,160	-1,447	63,3
	416,800	158,98	99,78	59,20	0,052	-3,047	80,071	0,0012	-0,073	1,912	63,3
	416,900	199,83	99,78	100,05	1,210	9,331	-11,388	0,0289	0,223	-0,272	63,3
	417,000	107,08	99,77	7,30	1,918	-5,325	-69,272	0,0458	-0,127	-1,654	63,3
	417,100	134,39	99,78	34,62	0,145	-4,524	72,453	0,0034	-0,108	1,730	63,3
	417,200	198,66	99,78	98,88	1,013	9,166	4,163	0,0242	0,219	0,099	63,3
	417,300	119,13	99,77	19,35	1,978	-3,691	-74,809	0,0472	-0,088	-1,786	63,3
	417,400	136,48	99,78	36,70	0,275	-5,796	61,693	0,0066	-0,138	1,473	63,4
	417,500	197,18	99,78	97,40	0,818	8,647	19,635	0,0195	0,206	0,469	63,4
	417,600	117,74	99,77	17,96	2,004	-1,869	-77,754	0,0478	-0,045	-1,856	63,4
	417,700	138,36	99,78	38,58	0,445	-6,904	48,263	0,0106	-0,165	1,152	63,4
	417,800	204,99	99,78	105,21	0,624	7,783	34,479	0,0149	0,186	0,823	63,4
	417,900	115,82	99,78	16,05	2,001	-0,008	-77,519	0,0478	-1,875E-4	-1,851	63,5
	418,000	119,48	99,78	19,71	0,622	-7,720	33,851	0,0148	-0,184	0,808	63,5
	418,100	205,01	99,78	105,22	0,457	6,762	47,792	0,0109	0,161	1,141	63,5
	418,200	135,94	99,78	36,16	1,974	1,838	-75,830	0,0471	0,044	-1,810	63,5
	418,300	120,83	99,78	21,06	0,825	-8,404	18,221	0,0197	-0,201	0,435	63,5
	418,400	196,10	99,78	96,32	0,294	5,482	60,986	0,0070	0,131	1,456	63,5
	418,500	134,11	99,77	34,34	1,921	3,793	-71,471	0,0459	0,091	-1,706	63,5
	418,600	108,59	99,77	8,82	1,052	-8,812	0,668	0,0251	-0,210	0,016	63,6
	418,700	197,32	99,78	97,54	0,159	3,927	71,864	0,0038	0,094	1,716	63,6
	418,800	161,29	99,77	61,52	1,838	5,561	-64,089	0,0439	0,133	-1,530	63,6
	418,900	109,21	99,77	9,44	1,271	-8,891	-16,297	0,0303	-0,212	-0,389	63,6
	419,000	175,63	99,77	75,86	0,060	2,301	79,757	0,0014	0,055	1,904	63,6
	419,100	158,98	99,78	59,21	1,731	7,061	-54,624	0,0413	0,169	-1,304	63,6
	419,200	105,09	99,77	5,32	1,472	-8,624	-32,005	0,0351	-0,206	-0,764	63,6
	419,300	178,14	99,78	78,36	0,006	0,660	83,724	1,5000E-4	0,016	1,999	63,7
	419,400	155,29	99,78	55,52	1,604	8,121	-43,433	0,0383	0,194	-1,037	63,7
	419,500	105,13	99,77	5,36	1,630	-8,027	-44,886	0,0389	-0,192	-1,072	63,7
	419,600	181,17	99,78	81,39	-0,002	-0,856	84,352	-3,7500E-5	-0,020	2,014	63,7
	419,700	182,42	99,78	82,64	1,459	8,844	-31,573	0,0348	0,211	-0,754	63,7
	419,800	105,31	99,77	5,54	1,767	-7,171	-56,077	0,0422	-0,171	-1,339	63,7
	419,900	155,78	99,78	56,00	0,025	-2,372	82,192	6,0000E-4	-0,057	1,962	63,7
	420,000	180,01	99,78	80,23	1,293	9,268	-18,025	0,0309	0,221	-0,430	63,8
	420,100	107,98	99,77	8,21	1,879	-5,977	-65,816	0,0448	-0,143	-1,571	63,8
	420,200	157,98	99,78	58,21	0,097	-3,896	76,419	0,0023	-0,093	1,824	63,8
	420,300	200,68	99,78	100,90	1,100	9,307	-2,553	0,0262	0,222	-0,061	63,8
	420,400	107,45	99,77	7,67	1,959	-4,406	-73,121	0,0468	-0,105	-1,746	63,8
	420,500	133,43	99,78	33,65	0,218	-5,317	66,563	0,0052	-0,127	1,589	63,8
	420,600	199,53	99,78	99,76	0,895	8,906	13,627	0,0214	0,213	0,325	63,9
	420,700	120,22	99,77	20,45	2,000	-2,592	-77,126	0,0477	-0,062	-1,841	63,9
	420,800	135,23	99,78	35,45	0,377	-6,519	53,643	0,0090	-0,156	1,281	63,9
	420,900	204,70	99,78	104,92	0,696	8,137	28,942	0,0166	0,194	0,691	63,9
	421,000	118,23	99,77	18,45	2,004	-0,730	-77,833	0,0479	-0,017	-1,858	63,9
	421,100	117,20	99,77	17,42	0,550	-7,430	39,584	0,0131	-0,177	0,945	63,9
	421,200	204,99	99,78	105,21	0,518	7,186	42,844	0,0124	0,172	1,023	63,9
	421,300	139,46	99,77	39,68	1,987	1,139	-76,773	0,0474	0,027	-1,833	64,0
	421,400	118,65	99,78	18,87	0,746	-8,168	24,269	0,0178	-0,195	0,579	64,0
	421,500	204,98	99,78	105,20	0,353	5,993	56,117	0,0084	0,143	1,340	64,0
	421,600	137,39	99,77	37,62	1,945	3,055	-73,396	0,0464	0,073	-1,752	64,0
	421,700	119,97	99,77	20,20	0,964	-8,687	7,461	0,0230	-0,207	0,178	64,0
	421,800	195,12	99,78	95,34	0,207	4,547	67,819	0,0050	0,109	1,619	64,0
	421,900	135,46	99,77	35,68	1,874	4,877	-67,230	0,0447	0,116	-1,605	64,0
	422,000	108,20	99,77	8,43	1,183	-8,899	-9,582	0,0282	-0,212	-0,229	64,1
	422,100	196,39	99,78	96,61	0,094	2,961	77,126	0,0023	0,071	1,841	64,1
	422,200	163,28	99,77	63,51	1,775	6,527	-58,630	0,0424	0,156	-1,400	64,1
	422,300	108,78	99,77	9,01	1,400	-8,765	-26,193	0,0334	-0,209	-0,625	64,1
	422,400	174,34	99,78	74,56	0,022	1,288	82,663	5,2500E-4	0,031	1,973	64,1
	422,500	160,26	99,78	60,48	1,657	7,768	-47,949	0,0396	0,185	-1,145	64,1
