	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
	6,000	117,25	99,77	17,48	2,007	-0,346	-78,344	0,0479	-0,008	-1,870	-24,6
	6,100	113,25	99,77	13,48	0,545	-7,665	38,013	0,0130	-0,183	0,907	-24,6
	6,200	174,58	99,78	74,80	0,474	7,257	43,511	0,0113	0,173	1,039	-24,5
	6,300	113,56	99,77	13,79	1,996	1,037	-77,244	0,0477	0,025	-1,844	-24,5
	6,400	102,95	99,77	3,17	0,682	-8,192	26,978	0,0163	-0,196	0,644	-24,4
	6,500	176,54	99,78	76,77	0,358	6,432	52,700	0,0085	0,154	1,258	-24,4
	6,600	131,14	99,77	31,37	1,968	2,348	-75,084	0,0470	0,056	-1,792	-24,3
	6,700	104,84	99,77	5,07	0,828	-8,584	15,629	0,0198	-0,205	0,373	-24,2
	6,800	164,62	99,77	64,85	0,251	5,474	61,143	0,0060	0,131	1,460	-24,2
	6,900	126,75	99,77	26,98	1,923	3,644	-71,353	0,0459	0,087	-1,703	-24,1
	7,000	98,68	99,77	-1,08	0,980	-8,796	3,770	0,0234	-0,210	0,090	-24,0
	7,100	167,99	99,78	68,21	0,163	4,398	68,526	0,0039	0,105	1,636	-24,0
	7,200	147,36	99,77	47,58	1,860	4,909	-66,288	0,0444	0,117	-1,582	-23,9
	7,300	99,56	99,77	-0,21	1,145	-8,859	-8,600	0,0273	-0,211	-0,205	-23,9
	7,400	150,53	99,77	50,76	0,088	3,189	74,731	0,0021	0,076	1,784	-23,8
	7,500	143,08	99,77	43,31	1,783	6,087	-59,651	0,0426	0,145	-1,424	-23,7
	7,600	100,77	99,77	1,00	1,305	-8,741	-20,852	0,0312	-0,209	-0,498	-23,7
	7,700	154,71	99,77	54,93	0,035	1,916	79,011	8,2500E-4	0,046	1,886	-23,6
	7,800	138,56	99,77	38,78	1,689	7,061	-51,719	0,0403	0,169	-1,235	-23,5
	7,900	97,64	99,77	-2,12	1,447	-8,427	-32,044	0,0345	-0,201	-0,765	-23,5
	8,000	158,49	99,77	58,72	0,003	0,652	81,564	7,5000E-5	0,016	1,947	-23,4
	8,100	159,06	99,77	59,28	1,577	7,885	-42,686	0,0376	0,188	-1,019	-23,3
	8,200	97,86	99,77	-1,91	1,580	-7,885	-42,569	0,0377	-0,188	-1,016	-23,3
	8,300	139,31	99,77	39,54	2,220E-16	-0,628	81,956	-6,9389E-18	-0,015	1,957	-23,2
	8,400	155,22	99,77	55,45	1,455	8,506	-32,869	0,0347	0,203	-0,785	-23,1
	8,500	99,30	99,76	-0,47	1,701	-7,202	-52,033	0,0406	-0,172	-1,242	-23,1
	8,600	143,37	99,77	43,60	0,014	-1,901	80,739	3,3750E-4	-0,045	1,928	-23,0
	8,700	172,28	99,77	72,50	1,321	8,946	-22,227	0,0315	0,214	-0,531	-22,9
	8,800	98,49	99,77	-1,28	1,803	-6,346	-60,201	0,0430	-0,152	-1,437	-22,9
	8,900	125,27	99,77	25,50	0,052	-3,094	77,480	0,0012	-0,074	1,850	-22,8
	9,000	169,37	99,78	69,59	1,184	9,150	-11,349	0,0283	0,218	-0,271	-22,7
	9,100	104,86	99,77	5,09	1,882	-5,364	-66,680	0,0449	-0,128	-1,592	-22,7
	9,200	129,13	99,77	29,35	0,112	-4,186	72,571	0,0027	-0,100	1,733	-22,6
	9,300	178,79	99,78	79,02	1,045	9,150	-0,393	0,0249	0,218	-0,009	-22,5
	9,400	102,93	99,77	3,16	1,942	-4,265	-71,825	0,0463	-0,102	-1,715	-22,5
	9,500	113,42	99,77	13,65	0,192	-5,215	66,091	0,0046	-0,124	1,578	-22,4
	9,600	177,91	99,78	78,13	0,898	8,954	10,878	0,0214	0,214	0,260	-22,3
	9,700	101,33	99,77	1,56	1,982	-3,039	-75,477	0,0473	-0,073	-1,802	-22,3
	9,800	116,57	99,77	16,80	0,291	-6,142	58,120	0,0069	-0,147	1,388	-22,2
	9,900	176,36	99,77	76,58	0,754	8,584	22,070	0,0180	0,205	0,527	-22,1
	10,000	111,65	99,77	11,88	2,007	-1,728	-77,872	0,0479	-0,041	-1,859	-22,0
	10,100	119,61	99,77	19,84	0,408	-6,990	48,616	0,0097	-0,167	1,161	-22,0
	10,200	178,71	99,78	78,93	0,609	7,995	33,262	0,0145	0,191	0,794	-21,9
	10,300	108,92	99,77	9,15	2,007	-0,338	-78,226	0,0479	-0,008	-1,868	-21,8
	10,400	106,88	99,77	7,11	0,542	-7,650	37,935	0,0129	-0,183	0,906	-21,8
