FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2
Frequenzwerte für Winkel (Hz)	Frequenzwerte für Winkel (Hz)	Winkel-Werte (rad)	Winkel-Werte (rad)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
0,77	0,77	3,53E-4	0,00	0,520				-1,784	-2,670	17,671	-0,0426	-0,064	0,422		0,520				-0,198	13,548	-284,707	-0,0047	0,323	-6,797	
0,79	0,79	3,99E-4	0,00	0,540				-1,833	-2,317	16,690	-0,0438	-0,055	0,398		0,540				0,014	6,754	-371,101	3,3750E-4	0,161	-8,859	
0,82	0,82	3,95E-4	0,00	0,550	99,44	99,75	-0,30								0,550	99,92	99,76	0,15							
0,84	0,84	2,38E-4	0,00	0,560				-1,877	-2,003	17,671	-0,0448	-0,048	0,422		0,560				0,072	-1,296	-402,517	0,0017	-0,031	-9,609	
0,87	0,87	3,16E-4	0,00	0,580				-1,913	-1,610	18,653	-0,0457	-0,038	0,445		0,580				-0,038	-9,346	-362,265	-9,0000E-4	-0,223	-8,648	
0,89	0,89	3,71E-4	0,00	0,600	99,46	99,75	-0,29	-1,942	-1,257	17,671	-0,0464	-0,030	0,422	24,5	0,600	99,10	99,76	-0,66	-0,302	-15,787	-248,382	-0,0072	-0,377	-5,930	24,6
0,92	0,92	3,41E-4	0,00	0,620				-1,963	-0,903	18,653	-0,0469	-0,022	0,445		0,620				-0,669	-19,282	-96,211	-0,0160	-0,460	-2,297	
0,94	0,94	3,68E-4	0,00	0,640				-1,978	-0,511	18,653	-0,0472	-0,012	0,445		0,640				-1,073	-19,635	60,868	-0,0256	-0,469	1,453	
0,96	0,96	4,31E-4	0,00	0,650	99,49	99,75	-0,27								0,650	98,28	99,76	-1,48							
0,99	0,99	3,22E-4	0,00	0,660				-1,984	-0,157	17,671	-0,0474	-0,004	0,422		0,660				-1,455	-16,847	201,258	-0,0347	-0,402	4,805	
1,01	1,01	3,82E-4	0,00	0,680				-1,984	0,196	19,635	-0,0474	0,005	0,469		0,680				-1,747	-11,585	295,506	-0,0417	-0,277	7,055	
1,04	1,04	3,70E-4	0,00	0,700	99,51	99,75	-0,25	-1,976	0,628	20,617	-0,0472	0,015	0,492	24,5	0,700	98,78	99,76	-0,98	-1,918	-5,027	343,612	-0,0458	-0,120	8,203	24,6
