FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2
Frequenzwerte für Winkel (Hz)	Frequenzwerte für Winkel (Hz)	Winkel-Werte (rad)	Winkel-Werte (rad)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
				66,720				-0,889	-13,941	-8,836	-0,0212	-0,333	-0,211		66,720				-0,674	19,164	-96,211	-0,0161	0,458	-2,297	
				66,740				-1,169	-13,548	43,197	-0,0279	-0,323	1,031		66,740				-0,311	15,669	-241,510	-0,0074	0,374	-5,766	
				66,750	98,85	99,76	-0,91								66,750	100,85	99,76	1,09							
				66,760				-1,431	-12,213	89,339	-0,0342	-0,292	2,133		66,760				-0,047	9,503	-348,521	-0,0011	0,227	-8,320	
				66,780				-1,657	-9,975	128,609	-0,0396	-0,238	3,070		66,780				0,069	1,728	-396,626	0,0016	0,041	-9,469	
				66,800	98,94	99,75	-0,81	-1,830	-7,069	152,171	-0,0437	-0,169	3,633	24,6	66,800	99,62	99,76	-0,15	0,022	-6,362	-380,918	5,2500E-4	-0,152	-9,094	24,6
				66,820				-1,940	-3,888	161,007	-0,0463	-0,093	3,844		66,820				-0,185	-13,509	-297,470	-0,0044	-0,323	-7,102	
				66,840				-1,985	-0,628	166,897	-0,0474	-0,015	3,984		66,840				-0,518	-18,261	-159,043	-0,0124	-0,436	-3,797	
				66,850	99,37	99,76	-0,39								66,850	98,51	99,76	-1,26							
				66,860				-1,965	2,788	167,879	-0,0469	0,067	4,008		66,860				-0,916	-19,871	1,622E-10	-0,0219	-0,474	3,872E-12	
				66,880				-1,874	6,087	153,153	-0,0447	0,145	3,656		66,880				-1,313	-18,261	149,226	-0,0314	-0,436	3,562	
				66,900	99,64	99,76	-0,12	-1,722	8,914	128,609	-0,0411	0,213	3,070	24,6	66,900	98,35	99,77	-1,42	-1,646	-13,902	265,072	-0,0393	-0,332	6,328	24,6
				66,920				-1,517	11,231	98,175	-0,0362	0,268	2,344		66,920				-1,869	-7,658	332,813	-0,0446	-0,183	7,945	
				66,940				-1,272	12,841	57,923	-0,0304	0,307	1,383		66,940				-1,953	-0,589	354,411	-0,0466	-0,014	8,461	
				66,950	100,23	99,77	0,46								66,950	99,41	99,76	-0,35							
				66,960				-1,004	13,548	10,799	-0,0240	0,323	0,258		66,960				-1,893	6,519	339,685	-0,0452	0,156	8,109	
				66,980				-0,730	13,273	-40,252	-0,0174	0,317	-0,961		66,980				-1,692	12,998	279,798	-0,0404	0,310	6,680	
				67,000	100,51	99,75	0,75	-0,473	11,938	-89,339	-0,0113	0,285	-2,133	24,6	67,000	100,25	99,76	0,49	-1,373	17,711	168,861	-0,0328	0,423	4,031	24,6
				67,020				-0,253	9,700	-131,554	-0,0060	0,232	-3,141		67,020				-0,983	19,753	23,562	-0,0235	0,472	0,563	
				67,040				-0,085	6,676	-165,915	-0,0020	0,159	-3,961		67,040				-0,583	18,653	-132,536	-0,0139	0,445	-3,164	
				67,050	100,12	99,75	0,37								67,050	101,22	99,76	1,45							
				67,060				0,014	3,063	-185,550	3,3750E-4	0,073	-4,430		67,060				-0,237	14,451	-271,944	-0,0057	0,345	-6,492	
				67,080				0,038	-0,746	-193,404	9,0000E-4	-0,018	-4,617		67,080				-0,005	7,775	-366,192	-1,1250E-4	0,186	-8,742	
				67,100	99,65	99,76	-0,11	-0,016	-4,673	-188,496	-3,7500E-4	-0,112	-4,500	24,6	67,100	100,00	99,76	0,24	0,074	-0,196	-400,553	0,0018	-0,005	-9,562	24,6
				67,120				-0,149	-8,286	-161,007	-0,0036	-0,198	-3,844		67,120				-0,013	-8,247	-367,174	-3,0000E-4	-0,197	-8,766	
				67,140				-0,347	-11,113	-118,792	-0,0083	-0,265	-2,836		67,140				-0,256	-14,883	-266,054	-0,0061	-0,355	-6,352	
				67,150	99,22	99,76	-0,54								67,150	98,84	99,76	-0,92							
				67,160				-0,594	-13,038	-67,741	-0,0142	-0,311	-1,617		67,160				-0,608	-18,889	-122,719	-0,0145	-0,451	-2,930	
				67,180				-0,869	-13,823	-13,744	-0,0207	-0,330	-0,328		67,180				-1,012	-19,792	36,325	-0,0242	-0,472	0,867	
				67,200	98,94	99,76	-0,82	-1,147	-13,587	37,306	-0,0274	-0,324	0,891	24,5	67,200	98,29	99,76	-1,47	-1,400	-17,436	181,623	-0,0334	-0,416	4,336	24,6
				67,220				-1,412	-12,331	87,376	-0,0337	-0,294	2,086		67,220				-1,709	-12,527	283,725	-0,0408	-0,299	6,773	
				67,240				-1,640	-10,092	124,682	-0,0391	-0,241	2,977		67,240				-1,901	-6,087	339,685	-0,0454	-0,145	8,109	
				67,250	98,91	99,76	-0,85								67,250	99,04	99,76	-0,73							
				67,260				-1,816	-7,343	148,244	-0,0433	-0,175	3,539		67,260				-1,953	1,060	355,393	-0,0466	0,025	8,484	
				67,280				-1,934	-4,163	161,007	-0,0462	-0,099	3,844		67,280				-1,858	8,129	329,867	-0,0444	0,194	7,875	
				67,300	99,18	99,75	-0,57	-1,982	-0,903	163,952	-0,0473	-0,022	3,914	24,6	67,300	99,80	99,77	0,03	-1,627	14,255	257,218	-0,0389	0,340	6,141	24,6
				67,320				-1,970	2,395	164,934	-0,0470	0,057	3,937		67,320				-1,288	18,418	137,445	-0,0308	0,440	3,281	
				67,340				-1,887	5,694	156,098	-0,0450	0,136	3,727		67,340				-0,891	19,753	-11,781	-0,0213	0,472	-0,281	
				67,350	99,60	99,75	-0,15								67,350	101,24	99,77	1,47							
				67,360				-1,742	8,639	133,518	-0,0416	0,206	3,188		67,360				-0,498	17,946	-165,915	-0,0119	0,428	-3,961	
				67,380				-1,541	11,035	101,120	-0,0368	0,263	2,414		67,380				-0,173	13,116	-297,470	-0,0041	0,313	-7,102	
				67,400	99,97	99,76	0,21	-1,301	12,684	61,850	-0,0310	0,303	1,477	24,6	67,400	100,55	99,76	0,79	0,027	6,048	-381,900	6,3750E-4	0,144	-9,117	24,6
				67,420				-1,034	13,509	15,708	-0,0247	0,323	0,375		67,420				0,069	-2,160	-402,517	0,0016	-0,052	-9,609	
				67,440				-0,760	13,313	-33,379	-0,0181	0,318	-0,797		67,440				-0,060	-10,053	-350,484	-0,0014	-0,240	-8,367	
				67,450	100,50	99,76	0,74								67,450	99,23	99,77	-0,54							
				67,460				-0,501	12,174	-81,485	-0,0120	0,291	-1,945		67,460				-0,333	-16,179	-235,620	-0,0080	-0,386	-5,625	
				67,480				-0,273	10,053	-128,609	-0,0065	0,240	-3,070		67,480				-0,707	-19,478	-83,449	-0,0169	-0,465	-1,992	
				67,500	100,36	99,76	0,61	-0,099	7,029	-164,934	-0,0024	0,168	-3,937	24,6	67,500	98,42	99,76	-1,34	-1,112	-19,517	75,595	-0,0266	-0,466	1,805	24,6
				67,520				0,008	3,456	-185,550	1,8750E-4	0,082	-4,430		67,520				-1,488	-16,454	213,039	-0,0355	-0,393	5,086	
				67,540				0,039	-0,393	-196,350	9,3750E-4	-0,009	-4,688		67,540				-1,770	-10,996	303,360	-0,0423	-0,262	7,242	
				67,550	99,71	99,76	-0,04								67,550	98,69	99,76	-1,07							
				67,560				-0,008	-4,398	-192,423	-1,8750E-4	-0,105	-4,594		67,560				-1,927	-4,320	347,539	-0,0460	-0,103	8,297	
				67,580				-0,137	-8,090	-164,934	-0,0033	-0,193	-3,938		67,580				-1,943	2,906	354,411	-0,0464	0,069	8,461	
				67,600	99,40	99,75	-0,35	-0,331	-10,996	-122,719	-0,0079	-0,263	-2,930	24,6	67,600	99,58	99,76	-0,18	-1,811	9,857	314,159	-0,0432	0,235	7,500	24,6
				67,620				-0,576	-12,998	-71,668	-0,0138	-0,310	-1,711		67,620				-1,549	15,472	227,766	-0,0370	0,369	5,437	
				67,640				-0,851	-13,862	-16,690	-0,0203	-0,331	-0,398		67,640				-1,192	18,967	104,065	-0,0285	0,453	2,484	
				67,650	98,95	99,76	-0,81								67,650	100,89	99,76	1,13							
				67,660				-1,131	-13,666	37,306	-0,0270	-0,326	0,891		67,660				-0,790	19,635	-49,087	-0,0189	0,469	-1,172	
				67,680				-1,398	-12,370	85,412	-0,0334	-0,295	2,039		67,680				-0,407	17,004	-203,222	-0,0097	0,406	-4,852	
				67,700	98,85	99,75	-0,90	-1,626	-10,249	120,755	-0,0388	-0,245	2,883	24,6	67,700	101,05	99,76	1,28	-0,110	11,506	-322,995	-0,0026	0,275	-7,711	24,6
				67,720				-1,808	-7,540	148,244	-0,0432	-0,180	3,539		67,720				0,053	4,084	-392,699	0,0013	0,098	-9,375	
				67,740				-1,927	-4,320	160,025	-0,0460	-0,103	3,820		67,740				0,053	-4,202	-398,590	0,0013	-0,100	-9,516	
				67,750	99,13	99,75	-0,62								67,750	99,53	99,76	-0,24							
				67,760				-1,981	-1,139	161,007	-0,0473	-0,027	3,844		67,760				-0,115	-11,860	-328,886	-0,0027	-0,283	-7,852	
				67,780				-1,973	2,121	164,934	-0,0471	0,051	3,938		67,780				-0,421	-17,357	-198,313	-0,0101	-0,414	-4,734	
				67,800	99,48	99,76	-0,27	-1,896	5,459	157,080	-0,0453	0,130	3,750	24,6	67,800	98,62	99,76	-1,15	-0,809	-19,792	-39,270	-0,0193	-0,472	-0,937	24,6
				67,820				-1,755	8,404	132,536	-0,0419	0,201	3,164		67,820				-1,213	-18,928	113,883	-0,0290	-0,452	2,719	
				67,840				-1,560	10,760	103,084	-0,0372	0,257	2,461		67,840				-1,566	-15,237	237,583	-0,0374	-0,364	5,672	
				67,850	99,89	99,76	0,13								67,850	98,43	99,76	-1,33							
				67,860				-1,324	12,527	66,759	-0,0316	0,299	1,594		67,860				-1,822	-9,425	316,123	-0,0435	-0,225	7,547	
				67,880				-1,059	13,430	20,617	-0,0253	0,321	0,492		67,880				-1,943	-2,592	351,466	-0,0464	-0,062	8,391	
				67,900	100,45	99,76	0,69	-0,787	13,352	-27,489	-0,0188	0,319	-0,656	24,6	67,900	99,55	99,76	-0,21	-1,926	4,634	350,484	-0,0460	0,111	8,367	24,6
				67,920				-0,525	12,331	-77,558	-0,0125	0,294	-1,852		67,920				-1,758	11,428	297,470	-0,0420	0,273	7,102	
				67,940				-0,294	10,249	-124,682	-0,0070	0,245	-2,977		67,940				-1,469	16,533	198,313	-0,0351	0,395	4,734	
				67,950	100,42	99,76	0,66								67,950	100,47	99,76	0,70							
				67,960				-0,115	7,343	-160,025	-0,0027	0,175	-3,820		67,960				-1,096	19,360	66,759	-0,0262	0,462	1,594	
				67,980				2,318E-15	3,848	-182,605	9,4976E-17	0,092	-4,359		67,980				-0,694	19,203	-86,394	-0,0166	0,458	-2,063	
				68,000	99,77	99,76	0,02	0,039	0,039	-195,368	9,3750E-4	9,375E-4	-4,664	24,6	68,000	101,10	99,76	1,34	-0,328	15,904	-232,674	-0,0078	0,380	-5,555	24,6
				68,020				0,002	-3,966	-195,368	3,7500E-5	-0,095	-4,664		68,020				-0,058	9,896	-343,612	-0,0014	0,236	-8,203	
				68,040				-0,119	-7,775	-171,806	-0,0028	-0,186	-4,102		68,040				0,068	2,160	-397,608	0,0016	0,052	-9,492	
				68,050	99,46	99,76	-0,30								68,050	99,81	99,77	0,04							
				68,060				-0,309	-10,839	-127,627	-0,0074	-0,259	-3,047		68,060				0,028	-6,008	-385,827	6,7500E-4	-0,143	-9,211	
				68,080				-0,553	-12,881	-75,595	-0,0132	-0,308	-1,805		68,080				-0,173	-13,273	-305,324	-0,0041	-0,317	-7,289	
				68,100	98,97	99,76	-0,79	-0,825	-13,862	-23,562	-0,0197	-0,331	-0,563	24,6	68,100	98,68	99,76	-1,09	-0,503	-18,221	-166,897	-0,0120	-0,435	-3,984	24,6
				68,120				-1,107	-13,823	31,416	-0,0264	-0,330	0,750		68,120				-0,902	-19,949	-4,909	-0,0215	-0,476	-0,117	
				68,140				-1,378	-12,606	83,449	-0,0329	-0,301	1,992		68,140				-1,301	-18,418	146,281	-0,0311	-0,440	3,492	
				68,150	98,84	99,75	-0,91								68,150	98,28	99,76	-1,48							
				68,160				-1,612	-10,485	121,737	-0,0385	-0,250	2,906		68,160				-1,638	-14,098	264,090	-0,0391	-0,337	6,305	
				68,180				-1,797	-7,736	148,244	-0,0429	-0,185	3,539		68,180				-1,865	-7,854	332,813	-0,0445	-0,187	7,945	
				68,200	99,09	99,75	-0,66	-1,921	-4,555	160,025	-0,0459	-0,109	3,820	24,6	68,200	99,21	99,76	-0,55	-1,953	-0,785	356,375	-0,0466	-0,019	8,508	24,6
				68,220				-1,979	-1,335	162,970	-0,0472	-0,032	3,891		68,220				-1,896	6,401	341,648	-0,0453	0,153	8,156	
				68,240				-1,974	1,963	163,952	-0,0471	0,047	3,914		68,240				-1,696	12,881	279,798	-0,0405	0,307	6,680	
				68,250	99,44	99,76	-0,32								68,250	99,99	99,77	0,22							
				68,260				-1,901	5,223	156,098	-0,0454	0,125	3,727		68,260				-1,381	17,593	168,861	-0,0330	0,420	4,031	
				68,280				-1,766	8,207	135,481	-0,0421	0,196	3,234		68,280				-0,993	19,635	27,489	-0,0237	0,469	0,656	
				68,300	99,83	99,75	0,08	-1,572	10,642	103,084	-0,0375	0,254	2,461	24,6	68,300	101,30	99,77	1,53	-0,595	18,692	-124,682	-0,0142	0,446	-2,977	24,6
				68,320				-1,340	12,331	66,759	-0,0320	0,294	1,594		68,320				-0,245	14,648	-268,999	-0,0059	0,350	-6,422	
				68,340				-1,079	13,313	25,525	-0,0258	0,318	0,609		68,340				-0,009	7,933	-365,210	-2,2500E-4	0,189	-8,719	
				68,350	100,27	99,75	0,51								68,350	100,30	99,77	0,54							
				68,360				-0,807	13,352	-24,544	-0,0193	0,319	-0,586		68,360				0,072	0,039	-398,590	0,0017	9,375E-4	-9,516	
				68,380				-0,545	12,331	-73,631	-0,0130	0,294	-1,758		68,380				-0,008	-8,011	-372,083	-1,8750E-4	-0,191	-8,883	
				68,400	100,46	99,75	0,70	-0,314	10,407	-116,828	-0,0075	0,248	-2,789	24,6	68,400	99,05	99,77	-0,72	-0,248	-14,844	-271,944	-0,0059	-0,354	-6,492	24,6
				68,420				-0,129	7,658	-156,098	-0,0031	0,183	-3,727		68,420				-0,602	-18,889	-124,682	-0,0144	-0,451	-2,977	
				68,440				-0,008	4,163	-181,623	-1,8750E-4	0,099	-4,336		68,440				-1,004	-19,831	33,379	-0,0240	-0,473	0,797	
				68,450	100,04	99,76	0,28								68,450	98,28	99,77	-1,49							
				68,460				0,038	0,393	-191,441	9,0000E-4	0,009	-4,570		68,460				-1,395	-17,554	180,642	-0,0333	-0,419	4,313	
				68,480				0,008	-3,495	-193,404	1,8750E-4	-0,083	-4,617		68,480				-1,706	-12,606	284,707	-0,0407	-0,301	6,797	
				68,500	99,52	99,76	-0,24	-0,102	-7,343	-175,733	-0,0024	-0,175	-4,195	24,6	68,500	98,84	99,77	-0,93	-1,899	-6,165	339,685	-0,0453	-0,147	8,109	24,6
				68,520				-0,286	-10,524	-133,518	-0,0068	-0,251	-3,188		68,520				-1,953	0,982	356,375	-0,0466	0,023	8,508	
				68,540				-0,523	-12,684	-82,467	-0,0125	-0,303	-1,969		68,540				-1,860	8,090	330,849	-0,0444	0,193	7,898	
				68,550	99,13	99,76	-0,62								68,550	99,66	99,76	-0,11							
				68,560				-0,793	-13,823	-29,452	-0,0189	-0,330	-0,703		68,560				-1,629	14,216	256,236	-0,0389	0,339	6,117	
				68,580				-1,076	-13,862	25,525	-0,0257	-0,331	0,609		68,580				-1,291	18,339	138,427	-0,0308	0,438	3,305	
				68,600	98,83	99,75	-0,92	-1,348	-12,802	76,576	-0,0322	-0,306	1,828	24,6	68,600	101,16	99,76	1,40	-0,895	19,753	-9,817	-0,0214	0,472	-0,234	24,6
				68,620				-1,588	-10,799	117,810	-0,0379	-0,258	2,812		68,620				-0,501	17,946	-165,915	-0,0120	0,428	-3,961	
				68,640				-1,780	-8,090	146,281	-0,0425	-0,193	3,492		68,640				-0,178	13,116	-293,543	-0,0042	0,313	-7,008	
				68,650	98,94	99,75	-0,81								68,650	100,85	99,76	1,08							
				68,660				-1,912	-4,948	161,007	-0,0456	-0,118	3,844		68,660				0,024	6,205	-376,010	5,6250E-4	0,148	-8,977	
				68,680				-1,978	-1,649	165,915	-0,0472	-0,039	3,961		68,680				0,071	-1,924	-402,517	0,0017	-0,046	-9,609	
				68,700	99,38	99,76	-0,38	-1,978	1,689	165,915	-0,0472	0,040	3,961	24,6	68,700	99,43	99,76	-0,33	-0,053	-9,896	-352,448	-0,0013	-0,236	-8,414	24,6
				68,720				-1,910	4,987	158,061	-0,0456	0,119	3,773		68,720				-0,325	-16,022	-238,565	-0,0078	-0,383	-5,695	
				68,740				-1,778	8,011	138,427	-0,0424	0,191	3,305		68,740				-0,694	-19,439	-87,376	-0,0166	-0,464	-2,086	
				68,750	99,65	99,75	-0,10								68,750	98,50	99,77	-1,27							
				68,760				-1,590	10,524	107,992	-0,0379	0,251	2,578		68,760				-1,103	-19,517	73,631	-0,0263	-0,466	1,758	
				68,780				-1,357	12,331	70,686	-0,0324	0,294	1,687		68,780				-1,475	-16,493	207,149	-0,0352	-0,394	4,945	
				68,800	100,21	99,75	0,46	-1,096	13,352	26,507	-0,0262	0,319	0,633	24,6	68,800	98,53	99,76	-1,24	-1,762	-11,231	298,452	-0,0421	-0,268	7,125	24,6
				68,820				-0,823	13,391	-23,562	-0,0196	0,320	-0,562		68,820				-1,924	-4,555	347,539	-0,0459	-0,109	8,297	
				68,840				-0,561	12,409	-70,686	-0,0134	0,296	-1,688		68,840				-1,945	2,670	355,393	-0,0464	0,064	8,484	
				68,850	100,50	99,76	0,74								68,850	99,42	99,77	-0,35							
				68,860				-0,327	10,564	-114,865	-0,0078	0,252	-2,742		68,860				-1,817	9,660	318,086	-0,0434	0,231	7,594	
				68,880				-0,138	7,815	-154,135	-0,0033	0,187	-3,680		68,880				-1,558	15,394	231,693	-0,0372	0,368	5,531	
				68,900	100,11	99,76	0,35	-0,014	4,398	-177,696	-3,3750E-4	0,105	-4,242	24,6	68,900	100,70	99,76	0,94	-1,202	18,928	107,011	-0,0287	0,452	2,555	24,6
				68,920				0,038	0,707	-190,459	9,0000E-4	0,017	-4,547		68,920				-0,801	19,674	-44,179	-0,0191	0,470	-1,055	
				68,940				0,014	-3,220	-193,404	3,3750E-4	-0,077	-4,617		68,940				-0,415	17,161	-201,258	-0,0099	0,410	-4,805	
				68,950	99,64	99,75	-0,12								68,950	101,22	99,76	1,45							
				68,960				-0,091	-7,029	-174,751	-0,0022	-0,168	-4,172		68,960				-0,115	11,624	-322,995	-0,0027	0,277	-7,711	
				68,980				-0,267	-10,210	-137,445	-0,0064	-0,244	-3,281		68,980				0,050	4,241	-390,736	0,0012	0,101	-9,328	
				69,000	99,20	99,75	-0,55	-0,500	-12,527	-88,357	-0,0119	-0,299	-2,109	24,6	69,000	99,64	99,76	-0,12	0,055	-4,006	-397,608	0,0013	-0,096	-9,492	24,6
				69,020				-0,768	-13,744	-32,398	-0,0183	-0,328	-0,773		69,020				-0,110	-11,663	-328,886	-0,0026	-0,278	-7,852	
				69,040				-1,049	-13,823	21,598	-0,0250	-0,330	0,516		69,040				-0,412	-17,161	-200,277	-0,0098	-0,410	-4,781	
				69,050	98,92	99,75	-0,83								69,050	98,83	99,76	-0,94							
				69,060				-1,321	-12,881	69,704	-0,0315	-0,308	1,664		69,060				-0,796	-19,674	-45,160	-0,0190	-0,470	-1,078	
				69,080				-1,565	-11,035	111,919	-0,0373	-0,263	2,672		69,080				-1,199	-18,967	106,029	-0,0286	-0,453	2,531	
				69,100	98,92	99,75	-0,83	-1,762	-8,404	144,317	-0,0421	-0,201	3,445	24,6	69,100	98,35	99,76	-1,41	-1,555	-15,433	232,674	-0,0371	-0,368	5,555	24,6
				69,120				-1,901	-5,262	160,025	-0,0454	-0,126	3,820		69,120				-1,816	-9,660	315,141	-0,0434	-0,231	7,523	
				69,140				-1,973	-2,003	163,952	-0,0471	-0,048	3,914		69,140				-1,942	-2,827	348,521	-0,0464	-0,068	8,320	
				69,150	99,20	99,75	-0,55								69,150	99,05	99,77	-0,71							
				69,160				-1,981	1,296	166,897	-0,0473	0,031	3,984		69,160				-1,929	4,280	347,539	-0,0461	0,102	8,297	
				69,180				-1,921	4,673	162,970	-0,0459	0,112	3,891		69,180				-1,770	11,074	302,379	-0,0423	0,264	7,219	
				69,200	99,61	99,75	-0,14	-1,794	7,815	141,372	-0,0428	0,187	3,375	24,6	69,200	100,17	99,76	0,41	-1,486	16,376	206,167	-0,0355	0,391	4,922	24,6
				69,220				-1,608	10,328	109,956	-0,0384	0,247	2,625		69,220				-1,115	19,321	73,631	-0,0266	0,461	1,758	
				69,240				-1,381	12,213	75,595	-0,0330	0,292	1,805		69,240				-0,713	19,321	-78,540	-0,0170	0,461	-1,875	
				69,250	99,99	99,76	0,23								69,250	101,24	99,76	1,47							
				69,260				-1,120	13,352	32,398	-0,0267	0,319	0,773		69,260				-0,342	16,179	-228,747	-0,0082	0,386	-5,461	
				69,280				-0,847	13,509	-16,690	-0,0202	0,323	-0,398		69,280				-0,066	10,171	-342,630	-0,0016	0,243	-8,180	
				69,300	100,49	99,76	0,73	-0,580	12,684	-68,722	-0,0138	0,303	-1,641	24,6	69,300	100,08	99,76	0,31	0,064	2,474	-398,590	0,0015	0,059	-9,516	24,6
				69,320				-0,339	10,760	-116,828	-0,0081	0,257	-2,789		69,320				0,033	-5,773	-389,754	7,8750E-4	-0,138	-9,305	
				69,340				-0,149	8,011	-153,153	-0,0036	0,191	-3,656		69,340				-0,167	-13,116	-307,287	-0,0040	-0,313	-7,336	
				69,350	100,33	99,75	0,58								69,350	99,22	99,76	-0,54							
				69,360				-0,019	4,634	-177,696	-4,5000E-4	0,111	-4,242		69,360				-0,492	-18,064	-168,861	-0,0117	-0,431	-4,031	
				69,380				0,036	0,903	-189,477	8,6250E-4	0,022	-4,523		69,380				-0,889	-19,871	-10,799	-0,0212	-0,474	-0,258	
				69,400	99,69	99,76	-0,07	0,017	-2,945	-192,423	4,1250E-4	-0,070	-4,594	24,6	69,400	98,30	99,76	-1,46	-1,286	-18,496	140,390	-0,0307	-0,442	3,352	24,6
				69,420				-0,082	-6,794	-176,715	-0,0019	-0,162	-4,219		69,420				-1,629	-14,255	261,145	-0,0389	-0,340	6,234	
				69,440				-0,254	-10,014	-138,427	-0,0061	-0,239	-3,305		69,440				-1,857	-8,050	327,904	-0,0443	-0,192	7,828	
				69,450	99,25	99,75	-0,50								69,450	99,00	99,76	-0,75							
				69,460				-0,482	-12,331	-90,321	-0,0115	-0,294	-2,156		69,460				-1,951	-1,139	351,466	-0,0466	-0,027	8,391	
				69,480				-0,748	-13,627	-37,306	-0,0178	-0,325	-0,891		69,480				-1,902	6,008	342,630	-0,0454	0,143	8,180	
				69,500	98,94	99,75	-0,81	-1,027	-13,823	16,690	-0,0245	-0,330	0,398	24,6	69,500	99,76	99,76	0,00	-1,711	12,566	282,744	-0,0408	0,300	6,750	24,6
				69,520				-1,301	-12,959	67,741	-0,0310	-0,309	1,617		69,520				-1,400	17,318	174,751	-0,0334	0,413	4,172	
				69,540				-1,546	-11,113	108,974	-0,0369	-0,265	2,602		69,540				-1,018	19,556	37,306	-0,0243	0,467	0,891	
				69,550	98,89	99,75	-0,86								69,550	101,20	99,76	1,44							
				69,560				-1,745	-8,600	138,427	-0,0417	-0,205	3,305		69,560				-0,617	18,810	-116,828	-0,0147	0,449	-2,789	
				69,580				-1,890	-5,576	156,098	-0,0451	-0,133	3,727		69,580				-0,265	14,883	-259,182	-0,0063	0,355	-6,187	
				69,600	99,13	99,75	-0,62	-1,968	-2,356	162,970	-0,0470	-0,056	3,891	24,6	69,600	100,63	99,76	0,87	-0,022	8,443	-357,356	-5,2500E-4	0,202	-8,531	24,6
				69,620				-1,984	0,942	166,897	-0,0474	0,022	3,984		69,620				0,072	0,589	-400,553	0,0017	0,014	-9,563	
				69,640				-1,931	4,320	161,988	-0,0461	0,103	3,867		69,640				0,002	-7,579	-377,973	3,7500E-5	-0,181	-9,023	
				69,650	99,58	99,75	-0,18								69,650	99,27	99,76	-0,49							
				69,660				-1,811	7,422	143,335	-0,0432	0,177	3,422		69,660				-0,231	-14,530	-280,780	-0,0055	-0,347	-6,703	
				69,680				-1,634	10,053	116,828	-0,0390	0,240	2,789		69,680				-0,580	-18,810	-135,481	-0,0138	-0,449	-3,234	
				69,700	99,91	99,75	0,16	-1,409	12,095	80,503	-0,0336	0,289	1,922	24,6	69,700	98,42	99,77	-1,34	-0,983	-19,949	26,507	-0,0235	-0,476	0,633	24,6
				69,720				-1,150	13,273	35,343	-0,0274	0,317	0,844		69,720				-1,378	-17,750	175,733	-0,0329	-0,424	4,195	
				69,740				-0,878	13,509	-10,799	-0,0210	0,322	-0,258		69,740				-1,693	-12,920	281,762	-0,0404	-0,308	6,727	
				69,750	100,47	99,75	0,72								69,750	98,65	99,77	-1,12							
				69,760				-0,609	12,841	-60,868	-0,0145	0,307	-1,453		69,760				-1,894	-6,480	339,685	-0,0452	-0,155	8,109	
				69,780				-0,364	11,074	-110,938	-0,0087	0,264	-2,648		69,780				-1,953	0,668	355,393	-0,0466	0,016	8,484	
				69,800	100,40	99,75	0,65	-0,167	8,404	-151,189	-0,0040	0,201	-3,609	24,6	69,800	99,55	99,76	-0,21	-1,868	7,736	331,831	-0,0446	0,185	7,922	24,6
				69,820				-0,028	5,027	-178,678	-6,7500E-4	0,120	-4,266		69,820				-1,643	13,941	261,145	-0,0392	0,333	6,234	
				69,840				0,035	1,257	-191,441	8,2500E-4	0,030	-4,570		69,840				-1,310	18,182	144,317	-0,0313	0,434	3,445	
				69,850	99,75	99,75	0,00								69,850	100,83	99,76	1,07							
				69,860				0,022	-2,631	-194,386	5,2500E-4	-0,063	-4,641		69,860				-0,916	19,714	-1,963	-0,0219	0,471	-0,047	
				69,880				-0,071	-6,519	-180,642	-0,0017	-0,156	-4,313		69,880				-0,522	18,103	-156,098	-0,0125	0,432	-3,727	
				69,900	99,45	99,75	-0,31	-0,239	-9,857	-143,335	-0,0057	-0,235	-3,422	24,6	69,900	101,08	99,76	1,32	-0,192	13,470	-288,634	-0,0046	0,322	-6,891	24,6
				69,920				-0,465	-12,252	-93,266	-0,0111	-0,292	-2,227		69,920				0,017	6,558	-374,046	4,1250E-4	0,157	-8,930	
				69,940				-0,729	-13,587	-40,252	-0,0174	-0,324	-0,961		69,940				0,071	-1,492	-400,553	0,0017	-0,036	-9,562	
				69,950	98,96	99,75	-0,79								69,950	99,55	99,77	-0,21							
				69,960				-1,008	-13,862	13,744	-0,0241	-0,331	0,328		69,960				-0,042	-9,464	-356,375	-0,0010	-0,226	-8,508	
				69,980				-1,283	-13,038	63,814	-0,0306	-0,311	1,523		69,980				-0,308	-15,747	-245,437	-0,0074	-0,376	-5,859	
