FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3
Frequenzwerte für Winkel (Hz)	Frequenzwerte für Winkel (Hz)	Winkel-Werte (rad)	Winkel-Werte (rad)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
0,45	0,45	3,83E-4	0,00	0,300	99,46	99,76	-0,29	-0,888	-4,752	1,554E-13	-0,0212	-0,113	6,245E-15	24,5	0,300	98,70	99,76	-1,05	-0,581	-18,732	-133,518	-0,0139	-0,447	-3,188	24,6	1,800	168,19	99,77	68,42	-1,587	6,582	54,467	-0,0379	0,157	1,300	24,3
0,48	0,48	1,69E-4	0,00	0,320				-0,982	-4,791	-0,982	-0,0234	-0,114	-0,023		0,320				-0,983	-19,871	24,544	-0,0235	-0,474	0,586		1,900	112,25	99,77	12,49	-0,002	2,710	-77,087	-3,7500E-5	0,065	-1,840	24,3
0,50	0,50	3,47E-4	0,00	0,340				-1,079	-4,791	3,927	-0,0258	-0,114	0,094		0,340				-1,376	-17,750	174,751	-0,0329	-0,424	4,172		2,000	100,31	99,77	0,55	-1,045	-8,836	10,014	-0,0249	-0,211	0,239	24,3
0,52	0,52	2,36E-4	0,00	0,350	99,44	99,75	-0,31								0,350	98,37	99,76	-1,39								2,100	167,99	99,77	68,23	-1,769	4,712	69,115	-0,0422	0,112	1,650	24,3
0,55	0,55	2,60E-4	0,00	0,360				-1,173	-4,634	6,872	-0,0280	-0,111	0,164		0,360				-1,693	-12,881	281,762	-0,0404	-0,307	6,727		2,200	133,95	99,76	34,18	-0,102	4,987	-68,290	-0,0024	0,119	-1,630	24,3
0,57	0,57	3,31E-4	0,00	0,380				-1,264	-4,516	6,872	-0,0302	-0,108	0,164		0,380				-1,891	-6,480	335,758	-0,0452	-0,155	8,016		2,300	100,20	99,76	0,44	-0,771	-8,946	-11,781	-0,0184	-0,214	-0,281	24,2
0,60	0,60	9,29E-4	0,00	0,400	99,43	99,75	-0,32	-1,354	-4,359	9,817	-0,0323	-0,104	0,234	24,5	0,400	99,16	99,76	-0,60	-1,953	0,550	351,466	-0,0466	0,013	8,391	24,6	2,400	152,63	99,77	52,86	-1,891	2,631	79,090	-0,0452	0,063	1,888	24,2
0,62	0,62	0,00	0,00	0,420				-1,439	-4,123	11,781	-0,0343	-0,098	0,281		0,420				-1,869	7,579	330,849	-0,0446	0,181	7,898		2,500	134,02	99,76	34,26	-0,245	6,872	-55,763	-0,0059	0,164	-1,331	24,2
0,65	0,65	5,72E-4	0,00	0,440				-1,519	-3,888	12,763	-0,0363	-0,093	0,305		0,440				-1,649	13,784	264,090	-0,0394	0,329	6,305		2,600	95,95	99,76	-3,81	-0,517	-8,522	-32,358	-0,0123	-0,203	-0,773	24,2
0,67	0,67	4,39E-4	0,00	0,450	99,43	99,76	-0,33								0,450	100,32	99,76	0,56								2,700	152,15	99,77	52,38	-1,949	0,401	84,273	-0,0465	0,010	2,012	24,2
