FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	FFT-Momentaufnahme #1	FFT-Momentaufnahme #2	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	reibung#2	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3
Frequenzwerte für Winkel (Hz)	Frequenzwerte für Winkel (Hz)	Winkel-Werte (rad)	Winkel-Werte (rad)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
				52,920				-0,449	4,280	-12,763	-0,0107	0,102	-0,305		52,920				0,072	-1,532	-404,480	0,0017	-0,037	-9,656		317,500	122,82	99,77	23,05	-1,866	-3,919	76,773	-0,0445	-0,094	1,833	0,4
				52,940				-0,366	3,966	-15,708	-0,0087	0,095	-0,375		52,940				-0,044	-9,582	-357,356	-0,0011	-0,229	-8,531		317,600	163,01	99,77	63,23	-0,894	9,331	-1,492	-0,0213	0,223	-0,036	0,4
				52,950	99,79	99,76	0,03								52,950	99,37	99,76	-0,39								317,700	97,27	99,76	-2,49	2,109E-15	-4,218	-74,927	1,0408E-17	-0,101	-1,789	0,4
				52,960				-0,291	3,652	-14,726	-0,0069	0,087	-0,352		52,960				-0,311	-15,826	-243,474	-0,0074	-0,378	-5,812		317,800	122,99	99,77	23,22	-1,737	-5,655	65,816	-0,0415	-0,135	1,571	0,4
				52,980				-0,220	3,377	-16,690	-0,0052	0,081	-0,398		52,980				-0,677	-19,321	-95,230	-0,0162	-0,461	-2,273		317,900	162,94	99,77	63,18	-1,131	8,946	17,829	-0,0270	0,214	0,426	0,4
				53,000	99,77	99,76	0,01	-0,156	2,985	-21,598	-0,0037	0,071	-0,516	24,6	53,000	98,29	99,76	-1,48	-1,084	-19,635	63,814	-0,0259	-0,469	1,523	24,6	318,000	104,81	99,76	5,05	0,052	-2,089	-80,228	0,0012	-0,050	-1,915	0,4
				53,020				-0,101	2,513	-22,580	-0,0024	0,060	-0,539		53,020				-1,462	-16,768	204,204	-0,0349	-0,400	4,875		318,100	123,24	99,77	23,47	-1,549	-7,100	50,462	-0,0370	-0,169	1,205	0,4
				53,040				-0,055	2,081	-22,580	-0,0013	0,050	-0,539		53,040				-1,755	-11,467	299,433	-0,0419	-0,274	7,148		318,200	170,38	99,77	70,61	-1,368	8,003	36,600	-0,0327	0,191	0,874	0,4
				53,050	99,76	99,76	0,00								53,050	98,56	99,77	-1,21								318,300	104,88	99,77	5,11	0,052	0,220	-80,739	0,0012	0,005	-1,928	0,4
				53,060				-0,017	1,610	-23,562	-4,1250E-4	0,038	-0,563		53,060				-1,921	-4,791	345,575	-0,0459	-0,114	8,250		318,400	106,96	99,77	7,20	-1,324	-8,145	32,201	-0,0316	-0,194	0,769	0,4
				53,080				0,009	1,139	-22,580	2,2500E-4	0,027	-0,539		53,080				-1,946	2,356	352,448	-0,0465	0,056	8,414		318,500	170,24	99,77	70,47	-1,577	6,660	53,329	-0,0376	0,159	1,273	0,4
				53,100	99,71	99,76	-0,05	0,028	0,707	-22,580	6,7500E-4	0,017	-0,539	24,6	53,100	99,65	99,76	-0,11	-1,827	9,307	318,086	-0,0436	0,222	7,594	24,6	318,600	121,37	99,77	21,60	0,008	2,521	-77,283	1,8750E-4	0,060	-1,845	0,4
				53,120				0,038	0,236	-24,544	9,0000E-4	0,006	-0,586		53,120				-1,574	15,080	235,620	-0,0376	0,360	5,625		318,700	107,03	99,77	7,27	-1,073	-8,796	12,095	-0,0256	-0,210	0,289	0,4
				53,140				0,038	-0,275	-26,507	9,0000E-4	-0,007	-0,633		53,140				-1,224	18,732	114,865	-0,0292	0,447	2,742		318,800	163,21	99,77	63,44	-1,751	4,940	67,544	-0,0418	0,118	1,613	0,4
				53,150	99,67	99,76	-0,09								53,150	100,74	99,76	0,98								318,900	121,41	99,77	21,64	-0,085	4,712	-69,508	-0,0020	0,113	-1,659	0,4
				53,160				0,027	-0,825	-27,489	6,3750E-4	-0,020	-0,656		53,160				-0,825	19,674	-34,361	-0,0197	0,470	-0,820		319,000	98,34	99,77	-1,42	-0,809	-8,961	-8,796	-0,0193	-0,214	-0,210	0,4
				53,180				0,005	-1,374	-25,525	1,1250E-4	-0,033	-0,609		53,180				-0,437	17,357	-190,459	-0,0104	0,414	-4,547		319,100	163,18	99,77	63,41	-1,877	2,953	77,794	-0,0448	0,070	1,857	0,4
				53,200	99,61	99,76	-0,14	-0,028	-1,846	-23,562	-6,7500E-4	-0,044	-0,563	24,6	53,200	100,86	99,76	1,09	-0,130	12,056	-315,141	-0,0031	0,288	-7,523	24,6	319,200	143,73	99,77	43,97	-0,218	6,597	-57,884	-0,0052	0,158	-1,382	0,4
				53,220				-0,069	-2,317	-23,562	-0,0016	-0,055	-0,562		53,220				0,046	4,752	-387,791	0,0011	0,113	-9,258		319,300	98,46	99,77	-1,31	-0,558	-8,624	-28,746	-0,0133	-0,206	-0,686	0,4
				53,240				-0,121	-2,788	-21,598	-0,0029	-0,067	-0,516		53,240				0,060	-3,456	-399,572	0,0014	-0,083	-9,539		319,400	144,83	99,77	45,06	-1,943	0,848	83,488	-0,0464	0,020	1,993	0,4
				53,250	99,58	99,76	-0,17								53,250	99,61	99,76	-0,16								319,500	143,91	99,77	44,15	-0,388	8,074	-43,275	-0,0093	0,193	-1,033	0,4
				53,260				-0,181	-3,181	-18,653	-0,0043	-0,076	-0,445		53,260				-0,093	-11,231	-337,721	-0,0022	-0,268	-8,063		319,600	97,22	99,77	-2,55	-0,328	-7,807	-46,967	-0,0078	-0,186	-1,121	0,4
				53,280				-0,248	-3,534	-16,690	-0,0059	-0,084	-0,398		53,280				-0,390	-16,965	-210,094	-0,0093	-0,405	-5,016		319,700	144,87	99,77	45,11	-1,949	-1,319	83,920	-0,0465	-0,032	2,003	0,4
				53,300	99,55	99,76	-0,21	-0,322	-3,848	-14,726	-0,0077	-0,092	-0,352	24,6	53,300	98,51	99,76	-1,25	-0,771	-19,635	-53,996	-0,0184	-0,469	-1,289	24,6	319,800	143,70	99,77	43,93	-0,592	8,977	-25,957	-0,0141	0,214	-0,620	0,4
				53,320				-0,402	-4,123	-12,763	-0,0096	-0,098	-0,305		53,320				-1,175	-19,124	99,157	-0,0281	-0,457	2,367		319,900	97,21	99,76	-2,56	-0,154	-6,511	-61,615	-0,0037	-0,155	-1,471	0,4
				53,340				-0,487	-4,359	-9,817	-0,0116	-0,104	-0,234		53,340				-1,536	-15,669	226,784	-0,0367	-0,374	5,414		320,000	144,68	99,77	44,91	-1,894	-3,346	79,247	-0,0452	-0,080	1,892	0,4
				53,350	99,52	99,76	-0,24								53,350	98,35	99,76	-1,41								320,100	162,62	99,77	62,85	-0,823	9,338	-7,108	-0,0196	0,223	-0,170	0,4
				53,360				-0,576	-4,516	-6,872	-0,0138	-0,108	-0,164		53,360				-1,802	-10,053	309,251	-0,0430	-0,240	7,383		320,200	97,21	99,76	-2,55	-0,027	-4,767	-72,728	-6,3750E-4	-0,114	-1,736	0,4
				53,380				-0,668	-4,634	-6,872	-0,0159	-0,111	-0,164		53,380				-1,938	-3,299	348,521	-0,0463	-0,079	8,320		320,300	123,32	99,77	23,55	-1,777	-5,207	69,272	-0,0424	-0,124	1,654	0,4
				53,400	99,48	99,76	-0,28	-0,762	-4,791	-3,927	-0,0182	-0,114	-0,094	24,6	53,400	99,40	99,76	-0,35	-1,934	3,888	349,502	-0,0462	0,093	8,344	24,6	320,400	162,58	99,77	62,81	-1,068	9,087	12,449	-0,0255	0,217	0,297	0,4
				53,420				-0,859	-4,791	0,982	-0,0205	-0,114	0,023		53,420				-1,783	10,681	304,342	-0,0426	0,255	7,266		320,500	104,50	99,76	4,74	0,041	-2,717	-79,050	9,7500E-4	-0,065	-1,887	0,4
				53,440				-0,953	-4,752	-4,250E-11	-0,0228	-0,113	-1,018E-12		53,440				-1,506	16,061	212,058	-0,0360	0,383	5,062		320,600	123,48	99,77	23,71	-1,612	-6,723	55,253	-0,0385	-0,160	1,319	0,4
				53,450	99,46	99,76	-0,30								53,450	100,22	99,76	0,45								320,700	170,29	99,77	70,52	-1,304	8,333	31,259	-0,0311	0,199	0,746	0,4
				53,460				-1,049	-4,791	0,982	-0,0250	-0,114	0,023		53,460				-1,140	19,164	83,449	-0,0272	0,457	1,992		320,800	104,46	99,77	4,70	0,055	-0,471	-81,053	0,0013	-0,011	-1,935	0,4
				53,480				-1,145	-4,712	5,890	-0,0273	-0,112	0,141		53,480				-0,740	19,399	-68,722	-0,0177	0,463	-1,641		320,900	107,37	99,77	7,60	-1,398	-7,878	37,895	-0,0334	-0,188	0,905	0,4
				53,500	99,44	99,76	-0,32	-1,238	-4,555	6,872	-0,0295	-0,109	0,164	24,6	53,500	101,22	99,76	1,46	-0,364	16,415	-219,912	-0,0087	0,392	-5,250	24,6	321,000	170,34	99,77	70,57	-1,521	7,108	48,852	-0,0363	0,170	1,166	0,4
				53,520				-1,327	-4,438	8,836	-0,0317	-0,106	0,211		53,520				-0,083	10,603	-331,831	-0,0020	0,253	-7,922		321,100	121,13	99,76	21,37	0,024	1,893	-78,775	5,6250E-4	0,045	-1,881	0,4
				53,540				-1,415	-4,202	13,744	-0,0338	-0,100	0,328		53,540				0,060	3,142	-390,736	0,0014	0,075	-9,328		321,200	107,38	99,76	7,62	-1,142	-8,647	17,750	-0,0273	-0,206	0,424	0,4
				53,550	99,43	99,75	-0,32								53,550	100,04	99,76	0,27								321,300	163,46	99,77	63,69	-1,706	5,443	63,814	-0,0407	0,130	1,523	0,4
				53,560				-1,495	-3,888	12,763	-0,0357	-0,093	0,305		53,560				0,042	-5,027	-390,736	0,0010	-0,120	-9,328		321,400	120,97	99,77	21,20	-0,053	4,115	-72,021	-0,0013	0,098	-1,719	0,4
				53,580				-1,571	-3,691	11,781	-0,0375	-0,088	0,281		53,580				-0,141	-12,488	-319,068	-0,0034	-0,298	-7,617		321,500	98,47	99,77	-1,30	-0,883	-8,961	-2,867	-0,0211	-0,214	-0,068	0,4
				53,600	99,43	99,76	-0,33	-1,643	-3,416	15,708	-0,0392	-0,082	0,375	24,6	53,600	98,85	99,76	-0,91	-0,457	-17,789	-185,550	-0,0109	-0,425	-4,430	24,6	321,600	163,61	99,77	63,84	-1,846	3,542	75,280	-0,0441	0,085	1,797	0,4
				53,620				-1,707	-3,063	16,690	-0,0408	-0,073	0,398		53,620				-0,853	-19,910	-23,562	-0,0204	-0,475	-0,562		321,700	143,22	99,76	43,46	-0,174	6,095	-61,654	-0,0042	0,146	-1,472	0,4
				53,640				-1,766	-2,749	15,708	-0,0421	-0,066	0,375		53,640				-1,253	-18,732	128,609	-0,0299	-0,447	3,070		321,800	98,54	99,76	-1,22	-0,627	-8,789	-23,130	-0,0150	-0,210	-0,552	0,4
				53,650	99,44	99,76	-0,32								53,650	98,29	99,76	-1,47								321,900	163,83	99,77	64,06	-1,932	1,469	82,349	-0,0461	0,035	1,966	0,4
				53,660				-1,817	-2,435	15,708	-0,0434	-0,058	0,375		53,660				-1,602	-14,765	251,328	-0,0383	-0,353	6,000		322,000	143,10	99,76	43,33	-0,333	7,681	-47,831	-0,0079	0,183	-1,142	0,4
				53,680				-1,863	-2,121	16,690	-0,0445	-0,051	0,398		53,680				-1,844	-8,679	326,922	-0,0440	-0,207	7,805		322,100	98,50	99,76	-1,26	-0,396	-8,097	-41,862	-0,0094	-0,193	-0,999	0,4
				53,700	99,45	99,76	-0,31	-1,902	-1,767	18,653	-0,0454	-0,042	0,445	24,6	53,700	99,03	99,76	-0,73	-1,949	-1,689	355,393	-0,0465	-0,040	8,484	24,6	322,200	145,23	99,77	45,47	-1,953	-0,691	84,273	-0,0466	-0,017	2,012	0,4
				53,720				-1,934	-1,374	19,635	-0,0462	-0,033	0,469		53,720				-1,912	5,537	345,575	-0,0456	0,132	8,250		322,300	143,13	99,77	43,36	-0,534	8,757	-31,180	-0,0127	0,209	-0,744	0,4
				53,740				-1,957	-0,982	18,653	-0,0467	-0,023	0,445		53,740				-1,728	12,134	288,634	-0,0413	0,290	6,891		322,400	97,19	99,76	-2,57	-0,201	-6,927	-57,530	-0,0048	-0,165	-1,373	0,4
				53,750	99,47	99,76	-0,28								53,750	100,15	99,77	0,39								322,500	145,65	99,77	45,88	-1,920	-2,749	81,132	-0,0458	-0,066	1,937	0,4
				53,760				-1,973	-0,628	17,671	-0,0471	-0,015	0,422		53,760				-1,426	17,082	186,532	-0,0341	0,408	4,453		322,600	162,32	99,77	62,55	-0,751	9,299	-13,077	-0,0179	0,222	-0,312	0,4
				53,780				-1,982	-0,275	17,671	-0,0473	-0,007	0,422		53,780				-1,045	19,596	48,106	-0,0249	0,468	1,148		322,700	97,20	99,76	-2,56	-0,060	-5,364	-69,508	-0,0014	-0,128	-1,659	0,4
				53,800	99,49	99,76	-0,27	-1,984	0,079	18,653	-0,0474	0,002	0,445	24,6	53,800	101,23	99,76	1,47	-0,642	19,007	-108,974	-0,0153	0,454	-2,602	24,6	322,800	124,61	99,77	24,84	-1,824	-4,602	73,081	-0,0435	-0,110	1,745	0,4
				53,820				-1,979	0,471	21,598	-0,0472	0,011	0,516		53,820				-0,284	15,237	-253,291	-0,0068	0,364	-6,047		322,900	162,06	99,77	62,29	-0,980	9,252	5,616	-0,0234	0,221	0,134	0,4
				53,840				-1,965	0,942	22,580	-0,0469	0,023	0,539		53,840				-0,033	8,875	-354,411	-7,8750E-4	0,212	-8,461		323,000	104,01	99,76	4,24	0,027	-3,479	-77,323	6,3750E-4	-0,083	-1,846	0,4
				53,850	99,53	99,76	-0,23								53,850	100,09	99,76	0,33								323,100	124,67	99,77	24,91	-1,676	-6,213	60,751	-0,0400	-0,148	1,450	0,4
				53,860				-1,942	1,374	20,617	-0,0463	0,033	0,492		53,860				0,071	1,060	-399,572	0,0017	0,025	-9,539		323,200	170,31	99,77	70,54	-1,216	8,671	24,504	-0,0290	0,207	0,585	0,4
				53,880				-1,910	1,767	19,635	-0,0456	0,042	0,469		53,880				0,009	-7,108	-380,918	2,2500E-4	-0,170	-9,094		323,300	103,85	99,76	4,08	0,058	-1,312	-80,935	0,0014	-0,031	-1,932	0,4
				53,900	99,56	99,75	-0,20	-1,871	2,160	19,635	-0,0447	0,052	0,469	24,6	53,900	99,23	99,76	-0,52	-0,214	-14,176	-288,634	-0,0051	-0,338	-6,891	24,6	323,400	108,08	99,77	8,32	-1,478	-7,516	44,532	-0,0353	-0,179	1,063	0,4
				53,920				-1,824	2,553	18,653	-0,0435	0,061	0,445		53,920				-0,558	-18,653	-143,335	-0,0133	-0,445	-3,422		323,500	170,27	99,77	70,50	-1,445	7,595	42,647	-0,0345	0,181	1,018	0,4
				53,940				-1,769	2,906	16,690	-0,0422	0,069	0,398		53,940				-0,960	-19,910	17,671	-0,0229	-0,475	0,422		323,600	119,81	99,77	20,04	0,041	1,013	-80,111	9,7500E-4	0,024	-1,912	0,4
				53,950	99,58	99,76	-0,17								53,950	98,30	99,76	-1,46								323,700	108,14	99,77	8,38	-1,243	-8,427	25,486	-0,0297	-0,201	0,608	0,4
				53,960				-1,707	3,220	15,708	-0,0408	0,077	0,375		53,960				-1,354	-17,946	165,915	-0,0323	-0,428	3,961		323,800	164,27	99,77	64,50	-1,645	6,110	58,748	-0,0393	0,146	1,403	0,4
				53,980				-1,640	3,534	13,744	-0,0391	0,084	0,328		53,980				-1,678	-13,273	276,853	-0,0401	-0,317	6,609		323,900	119,84	99,77	20,07	-0,020	3,322	-75,045	-4,8750E-4	0,079	-1,792	0,4
				54,000	99,62	99,76	-0,14	-1,566	3,770	12,763	-0,0374	0,090	0,305	24,6	54,000	98,68	99,77	-1,09	-1,885	-6,872	336,740	-0,0450	-0,164	8,039	24,6	324,000	108,16	99,77	8,39	-0,980	-8,899	4,791	-0,0234	-0,212	0,114	0,4
				54,020				-1,489	4,045	13,744	-0,0355	0,097	0,328		54,020				-1,953	0,196	355,393	-0,0466	0,005	8,484		324,100	164,37	99,77	64,59	-1,800	4,280	71,511	-0,0430	0,102	1,707	0,4
				54,040				-1,404	4,320	9,817	-0,0335	0,103	0,234		54,040				-1,877	7,343	337,721	-0,0448	0,175	8,063		324,200	119,60	99,77	19,83	-0,124	5,404	-65,934	-0,0030	0,129	-1,574	0,4
				54,050	99,66	99,76	-0,10								54,050	99,75	99,76	-0,01								324,300	98,84	99,77	-0,93	-0,719	-8,906	-15,787	-0,0172	-0,213	-0,377	0,4
				54,060				-1,316	4,438	6,872	-0,0314	0,106	0,164		54,060				-1,659	13,705	268,999	-0,0396	0,327	6,422		324,400	164,46	99,77	64,69	-1,905	2,246	80,228	-0,0455	0,054	1,915	0,4
				54,080				-1,227	4,595	7,854	-0,0293	0,110	0,188		54,080				-1,329	18,103	151,189	-0,0317	0,432	3,609		324,500	141,75	99,77	41,98	-0,270	7,139	-53,289	-0,0064	0,170	-1,272	0,4
				54,100	99,70	99,76	-0,06	-1,133	4,752	4,909	-0,0270	0,113	0,117	24,6	54,100	100,89	99,76	1,12	-0,935	19,753	3,927	-0,0223	0,472	0,094	24,6	324,600	98,95	99,77	-0,82	-0,478	-8,412	-34,911	-0,0114	-0,201	-0,833	0,4
				54,120				-1,037	4,791	0,982	-0,0247	0,114	0,023		54,120				-0,539	18,261	-150,208	-0,0129	0,436	-3,586		324,700	147,16	99,77	47,39	-1,953	0,157	84,038	-0,0466	0,004	2,006	0,4
				54,140				-0,941	4,791	2,127E-11	-0,0225	0,114	5,079E-13		54,140				-0,204	13,744	-283,725	-0,0049	0,328	-6,773		324,800	141,47	99,77	41,71	-0,446	8,396	-38,092	-0,0106	0,200	-0,909	0,4
				54,150	99,74	99,76	-0,02								54,150	100,63	99,76	0,87								324,900	97,05	99,77	-2,71	-0,273	-7,461	-51,483	-0,0065	-0,178	-1,229	0,4
				54,160				-0,845	4,791	-2,127E-11	-0,0202	0,114	-5,090E-13		54,160				0,011	6,912	-371,101	2,6250E-4	0,165	-8,859		325,000	147,25	99,77	47,48	-1,938	-1,901	82,938	-0,0463	-0,045	1,980	0,4
				54,180				-0,749	4,791	-2,945	-0,0179	0,114	-0,070		54,180				0,072	-1,100	-399,572	0,0017	-0,026	-9,539		325,100	160,88	99,77	61,11	-0,653	9,126	-20,892	-0,0156	0,218	-0,499	0,4
				54,200	99,77	99,76	0,01	-0,653	4,673	-7,854	-0,0156	0,112	-0,187	24,6	54,200	99,54	99,76	-0,23	-0,033	-9,071	-359,320	-7,8750E-4	-0,217	-8,578	24,6	325,200	97,02	99,77	-2,74	-0,113	-6,079	-64,913	-0,0027	-0,145	-1,550	0,4
				54,220				-0,562	4,477	-9,817	-0,0134	0,107	-0,234		54,220				-0,291	-15,472	-252,309	-0,0069	-0,369	-6,023		325,300	125,91	99,77	26,14	-1,869	-3,856	77,048	-0,0446	-0,092	1,839	0,4
				54,240				-0,474	4,280	-10,799	-0,0113	0,102	-0,258		54,240				-0,652	-19,164	-105,047	-0,0156	-0,458	-2,508		325,400	160,82	99,77	61,05	-0,884	9,331	-2,238	-0,0211	0,223	-0,053	0,4
				54,250	99,79	99,76	0,03								54,250	98,44	99,76	-1,32								325,500	103,10	99,76	3,34	-0,003	-4,304	-74,652	-7,5000E-5	-0,103	-1,782	0,4
				54,260				-0,391	4,045	-13,744	-0,0093	0,097	-0,328		54,260				-1,057	-19,674	53,996	-0,0252	-0,470	1,289		325,600	125,98	99,77	26,22	-1,745	-5,600	66,445	-0,0417	-0,134	1,586	0,4
				54,280				-0,313	3,731	-15,708	-0,0075	0,089	-0,375		54,280				-1,439	-17,004	194,386	-0,0344	-0,406	4,641		325,700	170,11	99,77	70,34	-1,123	8,985	17,004	-0,0268	0,215	0,406	0,4
				54,300	99,79	99,76	0,03	-0,242	3,416	-16,690	-0,0058	0,082	-0,398	24,5	54,300	98,41	99,76	-1,35	-1,737	-11,899	291,579	-0,0415	-0,284	6,961	24,6	325,800	103,14	99,77	3,38	0,052	-2,199	-79,993	0,0012	-0,053	-1,910	0,4
				54,320				-0,176	3,063	-18,653	-0,0042	0,073	-0,445		54,320				-1,915	-5,341	345,575	-0,0457	-0,127	8,250		325,900	109,16	99,77	9,40	-1,563	-7,014	51,404	-0,0373	-0,167	1,227	0,4
				54,340				-0,119	2,670	-20,617	-0,0028	0,064	-0,492		54,340				-1,951	1,924	357,356	-0,0466	0,046	8,531		326,000	170,16	99,77	70,39	-1,351	8,082	35,264	-0,0323	0,193	0,842	0,4
				54,350	99,76	99,76	0,00								54,350	99,54	99,76	-0,22								326,100	102,98	99,76	3,22	0,053	0,039	-80,739	0,0013	9,375E-4	-1,927	0,4
				54,360				-0,069	2,238	-22,580	-0,0016	0,053	-0,539		54,360				-1,838	8,954	323,977	-0,0439	0,214	7,734		326,200	109,39	99,76	9,63	-1,343	-8,066	33,733	-0,0321	-0,193	0,805	0,4
				54,380				-0,030	1,767	-22,580	-7,1250E-4	0,042	-0,539		54,380				-1,593	14,883	246,419	-0,0380	0,355	5,883		326,300	170,15	99,77	70,38	-1,560	6,786	51,993	-0,0372	0,162	1,241	0,4
				54,400	99,73	99,76	-0,03	0,002	1,335	-22,580	3,7500E-5	0,032	-0,539	24,6	54,400	100,47	99,76	0,71	-1,243	18,810	120,755	-0,0297	0,449	2,883	24,6	326,400	118,18	99,76	18,42	0,014	2,333	-77,715	3,3750E-4	0,056	-1,855	0,4
				54,420				0,024	0,864	-24,544	5,6250E-4	0,021	-0,586		54,420				-0,840	19,714	-32,398	-0,0201	0,471	-0,773		326,500	109,42	99,76	9,66	-1,093	-8,757	13,862	-0,0261	-0,209	0,331	0,4
				54,440				0,036	0,353	-24,544	8,6250E-4	0,008	-0,586		54,440				-0,454	17,514	-183,587	-0,0108	0,418	-4,383		326,600	165,57	99,77	65,80	-1,737	5,105	66,366	-0,0415	0,122	1,584	0,4
				54,450	99,68	99,76	-0,08								54,450	101,11	99,76	1,35								326,700	117,98	99,76	18,21	-0,072	4,516	-70,411	-0,0017	0,108	-1,681	0,4
				54,460				0,038	-0,118	-24,544	9,0000E-4	-0,003	-0,586		54,460				-0,140	12,370	-312,196	-0,0033	0,295	-7,453		326,800	99,40	99,76	-0,37	-0,834	-8,977	-6,754	-0,0199	-0,214	-0,161	0,4
				54,480				0,031	-0,628	-27,489	7,5000E-4	-0,015	-0,656		54,480				0,041	5,027	-387,791	9,7500E-4	0,120	-9,258		326,900	165,62	99,77	65,85	-1,868	3,165	76,930	-0,0446	0,076	1,837	0,4
				54,500	99,64	99,76	-0,12	0,013	-1,217	-27,489	3,0000E-4	-0,029	-0,656	24,6	54,500	99,80	99,76	0,04	0,061	-3,142	-398,590	0,0015	-0,075	-9,516	24,6	327,000	139,59	99,77	39,83	-0,201	6,409	-59,258	-0,0048	0,153	-1,415	0,4
				54,520				-0,017	-1,728	-24,544	-4,1250E-4	-0,041	-0,586		54,520				-0,085	-10,917	-339,685	-0,0020	-0,261	-8,109		327,100	99,50	99,76	-0,27	-0,586	-8,687	-26,625	-0,0140	-0,207	-0,636	0,4
				54,540				-0,057	-2,199	-23,562	-0,0013	-0,053	-0,562		54,540				-0,375	-16,729	-216,966	-0,0090	-0,399	-5,180		327,200	148,67	99,77	48,90	-1,938	1,084	83,134	-0,0463	0,026	1,985	0,4
				54,550	99,59	99,76	-0,17								54,550	98,67	99,76	-1,09								327,300	139,88	99,77	40,11	-0,369	7,940	-44,964	-0,0088	0,190	-1,073	0,4
				54,560				-0,105	-2,670	-22,580	-0,0025	-0,064	-0,539		54,560				-0,754	-19,596	-63,814	-0,0180	-0,468	-1,523		327,400	96,92	99,77	-2,85	-0,350	-7,909	-45,082	-0,0084	-0,189	-1,076	0,4
				54,580				-0,163	-3,102	-20,617	-0,0039	-0,074	-0,492		54,580				-1,159	-19,282	92,284	-0,0277	-0,460	2,203		327,500	148,87	99,77	49,10	-1,951	-1,076	83,998	-0,0466	-0,026	2,005	0,4
				54,600	99,57	99,76	-0,19	-0,229	-3,495	-16,690	-0,0055	-0,083	-0,398	24,6	54,600	98,28	99,76	-1,48	-1,525	-15,904	225,802	-0,0364	-0,380	5,391	24,6	327,600	159,86	99,77	60,09	-0,565	8,891	-28,117	-0,0135	0,212	-0,671	0,4
				54,620				-0,303	-3,770	-13,744	-0,0072	-0,090	-0,328		54,620				-1,795	-10,249	309,251	-0,0429	-0,245	7,383		327,700	96,89	99,77	-2,87	-0,173	-6,699	-59,769	-0,0041	-0,160	-1,427	0,4
				54,640				-0,380	-4,045	-13,744	-0,0091	-0,097	-0,328		54,640				-1,935	-3,534	347,539	-0,0462	-0,084	8,297		327,800	127,42	99,77	27,65	-1,905	-3,063	80,071	-0,0455	-0,073	1,912	0,4
				54,650	99,52	99,76	-0,23								54,650	99,21	99,76	-0,55								327,900	159,54	99,77	59,77	-0,785	9,315	-10,053	-0,0188	0,222	-0,240	0,4
				54,660				-0,465	-4,320	-10,799	-0,0111	-0,103	-0,258		54,660				-1,937	3,652	353,429	-0,0462	0,087	8,438		328,000	102,42	99,77	2,66	-0,042	-5,074	-71,196	-0,0010	-0,121	-1,700	0,4
				54,680				-0,553	-4,477	-8,836	-0,0132	-0,107	-0,211		54,680				-1,789	10,603	309,251	-0,0427	0,253	7,383		328,100	127,50	99,77	27,73	-1,800	-4,924	71,275	-0,0430	-0,118	1,702	0,4
				54,700	99,50	99,76	-0,26	-0,644	-4,673	-7,854	-0,0154	-0,112	-0,187	24,6	54,700	99,97	99,77	0,20	-1,513	16,022	214,021	-0,0361	0,382	5,109	24,6	328,200	159,54	99,77	59,77	-1,027	9,181	9,268	-0,0245	0,219	0,221	0,4
				54,720				-0,740	-4,791	-1,963	-0,0177	-0,114	-0,047		54,720				-1,148	19,164	86,394	-0,0274	0,458	2,063		328,300	102,44	99,77	2,68	0,036	-3,071	-78,422	8,6250E-4	-0,073	-1,872	0,4
				54,740				-0,836	-4,752	0,982	-0,0199	-0,113	0,023		54,740				-0,746	19,478	-65,777	-0,0178	0,465	-1,570		328,400	127,69	99,77	27,92	-1,641	-6,503	57,845	-0,0392	-0,155	1,381	0,4
				54,750	99,47	99,76	-0,29								54,750	101,30	99,76	1,54								328,500	170,01	99,77	70,24	-1,264	8,498	28,157	-0,0302	0,203	0,672	0,4
				54,760				-0,930	-4,752	-0,982	-0,0222	-0,113	-0,023		54,760				-0,369	16,533	-218,930	-0,0088	0,395	-5,227		328,600	102,26	99,77	2,50	0,058	-0,872	-81,014	0,0014	-0,021	-1,934	0,4
				54,780				-1,026	-4,791	2,118E-11	-0,0245	-0,114	5,038E-13		54,780				-0,085	10,721	-333,794	-0,0020	0,256	-7,969		328,700	110,12	99,77	10,36	-1,439	-7,705	41,155	-0,0343	-0,184	0,982	0,4
